Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Aapo Halme,FIN,HJK,UEFA Europa Conference League,CB,Defender,25,265,1,37,21,42,26,39,36
Aaron Cresswell,ENG,West Ham,"English Premier League, UEFA Europa League",LB,Defender,34,852,1,73,48,69,64,18,47
Aaron Hickey,SCO,Brentford,English Premier League,RB,Defender,21,713,1,48,52,28,36,42,39
Aaron Malouda,FRA,Lille,"French Ligue 1, UEFA Europa Conference League",LW,Forward,17,27,1,30,54,69,73,35,52
Aaron Ramsey,ENG,Burnley,English Premier League,RM,Midfielder,21,527,1,37,40,19,26,57,38
Aaron Seydel,GER,Darmstadt 98,German Bundesliga,AM,Forward,28,619,1,53,30,44,31,41,40
Aaron Wan-Bissaka,ENG,Manchester Utd,"English Premier League, UEFA Champions League",RB,Defender,26,1992,1,44,67,55,58,66,59
Aarón Martín,ESP,Genoa,Italian Serie A,WB,Midfielder,27,1376,1,31,46,39,44,24,35
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,21,1792,1,79,39,55,55,73,64
Abat Ajymbetow,KAZ,Astana FK,UEFA Europa Conference League,AM,Forward,28,99,1,40,23,21,17,20,26
Abdallah Sima,SEN,Rangers,UEFA Europa League,LW,Forward,22,520,1,84,51,45,53,84,62
Abde Ezzalzouli,MAR,"Barcelona, Betis","Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",AM,Forward,22,1465,1,41,60,48,84,70,57
Abdel Abqar,MAR,Alavés,Spanish La Liga,CB,Defender,25,2312,1,38,26,27,14,41,31
Abdellah Baallal,MAR,Clermont Foot,French Ligue 1,CM,Midfielder,19,4,1,35,11,32,59,39,37
Abdellah Raihani,MAR,Atlético Madrid,Spanish La Liga,AM,Forward,20,10,1,30,25,14,4,9,20
Abdellah Zoubir,FRA,Qarabağ,UEFA Europa League,LW,Forward,32,913,1,54,68,71,78,56,65
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,LW,Forward,25,722,1,52,56,52,62,58,55
Abdou Harroui,NED,Frosinone,Italian Serie A,AM,Forward,26,1019,1,62,67,67,68,72,66
Abdoul Kader Bamba,FRA,Nantes,French Ligue 1,AM,Forward,29,611,1,56,79,76,92,72,74
Abdoul Koné,FRA,Reims,French Ligue 1,RB,Defender,19,193,1,37,52,43,40,68,52
Abdoulaye Doucouré,MLI,Everton,English Premier League,AM,Forward,31,2629,1,43,40,57,42,68,46
Abdoulaye Seck,SEN,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",CB,Defender,31,791,1,84,39,31,18,38,39
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,CM,Midfielder,30,2284,1,52,38,59,50,61,54
Abdukodir Khusanov,UZB,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",CB,Defender,20,961,1,46,28,43,44,62,50
Abdul Mumin,GHA,Rayo Vallecano,Spanish La Liga,CB,Defender,25,1694,1,66,25,31,18,41,37
Abdulrazaq Ishaq,NGA,Häcken,UEFA Europa League,RB,Defender,21,221,1,48,77,85,93,63,72
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,31,1270,1,79,42,33,14,37,46
Abdülkerim Bardakcı,TUR,Galatasaray,"UEFA Champions League, UEFA Europa League",CB,Defender,29,666,1,75,45,62,67,78,70
Abel Ruiz,ESP,Braga,"UEFA Champions League, UEFA Europa League",AM,Forward,24,423,1,23,29,45,22,23,28
Ablie Jallow,GAM,Metz,French Ligue 1,AM,Forward,25,918,1,63,57,64,59,53,60
Abner,BRA,Betis,"Spanish La Liga, UEFA Europa League",LB,Defender,23,1798,1,37,65,45,51,51,49
Abou Lô,SEN,Metz,French Ligue 1,CB,Defender,24,197,1,24,44,43,27,45,38
Aboubacar Ali,COM,Strasbourg,French Ligue 1,AM,Midfielder,18,130,1,42,46,30,45,24,35
Abzal Beisebekov,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,31,324,1,84,23,34,12,26,32
Achraf Dari,MAR,Brest,French Ligue 1,CB,Defender,24,121,1,63,24,57,43,61,54
Achraf Hakimi,MAR,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,25,2913,1,80,93,87,97,46,72
Adam Gnezda Čerin,SVN,Panathinaikos,UEFA Europa League,DM,Midfielder,24,358,1,33,52,67,48,51,51
Adam Hložek,CZE,Leverkusen,"German Bundesliga, UEFA Europa League",AM,Forward,21,904,1,63,66,61,55,53,62
Adam Karabec,CZE,Sparta Prague,UEFA Europa League,AM,Forward,20,207,1,19,55,63,42,41,43
Adam Lallana,ENG,Brighton,"English Premier League, UEFA Europa League",AM,Forward,36,919,1,24,60,75,65,36,52
Adam Marušić,MNE,Lazio,"Italian Serie A, UEFA Champions League",RB,Defender,31,3614,1,61,46,56,50,37,47
Adam Masina,MAR,"Torino, Udinese",Italian Serie A,CB,Defender,30,1088,1,42,36,53,42,50,47
Adam Obert,SVK,Cagliari,Italian Serie A,CB,Defender,21,941,1,46,64,55,41,57,52
Adam Ounas,ALG,Lille,"French Ligue 1, UEFA Europa Conference League",RW,Forward,27,571,1,54,81,76,86,66,72
Adam Smith,ENG,Bournemouth,English Premier League,RB,Defender,33,2150,1,39,67,50,40,37,42
Adam Sørensen,DEN,Bodø/Glimt,UEFA Europa Conference League,LB,Defender,23,76,1,27,50,60,55,24,40
Adam Vlkanova,CZE,Viktoria Plzeň,UEFA Europa Conference League,AM,Forward,29,149,1,90,64,47,50,42,65
Adam Webster,ENG,Brighton,"English Premier League, UEFA Europa League",CB,Defender,29,1150,1,30,45,78,76,52,59
Adam Wharton,ENG,Crystal Palace,English Premier League,CM,Midfielder,19,1297,1,34,57,60,40,70,55
Adama Bojang,GAM,Reims,French Ligue 1,AM,Forward,19,83,1,34,46,33,56,67,43
Adama Traoré,MLI,Ferencváros,UEFA Europa Conference League,RM,Forward,28,503,2,64,74,53,77,58,67
Adame Faiz,FRA,Lille,UEFA Europa Conference League,AM,Forward,18,8,1,30,12,33,54,15,29
Adamo Nagalo,BFA,Nordsjælland,UEFA Europa Conference League,CB,Defender,21,445,1,39,63,71,61,23,45
Adel Mahamoud,COM,Nantes,French Ligue 1,AM,Forward,20,10,1,30,27,59,35,9,34
Ademola Lookman,NGA,Atalanta,"Italian Serie A, UEFA Europa League",AM,Forward,26,2611,1,84,85,73,81,57,80
Admir Bristrić,BIH,Olimpija,UEFA Europa Conference League,AM,Forward,20,312,1,23,39,32,27,30,30
Adnan Januzaj,BEL,Sevilla,Spanish La Liga,RW,Forward,29,193,1,25,40,67,61,67,46
Adnan Kovačević,BIH,Raków,UEFA Europa League,CB,Defender,30,417,1,40,20,23,17,78,46
Adri Bosch,ESP,Granada,Spanish La Liga,CB,Defender,22,26,1,37,16,49,36,59,47
Adri Embarba,ESP,Almería,Spanish La Liga,LW,Forward,32,2476,1,47,55,57,67,76,56
Adrian Beck,GER,Heidenheim,German Bundesliga,AM,Forward,26,974,1,30,52,60,51,80,48
Adrian Grbić,AUT,Lorient,French Ligue 1,AM,Forward,27,31,1,24,24,24,25,20,24
Adrian Zeljković,SVN,Spartak Trnava,UEFA Europa Conference League,CM,Midfielder,21,521,1,38,32,31,22,58,39
Adrien Lebeau,FRA,Brest,French Ligue 1,AM,Forward,24,54,1,42,60,65,80,36,58
Adrien Rabiot,FRA,Juventus,Italian Serie A,CM,Midfielder,29,2651,1,82,64,51,59,55,60
Adrien Tameze,CMR,Torino,Italian Serie A,CB,Defender,30,2146,1,27,64,64,54,50,51
Adrien Thomasson,FRA,Lens,"French Ligue 1, UEFA Champions League",AM,Forward,30,1417,1,33,67,80,71,74,60
Adrien Truffert,FRA,Rennes,"French Ligue 1, UEFA Europa League",LB,Defender,22,2707,1,80,73,61,80,39,59
Adrià Altimira,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",RB,Defender,22,1058,1,39,54,65,62,44,52
Adrià Pedrosa,ESP,Sevilla,"Spanish La Liga, UEFA Champions League",LB,Defender,26,2080,1,66,81,47,63,53,57
Adrián Marín,ESP,Braga,UEFA Champions League,LB,Defender,26,23,1,37,16,48,23,29,32
Adryelson,BRA,Lyon,French Ligue 1,CB,Defender,25,6,1,37,16,32,45,26,32
Adson,BRA,Nantes,French Ligue 1,AM,Forward,23,238,1,22,53,75,90,75,56
Adu Ares,ESP,Athletic Club,Spanish La Liga,RW,Forward,22,265,1,27,32,44,70,66,41
Agustín Doffo,ARG,Olimpija,UEFA Europa Conference League,CM,Midfielder,28,434,1,41,31,60,49,83,59
Agustín Martegani,ARG,Salernitana,Italian Serie A,CM,Midfielder,23,731,1,83,51,45,46,39,49
Ahmed Touba,ALG,Lecce,Italian Serie A,CB,Defender,25,277,1,41,18,23,24,71,44
Ahmet Muhamedbegovic,AUT,Olimpija,UEFA Europa Conference League,CB,Defender,25,540,1,28,44,64,49,37,44
Ahmetcan Kaplan,TUR,Ajax,UEFA Europa Conference League,CB,Defender,21,128,1,37,16,46,39,46,41
Aiham Ousou,SYR,"Cádiz, Häcken","Spanish La Liga, UEFA Europa League",CB,Defender,24,865,1,41,52,45,44,54,48
Aihen Muñoz,ESP,Real Sociedad,"Spanish La Liga, UEFA Champions League",LB,Defender,26,1601,1,41,65,66,70,62,62
Aimar Oroz,ESP,Osasuna,Spanish La Liga,LM,Midfielder,22,2339,1,41,62,48,57,40,48
Aingeru Olabarrieta,ESP,Athletic Club,Spanish La Liga,RW,Forward,18,9,1,44,35,24,73,9,41
Ainsley Maitland-Niles,ENG,Lyon,French Ligue 1,RB,Defender,26,1432,1,51,86,63,68,57,62
Aitor Cantalapiedra,ESP,Panathinaikos,UEFA Europa League,LW,Forward,27,230,1,23,59,71,64,45,51
Aitor Paredes,ESP,Athletic Club,Spanish La Liga,CB,Defender,24,2704,1,59,34,45,28,35,39
Aitor Ruibal,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",RB,Defender,28,1540,1,91,88,66,67,68,72
Akim Zedadka,ALG,Lille,UEFA Europa Conference League,RB,Defender,28,90,1,26,66,63,95,74,69
Akor Adams,NGA,Montpellier,French Ligue 1,AM,Forward,24,2252,1,52,39,24,23,34,37
Alan Matturro,URU,Genoa,Italian Serie A,CB,Defender,19,106,1,26,52,32,11,58,39
Alan Varela,ARG,Porto,UEFA Champions League,CM,Midfielder,22,705,1,35,38,52,31,45,41
Alan Virginius,FRA,"Clermont Foot, Lille","French Ligue 1, UEFA Europa Conference League",AM,Forward,21,1090,1,23,58,41,32,38,39
Alassane Pléa,FRA,Gladbach,German Bundesliga,AM,Forward,31,1913,1,63,73,71,64,38,66
Albert Grønbaek,DEN,Bodø/Glimt,UEFA Europa Conference League,LM,Midfielder,22,668,1,81,63,36,50,31,47
Albert Guðmundsson,ISL,Genoa,Italian Serie A,AM,Forward,26,3016,1,65,64,72,60,41,64
Albert Sambi Lokonga,BEL,Luton Town,English Premier League,CM,Midfielder,24,1303,1,61,54,61,59,51,56
Alberto Cerri,ITA,Empoli,Italian Serie A,AM,Forward,28,545,1,42,24,26,21,53,31
Alberto Dadie,ESP,Real Sociedad,Spanish La Liga,RM,Midfielder,21,28,1,35,49,13,23,59,38
Alberto Dossena,ITA,Cagliari,Italian Serie A,CB,Defender,25,2977,1,68,55,38,19,69,52
Alberto Grassi,ITA,Empoli,Italian Serie A,CM,Midfielder,29,1807,1,35,35,46,27,58,43
Alberto Marí,ESP,Valencia,Spanish La Liga,AM,Forward,22,276,1,37,59,45,22,52,43
Alberto Moleiro,ESP,Las Palmas,Spanish La Liga,LW,Forward,20,1803,1,52,71,69,78,39,64
Alberto Moreno,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",LB,Defender,31,1764,1,87,81,54,55,48,58
Alberto Perea,ESP,Granada,Spanish La Liga,AM,Forward,32,2,1,30,51,71,63,26,49
Alberto Risco,ESP,Getafe,Spanish La Liga,AM,Midfielder,18,137,1,41,68,46,47,21,40
Alberto Soro,ESP,Granada,Spanish La Liga,LM,Midfielder,24,8,1,35,27,40,43,5,27
Albian Hajdari,SUI,Lugano,UEFA Europa Conference League,LB,Defender,20,328,1,45,63,53,47,71,59
Albin Berisha,KVX,KF Ballkani Therandë,UEFA Europa Conference League,AM,Forward,22,400,1,29,21,21,21,28,24
Aldin Hrvanović,BIH,Zrinjski Mostar,UEFA Europa Conference League,LW,Forward,25,236,1,49,19,14,6,73,28
Aleix García,ESP,Girona,Spanish La Liga,DM,Midfielder,26,3199,1,72,65,83,74,44,64
Alejandro Artunduaga,COL,Sheriff Tiraspol,UEFA Europa League,LB,Defender,26,496,1,37,28,20,41,61,43
Alejandro Balde,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",LB,Defender,20,1709,1,38,82,52,83,29,49
Alejandro Garnacho,ARG,Manchester Utd,"English Premier League, UEFA Champions League",LW,Forward,19,2866,1,56,71,50,77,55,63
Alejandro Jiménez,ESP,Milan,Italian Serie A,LB,Defender,18,68,1,37,52,59,73,41,51
Alejandro Pozo Pozo,ESP,Almería,Spanish La Liga,RB,Defender,25,976,1,37,68,64,66,42,52
Alejo Véliz,ARG,"Sevilla, Tottenham","English Premier League, Spanish La Liga",AM,Forward,20,85,1,97,34,18,17,38,47
Aleksa Amanović,MKD,Astana FK,UEFA Europa Conference League,CB,Defender,27,360,1,45,40,52,36,52,47
Aleksa Janković,SRB,Čukarički,UEFA Europa Conference League,RW,Forward,23,58,1,30,31,22,59,39,35
Aleksa Terzić,SRB,RB Salzburg,UEFA Champions League,LB,Defender,24,180,1,44,62,36,73,40,48
Aleksandar Borković,AUT,Sturm Graz,UEFA Europa League,CB,Defender,24,71,1,37,16,22,7,38,27
Aleksandar Dragović,AUT,Red Star,UEFA Champions League,CB,Defender,32,540,1,28,32,45,27,41,37
Aleksandar Katai,SRB,Red Star,UEFA Champions League,CM,Midfielder,32,79,1,99,63,32,56,44,54
Aleksandar Mitrović,SRB,Fulham,English Premier League,AM,Forward,28,33,1,40,65,41,15,24,42
Aleksandar Pavlovic,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",DM,Midfielder,20,1434,1,65,52,74,68,52,61
Aleksandar Pešić,SRB,Ferencváros,UEFA Europa Conference League,AM,Forward,31,334,1,89,25,36,20,33,45
Aleksandar Radovanović,SRB,Almería,Spanish La Liga,CB,Defender,30,569,1,39,18,21,5,55,34
Aleksandar Sedlar,SRB,Alavés,Spanish La Liga,CB,Defender,31,946,1,74,30,38,22,50,44
Aleksandar Ćirković,SRB,TSC,UEFA Europa League,AM,Forward,22,223,1,83,34,35,40,45,50
Aleksandar Čavrić,SRB,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,29,468,1,85,60,49,29,33,58
Aleksandr Golovin,RUS,Monaco,French Ligue 1,AM,Forward,27,2147,1,65,73,83,77,77,73
Aleksandr Kokorin,RUS,Aris Limassol FC,UEFA Europa League,AM,Forward,32,288,1,71,67,66,37,42,61
Aleksandr Marochkin,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,33,450,1,51,19,22,13,68,42
Aleksei Isayev,AZE,Qarabağ,UEFA Europa League,AM,Forward,28,6,1,30,12,71,60,26,37
Aleksei Miranchuk,RUS,Atalanta,"Italian Serie A, UEFA Europa League",AM,Forward,28,1588,1,46,83,81,81,51,70
Aleksi Paananen,FIN,HJK,UEFA Europa Conference League,CM,Midfielder,30,26,1,49,49,66,65,56,58
Alessandro Bastoni,ITA,Inter,"Italian Serie A, UEFA Champions League",CB,Defender,25,2768,1,56,81,79,86,49,65
Alessandro Buongiorno,ITA,Torino,Italian Serie A,CB,Defender,24,2527,1,79,36,29,27,71,53
Alessandro Deiola,ITA,Cagliari,Italian Serie A,CM,Midfielder,28,1608,1,45,32,33,12,47,35
Alessandro Dellavalle,ITA,Torino,Italian Serie A,CB,Defender,20,15,1,37,39,52,9,51,40
Alessandro Di Pardo,ITA,Cagliari,Italian Serie A,RB,Midfielder,24,359,1,40,31,37,42,48,41
Alessandro Florenzi,ITA,Milan,"Italian Serie A, UEFA Champions League, UEFA Europa League",RB,Defender,33,2114,1,59,79,80,77,50,65
Alessandro Vogliacco,ITA,Genoa,Italian Serie A,CB,Defender,25,1169,1,30,60,59,39,59,51
Alessandro Zanoli,ITA,"Napoli, Salernitana","Italian Serie A, UEFA Champions League",LB,Defender,23,977,1,40,82,47,57,31,44
Alessio Castro-Montes,BEL,Union SG,"UEFA Europa Conference League, UEFA Europa League",WB,Midfielder,26,825,1,38,51,48,56,71,56
Alessio Romagnoli,ITA,Lazio,"Italian Serie A, UEFA Champions League",CB,Defender,29,2951,1,38,36,54,38,42,43
Alessio Zerbin,ITA,"Monza, Napoli",Italian Serie A,LB,Forward,25,834,1,26,66,64,65,70,54
Alex Baena,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",LM,Midfielder,22,2991,1,54,91,62,67,22,52
Alex Iwobi,NGA,"Everton, Fulham",English Premier League,LM,Forward,28,2332,1,49,72,79,78,61,67
Alex Král,CZE,Union Berlin,"German Bundesliga, UEFA Champions League",CM,Midfielder,25,1621,1,52,40,30,27,46,39
Alex Matos,ENG,Chelsea,English Premier League,AM,Forward,18,1,1,30,12,14,24,9,20
Alex Moucketou,GAB,Aris Limassol FC,UEFA Europa League,CB,Defender,23,366,1,83,29,21,17,79,52
Alex Murphy,IRL,Newcastle Utd,English Premier League,LB,Defender,19,13,1,37,16,71,58,82,65
Alex Oxlade-Chamberlain,ENG,Beşiktaş,UEFA Europa Conference League,AM,Midfielder,30,386,1,42,44,61,52,44,49
Alex Sandro,BRA,Juventus,Italian Serie A,CB,Defender,33,721,1,79,59,77,73,51,65
Alex Scott,ENG,Bournemouth,English Premier League,AM,Midfielder,20,1014,1,73,76,52,61,62,63
Alex Sola,ESP,"Alavés, Real Sociedad",Spanish La Liga,RB,Defender,24,1292,1,43,86,43,55,51,51
Alexander Bah,DEN,Benfica,"UEFA Champions League, UEFA Europa League",RB,Defender,26,696,1,42,63,68,86,81,73
Alexander Djiku,GHA,Fenerbahçe,UEFA Europa Conference League,CB,Defender,29,585,1,29,23,59,49,87,62
Alexander Isak,SWE,Newcastle Utd,"English Premier League, UEFA Champions League",AM,Forward,24,2567,1,78,61,44,33,26,56
Alexander Prass,AUT,Sturm Graz,"UEFA Europa Conference League, UEFA Europa League",LM,Midfielder,22,723,1,69,62,40,54,64,58
Alexander Sigurðarson,ISL,Breiðablik,UEFA Europa Conference League,CM,Midfielder,27,235,1,40,58,80,70,52,60
Alexander Sørloth,NOR,Villarreal,"Spanish La Liga, UEFA Europa League",AM,Forward,28,2855,1,90,60,37,29,33,58
Alexandre Lacazette,FRA,Lyon,French Ligue 1,AM,Forward,32,2293,1,87,53,44,27,42,56
Alexandre Penetra,POR,AZ Alkmaar,UEFA Europa Conference League,CB,Defender,22,363,1,23,22,47,49,42,41
Alexis Antunes,SUI,Servette FC,"UEFA Europa Conference League, UEFA Europa League",AM,Midfielder,23,475,1,42,49,27,48,72,51
Alexis Blin,FRA,Lecce,Italian Serie A,CM,Midfielder,27,1642,1,29,38,41,23,58,41
Alexis Claude-Maurice,FRA,Nice,French Ligue 1,LM,Midfielder,25,504,1,44,57,51,79,39,52
Alexis Mac Allister,ARG,Liverpool,"English Premier League, UEFA Europa League",CM,Midfielder,25,3008,1,78,76,79,72,77,76
Alexis Saelemaekers,BEL,Bologna,Italian Serie A,LW,Forward,24,1887,1,54,69,73,80,68,67
Alexis Sánchez,CHI,Inter,"Italian Serie A, UEFA Champions League",AM,Forward,35,1098,1,45,79,78,60,48,64
Alexsandro Ribeiro,BRA,Lille,"French Ligue 1, UEFA Europa Conference League",CB,Defender,24,2695,1,34,47,66,62,54,55
Alfie Doughty,ENG,Luton Town,English Premier League,WB,Midfielder,24,2925,1,64,74,50,67,57,61
Alfie Gilchrist,ENG,Chelsea,English Premier League,RB,Defender,20,207,1,97,48,43,56,39,52
Alfonso Espino,URU,Rayo Vallecano,Spanish La Liga,LB,Defender,32,2507,1,41,77,58,52,66,59
Alfonso Pedraza,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",LB,Defender,28,1287,1,80,88,43,70,38,54
Alfred Duncan,GHA,Fiorentina,"Italian Serie A, UEFA Europa Conference League",DM,Midfielder,31,2230,1,70,73,70,47,40,56
Alhassan Yusuf,NGA,Antwerp,UEFA Champions League,DM,Midfielder,23,380,1,82,49,48,55,61,58
Ali Mohamed,NIG,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",CM,Midfielder,28,485,1,35,57,40,50,56,49
Ali Youssef,TUN,Häcken,UEFA Europa League,AM,Forward,23,93,1,33,31,22,17,9,26
Alidu Seidu,GHA,"Clermont Foot, Rennes","French Ligue 1, UEFA Europa League",CB,Defender,23,1782,1,40,48,56,73,78,66
Alieu Fadera,GAM,Genk,UEFA Europa Conference League,LW,Forward,22,142,1,25,73,37,71,73,52
Aliou Badara Baldé,GUI,Nice,French Ligue 1,RW,Forward,21,69,1,46,73,33,95,85,63
Alireza Jahanbakhsh,IRN,Feyenoord,"UEFA Champions League, UEFA Europa League",CM,Forward,30,75,1,96,66,85,88,71,82
Alistair Johnston,CAN,Celtic,UEFA Champions League,RB,Defender,25,540,1,28,56,67,62,49,53
Aljaž Krefl,SVN,Olimpija,UEFA Europa Conference League,LB,Defender,29,130,1,50,57,81,76,29,53
Aljoscha Kemlein,GER,Union Berlin,"German Bundesliga, UEFA Champions League",CM,Midfielder,19,37,1,48,37,32,6,21,26
Allan Arigoni,SUI,Lugano,UEFA Europa Conference League,LB,Defender,25,427,1,41,70,43,61,33,44
Almir Kryeziu,KVX,KF Ballkani Therandë,UEFA Europa Conference League,LW,Forward,25,267,1,82,72,51,71,51,70
Almoatasem Al Musrati,LBY,Braga,UEFA Champions League,DM,Midfielder,27,309,1,36,50,74,58,74,63
Alois Confais,FRA,Le Havre,French Ligue 1,AM,Forward,27,7,1,30,12,34,48,63,31
Alphadjo Cissè,ITA,Hellas Verona,Italian Serie A,LW,Forward,17,8,1,30,12,16,4,9,16
Alphonso Davies,CAN,Bayern Munich,"German Bundesliga, UEFA Champions League",LB,Defender,23,2771,1,79,92,76,91,57,73
Amad Diallo,CIV,Manchester Utd,English Premier League,RW,Forward,21,390,1,69,67,65,74,58,68
Amadou Dante,MLI,Sturm Graz,UEFA Europa League,LB,Defender,23,275,1,37,40,34,56,79,57
Amadou Diallo,ENG,Newcastle Utd,English Premier League,RM,Midfielder,20,1,1,35,11,32,23,5,19
Amadou Haidara,MLI,RB Leipzig,"German Bundesliga, UEFA Champions League",DM,Midfielder,26,1792,1,78,55,69,34,73,63
Amadou Koné,MLI,Reims,French Ligue 1,CM,Midfielder,19,475,1,36,19,55,42,82,54
Amadou Onana,BEL,Everton,English Premier League,CM,Midfielder,22,2091,1,63,50,57,42,72,59
Amady Camara,MLI,Sturm Graz,UEFA Europa Conference League,AM,Forward,18,87,1,97,73,51,75,30,74
Amahl Pellegrino,NOR,Bodø/Glimt,UEFA Europa Conference League,LW,Forward,33,514,1,57,68,60,53,51,60
Amankwah Forson,GHA,RB Salzburg,UEFA Champions League,LW,Forward,20,68,1,29,29,73,90,66,50
Amar Dedić,BIH,RB Salzburg,UEFA Champions League,RB,Defender,21,540,1,43,62,33,62,49,48
Amari'i Bell,JAM,Luton Town,English Premier League,CB,Defender,29,1720,1,37,53,53,51,69,57
Amath,SEN,Mallorca,Spanish La Liga,AM,Midfielder,27,394,1,37,78,29,58,49,49
Ameen Al-Dakhil,BEL,Burnley,English Premier League,CB,Defender,21,1056,1,56,49,39,51,31,41
Amin Sarr,SWE,"Lyon, Wolfsburg","French Ligue 1, German Bundesliga",AM,Forward,23,484,1,28,27,43,41,48,34
Amine Adli,MAR,Leverkusen,"German Bundesliga, UEFA Europa League",AM,Forward,24,1877,1,53,77,70,80,68,69
Amine Gouiri,ALG,Rennes,"French Ligue 1, UEFA Europa League",AM,Forward,24,2394,1,69,70,61,71,52,67
Amine Harit,MAR,Marseille,"French Ligue 1, UEFA Europa League",AM,Midfielder,26,2983,1,44,89,70,79,31,58
Amine Messoussa,FRA,Lille,UEFA Europa Conference League,AM,Forward,18,64,1,33,25,14,4,17,21
Amine Salama,FRA,Reims,French Ligue 1,AM,Forward,23,313,1,19,40,50,42,32,35
Amine Talal,MAR,Sheriff Tiraspol,UEFA Europa League,CM,Midfielder,27,539,1,41,40,39,21,74,47
Amir Hadžiahmetović,BIH,Beşiktaş,UEFA Europa Conference League,DM,Midfielder,26,477,1,39,64,83,56,56,60
Amir Richardson,MAR,Reims,French Ligue 1,CM,Midfielder,22,1352,1,84,50,53,63,65,63
Amir Rrahmani,KVX,Napoli,"Italian Serie A, UEFA Champions League",CB,Defender,30,3152,1,86,48,71,62,45,59
Amor Layouni,TUN,Häcken,UEFA Europa League,RW,Forward,31,421,1,27,52,42,53,66,44
Amos Pieper,GER,Werder Bremen,German Bundesliga,CB,Defender,26,590,1,33,50,52,36,81,58
Amourrichio Van Axel Dongen,NED,Ajax,UEFA Europa League,RW,Forward,19,7,1,30,12,28,67,26,31
Anan Khalaili,ISR,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",RW,Forward,19,545,1,72,61,30,40,62,55
Anass Salah-Eddine,NED,Ajax,UEFA Europa League,AM,Forward,21,1,1,30,12,34,45,9,27
Anass Zaroury,MAR,Burnley,English Premier League,LM,Forward,23,152,1,32,30,48,58,31,39
Anastasios Douvikas,GRE,Celta Vigo,Spanish La Liga,AM,Forward,24,905,1,88,47,28,20,53,51
Ander Barrenetxea,ESP,Real Sociedad,"Spanish La Liga, UEFA Champions League",LW,Forward,22,1824,1,62,66,49,79,72,64
Ander Guevara,ESP,Alavés,Spanish La Liga,DM,Midfielder,26,2932,1,54,44,58,42,50,50
Ander Herrera,ESP,Athletic Club,Spanish La Liga,DM,Midfielder,34,1030,1,33,68,76,69,82,70
Anders Hagelskjær,DEN,Molde,"UEFA Europa Conference League, UEFA Europa League",CB,Defender,27,720,1,37,36,38,50,55,47
Anderson Esiti,NGA,Ferencváros,UEFA Europa Conference League,DM,Midfielder,29,91,1,42,24,15,6,73,37
Andi Zeqiri,SUI,Genk,UEFA Europa Conference League,AM,Forward,24,280,1,48,20,26,15,39,30
Andoni Gorosabel,ESP,Alavés,Spanish La Liga,RB,Defender,27,2854,1,71,64,44,47,52,53
Andraž Šporar,SVN,Panathinaikos,UEFA Europa League,AM,Forward,29,137,1,94,31,25,18,18,45
Andre Brooks,ENG,Sheffield Utd,English Premier League,CM,Midfielder,20,938,1,34,34,19,29,56,37
Andre-Frank Zambo Anguissa,CMR,Napoli,"Italian Serie A, UEFA Champions League",RM,Midfielder,28,3413,1,38,63,69,70,54,59
Andrea Belotti,ITA,"Fiorentina, Roma","Italian Serie A, UEFA Europa Conference League, UEFA Europa League",AM,Forward,30,2376,1,63,52,30,27,45,47
Andrea Cambiaso,ITA,Juventus,Italian Serie A,WB,Midfielder,24,2372,1,62,70,45,69,38,53
Andrea Carboni,ITA,Monza,Italian Serie A,CB,Defender,23,1487,1,64,44,59,58,54,56
Andrea Colpani,ITA,Monza,Italian Serie A,AM,Forward,25,2657,1,66,62,68,63,44,63
Andrea Ferraris,ITA,Monza,Italian Serie A,AM,Forward,21,10,1,30,25,50,35,46,34
Andrea Petagna,ITA,Cagliari,Italian Serie A,AM,Forward,28,995,1,41,48,43,20,32,39
Andrea Pinamonti,ITA,Sassuolo,Italian Serie A,AM,Forward,25,3076,1,64,35,28,12,35,38
Andrea Sodero,ITA,Empoli,Italian Serie A,LM,Midfielder,19,5,1,35,11,13,15,5,13
Andreas Christensen,DEN,Barcelona,"Spanish La Liga, UEFA Champions League",CB,Defender,28,2418,1,80,47,73,68,44,60
