Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Marco Palestra,ITA,Atalanta,UEFA Europa League,RM,Midfielder,18,7,1,35,11,55,10,5,21
Marco Pellegrino,ARG,"Milan, Salernitana",Italian Serie A,CB,Defender,21,613,1,52,26,27,25,50,39
Marco Reus,GER,Dortmund,"German Bundesliga, UEFA Champions League",AM,Forward,35,2088,1,58,65,70,56,67,62
Marco Richter,GER,Mainz 05,German Bundesliga,AM,Forward,26,717,1,50,71,66,67,52,62
Marcos Acuña,ARG,Sevilla,"Spanish La Liga, UEFA Champions League",LB,Defender,32,1490,1,80,86,64,63,51,62
Marcos Alonso,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",LB,Defender,33,391,1,52,68,76,90,44,62
Marcos Antônio,BRA,PAOK,UEFA Europa Conference League,DM,Midfielder,23,20,1,35,38,31,59,5,29
Marcos Leonardo,BRA,Benfica,UEFA Europa League,AM,Forward,20,95,1,18,26,33,11,20,22
Marcos Llorente,ESP,Atlético Madrid,"Spanish La Liga, UEFA Champions League",CM,Midfielder,29,3213,1,80,61,47,58,31,50
Marcos López,PER,Feyenoord,UEFA Champions League,RB,Defender,23,45,1,37,26,24,22,36,30
Marcos Peña,ESP,Almería,Spanish La Liga,DM,Midfielder,19,441,1,38,14,31,18,77,42
Marcos Senesi,ARG,Bournemouth,English Premier League,CB,Defender,27,2242,1,81,80,70,58,73,71
Marcus Coco,FRA,Nantes,French Ligue 1,RB,Defender,27,1481,1,72,72,46,56,65,61
Marcus Edwards,ENG,Sporting CP,UEFA Europa League,AM,Forward,25,591,1,36,87,73,84,36,66
Marcus Ingvartsen,DEN,Nordsjælland,UEFA Europa Conference League,AM,Forward,27,420,1,41,35,43,21,20,35
Marcus Müller,GER,Mainz 05,German Bundesliga,DM,Midfielder,21,18,1,25,38,27,21,16,23
Marcus Pedersen,NOR,Sassuolo,Italian Serie A,RB,Defender,23,1613,1,31,63,35,53,41,42
Marcus Rashford,ENG,Manchester Utd,"English Premier League, UEFA Champions League",LW,Forward,26,2559,1,51,74,53,65,44,60
Marcus Tavernier,ENG,Bournemouth,English Premier League,LW,Forward,25,2118,1,45,73,68,78,74,65
Marcus Thuram,FRA,Inter,"Italian Serie A, UEFA Champions League",AM,Forward,26,3144,1,56,65,37,35,44,51
Marcão,BRA,Sevilla,Spanish La Liga,CB,Defender,27,355,1,37,34,55,43,63,52
Marek Ujlaky,SVK,Spartak Trnava,UEFA Europa Conference League,RB,Defender,20,11,1,37,16,13,3,4,11
Mariano,DOM,Sevilla,"Spanish La Liga, UEFA Champions League",AM,Forward,30,307,1,33,51,31,31,42,38
Marin Ljubicic,CRO,LASK,UEFA Europa League,RW,Forward,21,365,1,41,30,29,16,42,31
Marin Pongračić,CRO,Lecce,Italian Serie A,CB,Defender,26,3219,1,32,39,56,45,50,47
Marin Tomasov,CRO,Astana FK,UEFA Europa Conference League,AM,Forward,36,400,1,53,48,51,40,46,48
Mario Dominguez,ESP,Valencia,Spanish La Liga,AM,Forward,19,25,1,40,23,49,26,9,32
Mario Dorgeless,CIV,Nordsjælland,UEFA Europa Conference League,RM,Midfielder,19,180,1,35,40,51,50,46,46
Mario Gila,ESP,Lazio,"Italian Serie A, UEFA Champions League",CB,Defender,23,2159,1,37,49,62,62,53,54
Mario Götze,GER,Eint Frankfurt,"German Bundesliga, UEFA Europa Conference League",CM,Midfielder,31,2537,1,58,72,65,61,55,61
Mario Hermoso,ESP,Atlético Madrid,"Spanish La Liga, UEFA Champions League",CB,Defender,28,3374,1,53,65,77,70,47,60
Mario Lemina,GAB,Wolves,English Premier League,CM,Midfielder,30,2968,1,63,46,36,37,70,52
Mario Martín,ESP,Real Madrid,Spanish La Liga,AM,Forward,20,18,1,30,12,51,54,68,35
Mario Pašalić,CRO,Atalanta,"Italian Serie A, UEFA Europa League",CM,Midfielder,29,2496,1,56,70,67,58,43,56
Mario Tičinović,CRO,Zrinjski Mostar,UEFA Europa Conference League,LB,Defender,32,210,1,43,64,27,48,30,37
Mario Čuže,CRO,Zrinjski Mostar,UEFA Europa Conference League,LW,Forward,24,430,1,25,28,30,15,77,28
Marius Bülter,GER,Hoffenheim,German Bundesliga,WB,Forward,31,1351,1,38,68,70,69,74,60
Marius Lode,NOR,Bodø/Glimt,UEFA Europa Conference League,CB,Defender,30,90,1,37,33,63,77,59,59
Marius Wolf,GER,Dortmund,"German Bundesliga, UEFA Champions League",RB,Defender,28,1451,1,35,83,70,81,50,60
Mariusz Stępiński,POL,Aris Limassol FC,UEFA Europa League,AM,Forward,28,67,1,37,42,59,53,53,46
Mark McKenzie,USA,Genk,UEFA Europa Conference League,CB,Defender,24,360,1,92,30,66,61,35,54
Mark O'Mahony,IRL,Brighton,English Premier League,AM,Forward,19,63,1,18,14,23,21,45,20
Mark Uth,GER,Köln,German Bundesliga,AM,Forward,32,373,1,33,73,71,69,69,60
Marko Arnautović,AUT,Inter,"Italian Serie A, UEFA Champions League",AM,Forward,35,993,1,59,54,47,35,44,50
Marko Brest,SVN,Olimpija,UEFA Europa Conference League,LM,Forward,21,238,1,15,22,34,29,49,25
Marko Bulat,CRO,Dinamo Zagreb,UEFA Europa Conference League,DM,Midfielder,22,426,1,82,48,46,35,36,46
Marko Docić,SRB,Čukarički,UEFA Europa Conference League,CM,Midfielder,30,198,1,35,36,57,18,22,32
Marko Grujić,SRB,Porto,UEFA Champions League,CM,Midfielder,27,50,1,35,11,46,20,66,41
Marko Janković,MNE,Qarabağ,UEFA Europa League,DM,Midfielder,28,901,1,52,52,70,60,59,60
Marko Mijailović,SRB,Olimpija,UEFA Europa Conference League,CB,Defender,26,64,1,37,16,33,39,40,36
Marko Milovanović,SRB,Almería,Spanish La Liga,AM,Forward,20,308,1,32,23,28,13,56,27
Marko Mladenović,SRB,Eint Frankfurt,German Bundesliga,DM,Midfielder,19,6,1,35,11,19,16,22,20
Marko Rakonjac,MNE,TSC,UEFA Europa League,AM,Forward,23,225,1,25,26,35,12,37,25
Marko Stamenic,NZL,Red Star,UEFA Champions League,CM,Midfielder,21,296,1,83,31,25,6,44,36
Marko Tolić,CRO,Slovan Bratislava,UEFA Europa Conference League,LW,Forward,27,154,1,41,65,80,76,52,62
Marko Vešović,MNE,Qarabağ,UEFA Europa League,RB,Defender,32,510,1,39,78,31,48,66,53
Markus Andreas Kaasa,NOR,Molde,"UEFA Europa Conference League, UEFA Europa League",CM,Midfielder,26,699,1,68,61,33,53,41,48
Markus Solbakken,NOR,Sparta Prague,UEFA Europa League,CM,Midfielder,23,181,1,35,19,30,8,39,28
Marley Aké,FRA,Udinese,Italian Serie A,AM,Forward,22,10,1,30,12,14,3,9,16
Marnon Busch,GER,Heidenheim,German Bundesliga,RB,Defender,29,595,1,56,69,69,72,61,65
Marquinhos,BRA,Nantes,French Ligue 1,AM,Forward,20,154,1,33,70,63,63,83,57
Marquinhos,BRA,Ferencváros,UEFA Europa Conference League,LM,Forward,24,690,1,28,29,54,59,52,40
Marquinhos,BRA,Paris S-G,"French Ligue 1, UEFA Champions League",CB,Defender,30,2437,1,25,51,81,76,47,57
Marsel Ismajlgeci,ALB,KF Ballkani Therandë,UEFA Europa Conference League,AM,Forward,23,125,1,30,15,47,28,47,29
Marshall Munetsi,ZIM,Reims,French Ligue 1,RM,Midfielder,27,2173,1,55,42,25,19,58,41
Marten de Roon,NED,Atalanta,"Italian Serie A, UEFA Europa League",CM,Midfielder,33,3560,1,33,38,64,47,66,54
Martim Marques,POR,Lugano,UEFA Europa Conference League,LB,Defender,19,76,1,43,41,37,43,58,48
Martin Baturina,CRO,Dinamo Zagreb,UEFA Europa Conference League,AM,Forward,21,836,1,27,69,80,86,56,61
Martin Bjørnbak,NOR,Molde,UEFA Europa League,CB,Defender,31,225,1,89,19,28,13,50,41
Martin Bukata,SVK,Spartak Trnava,UEFA Europa Conference League,RM,Midfielder,30,207,1,44,46,37,13,48,38
Martin Ellingsen,NOR,Molde,UEFA Europa League,CB,Defender,28,517,1,50,69,68,65,73,67
Martin Erlic,CRO,Sassuolo,Italian Serie A,CB,Defender,26,2618,1,56,28,33,23,39,36
Martin Frese,DEN,Nordsjælland,UEFA Europa Conference League,LB,Defender,25,540,1,27,65,57,74,38,49
Martin Hongla,CMR,"Granada, Hellas Verona","Italian Serie A, Spanish La Liga",CM,Midfielder,26,1646,1,34,21,45,23,45,36
Martin Linnes,NOR,Molde,"UEFA Europa Conference League, UEFA Europa League",WB,Midfielder,32,381,1,29,49,41,24,40,37
Martin Mikovič,SVK,Spartak Trnava,UEFA Europa Conference League,LM,Midfielder,33,245,1,43,25,22,26,44,33
Martin Mirchevski,MKD,TSC,UEFA Europa League,AM,Forward,26,4,1,30,12,25,23,9,21
Martin Satriano,URU,Brest,French Ligue 1,AM,Forward,23,1864,1,49,56,40,36,61,48
Martin Terrier,FRA,Rennes,"French Ligue 1, UEFA Europa League",AM,Forward,27,1934,1,68,62,61,56,59,62
Martin Valjent,SVK,Mallorca,Spanish La Liga,CB,Defender,28,2349,1,42,51,36,32,39,38
Martin Vitík,CZE,Sparta Prague,UEFA Europa League,CB,Defender,21,810,1,69,45,23,23,32,34
Martin Ødegaard,NOR,Arsenal,"English Premier League, UEFA Champions League",RM,Midfielder,25,3841,1,85,93,79,82,21,63
Martin Šulek,SVK,Spartak Trnava,UEFA Europa Conference League,CB,Defender,25,321,1,38,51,28,38,23,31
Martín Payero,ARG,Udinese,Italian Serie A,CM,Midfielder,25,1796,1,78,58,36,43,61,54
Martín Zubimendi,ESP,Real Sociedad,"Spanish La Liga, UEFA Champions League",CM,Midfielder,25,3366,1,68,44,60,48,55,55
Marvelous Nakamba,ZIM,Luton Town,English Premier League,CM,Midfielder,29,1130,1,31,19,32,14,70,39
Marvin,ESP,Las Palmas,Spanish La Liga,RW,Forward,23,1855,1,27,36,42,65,77,42
Marvin Cuni,ALB,Frosinone,Italian Serie A,AM,Forward,22,534,1,35,33,34,27,51,34
Marvin Ducksch,GER,Werder Bremen,German Bundesliga,AM,Forward,30,2696,1,60,64,58,31,31,54
Marvin Friedrich,GER,Gladbach,German Bundesliga,CB,Defender,28,1566,1,38,32,38,38,45,40
Marvin Mehlem,GER,Darmstadt 98,German Bundesliga,CM,Midfielder,26,1482,1,60,67,40,39,55,51
Marvin Pieringer,GER,Heidenheim,German Bundesliga,AM,Forward,24,1513,1,53,44,48,34,73,47
Marvin Senaya,TOG,Strasbourg,French Ligue 1,RB,Defender,23,2138,1,66,77,52,67,71,66
Maryan Shved,UKR,Shakhtar,"UEFA Champions League, UEFA Europa League",AM,Midfielder,26,14,1,35,50,38,45,17,34
Masaya Okugawa,JPN,Augsburg,German Bundesliga,LW,Defender,27,32,1,37,31,21,34,20,26
Mason Burstow,ENG,Chelsea,English Premier League,AM,Forward,20,9,1,30,26,30,44,9,30
Mason Greenwood,ENG,Getafe,Spanish La Liga,RM,Midfielder,22,2662,1,70,85,39,67,14,47
Mason Holgate,JAM,Sheffield Utd,English Premier League,CB,Defender,27,710,1,20,30,25,14,48,32
Mason Mount,ENG,Manchester Utd,"English Premier League, UEFA Champions League",DM,Forward,25,607,1,46,43,64,54,84,52
Massadio Haïdara,MLI,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",WB,Midfielder,31,987,1,25,32,46,67,48,46
Matej Maglica,CRO,Darmstadt 98,German Bundesliga,CB,Defender,25,1698,1,71,47,53,44,62,57
Matej Senić,CRO,Zrinjski Mostar,UEFA Europa Conference League,CB,Defender,28,218,1,37,24,20,13,32,26
Mateja Đorđević,SRB,TSC,UEFA Europa League,CB,Defender,20,158,1,37,22,14,6,31,23
Mateo Kovačić,CRO,Manchester City,"English Premier League, UEFA Champions League",DM,Midfielder,30,1984,1,49,63,76,89,38,61
Mateo Retegui,ITA,Genoa,Italian Serie A,AM,Forward,25,2216,1,68,28,22,15,38,37
Mateu Morey,ESP,Dortmund,German Bundesliga,LB,Defender,24,110,1,64,59,68,82,64,68
