Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Christian Zawieschitzky,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,18,90,2.0,0.0,2.0,0.2,0.2,1.0,3.0,11.0,32.0,2.0,979.2,3.0,41.1,19.0,0.0,0.0,0.0,1,100.0,27.27,0.0,10.0
Daniel Batz,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,34,90,4.0,1.0,4.0,1.4,0.4,0.0,4.0,9.0,39.0,5.0,1072.5,2.0,50.0,13.0,2.0,1.0,13.8,1,100.0,44.44,15.38,35.0
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,33,1170,4.85,1.54,3.23,1.54,0.0,0.23,5.08,14.92,47.15,2.62,1383.58,5.15,206.61,13.92,0.62,1.0,16.36,1,66.6,34.05,4.45,21.15
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,1800,2.15,0.5,1.65,0.46,-0.04,0.6,5.05,15.7,32.9,4.55,1162.45,3.75,191.24,9.4,0.9,1.65,38.65,1,76.74,32.17,9.57,16.42
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,1350,4.27,1.13,3.27,1.09,-0.04,0.27,9.33,24.93,22.67,1.0,1168.78,6.6,403.92,11.07,0.27,1.27,28.53,1,76.58,37.42,2.44,19.55
David de Gea,ESP,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,35,1530,4.82,1.47,3.29,1.46,-0.01,0.24,4.71,14.12,29.41,3.71,1022.56,4.59,203.53,13.24,0.29,0.94,17.99,1,68.26,33.36,2.19,20.68
Dean Henderson,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,28,1710,3.21,0.84,2.37,1.06,0.22,0.42,4.84,17.32,26.32,3.95,1037.21,7.0,353.25,14.21,0.58,0.47,9.87,1,73.83,27.94,4.08,24.38
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,1170,5.15,2.15,3.0,2.08,-0.08,0.0,9.23,23.62,47.77,4.85,1851.2,7.31,372.14,15.69,1.54,1.46,21.44,1,58.25,39.08,9.82,23.53
Dimitar Mitov,BUL,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,28,360,4.5,2.5,2.0,1.85,-0.65,0.25,4.0,15.75,24.75,3.75,924.5,5.25,299.15,14.5,0.5,0.75,11.2,1,44.44,25.4,3.45,18.27
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,26,450,2.2,0.8,1.4,0.54,-0.26,0.4,4.0,9.4,35.8,5.8,966.86,4.4,148.7,9.8,0.4,2.0,35.18,1,63.64,42.55,4.08,15.62
