Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Musa Al-Taamari,JOR,Rennes,French Ligue 1,AM,Forward,28,482,0.19,0.37,3.17,1.12,0.26,0.26,0.0,0.0,4.29,0.56,2.24,0.56,1.49,0.75,4.29,0.3,0.34,22.78,31.18,1.68,0.19,0.37,1.12,0.56,26.89,3.73,0.0,14.38,16.06,6.54,9.52,1.12,2.24,328.82,72.45,25.95,4.85,208.57,113.15,2.8,2.43,4.29,1.12,3.17,1.12,0.93,0.56,0.37,0.19,0.56,0.56,0.0,0.93,1.12,0.0,0.37,0.0,4.29,2.05,1.49,3.55,28.2,9.15,44.81,0.56,4.67,13.44,27.07,5.41,44.81,0.37,0.0,0.0,1.12,1.31,0.75,0.0,0.0,0.0,0.37,0.37,0.75,15.68,4.85,10.08,1.49,-0.07,1,0.19,49.33,0.0,89.54,68.7,50.0,88.69,26.11
Musa Qurbanlı,AZE,Qarabağ,UEFA Champions League,AM,Forward,23,2,0.0,0.0,45.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,135.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,90.0,135.0,0.0,0.0,1710.0,270.0,45.0,45.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0,0.0,225.0,0.0,0.0,135.0,90.0,45.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,-36.0,1,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0
Mykola Kukharevych,UKR,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,24,27,0.0,0.0,6.67,0.0,0.33,0.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,26.67,0.0,0.0,0.0,3.33,0.0,26.67,0.0,0.0,6.67,10.0,6.67,13.33,0.0,0.0,166.67,26.67,26.67,6.67,126.67,93.33,3.33,3.33,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,10.0,36.67,0.0,0.0,20.0,16.67,10.0,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,6.67,10.0,16.67,3.33,13.33,0.0,-0.33,1,0.0,33.3,0.0,66.7,50.04,0.0,0.0,100.0
Mykola Matviyenko,UKR,Shakhtar,UEFA Europa Conference League,CB,Defender,29,180,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,11.0,0.5,0.0,1.0,0.05,0.0,94.0,104.5,10.5,0.0,0.5,0.5,0.0,100.0,4.5,3.5,33.0,34.0,55.0,59.5,5.0,9.0,1710.0,530.0,82.0,3.0,628.5,453.0,5.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.5,0.0,5.5,0.5,0.0,0.5,91.5,0.5,114.5,6.0,32.0,75.0,8.0,0.5,114.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,14.0,2.5,1.0,0.5,0.0,1,0.0,33.33,0.0,97.06,92.44,55.56,100.0,0.0
Mykola Mykhailenko,UKR,Dynamo Kyiv,UEFA Europa Conference League,DM,Midfielder,24,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,4.8,0.0,0.0,0.0,0.0,0.0,39.6,45.6,6.0,0.0,0.0,0.0,0.0,45.6,0.0,0.0,15.6,16.8,21.6,21.6,2.4,7.2,741.6,144.0,39.6,1.2,229.2,130.8,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,1.2,0.0,4.8,0.0,0.0,0.0,38.4,0.0,52.8,2.4,12.0,36.0,4.8,0.0,52.8,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,7.2,1.2,0.0,1.2,0.0,1,0.0,100.0,0.0,92.86,100.0,33.33,50.0,0.0
Mykola Shaparenko,UKR,Dynamo Kyiv,UEFA Europa Conference League,AM,Forward,26,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,1.12,2.25,0.0,0.0,1.12,0.0,0.0,46.12,48.38,4.5,1.12,0.0,0.0,0.0,43.88,4.5,0.0,15.75,15.75,25.88,25.88,3.38,5.62,865.12,135.0,36.0,2.25,189.0,81.0,2.25,0.0,4.5,1.12,3.38,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.12,0.0,2.25,0.0,4.5,0.0,6.75,1.12,2.25,3.38,39.38,4.5,61.88,2.25,12.38,31.5,18.0,0.0,61.88,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,11.25,2.25,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0,100.0,60.14,0.0,24.89
Myles Lewis-Skelly,ENG,Arsenal,"English Premier League, UEFA Champions League",LB,Defender,19,271,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,1.33,0.66,0.66,2.66,1.0,0.33,1.0,0.07,0.07,43.51,51.48,3.65,0.0,0.0,0.66,0.0,40.85,10.63,1.0,20.92,22.25,19.93,24.24,1.66,2.66,697.08,180.0,21.92,1.33,131.85,92.32,1.33,0.0,1.66,1.33,0.33,1.33,1.0,0.66,0.33,0.33,0.66,0.66,0.0,0.66,1.66,0.0,3.32,0.0,4.65,0.66,0.33,1.0,32.88,2.99,59.45,3.65,17.93,30.22,12.29,1.33,59.45,0.33,0.0,0.0,2.99,2.99,0.0,0.0,0.0,0.0,1.0,1.0,1.99,7.97,1.99,2.66,1.66,0.0,1,0.0,50.25,0.0,94.02,82.22,62.41,83.42,80.12
Myron Boadu,NED,PSV Eindhoven,UEFA Champions League,AM,Forward,24,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Máximo Perrone,ARG,Como,Italian Serie A,DM,Midfielder,22,688,0.13,0.13,0.39,0.13,0.04,0.04,0.0,0.0,2.62,0.26,0.65,3.27,0.13,0.0,0.0,0.0,0.01,57.03,62.53,3.66,0.0,0.65,0.39,0.0,60.96,1.57,1.57,26.95,29.04,26.03,27.34,2.62,3.66,940.68,251.95,35.71,0.39,130.16,51.15,0.0,0.0,0.39,0.13,0.26,2.22,1.7,0.78,1.18,0.26,0.78,2.09,1.31,0.78,1.31,0.13,0.92,0.0,3.92,1.18,0.13,1.31,52.85,0.65,70.51,3.01,18.31,43.82,8.76,0.78,70.51,0.39,0.0,0.0,1.96,0.52,0.0,0.0,0.0,0.0,0.52,0.26,0.78,4.71,2.88,0.92,2.49,0.09,1,0.13,66.67,0.0,92.8,95.21,71.58,57.54,33.33
Mërgim Vojvoda,KVX,Como,Italian Serie A,RW,Forward,30,496,0.18,0.0,1.63,0.91,0.13,0.13,0.0,0.0,2.9,0.0,1.27,2.36,0.91,0.18,2.9,0.05,0.13,34.48,43.91,3.81,0.0,0.18,1.27,0.0,39.74,4.17,0.18,17.06,19.42,14.88,17.42,1.81,3.99,574.11,183.08,31.03,2.18,133.19,56.98,1.45,0.91,0.91,0.36,0.36,0.36,0.36,0.18,0.18,0.0,0.18,0.91,0.73,0.73,0.91,0.18,1.81,0.0,3.99,1.27,0.36,1.63,37.38,5.08,52.26,2.18,11.61,25.04,15.79,2.9,52.26,0.18,0.0,0.0,1.45,0.54,0.36,0.0,0.0,0.0,0.36,0.73,1.09,11.07,2.9,4.9,0.54,0.05,1,0.18,33.03,0.0,87.85,85.42,45.36,42.52,39.56
