Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Nikita Haikin,RUS,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,30,270,96,13,98,96,97,17,22,42,56,53,50,11,22,95,88,6,6,1,78,11,65,96
Niklas Hedl,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,24,180,92,4,58,95,13,17,53,42,3,15,6,76,84,21,36,80,81,1,6,67,45,24
Nikola Vasilj,BIH,St. Pauli,German Bundesliga,GK,Goalkeeper,29,810,83,19,77,83,69,38,12,16,85,47,51,1,2,6,58,64,57,1,35,26,92,69
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,23,1080,37,60,42,44,51,64,93,94,91,19,94,63,78,53,36,60,66,1,44,57,37,57
Nordin Jackers,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,28,252,88,11,75,67,7,17,89,91,94,86,97,3,9,74,81,53,49,1,26,45,67,16
Obed Nkambadio,FRA,Paris FC,French Ligue 1,GK,Goalkeeper,22,810,47,19,21,63,19,38,28,29,79,66,58,68,35,48,21,55,53,1,9,28,20,31
Odysseas Vlachodimos,GRE,Sevilla,Spanish La Liga,GK,Goalkeeper,31,630,81,30,81,77,73,40,67,54,49,88,53,59,56,56,27,32,26,1,59,73,26,82
Okan Kocuk,TUR,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,30,180,2,97,5,5,87,97,62,61,28,89,20,86,89,93,90,6,6,1,97,52,75,98
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,35,810,54,33,51,53,31,38,62,56,75,28,77,25,26,72,47,96,95,1,38,59,41,41
Oliver Christensen,DEN,Sturm Graz,UEFA Europa League,GK,Goalkeeper,26,180,94,42,99,70,71,17,36,42,18,53,30,16,27,85,8,47,42,1,93,26,8,40
Pablo Cuñat,ESP,Levante,Spanish La Liga,GK,Goalkeeper,23,180,92,11,93,90,38,17,69,81,15,96,37,99,97,98,74,22,16,1,68,30,40,80
Pape Mamadou Sy,SEN,Metz,French Ligue 1,GK,Goalkeeper,28,76,97,1,90,97,2,17,88,93,26,13,53,93,95,32,84,58,56,1,16,39,87,26
Patrik Carlgren,SWE,Nantes,French Ligue 1,GK,Goalkeeper,33,2,100,0,1,100,0,17,1,100,95,0,100,100,100,0,8,6,6,1,1,0,0,1
Pau López,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,30,720,38,64,47,32,54,52,36,22,24,53,18,69,67,57,36,34,45,1,54,63,35,39
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,33,852,81,23,78,83,75,38,19,49,52,63,45,46,60,86,26,62,63,1,48,8,19,86
Pavlo Isenko,UKR,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,22,180,92,42,97,47,34,17,36,16,20,15,14,92,42,88,8,47,56,1,83,86,8,8
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,27,90,2,72,1,6,15,17,22,2,93,7,66,2,1,4,8,47,36,1,1,100,8,1
Philipp Köhn,SUI,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,27,1002,46,30,43,61,37,55,18,8,12,61,6,46,23,34,68,76,74,1,31,85,78,73
Pietro Terracciano,ITA,Milan,Italian Serie A,GK,Goalkeeper,35,125,14,97,53,1,69,100,65,9,10,40,9,33,34,58,54,6,6,1,97,99,50,2
Péter Gulácsi,HUN,RB Leipzig,German Bundesliga,GK,Goalkeeper,35,810,28,64,37,34,59,76,31,28,70,59,51,63,56,77,74,67,63,1,54,38,63,65
Radosław Majecki,POL,Brest,French Ligue 1,GK,Goalkeeper,25,774,40,51,45,29,17,70,89,70,40,60,55,65,73,73,67,25,24,1,45,89,60,23
Razvan Sava,ROU,Udinese,Italian Serie A,GK,Goalkeeper,23,540,30,42,21,35,23,42,12,16,18,33,11,47,38,31,17,47,58,1,23,26,16,33
Remko Pasveer,NED,Ajax,UEFA Champions League,GK,Goalkeeper,41,90,98,1,93,97,1,17,77,99,97,99,99,76,85,85,74,6,6,1,13,7,59,20
Robert Sánchez,ESP,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,27,994,20,65,25,29,48,77,46,64,90,72,88,21,40,27,94,27,25,1,54,14,97,75
Robin Olsen,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,35,180,92,11,88,84,23,17,53,31,9,23,24,63,43,50,8,6,6,1,43,80,8,41
Robin Risser,FRA,Lens,French Ligue 1,GK,Goalkeeper,20,990,31,79,48,29,70,55,40,25,25,35,22,52,50,60,55,28,36,1,76,66,51,68
Robin Roefs,NED,Sunderland,English Premier League,GK,Goalkeeper,22,810,52,84,72,32,83,76,62,81,63,29,84,63,83,90,94,59,61,1,84,14,87,50
Robin Zentner,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,31,786,28,66,41,21,43,50,79,85,52,10,86,72,75,29,66,62,59,1,60,34,76,34
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,32,270,52,19,37,59,15,64,17,6,91,42,31,1,2,40,47,16,14,1,20,91,53,30
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,21,180,79,19,73,86,71,83,84,68,6,7,17,63,87,75,36,22,22,1,40,79,28,87
Rui Silva,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,31,180,18,42,11,18,11,17,9,10,45,69,15,11,5,8,74,68,65,1,13,37,95,11
Ruslan Neshcheret,UKR,Dynamo Kyiv,UEFA Europa Conference League,GK,Goalkeeper,23,180,86,11,73,74,10,17,53,31,71,53,57,54,60,21,36,47,38,1,25,80,45,23
Rémy Descamps,FRA,Lyon,French Ligue 1,GK,Goalkeeper,29,360,18,85,44,44,91,93,3,12,39,43,19,15,15,69,36,34,32,1,90,4,31,97
Sam Johnstone,ENG,Wolves,English Premier League,GK,Goalkeeper,32,540,58,26,65,57,21,17,95,95,79,91,91,85,82,92,47,75,71,1,55,55,34,59
Senne Lammens,BEL,Manchester Utd,English Premier League,GK,Goalkeeper,23,360,49,60,58,66,86,52,94,99,80,7,96,94,98,94,86,34,34,1,63,12,64,89
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,32,900,69,62,80,63,86,45,84,58,23,78,21,90,83,65,42,86,90,1,80,90,39,83
Sergio Padt,NED,Ludogorets,UEFA Europa League,GK,Goalkeeper,35,180,30,42,44,15,10,17,36,42,76,23,71,6,4,55,90,68,60,1,68,26,90,18
Sherhan Kalmurza,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,18,180,98,2,93,99,13,17,53,56,8,78,13,96,94,36,74,47,40,1,13,42,80,42
Simon Mignolet,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,37,18,69,97,1,98,54,17,100,97,0,78,0,0,0,17,8,6,6,1,1,97,8,1
Stefan Târnovanu,ROU,FCSB,UEFA Europa League,GK,Goalkeeper,25,270,95,55,98,70,85,64,90,78,22,85,33,89,93,90,47,16,15,1,88,84,35,27
Stefano Turati,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,23,90,43,19,21,41,8,17,1,68,16,53,37,11,41,10,74,47,27,1,13,0,90,11
Sławomir Abramowicz,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,21,90,18,97,58,18,97,97,9,2,2,78,2,11,12,17,8,6,6,1,97,98,8,95
Temirlan Anarbekov,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,22,90,69,97,93,88,100,97,22,5,0,7,1,25,10,4,8,6,6,1,97,99,8,99
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,33,1260,18,83,31,9,34,83,25,23,34,75,28,30,36,18,43,71,75,1,75,40,62,7
Thomas Strakosha,ALB,AEK Athens,UEFA Europa Conference League,GK,Goalkeeper,30,180,79,42,84,86,95,83,36,10,18,69,13,25,10,28,97,22,20,1,72,96,98,94
Théo De Percin,MTQ,Auxerre,French Ligue 1,GK,Goalkeeper,24,226,54,36,51,32,16,17,83,89,46,14,84,41,64,81,85,70,68,1,41,36,70,18
Timon Wellenreuther,GER,Feyenoord,UEFA Europa League,GK,Goalkeeper,29,270,25,55,21,27,26,17,62,33,65,94,67,4,6,12,74,80,83,1,30,87,89,29
Timothy Fayulu,NAN,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,26,180,3,92,5,6,48,83,9,10,62,7,40,25,20,2,8,22,20,1,51,37,8,44
Unai Simón,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,28,1260,43,49,48,46,36,40,48,59,43,65,48,31,52,27,67,89,93,1,48,33,79,52
Uğurcan Çakır,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,29,270,25,19,21,37,7,64,92,88,66,17,90,25,47,40,47,64,64,1,30,71,53,56
Vanja Milinković-Savić,SRB,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,810,34,48,27,58,60,48,81,72,60,33,74,81,81,43,83,55,54,1,24,70,83,77
Vasilios Barkas,GRE,Utrecht,UEFA Europa League,GK,Goalkeeper,31,270,58,55,68,44,43,17,81,65,48,11,59,76,62,25,21,72,66,1,67,78,24,33
Vitezslav Jaros,CZE,Ajax,UEFA Champions League,GK,Goalkeeper,24,180,69,6,21,78,4,17,22,27,93,53,86,6,6,3,36,22,33,1,5,23,88,14
Wessel Speel,NED,Shelbourne FC,UEFA Europa Conference League,GK,Goalkeeper,24,270,4,88,13,3,20,64,81,82,5,3,19,97,97,19,21,6,6,1,97,44,27,17
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,30,900,48,51,52,54,59,74,70,84,31,23,74,25,46,59,42,63,60,1,51,22,41,70
Wojciech Szczęsny,POL,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,35,630,60,30,52,77,73,17,6,13,59,82,21,59,25,14,18,96,96,1,32,12,24,85
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,36,990,23,72,28,21,46,89,29,18,68,43,40,35,16,15,30,40,63,1,57,79,43,47
Yehvann Diouf,SEN,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,1260,76,36,80,57,43,40,47,32,57,84,39,31,30,91,87,38,46,1,65,66,68,38
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,31,720,49,14,32,61,12,17,32,22,65,29,42,8,16,61,83,34,31,1,18,61,76,37
Zion Suzuki,JPN,Parma,Italian Serie A,GK,Goalkeeper,23,900,56,62,66,37,50,58,98,95,67,53,91,90,95,71,82,74,84,1,66,74,69,29
Zlatan Alomerović,GER,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,34,180,3,97,11,3,77,97,44,46,15,53,23,70,73,75,90,47,45,1,97,42,86,19
Álex Remiro,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,30,990,29,47,26,35,25,35,77,46,52,35,39,66,62,22,30,76,79,1,31,92,40,47
Álvaro Vallés,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,540,12,81,21,7,24,83,9,15,54,45,27,61,45,61,21,57,41,1,77,15,19,8
Ørjan Nyland,NOR,Sevilla,Spanish La Liga,GK,Goalkeeper,35,360,43,29,32,63,35,52,29,42,42,30,47,25,50,45,8,60,62,1,21,16,8,63
Đorđe Petrović,SRB,Bournemouth,English Premier League,GK,Goalkeeper,26,900,56,51,64,52,52,74,30,34,27,87,17,78,76,38,93,88,78,1,59,25,95,58
Łukasz Skorupski,POL,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,34,1080,27,79,42,24,61,52,39,34,90,45,81,39,38,14,40,30,28,1,65,42,59,44
Žan Leban,SVN,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,23,180,43,92,73,22,90,83,14,15,39,53,16,54,41,70,36,68,67,1,93,47,30,52
