Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,270,75,88,89,24,80,92,50,64,73,99,77,76,78,90,88,80,73,1,94,22,72,16
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,540,62,81,84,32,79,83,66,86,84,83,89,68,70,81,90,22,24,1,88,14,85,38
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,810,15,72,16,11,26,48,48,40,84,63,69,19,31,46,58,59,61,1,46,58,61,15
Etrit Berisha,ALB,Häcken,UEFA Europa Conference League,GK,Goalkeeper,36,180,11,72,11,29,61,83,53,48,58,78,41,25,54,25,74,80,85,1,29,53,84,86
Fabiano,CYP,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,37,90,6,72,5,4,10,17,1,0,1,53,1,25,7,61,8,6,6,1,13,0,8,3
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,180,43,72,58,18,43,17,14,20,28,95,15,84,53,88,97,6,6,1,78,20,91,20
Federico Ravaglia,ITA,Bologna,Italian Serie A,GK,Goalkeeper,25,90,18,97,58,2,71,97,87,78,97,78,98,25,37,25,8,99,99,1,97,72,8,3
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,173,8,37,3,41,22,17,5,6,12,4,3,18,18,34,8,85,79,1,2,17,8,7
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,27,810,69,13,45,81,28,17,74,79,79,20,87,72,74,31,58,90,86,1,17,43,65,53
Francis Uzoho,NGA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,26,90,6,72,5,18,43,17,22,31,27,96,25,44,51,78,74,47,37,1,13,17,63,67
Franco Israel,URU,Torino,Italian Serie A,GK,Goalkeeper,25,630,60,25,52,51,16,75,86,83,63,39,87,41,57,54,54,32,41,1,32,52,51,23
Frederik Rønnow,DEN,Union Berlin,German Bundesliga,GK,Goalkeeper,33,810,75,33,77,76,73,48,80,88,29,44,50,80,88,81,92,30,28,1,58,33,89,83
Gerónimo Rulli,ARG,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,33,1080,63,65,84,47,73,64,50,35,70,72,52,34,32,31,99,94,94,1,86,69,98,58
Gianluigi Donnarumma,ITA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,900,9,89,15,10,62,83,9,10,21,37,7,6,11,29,60,13,13,1,76,37,66,60
Giorgi Mamardashvili,GEO,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,485,46,46,47,22,14,72,46,36,72,91,57,30,26,19,24,87,91,1,41,57,32,10
Goran Karaćić,BIH,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,29,180,2,92,2,8,61,83,77,68,37,89,33,88,91,78,36,6,6,1,13,67,26,90
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,27,1080,22,65,27,28,49,83,26,24,47,59,34,32,19,33,21,36,39,1,57,38,22,66
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,212,88,10,81,91,54,17,95,90,40,82,79,80,89,92,86,18,16,1,28,73,67,82
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,1170,47,84,70,39,89,78,44,37,86,67,73,49,32,37,31,80,81,1,86,51,37,77
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,990,29,52,26,48,48,71,56,44,17,18,22,18,24,42,65,40,37,1,31,69,70,76
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,90,86,6,58,95,65,17,92,96,89,23,93,92,81,78,97,6,6,1,13,47,93,88
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,270,18,93,37,13,89,92,50,25,50,11,36,15,13,40,21,16,17,1,81,85,21,42
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,37,180,86,72,93,55,90,17,36,63,42,78,66,84,64,55,74,47,57,1,90,9,72,46
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,990,77,52,81,72,87,43,42,45,36,88,36,66,47,76,95,28,23,1,70,40,91,76
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1260,53,59,63,42,46,17,15,18,11,86,9,73,53,48,54,32,35,1,62,34,54,39
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,270,18,72,21,10,24,17,62,50,95,33,82,44,45,61,47,80,78,1,51,68,46,9
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,810,69,84,88,52,93,90,41,52,54,53,63,48,44,64,74,19,23,1,90,24,68,78
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,540,43,55,49,57,68,64,36,68,100,63,97,34,21,70,47,93,90,1,53,6,42,84
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,270,81,19,68,75,41,17,90,64,50,78,56,40,48,10,47,93,92,1,26,94,73,38
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,90,69,97,93,86,99,97,99,98,20,7,68,92,96,8,74,80,71,1,97,90,93,99
James Trafford,ENG,Manchester City,English Premier League,GK,Goalkeeper,22,270,69,55,77,79,94,64,31,42,72,42,49,44,50,9,47,98,98,1,74,19,74,94
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,21,180,69,42,73,72,77,17,77,78,53,23,72,88,86,50,8,22,25,1,61,47,8,84
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,1260,26,59,25,35,40,57,72,48,29,37,26,73,72,44,36,38,48,1,33,86,38,55
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,26,270,94,72,98,75,96,17,12,42,47,53,35,76,85,96,47,16,19,1,92,5,28,61
Jaylan Hankins,GIB,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,24,90,69,72,84,53,87,17,96,98,56,78,92,92,91,95,8,6,6,1,85,53,8,64
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,900,30,89,54,13,70,74,77,44,86,60,72,11,17,15,64,89,90,1,89,93,85,31
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,180,6,72,5,15,34,83,1,0,2,0,0,2,1,4,8,47,50,1,13,0,8,44
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,180,92,11,84,93,84,17,84,61,64,53,59,70,67,25,8,22,22,1,23,88,8,76
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,180,86,42,88,84,94,83,22,20,50,15,54,44,39,13,36,95,93,1,78,47,50,89
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,630,27,86,50,34,88,75,6,4,44,98,16,5,5,14,63,97,97,1,84,95,84,88
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,180,30,92,58,12,77,83,92,68,98,53,93,76,58,93,90,22,21,1,91,93,75,27
Jonas Urbig,GER,Bayern Munich,German Bundesliga,GK,Goalkeeper,22,90,0,97,1,0,54,97,2,1,35,53,5,0,0,1,74,99,100,1,0,93,100,0
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,23,914,82,14,76,86,60,58,39,21,87,63,43,34,33,63,31,42,49,1,42,77,32,85
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,810,39,55,43,53,62,48,94,92,77,33,92,48,66,36,28,90,89,1,38,64,35,67
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,11,92,21,11,71,83,22,27,53,37,24,37,46,21,8,80,85,1,85,23,8,64
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,360,43,8,8,74,6,17,77,63,35,37,46,60,69,28,74,47,43,1,3,76,83,5
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,43,72,58,15,34,17,2,8,13,96,10,44,36,7,74,47,44,1,78,3,96,11
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,24,990,74,27,69,61,31,55,47,47,34,65,27,68,69,60,84,85,84,1,42,41,82,32
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,22,180,6,72,5,9,20,17,53,52,33,4,38,37,42,6,8,68,74,1,13,47,8,11
Kacper Trelowski,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,22,180,0,92,1,0,18,83,62,27,39,7,18,54,63,10,36,80,82,1,1,92,55,1
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,26,810,69,28,64,77,68,38,40,56,80,94,72,57,71,97,58,35,30,1,34,16,34,80
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,35,450,43,35,47,26,12,17,77,86,81,87,90,47,68,82,74,36,29,1,46,30,61,19
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,180,94,19,97,90,84,83,90,78,99,89,95,44,66,61,74,95,92,1,73,82,69,73
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,6,97,21,4,80,97,22,25,62,7,38,4,8,50,74,95,94,1,97,32,74,11
Karlo Letica,CRO,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,28,180,3,97,11,15,96,97,53,52,8,69,14,94,82,78,36,6,6,1,97,47,26,100
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,38,270,34,55,37,24,21,17,12,11,82,23,32,72,52,36,21,80,82,1,39,55,22,19
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,450,90,4,58,94,9,17,13,56,85,74,83,35,29,20,42,47,72,1,7,3,57,41
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,180,3,72,2,25,54,83,14,56,68,37,75,94,76,25,36,80,88,1,4,4,43,63
Kiril Fesiun,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,23,90,18,19,5,70,26,17,9,2,98,23,78,25,4,17,8,47,43,1,4,98,8,34
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,270,75,6,37,89,11,17,22,28,4,23,10,84,79,86,74,30,22,1,6,20,57,36
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,22,180,79,3,11,94,2,17,53,93,18,53,82,54,75,17,97,47,38,1,2,5,99,6
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,84,3,17,87,0,17,43,50,20,84,13,81,84,67,8,6,6,1,4,31,8,5
Lasse Rieß,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,24,202,95,4,86,92,5,77,38,36,30,17,35,60,28,2,8,73,72,1,19,35,8,24
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,900,59,42,64,71,73,36,73,70,38,27,59,61,61,66,52,22,18,1,47,60,47,81
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,900,36,35,27,38,19,45,86,87,13,18,42,82,90,50,52,26,31,1,21,45,52,26
Lucas Bergström,FIN,Mallorca,Spanish La Liga,GK,Goalkeeper,23,90,96,6,93,80,4,17,44,20,5,2,9,11,18,1,8,99,99,1,36,87,8,14
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,23,1260,11,81,12,16,51,83,4,4,23,36,5,8,9,5,16,41,52,1,38,83,18,56
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,27,450,32,27,15,67,37,74,77,90,68,53,88,67,80,44,42,18,21,1,13,20,45,71
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,900,21,86,41,27,82,83,4,7,7,53,4,19,11,24,85,87,80,1,81,7,90,87
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,270,9,97,37,5,85,97,31,50,73,63,83,11,9,54,47,72,70,1,97,10,48,15
Lukáš Hrádecký,FIN,Monaco,French Ligue 1,GK,Goalkeeper,35,258,13,51,9,32,29,17,33,39,63,14,43,38,27,68,52,66,77,1,17,28,46,46
Mads Hermansen,DEN,West Ham,English Premier League,GK,Goalkeeper,25,360,69,8,32,88,18,52,57,78,75,72,81,25,54,90,86,14,13,1,7,13,66,51
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,26,360,49,42,50,44,29,52,99,89,49,2,80,50,71,75,56,60,47,1,44,90,47,32
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,39,990,6,90,9,7,50,89,42,23,87,66,69,20,13,9,18,97,98,1,71,75,25,33
Marco Bizot,NED,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,34,360,79,85,90,48,92,93,62,59,78,53,76,50,57,88,74,95,95,1,92,56,56,51
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,1170,55,72,70,32,66,50,68,53,57,78,45,58,70,37,40,73,73,1,80,75,42,35
Marco Silvestri,ITA,Cremonese,Italian Serie A,GK,Goalkeeper,34,360,79,29,79,74,65,17,62,76,39,59,54,96,92,88,36,34,34,1,56,21,23,73
Mark Flekken,NED,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,32,1080,56,19,46,59,15,42,29,29,50,37,31,50,59,30,26,41,44,1,23,33,33,36
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,990,54,63,67,42,59,71,68,71,25,53,47,55,63,63,61,54,54,1,75,50,57,43
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,900,82,23,87,72,41,45,86,91,21,69,29,98,99,97,64,15,14,1,71,35,38,62
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,27,270,34,88,58,50,95,64,66,73,24,63,44,63,77,78,47,6,6,1,87,39,39,95
Martin Zlomislić,BIH,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,27,90,18,72,21,2,8,17,77,92,95,98,95,44,68,10,97,47,30,1,51,17,99,2
Marvin Keller,SUI,Young Boys,UEFA Europa League,GK,Goalkeeper,23,270,52,19,37,18,2,64,31,33,58,53,45,95,80,40,8,80,81,1,20,27,8,4
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,810,69,55,77,65,79,48,97,94,88,28,90,93,95,95,28,30,31,1,74,77,18,78
Marwin Hitz,SUI,Basel,UEFA Europa League,GK,Goalkeeper,38,180,89,72,93,80,98,83,96,87,80,53,89,37,43,78,100,6,6,1,80,82,97,80
Matej Kovar,CZE,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,25,270,52,19,37,85,70,17,81,80,92,33,94,25,35,40,47,47,45,1,20,52,53,90
Mateusz Kochalski,POL,Qarabağ,UEFA Champions League,GK,Goalkeeper,25,270,43,33,37,41,17,64,81,90,69,33,81,97,98,72,21,72,76,1,24,29,17,22
