Player,Game Week,Team,League,Nationality,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Elia Caprile,J1,Empoli,Italian Serie A,ITA,GK,Goalkeeper,21,90,4.0,1.0,3.0,0.4,-0.6,0,4.0,20.0,37.0,9.0,1576.2,4.0,201.2,10.0,2.0,2.0,24.8
Lorenzo Montipò,J1,Hellas Verona,Italian Serie A,ITA,GK,Goalkeeper,27,90,4.0,0.0,4.0,0.3,0.3,1,9.0,23.0,33.0,4.0,1419.0,8.0,432.0,4.0,0.0,4.0,108.8
Łukasz Skorupski,J1,Bologna,Italian Serie A,POL,GK,Goalkeeper,32,90,5.0,2.0,3.0,1.6,-0.4,0,2.0,4.0,20.0,6.0,502.0,3.0,24.9,9.0,1.0,2.0,31.6
Mike Maignan,J1,Milan,Italian Serie A,FRA,GK,Goalkeeper,28,90,5.0,0.0,5.0,0.3,0.3,1,6.0,21.0,50.0,8.0,1595.0,5.0,312.0,15.0,3.0,1.0,10.2
Ivan Provedel,J10,Lazio,Italian Serie A,ITA,GK,Goalkeeper,29,90,5.0,0.0,5.0,0.5,0.5,1,1.0,8.0,37.0,5.0,1198.8,5.0,132.0,9.0,1.0,1.0,14.0
Pietro Terracciano,J10,Fiorentina,Italian Serie A,ITA,GK,Goalkeeper,33,90,4.0,1.0,3.0,1.8,0.8,0,6.0,13.0,41.0,2.0,1139.8,9.0,394.2,6.0,0.0,0.0,0.0
Mark Flekken,J1,Brentford,English Premier League,NED,GK,Goalkeeper,30,90,6.0,2.0,4.0,1.1,-0.9,0,6.0,13.0,26.0,4.0,819.0,6.0,367.8,20.0,2.0,0.0,0.0
Guglielmo Vicario,J1,Tottenham,English Premier League,ITA,GK,Goalkeeper,26,90,6.0,2.0,4.0,1.7,-0.3,0,2.0,11.0,29.0,4.0,962.8,2.0,29.0,11.0,2.0,7.0,147.7
Robert Sánchez,J1,Chelsea,English Premier League,ESP,GK,Goalkeeper,25,90,1.0,1.0,0.0,0.8,-0.2,0,4.0,9.0,29.0,5.0,730.8,6.0,249.0,9.0,2.0,3.0,56.4
Alisson,J1,Liverpool,English Premier League,BRA,GK,Goalkeeper,30,90,4.0,1.0,3.0,1.4,0.4,0,1.0,6.0,21.0,6.0,531.3,4.0,208.0,18.0,1.0,0.0,0.0
André Onana,J1,Manchester Utd,English Premier League,CMR,GK,Goalkeeper,27,90,6.0,0.0,6.0,0.8,0.8,1,2.0,12.0,37.0,5.0,1195.1,6.0,178.2,21.0,1.0,2.0,37.0
José Sá,J1,Wolves,English Premier League,POR,GK,Goalkeeper,30,90,2.0,1.0,1.0,0.8,-0.2,0,3.0,9.0,25.0,6.0,747.5,9.0,279.9,12.0,3.0,1.0,10.0
