Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
13,Joachim Imbrechts,se SWE,GK,Union SG,21,2001,1,0,21,0.2,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,13,Joachim Imbrechts,se SWE,GK,Union SG,21,2001,0.2,0,0,0,0,0,0.2,0.19,+0.2,+0.83,0,1,0.0,5,3,20.0,29.8,0,,,4,0,0.0,0,0.00,,Matches
14,Nordin Jackers,be BEL,GK,Club Brugge,25,1997,3,2,261,2.9,3,1.03,12,9,75.0,2,0,0,1,50.0,2,0,0,2,,Matches,14,Nordin Jackers,be BEL,GK,Club Brugge,25,1997,2.9,3,0,0,1,0,3.0,0.26,0.0,-0.01,26,51,51.0,79,8,43.0,35.1,30,56.7,39.4,32,3,9.4,3,1.03,9.9,Matches
15,Hervé Koffi,bf BFA,GK,Charleroi,26,1996,26,26,2339,26.0,39,1.50,129,91,73.6,6,8,12,7,26.9,5,5,0,0,0.0,Matches,15,Hervé Koffi,bf BFA,GK,Charleroi,26,1996,26.0,39,5,0,2,1,42.0,0.29,+4.0,+0.16,160,436,36.7,768,125,40.5,35.9,168,74.4,52.2,358,39,10.9,38,1.46,15.6,Matches
16,Tobe Leysen,be BEL,GK,OH Leuven,21,2002,16,16,1440,16.0,18,1.13,78,62,78.2,4,5,7,5,31.3,1,1,0,0,0.0,Matches,16,Tobe Leysen,be BEL,GK,OH Leuven,21,2002,16.0,18,1,1,4,2,20.7,0.26,+4.7,+0.29,90,283,31.8,486,81,41.2,37.5,142,58.5,47.1,355,19,5.4,15,0.94,12.8,Matches
17,Heinz Lindner,at AUT,GK,Union SG,33,1990,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,17,Heinz Lindner,at AUT,GK,Union SG,33,1990,1.0,1,0,0,0,0,1.0,0.49,0.0,-0.02,3,4,75.0,21,1,14.3,28.0,4,25.0,21.5,9,0,0.0,0,0.00,9.0,Matches
18,Simon Mignolet,be BEL,GK,Club Brugge,35,1988,28,28,2439,27.1,26,0.96,86,60,69.8,12,9,7,9,32.1,1,0,0,1,,Matches,18,Simon Mignolet,be BEL,GK,Club Brugge,35,1988,27.1,26,0,2,0,0,25.3,0.29,-0.7,-0.03,151,309,48.9,833,111,28.8,29.9,153,45.1,35.7,245,26,10.6,52,1.92,16.4,Matches
19,Anthony Moris,lu LUX,GK,Union SG,33,1990,29,29,2588,28.8,30,1.04,87,57,69.0,20,7,2,8,27.6,3,3,0,0,0.0,Matches,19,Anthony Moris,lu LUX,GK,Union SG,33,1990,28.8,30,3,0,6,0,29.8,0.32,-0.2,-0.01,156,342,45.6,885,119,33.8,34.9,113,38.1,37.1,311,21,6.8,32,1.11,15.2,Matches
20,Paul Nardi,fr FRA,GK,Gent,29,1994,10,10,900,10.0,12,1.20,42,30,73.8,4,5,1,1,10.0,1,1,0,0,0.0,Matches,20,Paul Nardi,fr FRA,GK,Gent,29,1994,10.0,12,1,0,1,0,11.9,0.26,-0.1,-0.01,45,112,40.2,196,36,36.7,35.2,87,46.0,40.0,154,10,6.5,6,0.60,13.2,Matches
21,Manaf Nurudeen,gh GHA,GK,Eupen,24,1999,2,2,180,2.0,2,1.00,8,6,87.5,1,1,0,1,50.0,1,1,0,0,0.0,Matches,21,Manaf Nurudeen,gh GHA,GK,Eupen,24,1999,2.0,2,1,0,1,0,2.3,0.17,+0.3,+0.16,13,53,24.5,65,6,40.0,36.0,37,73.0,51.3,49,2,4.1,3,1.50,13.3,Matches
22,Pierre Patron,fr FRA,GK,Charleroi,25,1997,4,4,360,4.0,9,2.25,21,12,57.1,1,0,3,1,25.0,0,0,0,0,,Matches,22,Pierre Patron,fr FRA,GK,Charleroi,25,1997,4.0,9,0,0,1,0,8.3,0.40,-0.7,-0.18,27,57,47.4,97,22,39.2,32.9,19,100.0,54.5,52,6,11.5,4,1.00,11.4,Matches
23,Lucas Pirard,be BEL,GK,Kortrijk,28,1995,9,9,810,9.0,10,1.11,42,33,76.2,4,2,3,4,44.4,0,0,0,0,,Matches,23,Lucas Pirard,be BEL,GK,Kortrijk,28,1995,9.0,10,0,0,3,1,12.0,0.29,+3.0,+0.33,83,212,39.2,211,37,65.4,43.3,91,81.3,51.6,170,12,7.1,10,1.11,13.2,Matches
24,Maxence Prevot,fr FRA,GK,OH Leuven,26,1997,11,11,990,11.0,21,1.91,56,34,66.1,3,2,6,2,18.2,3,2,1,0,33.3,Matches,24,Maxence Prevot,fr FRA,GK,OH Leuven,26,1997,11.0,21,2,0,1,0,17.8,0.27,-3.2,-0.29,64,166,38.6,308,70,34.4,33.0,100,60.0,43.9,189,17,9.0,6,0.55,10.6,Matches
25,Davy Roef,be BEL,GK,Gent,29,1994,12,12,1080,12.0,9,0.75,42,30,85.7,7,4,1,5,41.7,6,3,3,0,50.0,Matches,25,Davy Roef,be BEL,GK,Gent,29,1994,12.0,9,3,0,0,0,15.2,0.23,+6.2,+0.52,58,115,50.4,272,82,27.9,30.9,87,44.8,38.5,168,17,10.1,7,0.58,12.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Kasper Schmeichel,dk DEN,GK,Anderlecht,36,1986,23,23,2070,23.0,23,1.00,110,86,80.0,14,7,2,5,21.7,2,1,1,0,50.0,Matches,26,Kasper Schmeichel,dk DEN,GK,Anderlecht,36,1986,23.0,23,1,0,0,0,31.3,0.27,+8.3,+0.36,120,268,44.8,743,94,27.2,31.9,140,47.1,38.1,344,14,4.1,12,0.52,12.4,Matches
27,Daniel Schmidt,jp JPN,GK,Sint-Truiden,31,1992,4,4,360,4.0,3,0.75,12,9,75.0,2,1,1,2,50.0,0,0,0,0,,Matches,27,Daniel Schmidt,jp JPN,GK,Sint-Truiden,31,1992,4.0,3,0,0,2,0,2.1,0.17,-0.9,-0.23,21,43,48.8,148,24,27.7,31.9,12,16.7,30.5,52,3,5.8,8,2.00,17.1,Matches
28,Daniel Schmidt,jp JPN,GK,Gent,31,1992,8,8,720,8.0,17,2.12,38,21,65.8,1,2,5,1,12.5,4,4,0,0,0.0,Matches,28,Daniel Schmidt,jp JPN,GK,Gent,31,1992,8.0,17,4,0,2,0,15.5,0.31,-1.5,-0.19,40,100,40.0,201,44,35.8,34.3,48,58.3,43.2,114,9,7.9,4,0.50,12.3,Matches
29,Gaga Slonina,us USA,GK,Eupen,19,2004,28,28,2520,28.0,56,2.00,159,106,66.7,6,2,20,4,14.3,5,3,1,1,25.0,Matches,29,Gaga Slonina,us USA,GK,Eupen,19,2004,28.0,56,3,0,5,4,50.1,0.30,-1.9,-0.07,97,316,30.7,781,147,25.4,30.3,235,50.2,38.1,427,19,4.4,29,1.04,14.4,Matches
30,Zion Suzuki,jp JPN,GK,Sint-Truiden,20,2002,22,22,1980,22.0,35,1.59,100,65,70.0,7,8,7,5,22.7,5,5,0,0,0.0,Matches,30,Zion Suzuki,jp JPN,GK,Sint-Truiden,20,2002,22.0,35,5,0,1,0,33.7,0.29,-1.3,-0.06,107,289,37.0,900,130,27.3,30.9,101,42.6,38.0,319,38,11.9,17,0.77,10.9,Matches
31,Tom Vandenberghe,be BEL,GK,Kortrijk,30,1992,21,21,1890,21.0,47,2.24,126,82,63.5,2,4,15,1,4.8,2,1,0,1,0.0,Matches,31,Tom Vandenberghe,be BEL,GK,Kortrijk,30,1992,21.0,47,1,0,7,3,44.3,0.36,+0.3,+0.01,120,356,33.7,537,104,50.7,40.5,154,54.5,42.1,332,26,7.8,17,0.81,11.5,Matches
32,Maarten Vandevoordt,be BEL,GK,Genk,21,2002,30,30,2700,30.0,31,1.03,116,84,75.0,12,11,7,10,33.3,3,2,1,0,33.3,Matches,32,Maarten Vandevoordt,be BEL,GK,Genk,21,2002,30.0,31,2,1,1,0,34.5,0.27,+3.5,+0.12,160,437,36.6,925,117,40.5,36.8,169,36.7,37.6,414,33,8.0,20,0.67,12.6,Matches
33,Warleson,br BRA,GK,Cercle Brugge,26,1996,30,30,2700,30.0,34,1.13,123,90,72.4,14,5,11,11,36.7,1,0,1,0,100.0,Matches,33,Warleson,br BRA,GK,Cercle Brugge,26,1996,30.0,34,0,0,4,2,39.3,0.32,+7.3,+0.24,258,711,36.3,663,37,82.7,49.8,180,90.6,59.8,365,11,3.0,54,1.80,18.5,Matches
