Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
13,Facundo Cambeses,ar ARG,GK,Racing Club,26,1997,7,6,585,6.5,12,1.85,34,21,64.7,2,1,3,1,16.7,1,0,1,0,100.0,Matches,13,Facundo Cambeses,ar ARG,GK,Racing Club,26,1997,6.5,12,0,0,0,0,10.3,0.30,-1.7,-0.26,18,74,24.3,133,19,39.1,37.0,48,45.8,40.3,92,3,3.3,5,0.77,11.9,Matches
14,Dante Campisi,ar ARG,GK,Unión,27,1996,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,14,Dante Campisi,ar ARG,GK,Unión,27,1996,1.0,1,0,0,0,0,1.2,0.41,+0.2,+0.24,5,8,62.5,11,1,45.5,39.5,5,60.0,48.0,2,0,0.0,1,1.00,28.0,Matches
15,Thiago Cardozo,uy URU,GK,Unión,27,1996,26,26,2340,26.0,25,0.96,94,68,79.8,10,7,9,12,46.2,7,6,1,0,14.3,Matches,15,Thiago Cardozo,uy URU,GK,Unión,27,1996,26.0,25,6,0,3,0,26.3,0.22,+1.3,+0.05,125,370,33.8,498,114,49.6,40.8,211,58.3,45.6,369,21,5.7,20,0.77,13.9,Matches
16,Ezequiel Centurión,ar ARG,GK,River Plate,26,1997,1,1,90,1.0,2,2.00,3,1,66.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches,16,Ezequiel Centurión,ar ARG,GK,River Plate,26,1997,1.0,2,1,0,0,0,1.6,0.22,-0.4,-0.35,1,6,16.7,23,10,26.1,33.0,2,0.0,16.5,8,1,12.5,0,0.00,13.0,Matches
17,Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,26,1997,22,22,1980,22.0,23,1.05,84,60,75.0,8,7,7,8,36.4,3,2,1,0,33.3,Matches,17,Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,26,1997,22.0,23,2,1,5,0,20.0,0.21,-3.0,-0.14,104,364,28.6,356,55,62.9,45.9,203,69.0,52.2,392,24,6.1,7,0.32,9.4,Matches
18,Ignacio Chicco,ar ARG,GK,Belgrano,27,1996,8,7,656,7.3,8,1.10,25,17,68.0,3,2,2,2,28.6,0,0,0,0,,Matches,18,Ignacio Chicco,ar ARG,GK,Belgrano,27,1996,7.3,8,0,0,1,0,7.0,0.29,-1.0,-0.14,29,79,36.7,191,34,30.4,31.5,44,47.7,38.9,113,9,8.0,10,1.37,14.9,Matches
19,Mateo Clemente,ar ARG,GK,San Lorenzo,21,2002,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,19,Mateo Clemente,ar ARG,GK,San Lorenzo,21,2002,1.0,1,0,0,0,0,0.3,0.15,-0.7,-0.69,0,1,0.0,10,2,10.0,27.1,2,0.0,31.5,3,0,0.0,1,1.00,29.0,Matches
20,Juan Cozzani,ar ARG,GK,Platense,25,1998,26,26,2339,26.0,18,0.69,86,68,80.2,9,9,8,13,50.0,2,1,0,1,0.0,Matches,20,Juan Cozzani,ar ARG,GK,Platense,25,1998,26.0,18,1,1,3,0,21.1,0.24,+3.1,+0.12,193,543,35.5,493,35,71.8,49.5,201,94.0,65.2,347,24,6.9,30,1.15,16.8,Matches
21,Tomás Durso,ar ARG,GK,Atlé Tucumán,24,1999,27,27,2430,27.0,27,1.00,95,68,73.7,11,7,9,11,40.7,3,2,1,0,33.3,Matches,21,Tomás Durso,ar ARG,GK,Atlé Tucumán,24,1999,27.0,27,2,2,5,1,27.5,0.27,+1.5,+0.05,203,525,38.7,467,47,67.2,47.4,231,91.3,63.8,419,15,3.6,25,0.93,13.8,Matches
22,Juan Espínola,py PAR,GK,Belgrano,29,1994,15,15,1324,14.7,15,1.02,65,50,76.9,3,7,5,4,26.7,0,0,0,0,,Matches,22,Juan Espínola,py PAR,GK,Belgrano,29,1994,14.7,15,0,0,3,0,16.1,0.25,+1.1,+0.07,79,245,32.2,358,37,46.4,40.5,122,64.8,52.7,321,33,10.3,12,0.82,11.7,Matches
