Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Aapo Halme,FIN,HJK,UEFA Europa Conference League,CM,Midfielder,26,59,1,34,11,28,8,59,33
Aaron Ciammaglichella,ITA,Torino,Italian Serie A,CM,Midfielder,19,1,1,34,11,13,3,5,11
Aaron Cresswell,ENG,West Ham,English Premier League,CB,Defender,35,824,1,34,58,74,56,37,49
Aaron Donnelly,NIR,Larne FC,UEFA Europa Conference League,CB,Defender,24,279,1,39,16,20,7,51,32
Aaron Greene,IRL,Shamrock Rov,UEFA Europa Conference League,AM,Forward,35,109,1,32,39,42,36,18,36
Aaron Malouda,FRA,Lille,French Ligue 1,AM,Forward,19,2,1,31,12,14,23,8,20
Aaron McEneff,IRL,Shamrock Rov,UEFA Europa Conference League,CM,Midfielder,29,352,1,38,38,45,59,36,43
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,27,3154,1,74,87,59,70,63,67
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,3085,1,40,73,48,50,46,48
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,22,950,1,76,31,39,41,66,55
Abbas Huseynov,AZE,Qarabağ,UEFA Europa League,RB,Defender,29,239,1,44,59,40,55,57,52
Abdallah Sima,SEN,Brest,"French Ligue 1, UEFA Champions League",LW,Forward,23,1746,1,81,45,34,47,57,55
Abde Ezzalzouli,MAR,Betis,"Spanish La Liga, UEFA Europa Conference League",LW,Forward,23,2653,1,48,67,58,83,65,63
Abdel Abqar,MAR,Alavés,Spanish La Liga,CB,Defender,26,2463,1,32,50,37,21,45,37
Abdellah Zoubir,FRA,Qarabağ,UEFA Europa League,LW,Forward,33,689,1,48,76,78,91,58,70
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,LW,Forward,26,385,1,32,42,39,58,38,41
Abdou Harroui,NED,Hellas Verona,Italian Serie A,AM,Forward,26,463,1,40,63,66,82,71,61
Abdoul Koné,FRA,Reims,French Ligue 1,RB,Defender,19,133,1,39,36,20,23,67,43
Abdoulaye Bamba,CIV,Angers,French Ligue 1,CB,Defender,35,1510,1,32,37,27,13,34,28
Abdoulaye Diaby,MLI,St. Gallen,UEFA Europa Conference League,CB,Defender,24,360,1,42,38,40,26,73,51
Abdoulaye Doucouré,MLI,Everton,English Premier League,AM,Forward,32,2564,1,35,33,56,38,67,41
Abdoulaye Keita,ESP,Getafe,Spanish La Liga,CM,Midfielder,22,95,1,46,41,24,21,63,42
Abdoulaye Niakhate Ndiaye,SEN,Brest,"French Ligue 1, UEFA Champions League",CB,Defender,23,1887,1,63,28,33,28,64,48
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,DM,Midfielder,31,2324,1,76,47,45,31,68,54
Abdoulie Ceesay,GAM,St. Pauli,German Bundesliga,AM,Forward,21,60,1,31,29,29,24,70,31
Abdu Conté,POR,Young Boys,UEFA Champions League,LB,Defender,26,28,1,39,16,34,46,14,28
Abdukodir Khusanov,UZB,"Lens, Manchester City","English Premier League, French Ligue 1, UEFA Champions League",CB,Defender,21,1568,1,50,37,63,44,58,54
Abdul Fatawu Issahaku,GHA,Leicester City,English Premier League,RW,Forward,20,579,1,38,77,47,85,87,62
Abdul Mumin,GHA,Rayo Vallecano,Spanish La Liga,CB,Defender,26,2017,1,78,35,30,32,56,48
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,32,456,1,58,23,30,10,37,33
Abdülkerim Bardakcı,TUR,Galatasaray,UEFA Europa League,CB,Defender,30,895,1,82,60,77,73,74,75
Abel,ESP,Osasuna,Spanish La Liga,LB,Defender,24,2074,1,81,72,47,58,60,61
Abel Ruiz,ESP,Girona,"Spanish La Liga, UEFA Champions League",AM,Forward,25,1491,1,41,31,36,20,30,33
Abner,BRA,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,24,1445,1,86,77,70,72,57,68
Aboubacar Bassinga,CIV,Las Palmas,Spanish La Liga,AM,Forward,19,4,1,31,25,33,45,8,31
Abzal Beisebekov,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,31,180,1,39,42,71,64,19,43
Achraf Hakimi,MAR,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,26,3606,1,94,93,86,96,61,80
Adam Armstrong,ENG,Southampton,English Premier League,AM,Forward,27,1248,1,36,32,34,27,29,32
Adam Aznou,MAR,"Bayern Munich, Valladolid","German Bundesliga, Spanish La Liga, UEFA Champions League",LB,Defender,18,895,1,36,61,36,43,74,54
Adam Buksa,POL,Midtjylland,UEFA Europa League,AM,Forward,28,720,1,43,40,32,18,43,36
Adam Daghim,DEN,RB Salzburg,UEFA Champions League,AM,Forward,19,393,1,62,42,38,59,65,52
Adam Dźwigała,POL,St. Pauli,German Bundesliga,CB,Midfielder,29,373,1,27,34,41,33,72,47
Adam Forrester,SCO,Hearts,UEFA Europa Conference League,RB,Defender,19,343,1,27,68,42,65,69,57
Adam Gabriel,CZE,Midtjylland,UEFA Europa League,RB,Defender,23,170,1,32,61,42,57,40,44
Adam Gnezda Čerin,SVN,Panathinaikos,UEFA Europa Conference League,DM,Midfielder,25,286,1,28,33,71,74,45,52
Adam Hložek,CZE,Hoffenheim,"German Bundesliga, UEFA Europa League",AM,Forward,22,2392,1,79,63,51,46,48,62
Adam Idah,IRL,Celtic,UEFA Champions League,AM,Forward,24,341,1,88,21,22,19,32,41
Adam Lallana,ENG,Southampton,English Premier League,CM,Midfielder,36,361,1,24,79,73,79,49,60
