Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
13,Simone Ghidotti,it ITA,GK,Sampdoria,25-222,2000,7,7,630,7.0,11,1.57,28,17,64.3,1,3,3,1,14.3,1,1,0,0,0.0,Matches,13,Simone Ghidotti,it ITA,GK,Sampdoria,25-222,2000,7.0,11,1,0,2,0,10.3,0.34,-0.7,-0.09,38,109,34.9,166,20,45.8,36.5,45,73.3,48.1,84,2,2.4,4,0.57,10.5,Matches
14,Antony Iannarilli,it ITA,GK,Avellino,34-313,1990,9,9,810,9.0,15,1.67,41,26,65.9,3,3,3,2,22.2,1,1,0,0,0.0,Matches,14,Antony Iannarilli,it ITA,GK,Avellino,34-313,1990,9.0,15,1,0,4,0,12.4,0.28,-2.6,-0.29,43,141,30.5,231,22,45.5,36.3,62,58.1,43.6,187,9,4.8,2,0.22,9.1,Matches
15,Jesse Joronen,fi FIN,GK,Palermo,32-220,1993,8,8,720,8.0,4,0.50,25,22,84.0,3,4,1,4,50.0,1,0,1,0,100.0,Matches,15,Jesse Joronen,fi FIN,GK,Palermo,32-220,1993,8.0,4,0,0,0,2,6.5,0.22,+4.5,+0.56,53,138,38.4,216,31,50.5,38.2,51,56.9,43.0,108,2,1.9,4,0.50,11.9,Matches
16,Abu Kamara,it ITA,GK,Padova,28-209,1997,9,9,810,9.0,11,1.22,36,24,72.2,3,3,3,3,33.3,2,1,1,0,50.0,Matches,16,Abu Kamara,it ITA,GK,Padova,28-209,1997,9.0,11,1,0,3,0,12.5,0.31,+1.5,+0.16,38,133,28.6,230,29,42.6,35.7,62,56.5,43.3,163,14,8.6,6,0.67,10.3,Matches
17,Jonathan Klinsmann,us USA,GK,Cesena,28-202,1997,9,9,810,9.0,11,1.22,26,15,61.5,5,2,2,1,11.1,1,1,0,0,0.0,Matches,17,Jonathan Klinsmann,us USA,GK,Cesena,28-202,1997,9.0,11,1,0,1,0,9.8,0.35,-1.2,-0.13,28,131,21.4,196,28,50.5,38.3,66,48.5,38.1,132,6,4.5,1,0.11,10.4,Matches
18,Diego Mascardi,it ITA,GK,Spezia,19-031,2006,5,5,450,5.0,8,1.60,19,11,68.4,0,2,3,1,20.0,2,2,0,0,0.0,Matches,18,Diego Mascardi,it ITA,GK,Spezia,19-031,2006,5.0,8,2,0,2,0,7.8,0.32,-0.2,-0.03,33,91,36.3,164,14,43.9,36.4,35,54.3,41.9,54,5,9.3,4,0.80,11.7,Matches
19,Edoardo Motta,it ITA,GK,Reggiana,20-287,2005,9,9,810,9.0,14,1.56,48,34,70.8,3,3,3,1,11.1,0,0,0,0,,Matches,19,Edoardo Motta,it ITA,GK,Reggiana,20-287,2005,9.0,14,0,1,1,0,15.3,0.33,+1.3,+0.15,27,121,22.3,185,40,35.7,32.7,88,62.5,43.1,154,6,3.9,5,0.56,10.2,Matches
20,Lorenzo Palmisani,it ITA,GK,Frosinone,21-137,2004,9,9,810,9.0,9,1.00,45,35,82.2,4,3,2,3,33.3,4,1,1,2,50.0,Matches,20,Lorenzo Palmisani,it ITA,GK,Frosinone,21-137,2004,9.0,9,1,0,0,0,13.1,0.25,+4.1,+0.46,46,178,25.8,299,58,50.2,39.0,44,63.6,47.6,155,14,9.0,11,1.22,12.2,Matches
21,Mirko Pigliacelli,it ITA,GK,Catanzaro,32-119,1993,9,9,810,9.0,9,1.00,28,19,71.4,1,6,2,3,33.3,1,1,0,0,0.0,Matches,21,Mirko Pigliacelli,it ITA,GK,Catanzaro,32-119,1993,9.0,9,1,0,4,0,11.2,0.39,+2.2,+0.25,38,115,33.0,300,31,32.7,31.8,52,32.7,31.3,121,1,0.8,11,1.22,17.5,Matches
22,Giacomo Poluzzi,it ITA,GK,Südtirol,37-244,1988,2,2,180,2.0,2,1.00,9,7,77.8,0,1,1,0,0.0,0,0,0,0,,Matches,22,Giacomo Poluzzi,it ITA,GK,Südtirol,37-244,1988,2.0,2,0,0,0,0,3.1,0.35,+1.1,+0.57,13,34,38.2,33,0,69.7,46.5,12,91.7,57.6,27,2,7.4,3,1.50,22.5,Matches
23,Mouhamadou Sarr,sn SEN,GK,Spezia,28-295,1997,4,4,360,4.0,5,1.25,14,9,64.3,1,1,2,1,25.0,0,0,0,0,,Matches,23,Mouhamadou Sarr,sn SEN,GK,Spezia,28-295,1997,4.0,5,0,0,2,0,4.3,0.31,-0.7,-0.17,16,54,29.6,108,21,43.5,35.6,14,50.0,42.4,75,9,12.0,1,0.25,8.5,Matches
24,Filip Stankovic,rs SRB,GK,Venezia,23-244,2002,9,9,810,9.0,9,1.00,37,28,75.7,3,4,2,4,44.4,0,0,0,0,,Matches,24,Filip Stankovic,rs SRB,GK,Venezia,23-244,2002,9.0,9,0,0,1,0,10.5,0.29,+1.5,+0.17,48,124,38.7,401,45,27.9,30.2,25,48.0,40.4,135,7,5.2,10,1.11,14.4,Matches
25,Demba Thiam,sn SEN,GK,Monza,27-232,1998,9,9,810,9.0,7,0.78,28,20,75.0,5,2,2,3,33.3,1,0,1,0,100.0,Matches,25,Demba Thiam,sn SEN,GK,Monza,27-232,1998,9.0,7,0,0,1,0,8.5,0.27,+1.5,+0.17,49,126,38.9,293,36,36.2,34.0,33,60.6,47.7,106,13,12.3,21,2.33,17.9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
