Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
13,Michael Collodi,us USA,GK,FC Dallas,24-155,2001,9,9,735,8.2,8,0.98,37,29,81.1,4,3,2,2,22.2,1,1,0,0,0.0,Matches,13,Michael Collodi,us USA,GK,FC Dallas,24-155,2001,8.2,8,1,1,0,0,10.4,0.26,+2.4,+0.29,54,171,31.6,224,32,50.4,40.4,64,90.6,59.7,147,12,8.2,13,1.59,13.5,Matches
14,Carlos Coronel,py PAR,GK,NY Red Bulls,28-302,1996,31,31,2790,31.0,42,1.35,140,99,71.4,10,7,14,10,32.3,3,2,1,0,33.3,Matches,14,Carlos Coronel,py PAR,GK,NY Red Bulls,28-302,1996,31.0,42,2,1,4,2,47.8,0.33,+7.8,+0.25,94,376,25.0,837,152,33.1,32.1,173,57.2,46.3,363,24,6.6,58,1.87,16.6,Matches
15,Maxime Crépeau,ca CAN,GK,Portland Timbers,31-169,1994,15,15,1350,15.0,22,1.47,71,49,69.0,4,3,8,3,20.0,0,0,0,0,,Matches,15,Maxime Crépeau,ca CAN,GK,Portland Timbers,31-169,1994,15.0,22,0,0,2,0,20.4,0.29,-1.6,-0.10,63,175,36.0,439,75,29.2,31.6,91,51.6,43.9,159,9,5.7,10,0.67,12.4,Matches
16,Daniel,br BRA,GK,SJ Earthquakes,31-174,1994,29,29,2495,27.7,50,1.80,146,98,66.4,9,7,13,3,10.3,1,1,0,0,0.0,Matches,16,Daniel,br BRA,GK,SJ Earthquakes,31-174,1994,27.7,50,1,0,5,2,50.7,0.35,+2.7,+0.10,100,312,32.1,701,121,33.8,34.1,163,46.0,39.4,343,18,5.2,44,1.59,16.4,Matches
17,C.J. dos Santos,us USA,GK,San Diego FC,25-064,2000,30,30,2700,30.0,38,1.27,125,87,73.6,17,5,8,10,33.3,6,5,1,0,16.7,Matches,17,C.J. dos Santos,us USA,GK,San Diego FC,25-064,2000,30.0,38,5,0,3,1,39.2,0.29,+2.2,+0.07,36,107,33.6,887,137,9.7,21.9,130,16.2,26.8,273,18,6.6,46,1.53,15.6,Matches
18,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-276,1992,7,5,565,6.3,13,2.07,26,13,53.8,2,1,2,2,40.0,1,1,0,0,0.0,Matches,18,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-276,1992,6.3,13,1,0,1,0,9.4,0.34,-3.6,-0.57,25,75,33.3,143,35,42.0,36.4,34,44.1,40.0,62,1,1.6,10,1.59,17.6,Matches
19,Jordan Farr,us USA,GK,D.C. United,31-022,1994,3,2,248,2.8,8,2.90,17,10,52.9,0,1,1,0,0.0,0,0,0,0,,Matches,19,Jordan Farr,us USA,GK,D.C. United,31-022,1994,2.8,8,0,0,1,1,5.5,0.33,-1.5,-0.54,21,46,45.7,71,10,52.1,39.6,15,60.0,47.6,41,1,2.4,9,3.27,19.2,Matches
20,Matt Freese,us USA,GK,NYCFC,27-055,1998,31,31,2766,30.7,42,1.37,131,91,70.2,15,5,11,8,25.8,4,3,1,0,25.0,Matches,20,Matt Freese,us USA,GK,NYCFC,27-055,1998,30.7,42,3,0,4,3,42.1,0.30,+3.1,+0.10,52,201,25.9,752,183,19.4,27.2,135,40.7,35.3,361,20,5.5,46,1.50,17.3,Matches
21,Stefan Frei,ch SUI,GK,Seattle Sounders,39-190,1986,26,26,2340,26.0,31,1.19,104,76,73.1,11,8,7,8,30.8,3,3,0,0,0.0,Matches,21,Stefan Frei,ch SUI,GK,Seattle Sounders,39-190,1986,26.0,31,3,2,5,3,29.6,0.26,+1.6,+0.06,92,257,35.8,593,104,34.6,33.6,170,30.6,33.4,308,16,5.2,16,0.62,12.7,Matches
22,Jeffrey Gal,us USA,GK,Chicago Fire,32-204,1993,7,6,591,6.6,9,1.37,19,11,57.9,3,0,3,1,16.7,1,1,0,0,0.0,Matches,22,Jeffrey Gal,us USA,GK,Chicago Fire,32-204,1993,6.6,9,1,0,0,1,6.2,0.29,-1.8,-0.27,19,52,36.5,149,27,21.5,26.4,41,48.8,39.0,73,7,9.6,3,0.46,11.5,Matches
