Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
15,Sebastián Jurado,mx MEX,GK,FC Juárez,28-029,1997,15,15,1350,15.0,25,1.67,59,36,59.3,5,5,5,2,13.3,1,1,0,0,0.0,Matches,15,Sebastián Jurado,mx MEX,GK,FC Juárez,28-029,1997,15.0,25,1,1,2,2,17.4,0.30,-5.6,-0.37,43,109,39.4,351,39,22.8,28.3,58,50.0,41.3,184,6,3.3,7,0.47,13.3,Matches
16,Luis Manuel García,mx MEX,GK,Toluca,32-300,1992,7,6,543,6.0,7,1.16,24,17,83.3,4,2,0,1,16.7,3,3,0,0,0.0,Matches,16,Luis Manuel García,mx MEX,GK,Toluca,32-300,1992,6.0,7,3,0,0,0,8.0,0.24,+1.0,+0.17,16,46,34.8,157,25,19.7,29.0,48,31.3,34.8,80,0,0.0,6,0.99,15.5,Matches
17,Santiago Mele,uy URU,GK,Monterrey,28-051,1997,13,13,1170,13.0,20,1.54,52,32,63.5,8,3,2,4,30.8,1,1,0,0,0.0,Matches,17,Santiago Mele,uy URU,GK,Monterrey,28-051,1997,13.0,20,1,0,1,0,15.3,0.29,-4.7,-0.36,29,83,34.9,346,34,19.4,27.2,52,30.8,32.6,166,8,4.8,17,1.31,15.5,Matches
18,Kevin Mier,co COL,GK,Cruz Azul,25-162,2000,14,14,1260,14.0,16,1.14,48,33,66.7,8,5,1,4,28.6,0,0,0,0,,Matches,18,Kevin Mier,co COL,GK,Cruz Azul,25-162,2000,14.0,16,0,0,2,1,13.2,0.28,-1.8,-0.13,49,142,34.5,496,30,21.4,28.5,95,37.9,39.6,157,2,1.3,28,2.00,17.7,Matches
19,Carlos Moreno,mx MEX,GK,Pachuca,27-271,1998,15,15,1350,15.0,19,1.27,54,36,70.4,6,4,5,4,26.7,3,3,0,0,0.0,Matches,19,Carlos Moreno,mx MEX,GK,Pachuca,27-271,1998,15.0,19,3,3,1,1,13.6,0.21,-4.4,-0.29,92,217,42.4,493,96,33.7,32.9,98,52.0,44.7,184,17,9.2,35,2.33,16.2,Matches
20,Keylor Navas,cr CRC,GK,UNAM,38-316,1986,13,13,1170,13.0,16,1.23,52,35,73.1,3,6,4,3,23.1,4,2,2,0,50.0,Matches,20,Keylor Navas,cr CRC,GK,UNAM,38-316,1986,13.0,16,2,0,2,1,16.6,0.26,+1.6,+0.12,39,117,33.3,297,35,24.9,32.6,142,30.3,34.6,191,6,3.1,12,0.92,14.2,Matches
21,Rodrigo Parra,mx MEX,GK,UNAM,17-333,2007,2,2,180,2.0,6,3.00,7,1,14.3,0,0,2,0,0.0,0,0,0,0,,Matches,21,Rodrigo Parra,mx MEX,GK,UNAM,17-333,2007,2.0,6,0,0,1,0,3.5,0.50,-2.5,-1.26,4,15,26.7,57,12,21.1,29.0,13,23.1,25.3,14,0,0.0,5,2.50,16.7,Matches
22,Cesar Ramos,mx MEX,GK,Atlas,25-135,2000,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,22,Cesar Ramos,mx MEX,GK,Atlas,25-135,2000,1.0,2,0,0,0,0,1.8,0.45,-0.2,-0.19,6,19,31.6,19,1,63.2,50.9,11,63.6,52.5,12,1,8.3,0,0.00,7.8,Matches
23,José Rangel Aguilar,mx MEX,GK,Guadalajara,25-244,2000,15,15,1350,15.0,20,1.33,61,40,73.8,7,2,6,3,20.0,6,4,1,1,20.0,Matches,23,José Rangel Aguilar,mx MEX,GK,Guadalajara,25-244,2000,15.0,20,4,1,2,0,18.3,0.24,-1.7,-0.11,51,111,45.9,316,59,20.3,27.7,109,43.1,36.8,164,7,4.3,38,2.53,18.3,Matches
24,Jesús Rodríguez,mx MEX,GK,Puebla,32-159,1993,5,5,405,4.5,14,3.11,24,11,58.3,1,1,3,1,20.0,4,4,0,0,0.0,Matches,24,Jesús Rodríguez,mx MEX,GK,Puebla,32-159,1993,4.5,14,4,0,1,1,10.0,0.27,-3.0,-0.67,23,61,37.7,108,15,28.7,31.2,40,75.0,54.6,57,0,0.0,6,1.33,15.6,Matches
25,Andrés Sánchez,mx MEX,GK,Atlético,28-024,1997,15,15,1350,15.0,24,1.60,61,40,65.6,5,1,9,4,26.7,4,3,1,0,25.0,Matches,25,Andrés Sánchez,mx MEX,GK,Atlético,28-024,1997,15.0,24,3,0,2,4,21.2,0.31,+1.2,+0.08,57,150,38.0,331,66,26.9,31.7,124,49.2,41.4,197,3,1.5,27,1.80,17.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Antonio Sánchez,mx MEX,GK,Atlas,25-278,2000,1,1,90,1.0,3,3.00,5,2,60.0,0,1,0,0,0.0,1,1,0,0,0.0,Matches,26,Antonio Sánchez,mx MEX,GK,Atlas,25-278,2000,1.0,3,1,0,0,0,3.0,0.42,0.0,-0.04,3,15,20.0,14,2,57.1,45.8,10,70.0,55.9,34,1,2.9,2,2.00,18.0,Matches
27,José Santiago Hernández,mx MEX,GK,Querétaro,28-179,1997,5,5,450,5.0,10,2.00,23,14,60.9,0,0,5,0,0.0,1,1,0,0,0.0,Matches,27,José Santiago Hernández,mx MEX,GK,Querétaro,28-179,1997,5.0,10,1,0,1,1,7.6,0.30,-1.4,-0.28,17,61,27.9,96,20,37.5,34.9,47,53.2,43.1,70,1,1.4,7,1.40,16.9,Matches
28,Ezequiel Unsain,ar ARG,GK,Necaxa,30-232,1995,15,15,1350,15.0,30,2.00,63,33,57.1,3,4,8,1,6.7,4,3,0,1,0.0,Matches,28,Ezequiel Unsain,ar ARG,GK,Necaxa,30-232,1995,15.0,30,3,0,4,0,23.0,0.34,-7.0,-0.47,66,190,34.7,339,37,39.2,36.4,140,40.7,38.5,165,12,7.3,20,1.33,15.5,Matches
29,Camilo Vargas,co COL,GK,Atlas,36-232,1989,13,13,1170,13.0,28,2.15,69,39,63.8,3,3,7,1,7.7,6,3,2,1,40.0,Matches,29,Camilo Vargas,co COL,GK,Atlas,36-232,1989,13.0,28,3,0,5,0,22.9,0.27,-5.1,-0.39,50,167,29.9,356,40,35.7,34.0,112,35.7,37.9,225,4,1.8,7,0.54,12.3,Matches
