Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,8,7,515,5.7,1,1,2,1,0,0,1,1,0.3,0.3,0.8,1.1,23,26,33,0.17,0.17,0.35,0.17,0.35,0.05,0.14,0.20,0.05,0.20,Matches,1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,5.7,1,6,3,50.0,1.05,0.52,0.17,0.33,20.7,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches,1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,5.7,140,196,71.4,2065,571,77,98,78.6,53,65,81.5,7,13,53.8,1,0.8,0.5,+0.2,13,10,9,0,26,Matches,1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,5.7,196,189,6,1,0,1,7,4,0,0,0,0,140,1,13,Matches,1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,5.7,19,3.32,16,0,0,1,1,1,1,0.17,1,0,0,0,0,0,Matches,1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,5.7,6,5,3,2,1,2,4,50.0,2,7,0,7,1,7,4,1,Matches,1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,5.7,254,2,28,99,136,26,254,19,9,47.4,8,42.1,151,1065,602,23,19,13,15,5,163,33,Matches,1,Adnane Abid,be BEL,FW,Standard Liège,22-065,2003,5.7,1,1,0,6,8,1,7,1,5,0,0,0,30,1,2,33.3,Matches
2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches,2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,0.2,0,1,0,0.0,4.74,0.00,0.00,,25.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,0.2,6,10,60.0,105,61,4,4,100.0,2,5,40.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches,2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches,2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,0.2,12,0,2,7,3,0,12,0,0,,0,,4,8,7,0,0,0,1,0,6,2,Matches,2,Desmond Acquah,be BEL,MF,Dender,23-096,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,12,6,520,5.8,0,0,0,0,0,0,0,0,0.6,0.6,0.9,1.5,19,20,67,0.00,0.00,0.00,0.00,0.00,0.10,0.15,0.25,0.10,0.25,Matches,3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,5.8,0,10,2,20.0,1.73,0.35,0.00,0.00,17.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,5.8,210,278,75.5,2764,680,132,151,87.4,58,75,77.3,6,25,24.0,0,0.9,1.1,-0.9,8,19,12,5,20,Matches,3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,5.8,278,249,28,6,1,0,29,11,11,5,2,0,210,1,10,Matches,3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,5.8,29,5.01,15,2,4,2,6,0,0,0.00,0,0,0,0,0,0,Matches,3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,5.8,9,5,2,7,0,0,4,0.0,4,7,0,7,4,13,1,0,Matches,3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,5.8,366,1,32,118,222,29,366,37,13,35.1,19,51.4,235,1448,732,19,14,7,19,11,275,67,Matches,3,Noah Adedeji,be BEL,FW,Genk,20-130,2005,5.8,0,0,0,6,21,0,29,4,5,0,0,0,18,4,8,33.3,Matches
4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,8,5,397,4.4,2,0,2,2,0,0,3,0,0.6,0.6,0.5,1.1,23,9,42,0.45,0.00,0.45,0.45,0.45,0.13,0.11,0.24,0.13,0.24,Matches,4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,4.4,2,11,7,63.6,2.49,1.59,0.18,0.29,23.7,0,0,0,0.6,0.6,0.05,+1.4,+1.4,Matches,4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,4.4,83,121,68.6,1641,519,26,39,66.7,41,54,75.9,14,20,70.0,0,0.5,0.5,-0.5,4,7,6,3,9,Matches,4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,4.4,121,101,19,4,0,2,16,4,9,5,2,0,83,1,2,Matches,4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,4.4,18,4.09,5,2,5,2,3,1,1,0.23,0,0,1,0,0,0,Matches,4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,4.4,6,5,2,1,3,3,7,42.9,4,2,0,2,2,8,2,0,Matches,4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,4.4,187,1,23,77,91,17,187,29,14,48.3,13,44.8,131,988,503,23,14,11,23,4,134,42,Matches,4,Farouck Adekami,ci CIV,"FW,DF",Antwerp,19-081,2006,4.4,3,0,0,11,21,0,16,2,5,0,0,0,16,5,5,50.0,Matches
5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,9,4,352,3.9,1,0,1,1,0,0,2,0,2.2,2.2,0.2,2.4,16,9,28,0.26,0.00,0.26,0.26,0.26,0.57,0.04,0.61,0.57,0.61,Matches,5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,3.9,1,13,6,46.2,3.32,1.53,0.08,0.17,12.8,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches,5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,3.9,55,75,73.3,704,171,39,48,81.3,14,20,70.0,1,3,33.3,0,0.2,0.2,-0.2,3,4,1,0,9,Matches,5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,3.9,75,74,0,0,0,0,5,0,0,0,0,0,55,1,2,Matches,5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,3.9,8,2.05,5,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches,5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,3.9,3,1,1,1,1,2,2,100.0,0,5,0,5,1,4,1,0,Matches,5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,3.9,141,0,11,47,85,23,141,22,9,40.9,13,59.1,82,607,294,16,7,9,15,10,98,28,Matches,5,Oluwaseun Adewumi,at AUT,"MF,FW",Cercle Brugge,20-246,2005,3.9,2,0,0,3,8,2,5,1,1,0,0,0,18,5,8,38.5,Matches
6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,0.3,6,8,75.0,68,36,5,6,83.3,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,0.3,8,0,0,2,6,0,8,0,0,,0,,8,17,4,0,0,0,0,1,8,0,Matches,6,Ryan Adewusi,be BEL,FW,Dender,20-265,2005,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,33.3,Matches
7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,4,0,68,0.8,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,2,7,3,0.00,1.32,1.32,0.00,1.32,0.12,0.64,0.76,0.12,0.76,Matches,7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,0.8,0,2,0,0.0,2.65,0.00,0.00,,18.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,0.8,41,57,71.9,684,196,19,22,86.4,18,22,81.8,3,12,25.0,1,0.5,0.9,+0.5,3,6,2,0,7,Matches,7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,0.8,57,50,7,2,0,1,7,0,5,5,0,0,41,0,0,Matches,7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,0.8,4,5.29,2,1,0,1,0,0,1,1.32,0,1,0,0,0,0,Matches,7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,0.8,2,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches,7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,0.8,67,0,5,34,28,4,67,1,1,100.0,0,0.0,35,192,91,2,2,1,1,1,35,3,Matches,7,Mohammed El Âdfaoui,be BEL,"MF,DF",Gent,17-241,2008,0.8,0,0,0,1,1,0,7,0,0,0,0,0,4,2,2,50.0,Matches
8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,8,7,620,6.9,2,0,2,2,0,0,2,0,2.7,2.7,0.3,3.0,10,9,17,0.29,0.00,0.29,0.29,0.29,0.39,0.05,0.44,0.39,0.44,Matches,8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,6.9,2,16,6,37.5,2.32,0.87,0.13,0.33,13.6,0,0,0,2.7,2.7,0.17,-0.7,-0.7,Matches,8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,6.9,50,78,64.1,902,214,23,34,67.6,22,29,75.9,5,8,62.5,0,0.3,0.2,-0.3,4,3,4,1,9,Matches,8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,6.9,78,72,5,0,1,0,3,0,0,0,0,0,50,1,0,Matches,8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,6.9,7,1.02,6,0,0,1,0,0,1,0.15,0,0,0,1,0,0,Matches,8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,6.9,4,2,0,2,2,1,6,16.7,5,5,0,5,2,6,2,0,Matches,8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,6.9,135,1,8,58,74,24,135,12,5,41.7,7,58.3,74,561,197,10,8,4,15,6,76,17,Matches,8,Jerry Afriyie,gh GHA,FW,La Louvière,18-321,2006,6.9,2,0,0,7,2,7,3,2,2,0,0,0,30,6,15,28.6,Matches
9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,10,10,773,8.6,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.4,12,32,30,0.00,0.12,0.12,0.00,0.12,0.09,0.08,0.16,0.09,0.16,Matches,9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,8.6,0,10,2,20.0,1.16,0.23,0.00,0.00,20.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,8.6,178,255,69.8,2834,1235,90,115,78.3,70,96,72.9,11,24,45.8,1,0.6,0.7,+0.4,5,19,6,3,32,Matches,9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,8.6,255,227,27,2,1,1,22,25,0,0,0,0,178,1,5,Matches,9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,8.6,16,1.86,13,0,0,2,1,0,2,0.23,1,0,0,1,0,0,Matches,9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,8.6,18,11,10,6,2,7,21,33.3,14,18,1,17,12,30,13,0,Matches,9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,8.6,389,13,62,197,136,14,389,14,7,50.0,7,50.0,187,951,410,12,14,1,31,12,190,30,Matches,9,Lawrence Agyekum,gh GHA,"MF,DF",Cercle Brugge,21-338,2003,8.6,2,0,0,12,21,2,22,12,11,0,0,0,59,7,12,36.8,Matches
