Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Daniel Bachmann,AUT,Goalkeeper,Watford,,1994,22,22,1902,28,87,59,5,1,0,1,0,27.1,89,296,549,100,139,315,9,15
James Beadle,ENG,Goalkeeper,Sheffield Weds,,2004,38,38,3420,59,140,80,9,5,4,1,0,54.4,177,561,1153,122,205,491,23,35
Jonathan Bond,ENG,Goalkeeper,Watford,,1993,9,8,798,14,43,29,1,0,0,0,0,17.2,30,85,202,32,67,130,4,14
Solomon Brynn,ENG,Goalkeeper,Middlesbrough,,2000,6,6,509,9,25,16,1,0,0,0,0,9.4,10,38,140,30,29,77,10,5
Pierce Charles,NIR,Goalkeeper,Sheffield Weds,,2005,8,8,720,10,30,19,0,1,0,1,0,12.7,50,110,298,37,39,107,11,5
Bradley Collins,ENG,Goalkeeper,Coventry City,,1997,15,14,1313,23,53,30,3,0,0,0,0,17.0,78,220,415,45,90,177,5,22
Michael Cooper,ENG,Goalkeeper,Sheffield Utd,,1999,43,43,3870,33,142,109,21,5,4,1,0,38.5,248,662,1425,182,223,617,59,37
David Cornell,WAL,Goalkeeper,Preston,,1991,10,9,811,16,36,20,1,3,3,0,0,13.3,58,161,261,43,75,125,8,10
Jamie Cumming,ENG,Goalkeeper,Oxford United,,1999,45,45,4050,62,201,139,13,4,2,2,0,71.6,279,871,1500,190,326,791,38,51
Karl Darlow,WAL,Goalkeeper,Leeds United,,1990,7,7,630,3,11,9,4,0,0,0,0,2.5,25,75,197,27,33,66,7,6
Adam Davies,WAL,Goalkeeper,Sheffield Utd,,1992,3,3,270,3,7,4,1,0,0,0,0,2.7,16,38,79,16,17,49,4,0
Seny Dieng,SEN,Goalkeeper,Middlesbrough,,1994,17,17,1530,21,47,28,5,0,0,0,0,16.4,27,118,469,83,77,242,12,24
Oliver Dovin,SWE,Goalkeeper,Coventry City,,2002,28,28,2467,30,95,68,8,1,1,0,0,31.1,101,318,797,80,150,353,11,37
George Evans,ENG,Goalkeeper,Millwall,,2005,4,4,360,8,19,11,1,0,0,0,0,4.5,37,89,81,8,31,70,4,6
Tom Glover,AUS,Goalkeeper,Middlesbrough,,1997,7,6,571,6,13,7,3,0,0,0,0,3.9,25,96,199,35,36,75,8,7
Joshua Griffiths,ENG,Goalkeeper,West Brom,,2001,6,6,540,11,26,15,1,0,0,0,0,8.8,23,74,171,29,26,103,2,6
Daniel Grimshaw,ENG,Goalkeeper,Plymouth Argyle,,1998,21,21,1890,49,124,75,1,3,3,0,0,47.5,94,444,911,94,155,319,6,26
Angus Gunn,SCO,Goalkeeper,Norwich City,,1996,35,35,3104,42,123,83,7,4,4,0,0,36.4,71,297,1212,172,153,469,24,60
Conor Hazard,NIR,Goalkeeper,Plymouth Argyle,,1998,25,25,2250,39,122,85,2,1,1,0,0,45.5,168,615,683,93,237,466,21,16
Václav Hladký,CZE,Goalkeeper,Burnley,,1990,1,1,90,0,4,4,1,0,0,0,0,0.1,2,8,35,4,3,13,2,0
Ethan Horvath,USA,Goalkeeper,Cardiff City,,1995,17,17,1530,28,67,42,3,0,0,0,0,21.6,71,268,411,45,109,184,7,16
Matt Ingram,ENG,Goalkeeper,Oxford United,,1993,1,1,90,3,5,2,0,0,0,0,0,2.7,3,15,31,7,9,19,0,0
Lukas Jensen,DEN,Goalkeeper,Millwall,,1999,41,41,3689,41,132,94,13,3,1,1,1,42.1,189,790,882,96,264,549,25,38
Viktor Johansson,SWE,Goalkeeper,Stoke City,,1998,46,46,4140,62,209,151,14,5,3,1,1,71.4,196,700,1451,209,242,753,50,102
Thomas Kaminski,BEL,Goalkeeper,Luton Town,,1992,45,45,3990,68,193,125,10,3,2,1,0,60.3,374,1023,1203,120,348,610,25,72
Ben Killip,ENG,Goalkeeper,Portsmouth,,1995,2,2,180,2,9,7,0,0,0,0,0,2.5,20,52,76,8,14,30,0,1
George Long,ENG,Goalkeeper,Norwich City,,1993,9,8,765,19,44,24,1,3,2,1,0,15.2,18,72,267,48,39,128,4,10
Illan Meslier,FRA,Goalkeeper,Leeds United,,2000,39,39,3510,27,88,63,21,4,3,1,0,23.6,72,304,1201,174,119,348,32,35
Simon Moore,ENG,Goalkeeper,Sunderland,,1990,4,4,360,2,10,8,3,0,0,0,0,1.8,14,49,94,23,25,61,4,5
Paul Nardi,FRA,Goalkeeper,QPR,,1994,45,45,4050,63,174,114,9,3,3,0,0,59.5,200,640,1366,184,250,658,10,39
Will Norris,ENG,Goalkeeper,Portsmouth,,1993,8,8,720,19,47,29,2,3,3,0,0,16.1,56,185,263,30,49,115,3,8
Max O'Leary,IRL,Goalkeeper,Bristol City,,1996,46,46,4140,55,172,117,10,2,2,0,0,54.6,236,770,1217,218,219,555,37,79
Alex Palmer,ENG,Goalkeeper,West Brom,,1996,30,30,2700,27,101,77,11,1,1,0,0,27.1,137,443,1070,143,158,464,33,42
Ivor Pandur,CRO,Goalkeeper,Hull City,,2000,44,44,3960,52,168,117,6,6,4,1,1,51.8,124,449,1746,185,278,686,37,63
Anthony Patterson,ENG,Goalkeeper,Sunderland,,2000,42,42,3780,42,128,90,14,5,4,1,0,39.1,155,520,1222,189,273,551,23,27
Aynsley Pears,ENG,Goalkeeper,Blackburn,,1998,40,40,3600,43,153,109,13,4,3,1,0,45.5,174,594,1071,127,193,600,20,15
Vicente Reyes,CHI,Goalkeeper,Norwich City,,2003,4,3,271,7,12,5,0,0,0,0,0,5.6,4,18,63,15,10,38,1,8
Liam Roberts,ENG,Goalkeeper,Millwall,,1994,2,1,91,0,3,3,2,0,0,0,0,0.3,4,32,22,2,13,36,3,2
Carl Rushworth,ENG,Goalkeeper,Hull City,,2001,2,2,180,2,4,2,1,0,0,0,0,1.6,7,21,59,9,4,31,1,2
Nicolas Schmid,AUT,Goalkeeper,Portsmouth,,1997,35,35,3090,48,144,100,8,1,1,0,0,46.9,276,920,1055,60,203,454,12,98
Egil Selvik,NOR,Goalkeeper,Watford,,1997,16,16,1440,19,71,52,6,0,0,0,0,24.4,79,261,505,60,100,233,13,16
James Shea,ENG,Goalkeeper,Luton Town,,1991,2,1,147,1,5,4,1,0,0,0,0,2.0,12,43,61,6,15,21,4,4
Balázs Tóth,HUN,Goalkeeper,Blackburn,,1997,6,6,540,5,21,16,2,0,0,0,0,7.4,18,108,147,19,47,95,6,5
James Trafford,ENG,Goalkeeper,Burnley,,2002,45,45,4050,16,103,85,29,2,0,2,0,27.8,148,574,1492,194,246,527,30,50
Mark Travers,IRL,Goalkeeper,Middlesbrough,,1999,17,17,1530,20,83,64,4,0,0,0,0,23.1,37,215,419,71,116,223,15,24
Josh Vickers,ENG,Goalkeeper,Derby County,,1995,6,6,540,6,17,11,3,0,0,0,0,6.7,38,127,122,16,55,92,9,3
Lawrence Vigouroux,CHI,Goalkeeper,Swansea City,,1993,46,46,4140,56,166,113,14,4,4,0,0,54.5,310,965,1772,188,229,600,40,38
Joe Walsh,ENG,Goalkeeper,QPR,,2002,1,1,90,0,4,4,1,0,0,0,0,1.7,7,24,37,2,5,30,1,0
Jacob Widell Zetterström,SWE,Goalkeeper,Derby County,,1998,40,40,3600,50,150,99,9,3,1,2,0,50.1,220,774,987,172,253,550,44,30
Joe Wildsmith,ENG,Goalkeeper,West Brom,,1995,10,10,900,9,28,19,2,0,0,0,0,9.0,54,175,303,45,65,118,7,7
Ben Wilson,ENG,Goalkeeper,Coventry City,,1992,4,4,360,5,22,17,2,0,0,0,0,4.8,16,72,118,17,18,47,3,10
Freddie Woodman,ENG,Goalkeeper,Preston,,1997,37,37,3329,43,130,86,12,4,3,1,0,38.3,250,634,1232,206,230,539,32,61
Marius Adamonis,LTU,Goalkeeper,Südtirol,,1997,15,15,1350,18,63,45,4,0,0,0,0,19.7,118,293,245,45,121,256,9,8
Nícolas Andrade,BRA,Goalkeeper,Pisa,,1988,1,1,90,1,4,3,0,0,0,0,0,0.8,5,16,22,0,4,7,0,2
Lorenzo Andrenacci,ITA,Goalkeeper,Brescia,,1995,1,1,90,0,2,2,1,0,0,0,0,0.1,5,10,20,4,6,8,3,0
Emil Audero,IDN,Goalkeeper,Palermo,,1997,14,14,1260,20,64,44,3,1,1,0,0,21.7,86,243,422,67,106,263,25,11
Francesco Bardi,ITA,Goalkeeper,Reggiana,,1992,36,36,3240,49,139,94,8,2,2,0,0,44.9,140,422,663,115,259,611,24,4
Marco Bleve,ITA,Goalkeeper,Carrarese,,1995,24,24,2092,25,107,81,12,6,5,1,0,33.1,139,333,785,79,135,332,27,22
Michele Cerofolini,ITA,Goalkeeper,Frosinone,,1999,36,36,3240,43,145,100,8,6,4,2,0,45.8,155,546,1026,132,235,578,27,20
Leandro Chichizola,ARG,Goalkeeper,Spezia,,1990,11,11,990,10,36,27,3,0,0,0,0,8.5,78,207,331,44,50,120,14,26
Niccolò Chiorra,ITA,Goalkeeper,Carrarese,,2001,2,1,158,5,8,3,0,0,0,0,0,3.9,2,11,42,5,11,16,0,1
Oliver Christensen,DEN,Goalkeeper,Salernitana,,1999,16,16,1440,15,51,36,6,0,0,0,0,16.5,90,258,400,64,108,252,20,19
Francesco Corriere,ITA,Goalkeeper,Salernitana,,2006,1,0,47,1,1,0,0,0,0,0,0,0.8,9,17,17,1,5,9,0,0
Alessio Cragno,ITA,Goalkeeper,Sampdoria,,1994,14,14,1260,14,38,24,6,1,1,0,0,14.9,93,230,326,53,106,203,21,18
Sebastiano Desplanches,ITA,Goalkeeper,Palermo,,2003,21,20,1854,21,75,55,6,1,1,0,0,17.2,77,205,601,109,111,300,14,24
Giacomo Drago,ITA,Goalkeeper,Südtirol,,2001,5,5,450,10,26,16,0,1,1,0,0,8.7,14,43,106,33,28,64,5,8
Marco Festa,ITA,Goalkeeper,Mantova,,1992,38,38,3420,56,173,118,8,2,2,0,0,56.4,113,312,1443,110,185,580,21,36
Vincenzo Fiorillo,ITA,Goalkeeper,Salernitana,,1990,5,4,356,9,16,7,0,1,1,0,0,8.4,9,37,100,12,27,29,1,2
Vincenzo Fiorillo,ITA,Goalkeeper,Carrarese,,1990,12,12,1010,16,48,32,1,1,1,0,0,13.5,61,168,238,34,110,213,13,6
Andrea Fulignati,ITA,Goalkeeper,Cremonese,,1994,38,38,3420,44,116,74,8,6,5,0,1,40.6,160,400,1448,139,137,463,34,42
Riccardo Gagno,ITA,Goalkeeper,Modena,,1997,37,37,3330,47,134,87,7,4,3,1,0,42.2,202,600,906,123,281,654,63,12
Simone Ghidotti,ITA,Goalkeeper,Sampdoria,,2000,9,9,720,8,48,40,1,0,0,0,0,11.5,32,112,225,31,48,138,14,5
Alfred Gomis,SEN,Goalkeeper,Palermo,,1993,1,1,36,0,2,2,0,0,0,0,0,0.0,1,1,16,2,1,3,0,0
Stefano Gori,ITA,Goalkeeper,Spezia,,1996,23,23,2070,19,78,61,12,1,1,0,0,19.7,135,316,515,93,121,293,14,18
Elhan Kastrati,ALB,Goalkeeper,Cittadella,,1997,29,29,2565,40,119,82,8,5,4,1,0,38.7,90,308,523,104,225,439,21,17
Jonathan Klinsmann,USA,Goalkeeper,Cesena,,1997,27,27,2430,30,94,64,7,3,1,2,0,30.2,43,263,553,138,178,345,21,19
Luca Lezzerini,ITA,Goalkeeper,Brescia,,1995,37,37,3330,48,167,119,10,9,5,1,3,47.3,192,459,885,144,216,602,40,24
Leonardo Loria,ITA,Goalkeeper,Pisa,,1999,1,1,90,3,5,2,0,1,1,0,0,1.8,3,9,18,3,2,14,0,5
Luca Maniero,ITA,Goalkeeper,Cittadella,,1995,10,9,855,14,52,39,4,3,3,0,0,14.7,48,135,192,44,73,135,8,9
Alessandro Micai,ITA,Goalkeeper,Cosenza,,1993,37,37,3296,53,156,107,7,3,2,0,1,46.3,260,673,1188,131,198,551,55,85
Horaţiu Moldovan,ROU,Goalkeeper,Sassuolo,,1998,27,27,2430,27,106,80,11,1,1,0,0,27.8,97,306,584,102,157,394,29,8
Edoardo Motta,ITA,Goalkeeper,Reggiana,,2005,2,2,180,3,7,4,0,0,0,0,0,2.6,16,38,32,5,22,45,2,0
Samuele Perisan,ITA,Goalkeeper,Sampdoria,,1997,1,1,57,0,1,1,0,0,0,0,0,0.2,2,7,9,3,6,14,1,0
Mirko Pigliacelli,ITA,Goalkeeper,Catanzaro,,1993,38,38,3420,45,150,107,13,5,4,0,1,46.6,199,467,1566,108,130,601,37,40
Marco Pissardo,ITA,Goalkeeper,Bari,,1998,2,1,109,3,10,7,1,0,0,0,0,2.7,13,33,24,5,16,23,2,0
Matteo Pisseri,ITA,Goalkeeper,Cesena,,1991,11,11,990,17,44,28,4,1,0,1,0,14.9,30,103,233,63,81,162,8,14
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,,1988,18,18,1620,29,71,42,4,4,2,1,1,25.4,138,318,412,68,149,323,17,20
Boris Radunović,SRB,Goalkeeper,Bari,,1996,37,37,3311,37,165,128,12,6,5,0,1,42.2,136,347,768,195,238,556,34,23
Nicola Ravaglia,ITA,Goalkeeper,Carrarese,,1988,2,1,158,3,8,5,0,1,1,0,0,3.9,12,35,36,3,15,23,1,1
Alessandro Russo,ITA,Goalkeeper,Sassuolo,,2001,1,1,90,1,5,4,0,1,1,0,0,1.5,1,3,28,12,4,8,2,1
Mouhamadou Sarr,SEN,Goalkeeper,Spezia,,1997,4,4,360,4,15,11,1,0,0,0,0,3.7,23,64,80,10,25,47,6,6
Jacopo Sassi,ITA,Goalkeeper,Modena,,2003,1,1,90,3,5,3,0,0,0,0,0,1.1,6,14,28,4,8,16,0,2
Giacomo Satalino,ITA,Goalkeeper,Sassuolo,,1999,10,10,900,10,39,29,4,0,0,0,0,11.4,46,118,206,36,52,171,10,2
Adrian Šemper,CRO,Goalkeeper,Pisa,,1998,36,36,3240,33,121,89,11,1,1,0,0,37.3,264,622,1014,85,177,507,38,22
Luigi Sepe,ITA,Goalkeeper,Salernitana,,1991,18,18,1575,22,68,46,4,3,3,0,0,23.0,59,204,454,68,118,196,12,9
Marco Silvestri,ITA,Goalkeeper,Sampdoria,,1991,7,7,630,12,33,21,1,1,1,0,0,8.7,21,71,177,25,40,89,6,0
Salvatore Sirigu,ITA,Goalkeeper,Palermo,,1987,3,3,270,2,7,5,2,0,0,0,0,1.0,12,30,81,6,13,39,1,1
Alessandro Sorrentino,ITA,Goalkeeper,Frosinone,,2002,2,2,180,7,15,8,0,1,1,0,0,5.7,8,20,48,9,9,27,1,0
Demba Thiam,SEN,Goalkeeper,Juve Stabia,,1998,38,38,3420,41,148,106,12,7,5,1,1,46.7,218,723,1242,143,195,571,63,27
Thomas Vettorel,ITA,Goalkeeper,Cosenza,,2000,2,1,124,3,6,3,0,1,1,0,0,2.5,6,17,33,4,11,10,0,3
Paolo Vismara,ITA,Goalkeeper,Sampdoria,,2003,10,7,753,15,48,32,4,1,0,1,0,13.8,26,116,202,34,59,128,10,3
Luis Barraza,USA,Goalkeeper,D.C. United,28,1996,18,18,1620,32,91,60,3,2,2,0,0,28.5,89,295,496,87,130,220,16,18
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19,2006,1,1,90,3,5,3,0,0,0,0,0,2.3,4,18,21,6,6,4,0,0
David Bingham,USA,Goalkeeper,Charlotte,35,1989,2,2,180,2,11,9,1,0,0,0,0,2.4,3,18,48,8,14,37,4,1
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34,1990,15,15,1350,14,47,33,5,2,2,0,0,15.9,76,168,338,46,82,153,7,23
Jonathan Bond,ENG,Goalkeeper,Houston Dynamo,32,1993,16,16,1440,27,66,38,5,2,1,1,0,21.3,57,151,426,70,62,183,7,24
Chris Brady,USA,Goalkeeper,Chicago Fire,21,2004,18,18,1565,31,88,57,3,6,4,1,1,31.6,34,115,471,77,91,227,12,15
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27,1998,3,3,270,9,20,11,0,0,0,0,0,8.1,9,27,81,13,10,31,6,2
Roman Bürki,SUI,Goalkeeper,St. Louis,34,1990,15,15,1350,26,85,60,3,3,3,0,0,27.0,80,205,482,75,99,176,9,17
Evan Bush,USA,Goalkeeper,Columbus Crew,39,1986,5,5,450,3,7,4,2,0,0,0,0,2.7,6,22,142,19,32,38,3,12
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35,1990,24,24,2160,30,99,67,6,5,3,2,0,33.3,90,241,895,82,176,262,4,39
Drake Callender,USA,Goalkeeper,Inter Miami,27,1997,3,2,185,5,13,8,0,0,0,0,0,4.7,10,17,57,10,9,15,0,3
Roman Celentano,USA,Goalkeeper,FC Cincinnati,24,2000,25,25,2250,31,102,72,9,5,3,1,1,32.8,87,253,598,118,176,374,20,11
Michael Collodi,USA,Goalkeeper,FC Dallas,24,2001,2,2,180,2,6,4,1,0,0,0,0,2.5,5,18,59,11,8,27,1,6
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28,1996,24,24,2160,35,116,83,7,2,2,0,0,38.9,69,292,617,115,131,288,18,49
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31,1994,12,12,1080,16,60,44,3,0,0,0,0,15.8,56,151,352,58,73,132,6,10
Daniel,BRA,Goalkeeper,SJ Earthquakes,31,1994,21,21,1775,32,108,77,2,1,1,0,0,34.3,75,219,498,92,118,248,14,41
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24,2000,21,21,1890,29,90,61,7,5,4,1,0,28.0,27,65,590,91,85,188,12,32
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33,1992,6,4,475,12,23,11,2,1,1,0,0,8.7,22,64,120,30,28,60,1,6
Matt Freese,USA,Goalkeeper,NYCFC,26,1998,21,21,1890,27,92,68,6,1,1,0,0,27.5,35,138,538,128,95,258,16,28
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39,1986,18,18,1620,20,64,46,6,3,3,0,0,18.5,55,175,399,70,119,200,10,10
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32,1993,7,6,591,9,19,11,1,1,1,0,0,6.2,19,52,149,27,41,73,7,3
Pedro Gallese,PER,Goalkeeper,Orlando City,35,1990,23,23,2070,31,97,67,8,3,3,0,0,33.2,102,254,454,56,136,343,15,26
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22,2002,4,3,294,4,15,11,2,0,0,0,0,6.1,8,39,83,18,17,44,2,4
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40,1984,23,23,2070,44,124,80,2,5,5,0,0,39.5,99,237,579,106,164,255,7,28
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,28,1996,3,3,270,10,23,13,0,0,0,0,0,9.3,0,2,52,13,16,23,2,4
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24,2001,10,10,900,14,46,33,3,3,2,1,0,14.2,48,182,249,35,72,127,16,23
Thomas Hasal,CAN,Goalkeeper,LAFC,26,1999,1,1,90,5,9,4,0,0,0,0,0,2.9,1,7,26,8,6,11,2,0
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20,2004,1,1,90,1,5,4,0,0,0,0,0,0.8,0,7,43,4,5,11,1,2
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31,1993,24,24,2160,35,101,66,8,4,4,0,0,31.5,83,277,438,57,198,293,9,11
Sean Johnson,USA,Goalkeeper,Toronto FC,36,1989,24,24,2160,32,113,81,6,4,4,0,0,40.4,78,258,548,89,174,299,12,19
Kim Joonhong,KOR,Goalkeeper,D.C. United,22,2003,7,7,630,17,39,22,1,2,2,0,0,15.6,51,118,174,26,50,75,5,13
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33,1992,23,23,2070,37,118,81,6,6,6,0,0,37.3,62,170,605,125,126,326,15,15
Hugo Lloris,FRA,Goalkeeper,LAFC,38,1986,20,20,1800,22,65,44,8,3,3,0,0,20.9,92,221,454,68,104,232,8,21
Benjamin Lundt,GER,Goalkeeper,St. Louis,29,1995,9,9,810,14,46,31,2,2,1,1,0,14.1,50,114,210,43,81,126,6,6
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25,1999,1,1,90,1,2,1,0,0,0,0,0,0.7,4,16,27,3,4,8,1,2
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36,1988,2,1,120,1,5,4,0,0,0,0,0,0.8,6,20,36,4,6,16,1,1
John McCarthy,USA,Goalkeeper,LA Galaxy,33,1992,11,11,990,26,56,31,0,4,3,1,0,20.0,27,123,245,46,54,135,8,9
Novak Mićović,SRB,Goalkeeper,LA Galaxy,23,2001,13,13,1170,22,52,30,2,0,0,0,0,21.6,30,142,322,46,74,154,13,4
David Ochoa,USA,Goalkeeper,LAFC,24,2001,1,1,90,1,1,0,0,0,0,0,0,0.9,0,1,18,7,5,13,0,0
