Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30.0,1995,5,5,450,3.0,6.4,3.4,0.0,0.0,0.0,0.0,0.0,1.86,3.0,11.6,14.4,2.6,6.4,11.2,1.0,0.4,0.0,-3.0,0.2,53.12,0.0,100.0,0.0
Brenno,BRA,Goalkeeper,Fortaleza,26.0,1999,1,1,90,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,21.0,5.0,10.0,8.0,0.0,0.0,0.0,-1.0,1.0,66.67,0.0,0.0,0.0
Bruno Ferreira,BRA,Goalkeeper,Ceará,31.0,1994,9,9,783,1.03,2.99,1.95,0.23,0.0,0.0,0.0,0.0,1.13,5.29,16.32,20.46,2.64,8.74,16.55,1.15,0.8,0.0,-1.03,0.11,65.22,0.0,115.0,0.0
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24.0,2000,21,21,1890,1.38,4.29,2.9,0.33,0.24,0.19,0.05,0.0,1.33,1.29,3.1,28.1,4.33,4.05,8.95,0.57,1.52,0.05,-1.38,0.05,67.6,0.0,57.0,0.0
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28.0,1996,24,24,2160,1.46,4.83,3.46,0.29,0.08,0.08,0.0,0.0,1.62,2.88,12.17,25.71,4.79,5.46,12.0,0.75,2.04,0.0,-1.46,0.04,71.64,0.0,75.0,0.0
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38.0,1987,1,1,90,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.6,1.0,2.0,48.0,8.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Caíque França,BRA,Goalkeeper,Sport Recife,30.0,1995,12,12,1080,1.67,4.92,3.33,0.17,0.33,0.25,0.0,0.08,1.48,3.67,8.83,18.58,4.33,8.17,13.67,0.83,0.92,0.08,-1.67,0.08,67.68,0.0,83.0,0.0
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,1.78,5.06,3.28,0.17,0.35,0.23,0.06,0.06,1.82,1.96,6.61,27.09,4.43,5.23,13.05,0.69,0.86,0.12,-1.78,0.06,64.82,0.0,69.0,0.0
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27.0,1997,14,14,1260,1.14,4.0,2.93,0.36,0.0,0.0,0.0,0.0,1.07,3.14,8.07,24.5,5.57,6.71,17.0,0.64,0.79,0.0,-1.14,0.07,73.25,0.0,64.0,0.0
Cássio,BRA,Goalkeeper,Cruzeiro,38.0,1987,16,16,1440,0.69,3.94,3.19,0.5,0.06,0.0,0.06,0.0,0.88,2.81,7.56,13.5,2.62,7.31,16.06,0.31,0.62,0.06,-0.69,0.06,80.96,0.0,31.0,0.0
Daniel,BRA,Goalkeeper,SJ Earthquakes,31.0,1994,21,21,1775,1.62,5.48,3.9,0.1,0.05,0.05,0.0,0.0,1.74,3.8,11.1,25.25,4.66,5.98,12.57,0.71,2.08,0.0,-1.62,0.05,71.17,0.0,71.0,0.0
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28.0,1997,1,0,2,45.0,90.0,45.0,0.0,0.0,0.0,0.0,0.0,40.5,90.0,270.0,135.0,0.0,135.0,180.0,0.0,0.0,0.0,-45.0,45.0,50.0,0.0,0.0,0.0
David Bingham,USA,Goalkeeper,Charlotte,35.0,1989,2,2,180,1.0,5.5,4.5,0.5,0.0,0.0,0.0,0.0,1.2,1.5,9.0,24.0,4.0,7.0,18.5,2.0,0.5,0.0,-1.0,0.5,81.82,0.0,200.0,0.0
David Ochoa,USA,Goalkeeper,LAFC,24.0,2001,1,1,90,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.0,18.0,7.0,5.0,13.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
David Ospina,COL,Goalkeeper,co Nacional,36.0,1988,5,5,450,1.2,4.4,3.2,0.2,0.6,0.6,0.0,0.0,1.34,5.0,11.2,35.8,5.2,2.6,12.6,0.6,0.6,0.0,-1.2,0.2,72.73,0.0,60.0,0.0
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28.0,1997,21,21,1890,0.9,3.67,2.86,0.38,0.14,0.1,0.0,0.05,1.0,5.29,18.14,27.29,3.05,5.95,18.52,0.62,0.33,0.05,-0.9,0.05,77.93,0.0,62.0,0.0
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23.0,2002,6,6,540,2.67,7.17,4.5,0.0,0.33,0.33,0.0,0.0,2.15,3.17,9.33,21.83,3.0,8.0,14.17,0.67,1.0,0.0,-2.67,0.17,62.76,0.0,67.0,0.0
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36.0,1989,19,19,1710,0.58,2.95,2.37,0.58,0.05,0.0,0.05,0.0,0.73,5.84,12.63,27.32,1.95,5.32,10.79,0.32,0.16,0.05,-0.58,0.05,80.34,0.0,32.0,0.0
Drake Callender,USA,Goalkeeper,Inter Miami,27.0,1997,3,2,185,2.43,6.32,3.89,0.0,0.0,0.0,0.0,0.0,2.29,4.86,8.27,27.73,4.86,4.38,7.3,0.0,1.46,0.0,-2.43,0.49,61.55,0.0,0.0,0.0
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33.0,1992,6,4,475,2.27,4.36,2.08,0.38,0.19,0.19,0.0,0.0,1.65,4.17,12.13,22.74,5.68,5.31,11.37,0.19,1.14,0.0,-2.27,0.19,47.71,0.0,19.0,0.0
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43.0,1982,19,19,1710,1.26,4.58,3.32,0.37,0.05,0.05,0.0,0.0,1.44,7.26,14.68,23.89,3.53,7.26,16.0,0.63,0.58,0.0,-1.26,0.05,72.49,0.0,63.0,0.0
Evan Bush,USA,Goalkeeper,Columbus Crew,39.0,1986,5,5,450,0.6,1.4,0.8,0.4,0.0,0.0,0.0,0.0,0.54,1.2,4.4,28.4,3.8,6.4,7.6,0.6,2.4,0.0,-0.6,0.2,57.14,0.0,60.0,0.0
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28.0,1997,19,19,1710,1.0,4.05,3.05,0.42,0.21,0.16,0.05,0.0,1.07,5.58,17.05,20.89,3.63,8.47,17.74,0.95,0.53,0.05,-1.0,0.05,75.31,0.0,95.0,0.0
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28.0,1997,7,5,513,1.4,5.26,3.86,0.35,0.0,0.0,0.0,0.0,1.09,4.39,13.86,18.6,3.33,9.65,15.61,0.35,0.7,0.0,-1.4,0.18,73.38,0.0,35.0,0.0
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24.0,2001,19,19,1710,1.21,4.26,3.0,0.26,0.26,0.16,0.11,0.0,1.25,5.53,15.16,18.42,3.05,7.32,15.21,0.63,0.68,0.11,-1.21,0.05,70.42,0.0,63.0,0.0
