Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,66,5,3,11,19,22,39,46,8,53,82,78,21,6,5,79,90,36,66,94,5,50,79,50
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,4,74,55,11,19,22,39,46,94,53,90,36,92,35,0,5,6,36,4,94,17,50,5,50
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,81,22,38,82,19,22,39,46,15,38,30,41,73,82,61,57,35,36,81,24,81,50,57,50
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29.0,1995,22,22,1980,94,7,15,94,57,49,90,46,4,22,17,72,29,4,18,84,56,88,94,39,85,50,84,50
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34.0,1990,23,23,2070,50,18,14,50,48,57,39,46,25,25,46,6,13,71,45,23,24,36,50,39,23,50,23,50
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,27,87,83,30,90,77,96,46,78,60,44,36,87,63,49,52,66,95,27,56,40,50,52,50
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,25,76,69,11,19,22,39,46,75,84,97,48,4,39,88,5,71,36,25,88,33,50,5,50
Alex Muralha,BRA,Goalkeeper,Mirassol,35.0,1989,6,6,540,33,50,39,11,66,77,39,46,53,13,25,32,27,27,92,31,95,36,33,56,25,50,31,50
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33.0,1992,3,3,270,14,95,97,57,19,22,39,46,87,98,97,11,16,97,94,19,45,36,14,75,56,50,19,50
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23.0,2001,1,0,14,97,0,0,100,19,22,39,46,0,99,99,74,0,98,44,5,6,36,97,99,0,50,5,0
