Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,48,51
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,12,57
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,72,48
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29.0,1995,22,22,1980,84,39
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34.0,1990,23,23,2070,38,24
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,40,59
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,30,54
Alex Muralha,BRA,Goalkeeper,Mirassol,35.0,1989,6,6,540,33,27
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33.0,1992,3,3,270,33,55
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23.0,2001,1,0,14,58,64
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31.0,1993,24,24,2160,34,32
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34.0,1990,15,15,1350,59,55
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19.0,2006,10,10,900,45,50
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31.0,1993,4,4,306,17,53
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26.0,1998,6,6,540,22,34
Anthoni,BRA,Goalkeeper,br Internacional,23.0,2002,18,17,1575,34,23
Axel Werner,ARG,Goalkeeper,Rosario Central,29.0,1996,2,2,180,79,30
Benjamin Lundt,GER,Goalkeeper,St. Louis,29.0,1995,9,9,810,40,69
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22.0,2002,4,3,294,56,48
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40.0,1984,23,23,2070,26,61
Brad Stuver,USA,Goalkeeper,Austin,34.0,1991,23,23,2070,63,75
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30.0,1995,5,5,450,18,25
Brenno,BRA,Goalkeeper,Fortaleza,26.0,1999,1,1,90,46,45
Bruno Ferreira,BRA,Goalkeeper,Ceará,31.0,1994,9,9,783,50,50
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24.0,2000,21,21,1890,43,42
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28.0,1996,24,24,2160,47,49
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38.0,1987,1,1,90,85,51
Caíque França,BRA,Goalkeeper,Sport Recife,30.0,1995,12,12,1080,40,46
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,33,44
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27.0,1997,14,14,1260,55,54
Cássio,BRA,Goalkeeper,Cruzeiro,38.0,1987,16,16,1440,75,22
Daniel,BRA,Goalkeeper,SJ Earthquakes,31.0,1994,21,21,1775,43,57
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28.0,1997,1,0,2,11,70
David Bingham,USA,Goalkeeper,Charlotte,35.0,1989,2,2,180,73,36
David Ochoa,USA,Goalkeeper,LAFC,24.0,2001,1,1,90,38,33
David Ospina,COL,Goalkeeper,co Nacional,36.0,1988,5,5,450,52,75
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28.0,1997,21,21,1890,68,62
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23.0,2002,6,6,540,23,36
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36.0,1989,19,19,1710,75,62
Drake Callender,USA,Goalkeeper,Inter Miami,27.0,1997,3,2,185,20,70
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33.0,1992,6,4,475,15,61
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43.0,1982,19,19,1710,51,67
Evan Bush,USA,Goalkeeper,Columbus Crew,39.0,1986,5,5,450,61,39
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28.0,1997,19,19,1710,67,58
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28.0,1997,7,5,513,46,46
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24.0,2001,19,19,1710,52,52
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32.0,1992,3,3,270,19,50
Felipe Zenobio,ARG,Goalkeeper,Tigre,25.0,2000,19,19,1710,72,44
Fernando Miguel,BRA,Goalkeeper,Ceará,40.0,1985,8,7,657,74,58
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39.0,1986,3,3,270,84,71
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34.0,1991,1,1,90,84,49
Franco Armani,ARG,Goalkeeper,ar River Plate,38.0,1986,25,25,2250,70,39
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27.0,1998,19,19,1710,66,76
Fábio,BRA,Goalkeeper,Fluminense,44.0,1980,15,15,1350,41,25
Gabriel,BRA,Goalkeeper,Sport Recife,32.0,1992,4,4,360,20,50
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37.0,1987,20,20,1734,75,45
Gabriel Brazão,BRA,Goalkeeper,Santos,24.0,2000,16,16,1440,50,36
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31.0,1993,6,6,540,59,38
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23.0,2002,1,1,90,28,41
Gastón Olveira,URU,Goalkeeper,py Olimpia,32.0,1993,3,3,270,41,48
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37.0,1988,3,3,270,33,48
