Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,25.0,1999,1,1,90,1,2,1,0,0,0,0,0,0.7,4,16,27,3,4,8,1,2,0,-1.0,1
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19.0,2006,1,1,90,3,5,3,0,0,0,0,0,2.3,4,18,21,6,6,4,0,0,0,-3.0,1
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37.0,1988,17,17,1530,12,57,45,8,0,0,0,0,14.5,57,157,370,81,143,245,12,9,0,-12.0,1
Agustín Rossi,ARG,Goalkeeper,br Flamengo,29.0,1995,22,22,1980,9,57,46,15,3,1,2,0,12.2,62,163,560,72,83,237,23,18,2,-9.0,2
Alan Aguerre,ARG,Goalkeeper,ar Cen. Córdoba–SdE,34.0,1990,23,23,2070,28,74,47,7,2,2,0,0,23.099999999999998,67,249,344,58,175,298,9,8,0,-28.0,2
Aldair Quintana,COL,Goalkeeper,co CA Bucaramanga,31.0,1994,6,6,540,10,34,23,1,2,1,1,0,10.5,26,64,126,33,43,80,4,6,1,-10.0,1
Alec Smir,USA,Goalkeeper,Minnesota Utd,26.0,1999,2,1,161,3,9,6,0,0,0,0,0,3.0,10,38,40,3,11,32,0,2,0,-3.0,1
Alex Muralha,BRA,Goalkeeper,Mirassol,35.0,1989,6,6,540,9,25,16,0,1,1,0,0,7.8,13,53,123,19,34,113,3,14,0,-9.0,1
Alexis Martin Arias,ARG,Goalkeeper,py Cerro Porteño,33.0,1992,3,3,270,6,21,15,1,0,0,0,0,5.7,33,63,49,8,37,58,1,2,0,-6.0,1
Alexis Villa,ECU,Goalkeeper,ec LDU de Quito,23.0,2001,1,0,14,0,0,0,1,0,0,0,0,0.0,2,6,4,0,2,2,0,0,0,0.0,1
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31.0,1993,24,24,2160,35,101,66,8,4,4,0,0,31.5,83,277,438,57,198,293,9,11,0,-35.0,1
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34.0,1990,15,15,1350,14,47,33,5,2,2,0,0,15.9,76,168,338,46,82,153,7,23,0,-14.0,1
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19.0,2006,10,10,900,10,23,13,4,1,1,0,0,9.8,56,152,168,28,70,97,3,6,0,-10.0,1
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31.0,1993,4,4,306,7,15,8,1,0,0,0,0,6.1,12,33,84,15,13,31,1,4,0,-7.0,1
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26.0,1998,6,6,540,15,36,22,0,4,4,0,0,11.8,6,44,111,32,34,86,8,1,0,-15.0,1
Anthoni,BRA,Goalkeeper,br Internacional,23.0,2002,18,17,1575,26,67,43,4,1,1,0,0,19.1,45,144,279,48,131,195,10,19,0,-26.0,2
Axel Werner,ARG,Goalkeeper,Rosario Central,29.0,1996,2,2,180,0,3,3,2,0,0,0,0,1.5,6,19,28,7,15,30,1,0,0,0.0,1
Benjamin Lundt,GER,Goalkeeper,St. Louis,29.0,1995,9,9,810,14,46,31,2,2,1,1,0,14.1,50,114,210,43,81,126,6,6,1,-14.0,1
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22.0,2002,4,3,294,4,15,11,2,0,0,0,0,6.1,8,39,83,18,17,44,2,4,0,-4.0,1
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40.0,1984,23,23,2070,44,124,80,2,5,5,0,0,39.5,99,237,579,106,164,255,7,28,0,-44.0,1
Brad Stuver,USA,Goalkeeper,Austin,34.0,1991,23,23,2070,26,105,80,8,3,2,1,0,28.2,131,363,696,101,168,343,23,20,1,-26.0,1
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30.0,1995,5,5,450,15,32,17,0,0,0,0,0,9.3,15,58,72,13,32,56,5,2,0,-15.0,1
Brenno,BRA,Goalkeeper,Fortaleza,26.0,1999,1,1,90,1,3,2,0,0,0,0,0,2.0,3,9,21,5,10,8,0,0,0,-1.0,1
Bruno Ferreira,BRA,Goalkeeper,Ceará,31.0,1994,9,9,783,9,26,17,2,0,0,0,0,9.8,46,142,178,23,76,144,10,7,0,-9.0,1
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24.0,2000,21,21,1890,29,90,61,7,5,4,1,0,28.0,27,65,590,91,85,188,12,32,1,-29.0,1
