Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J11,Diant Ramaj,Ajax,Europa Conference League,de GER,22-170,90,1,0,1,100.0,0.1,4,11,36.4,42,3,26.2,32.0,4,0.0,19.3,10,1,10.0,1,12.2
J11,Emiliano Martínez,Aston Villa,Europa Conference League,ar ARG,31-187,90,1,0,1,100.0,0.2,9,20,45.0,44,1,40.9,36.8,3,66.7,59.3,8,1,12.5,3,18.4
