Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J35,Chris Ramos,Cádiz,La Liga,16.0,es ESP,FW,27-117,69,0,0,0,0,1,1,0,0,27,0,0,1,0.0,0.0,0.2,6,1,10,17,58.8,2,16,1,1,0,Chris Ramos,16.0,es ESP,FW,27-117,69,10,17,58.8,121,38,5,8,62.5,2,5,40.0,1,1,100.0,0,0.2,0.2,4,1,1,0,2,Chris Ramos,16.0,es ESP,FW,27-117,69,17,17,0,0,0,0,0,0,0,0,0,0,10,0,0,Chris Ramos,16.0,es ESP,FW,27-117,69,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Chris Ramos,16.0,es ESP,FW,27-117,69,27,2,2,6,19,4,27,1,0,0.0,1,100.0,16,31,12,1,0,1,5,1,25,7,Chris Ramos,16.0,es ESP,FW,27-117,69,0,0,0,1,2,0,0,0,0,1,0,0,0,3,2,60.0
J35,Maxi Gómez,Cádiz,La Liga,25.0,uy URU,FW,27-272,21,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,6,0,0,0,Maxi Gómez,25.0,uy URU,FW,27-272,21,4,8,50.0,39,1,3,5,60.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Maxi Gómez,25.0,uy URU,FW,27-272,21,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Maxi Gómez,25.0,uy URU,FW,27-272,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Maxi Gómez,25.0,uy URU,FW,27-272,21,9,0,0,4,5,0,9,0,0,,0,,6,21,14,0,0,0,0,1,9,0,Maxi Gómez,25.0,uy URU,FW,27-272,21,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,33.3
J35,Roger Martí,Cádiz,La Liga,21.0,es ESP,FW,33-130,63,0,0,0,0,3,1,0,0,27,1,0,1,0.3,0.3,0.0,0,0,9,16,56.3,1,20,1,1,0,Roger Martí,21.0,es ESP,FW,33-130,63,9,16,56.3,137,27,5,9,55.6,4,6,66.7,0,0,,0,0.0,0.0,0,1,0,0,1,Roger Martí,21.0,es ESP,FW,33-130,63,16,15,1,0,0,0,1,0,0,0,0,0,9,0,1,Roger Martí,21.0,es ESP,FW,33-130,63,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,0,0,Roger Martí,21.0,es ESP,FW,33-130,63,27,0,1,10,16,4,27,1,0,0.0,1,100.0,20,94,17,1,1,1,3,0,17,3,Roger Martí,21.0,es ESP,FW,33-130,63,0,0,0,3,1,1,1,0,0,0,0,0,2,0,1,0.0
J35,Juanmi,Cádiz,La Liga,9.0,es ESP,FW,30-358,27,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,0,0,Juanmi,9.0,es ESP,FW,30-358,27,2,3,66.7,26,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Juanmi,9.0,es ESP,FW,30-358,27,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Juanmi,9.0,es ESP,FW,30-358,27,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Juanmi,9.0,es ESP,FW,30-358,27,5,0,1,4,0,0,5,0,0,,0,,4,33,1,0,0,0,0,1,3,1,Juanmi,9.0,es ESP,FW,30-358,27,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,
J35,Roberto Navarro,Cádiz,La Liga,27.0,es ESP,LM,22-030,81,0,0,0,0,2,0,0,0,49,2,0,1,0.1,0.1,0.4,5,0,30,40,75.0,2,31,3,3,1,Roberto Navarro,27.0,es ESP,LM,22-030,81,30,40,75.0,424,89,18,20,90.0,10,11,90.9,1,5,20.0,0,0.4,0.3,4,1,0,0,2,Roberto Navarro,27.0,es ESP,LM,22-030,81,40,36,4,0,0,0,4,2,2,0,2,0,30,0,1,Roberto Navarro,27.0,es ESP,LM,22-030,81,2,2,1,1,0,2,3,66.7,1,1,0,1,0,2,0,0,Roberto Navarro,27.0,es ESP,LM,22-030,81,49,0,4,19,26,4,49,3,1,33.3,2,66.7,31,236,126,3,3,1,0,1,32,7,Roberto Navarro,27.0,es ESP,LM,22-030,81,0,0,0,0,1,0,4,0,2,0,0,0,7,1,1,50.0
J35,Lucas,Cádiz,La Liga,33.0,br BRA,LM,23-049,9,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,1,0,5,9,55.6,1,5,1,0,0,Lucas,33.0,br BRA,LM,23-049,9,5,9,55.6,54,28,3,3,100.0,2,5,40.0,0,1,0.0,0,0.0,0.0,1,0,1,0,1,Lucas,33.0,br BRA,LM,23-049,9,9,8,1,0,0,0,0,1,0,0,0,0,5,0,0,Lucas,33.0,br BRA,LM,23-049,9,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,Lucas,33.0,br BRA,LM,23-049,9,12,0,2,8,2,0,12,0,0,,0,,5,22,19,1,0,0,1,2,5,1,Lucas,33.0,br BRA,LM,23-049,9,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,
J35,Rubén Alcaraz,Cádiz,La Liga,4.0,es ESP,CM,33-011,90,1,0,1,1,1,0,0,0,63,2,0,0,0.8,0.0,0.0,3,0,47,54,87.0,4,39,1,0,0,Rubén Alcaraz,4.0,es ESP,CM,33-011,90,47,54,87.0,902,253,22,23,95.7,16,16,100.0,7,12,58.3,0,0.0,0.0,0,5,0,0,4,Rubén Alcaraz,4.0,es ESP,CM,33-011,90,54,51,3,2,0,2,2,0,1,1,0,0,47,0,1,Rubén Alcaraz,4.0,es ESP,CM,33-011,90,2,1,1,0,1,0,2,0.0,2,0,0,0,0,2,2,0,Rubén Alcaraz,4.0,es ESP,CM,33-011,90,63,1,14,35,15,2,62,0,0,,0,,39,274,68,1,0,1,1,1,43,2,Rubén Alcaraz,4.0,es ESP,CM,33-011,90,0,0,0,3,2,0,2,0,1,0,0,0,7,0,1,0.0
J35,Gonzalo Escalante,Cádiz,La Liga,17.0,ar ARG,CM,31-046,90,0,0,0,0,1,1,0,0,44,2,1,3,0.1,0.1,0.0,1,0,20,33,60.6,4,21,0,1,0,Gonzalo Escalante,17.0,ar ARG,CM,31-046,90,20,33,60.6,300,75,13,17,76.5,6,10,60.0,1,3,33.3,0,0.0,0.1,0,1,1,0,4,Gonzalo Escalante,17.0,ar ARG,CM,31-046,90,33,31,1,1,0,0,0,0,0,0,0,0,20,1,1,Gonzalo Escalante,17.0,ar ARG,CM,31-046,90,2,1,0,1,1,0,1,0.0,1,3,0,3,1,3,1,0,Gonzalo Escalante,17.0,ar ARG,CM,31-046,90,44,1,7,29,8,1,44,1,0,0.0,1,100.0,21,69,17,0,0,0,0,0,23,2,Gonzalo Escalante,17.0,ar ARG,CM,31-046,90,0,0,0,0,2,0,0,1,1,0,0,0,4,2,2,50.0
J35,Rubén Sobrino,Cádiz,La Liga,7.0,es ESP,RM,31-346,63,0,0,0,0,0,0,1,0,23,0,0,1,0.0,0.0,0.0,1,0,13,18,72.2,0,14,1,2,0,Rubén Sobrino,7.0,es ESP,RM,31-346,63,13,18,72.2,150,11,9,10,90.0,3,5,60.0,0,0,,0,0.0,0.0,1,0,0,0,0,Rubén Sobrino,7.0,es ESP,RM,31-346,63,18,18,0,0,0,0,1,0,0,0,0,0,13,0,1,Rubén Sobrino,7.0,es ESP,RM,31-346,63,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Rubén Sobrino,7.0,es ESP,RM,31-346,63,23,0,1,11,11,3,23,2,0,0.0,2,100.0,14,58,34,1,0,0,1,4,18,4,Rubén Sobrino,7.0,es ESP,RM,31-346,63,1,0,0,4,2,0,1,0,0,0,0,0,2,0,1,0.0
J35,Iván Alejo,Cádiz,La Liga,11.0,es ESP,RM,29-092,27,0,0,0,0,1,0,1,0,7,1,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,5,0,2,1,Iván Alejo,11.0,es ESP,RM,29-092,27,1,2,50.0,4,1,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Iván Alejo,11.0,es ESP,RM,29-092,27,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Iván Alejo,11.0,es ESP,RM,29-092,27,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Iván Alejo,11.0,es ESP,RM,29-092,27,7,0,2,4,2,1,7,2,1,50.0,1,50.0,5,33,9,0,1,0,1,1,5,2,Iván Alejo,11.0,es ESP,RM,29-092,27,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,
