Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J5,Jean-Pierre Nsame,Young Boys,Champions League,18.0,cm CMR,FW,30-211,73,0,0,0,0,3,0,0,0,31,1,0,0,0.2,0.2,0.1,4,0,14,20,70.0,4,22,0,0,0,Jean-Pierre Nsame,18.0,cm CMR,FW,30-211,73,14,20,70.0,194,46,8,10,80.0,6,9,66.7,0,0,,0,0.1,0.0,2,3,0,0,4,Jean-Pierre Nsame,18.0,cm CMR,FW,30-211,73,20,20,0,0,0,0,1,0,0,0,0,0,14,0,0,Jean-Pierre Nsame,18.0,cm CMR,FW,30-211,73,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0,Jean-Pierre Nsame,18.0,cm CMR,FW,30-211,73,31,2,4,14,13,4,31,0,0,,0,,22,50,28,0,0,0,3,0,25,7,Jean-Pierre Nsame,18.0,cm CMR,FW,30-211,73,0,0,0,1,2,1,1,0,1,0,0,0,4,3,4,42.9
J5,Silvère Ganvoula M'Boussy,Young Boys,Champions League,35.0,cg CGO,FW,27-159,17,0,0,0,0,1,0,0,0,10,0,0,0,0.2,0.2,0.0,1,0,4,7,57.1,0,7,0,1,0,Silvère Ganvoula M'Boussy,35.0,cg CGO,FW,27-159,17,4,7,57.1,64,16,2,3,66.7,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,Silvère Ganvoula M'Boussy,35.0,cg CGO,FW,27-159,17,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0,Silvère Ganvoula M'Boussy,35.0,cg CGO,FW,27-159,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Silvère Ganvoula M'Boussy,35.0,cg CGO,FW,27-159,17,10,0,0,3,7,2,10,1,0,0.0,1,100.0,7,19,0,0,0,0,0,0,8,4,Silvère Ganvoula M'Boussy,35.0,cg CGO,FW,27-159,17,0,0,0,0,0,1,1,0,0,0,0,0,2,3,1,75.0
J5,Meschak Elia,Young Boys,Champions League,15.0,cd COD,"FW,LW",26-114,90,0,0,0,0,1,1,0,0,33,2,0,3,0.1,0.1,0.1,9,0,20,23,87.0,2,23,5,6,4,Meschak Elia,15.0,cd COD,"FW,LW",26-114,90,20,23,87.0,271,43,15,17,88.2,5,6,83.3,0,0,,0,0.1,0.1,4,0,2,1,2,Meschak Elia,15.0,cd COD,"FW,LW",26-114,90,23,21,2,0,0,0,1,1,0,0,0,0,20,0,0,Meschak Elia,15.0,cd COD,"FW,LW",26-114,90,2,1,1,1,0,1,4,25.0,3,3,0,3,0,2,0,0,Meschak Elia,15.0,cd COD,"FW,LW",26-114,90,33,0,1,7,26,3,33,6,4,66.7,2,33.3,23,183,96,5,2,2,0,2,25,9,Meschak Elia,15.0,cd COD,"FW,LW",26-114,90,0,0,0,1,2,2,1,0,1,0,0,0,1,1,0,100.0
J5,Joel Monteiro,Young Boys,Champions League,77.0,ch SUI,"LM,RM",24-115,73,0,0,0,0,1,1,0,0,25,4,2,0,0.1,0.1,0.0,1,0,13,16,81.3,1,12,0,3,2,Joel Monteiro,77.0,ch SUI,"LM,RM",24-115,73,13,16,81.3,256,26,7,8,87.5,3,3,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,1,Joel Monteiro,77.0,ch SUI,"LM,RM",24-115,73,16,15,0,0,0,1,0,0,0,0,0,0,13,1,0,Joel Monteiro,77.0,ch SUI,"LM,RM",24-115,73,4,2,1,3,0,1,3,33.3,2,0,0,0,2,6,0,0,Joel Monteiro,77.0,ch SUI,"LM,RM",24-115,73,25,0,7,16,4,2,25,3,2,66.7,1,33.3,12,77,37,0,1,0,2,0,13,2,Joel Monteiro,77.0,ch SUI,"LM,RM",24-115,73,0,0,0,2,2,0,0,2,2,0,0,0,5,1,1,50.0
J5,Miguel Chaiwa,Young Boys,Champions League,14.0,zm ZAM,RM,19-174,17,0,0,0,0,1,1,0,0,10,1,0,2,0.0,0.0,0.0,1,0,5,8,62.5,2,5,0,0,0,Miguel Chaiwa,14.0,zm ZAM,RM,19-174,17,5,8,62.5,87,49,2,5,40.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,2,Miguel Chaiwa,14.0,zm ZAM,RM,19-174,17,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,Miguel Chaiwa,14.0,zm ZAM,RM,19-174,17,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0,Miguel Chaiwa,14.0,zm ZAM,RM,19-174,17,10,0,1,4,6,2,10,0,0,,0,,5,20,9,0,0,0,0,0,3,0,Miguel Chaiwa,14.0,zm ZAM,RM,19-174,17,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,
J5,Cheikh Tidiane Niasse,Young Boys,Champions League,20.0,sn SEN,"CM,LM",23-313,90,0,0,0,0,3,0,0,0,55,1,5,2,0.2,0.2,0.0,2,0,37,42,88.1,6,33,0,0,0,Cheikh Tidiane Niasse,20.0,sn SEN,"CM,LM",23-313,90,37,42,88.1,669,152,18,20,90.0,16,17,94.1,3,4,75.0,0,0.0,0.0,1,3,0,0,6,Cheikh Tidiane Niasse,20.0,sn SEN,"CM,LM",23-313,90,42,40,2,2,0,2,0,0,0,0,0,0,37,0,0,Cheikh Tidiane Niasse,20.0,sn SEN,"CM,LM",23-313,90,1,1,1,0,0,1,1,100.0,0,2,1,1,5,6,0,0,Cheikh Tidiane Niasse,20.0,sn SEN,"CM,LM",23-313,90,55,2,18,30,8,1,55,0,0,,0,,33,107,48,0,2,0,0,1,35,1,Cheikh Tidiane Niasse,20.0,sn SEN,"CM,LM",23-313,90,0,0,0,1,1,0,0,5,1,0,0,0,5,0,1,0.0
J5,Filip Ugrinic,Young Boys,Champions League,7.0,ch SUI,CM,24-327,90,0,0,0,0,3,0,0,0,59,4,1,3,0.1,0.1,0.2,5,0,36,45,80.0,3,24,2,2,1,Filip Ugrinic,7.0,ch SUI,CM,24-327,90,36,45,80.0,618,173,15,17,88.2,15,17,88.2,4,6,66.7,0,0.2,0.1,2,0,0,0,3,Filip Ugrinic,7.0,ch SUI,CM,24-327,90,45,35,9,2,0,0,4,0,7,2,1,0,36,1,0,Filip Ugrinic,7.0,ch SUI,CM,24-327,90,4,2,0,1,3,0,4,0.0,4,3,1,2,1,5,0,0,Filip Ugrinic,7.0,ch SUI,CM,24-327,90,59,3,7,26,27,2,59,2,1,50.0,1,50.0,24,145,77,2,1,1,1,1,31,1,Filip Ugrinic,7.0,ch SUI,CM,24-327,90,0,0,0,0,1,0,4,1,2,0,0,0,7,1,1,50.0
J5,Darian Males,Young Boys,Champions League,39.0,ch SUI,RM,22-209,45,0,0,0,0,1,0,0,0,15,2,0,0,0.0,0.0,0.2,3,0,7,12,58.3,4,11,3,1,1,Darian Males,39.0,ch SUI,RM,22-209,45,7,12,58.3,172,84,0,2,0.0,5,8,62.5,2,2,100.0,0,0.2,0.2,2,0,1,0,4,Darian Males,39.0,ch SUI,RM,22-209,45,12,11,1,0,0,0,2,0,1,1,0,0,7,0,0,Darian Males,39.0,ch SUI,RM,22-209,45,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,Darian Males,39.0,ch SUI,RM,22-209,45,15,0,2,8,5,0,15,1,1,100.0,0,0.0,11,114,62,3,0,0,1,1,11,2,Darian Males,39.0,ch SUI,RM,22-209,45,0,0,0,1,1,0,2,0,1,0,0,0,1,1,0,100.0
J5,Ebrima Colley,Young Boys,Champions League,11.0,gm GAM,"LM,RW",23-300,45,0,0,0,0,2,0,0,0,25,3,0,0,0.1,0.1,0.0,1,0,6,13,46.2,1,13,1,0,0,Ebrima Colley,11.0,gm GAM,"LM,RW",23-300,45,6,13,46.2,64,20,4,7,57.1,2,3,66.7,0,2,0.0,0,0.0,0.0,0,1,1,0,1,Ebrima Colley,11.0,gm GAM,"LM,RW",23-300,45,13,13,0,0,0,0,1,0,0,0,0,0,6,0,0,Ebrima Colley,11.0,gm GAM,"LM,RW",23-300,45,3,2,1,2,0,1,1,100.0,0,0,0,0,0,3,0,0,Ebrima Colley,11.0,gm GAM,"LM,RW",23-300,45,25,0,5,8,13,0,25,0,0,,0,,13,64,28,1,3,0,3,1,15,3,Ebrima Colley,11.0,gm GAM,"LM,RW",23-300,45,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0.0
J5,Ulisses Garcia,Young Boys,Champions League,21.0,ch SUI,LB,27-321,90,0,0,0,0,2,1,0,0,88,1,1,0,0.0,0.0,0.2,9,0,56,80,70.0,6,55,3,2,2,Ulisses Garcia,21.0,ch SUI,LB,27-321,90,56,80,70.0,877,487,34,41,82.9,15,21,71.4,5,11,45.5,0,0.2,0.3,2,8,2,2,6,Ulisses Garcia,21.0,ch SUI,LB,27-321,90,80,65,14,3,0,0,10,11,0,0,0,0,56,1,5,Ulisses Garcia,21.0,ch SUI,LB,27-321,90,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0,Ulisses Garcia,21.0,ch SUI,LB,27-321,90,88,1,20,42,31,1,88,2,2,100.0,0,0.0,55,255,168,3,2,0,4,2,59,5,Ulisses Garcia,21.0,ch SUI,LB,27-321,90,0,0,0,2,1,0,10,1,0,0,0,0,7,4,0,100.0
