Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J12,Koen Casteels,Wolfsburg,Bundesliga,be BEL,31-153,90,9,1,8,88.9,3.4,10,25,40.0,31,4,58.1,41.6,9,77.8,58.6,24,1,4.2,3,27.0
J12,Janis Blaswich,RB Leipzig,Bundesliga,de GER,32-207,90,4,2,2,50.0,0.8,3,4,75.0,38,4,10.5,25.4,3,0.0,18.7,8,1,12.5,1,10.4
