Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J9,Nick Pope,Newcastle Utd,Premier League,eng ENG,31-185,90,3,0,3,100.0,1.0,2,2,100.0,17,6,11.8,26.4,10,0.0,15.5,12,0,0.0,3,22.0
J9,Sam Johnstone,Crystal Palace,Premier League,eng ENG,30-210,90,7,4,3,42.9,3.0,2,10,20.0,12,2,41.7,37.5,5,100.0,58.6,14,1,7.1,0,7.0
