Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J18,Lucas Höler,Freiburg,Bundesliga,9.0,de GER,FW,29-194,83,1,0,0,0,4,2,0,0,44,0,0,0,1.2,1.2,0.0,3,0,19,30,63.3,1,28,0,2,0,Lucas Höler,9.0,de GER,FW,29-194,83,19,30,63.3,183,40,12,18,66.7,3,6,50.0,0,0,,0,0.0,0.1,1,0,0,0,1,Lucas Höler,9.0,de GER,FW,29-194,83,30,30,0,0,0,0,0,0,0,0,0,0,19,0,0,Lucas Höler,9.0,de GER,FW,29-194,83,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Lucas Höler,9.0,de GER,FW,29-194,83,44,1,3,22,19,8,44,2,0,0.0,2,100.0,28,63,12,0,0,0,4,0,35,9,Lucas Höler,9.0,de GER,FW,29-194,83,0,0,0,1,4,0,0,0,0,0,0,0,6,4,3,57.1
J18,Noah Weißhaupt,Freiburg,Bundesliga,7.0,de GER,"LM,FW",22-122,7,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0,Noah Weißhaupt,7.0,de GER,"LM,FW",22-122,7,2,4,50.0,32,25,1,2,50.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,Noah Weißhaupt,7.0,de GER,"LM,FW",22-122,7,4,3,1,0,0,0,0,1,0,0,0,0,2,0,0,Noah Weißhaupt,7.0,de GER,"LM,FW",22-122,7,1,1,1,0,0,0,0,,0,0,0,0,0,1,3,0,Noah Weißhaupt,7.0,de GER,"LM,FW",22-122,7,8,3,5,2,1,0,8,0,0,,0,,2,2,1,0,0,0,0,0,2,1,Noah Weißhaupt,7.0,de GER,"LM,FW",22-122,7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0
J18,Michael Gregoritsch,Freiburg,Bundesliga,38.0,at AUT,FW,29-277,90,0,0,0,0,5,1,0,0,40,2,1,1,0.2,0.2,0.1,3,1,11,25,44.0,1,15,1,3,1,Michael Gregoritsch,38.0,at AUT,FW,29-277,90,11,25,44.0,200,35,5,12,41.7,5,6,83.3,1,2,50.0,0,0.1,0.0,1,1,0,0,1,Michael Gregoritsch,38.0,at AUT,FW,29-277,90,25,23,1,0,0,0,2,0,0,0,0,0,11,1,1,Michael Gregoritsch,38.0,at AUT,FW,29-277,90,2,2,1,0,1,1,4,25.0,3,1,0,1,1,3,0,0,Michael Gregoritsch,38.0,at AUT,FW,29-277,90,40,0,4,11,25,6,40,3,1,33.3,2,66.7,15,90,24,1,0,0,5,1,26,6,Michael Gregoritsch,38.0,at AUT,FW,29-277,90,0,0,0,4,1,0,2,1,2,0,0,0,6,7,2,77.8
J18,Vincenzo Grifo,Freiburg,Bundesliga,32.0,it ITA,LM,30-288,74,1,1,0,0,3,2,1,0,41,1,0,1,0.2,0.2,1.1,7,1,28,34,82.4,6,24,1,3,2,Vincenzo Grifo,32.0,it ITA,LM,30-288,74,28,34,82.4,574,211,10,10,100.0,11,13,84.6,5,9,55.6,1,1.1,1.1,3,4,2,0,6,Vincenzo Grifo,32.0,it ITA,LM,30-288,74,34,30,4,2,1,2,4,0,1,0,1,0,28,0,0,Vincenzo Grifo,32.0,it ITA,LM,30-288,74,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,0,0,Vincenzo Grifo,32.0,it ITA,LM,30-288,74,41,2,6,19,17,3,41,3,2,66.7,1,33.3,24,169,78,1,2,0,1,1,27,5,Vincenzo Grifo,32.0,it ITA,LM,30-288,74,1,0,0,0,0,0,4,0,1,0,0,0,3,0,1,0.0
J18,Lukas Kübler,Freiburg,Bundesliga,17.0,de GER,"LM,RB",31-143,16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,2,1,0,0,0,Lukas Kübler,17.0,de GER,"LM,RB",31-143,16,3,6,50.0,47,22,1,4,25.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,1,0,2,Lukas Kübler,17.0,de GER,"LM,RB",31-143,16,6,5,1,0,0,0,0,0,0,0,0,0,3,0,0,Lukas Kübler,17.0,de GER,"LM,RB",31-143,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Lukas Kübler,17.0,de GER,"LM,RB",31-143,16,8,2,3,3,2,1,8,0,0,,0,,1,3,1,0,0,0,0,0,1,0,Lukas Kübler,17.0,de GER,"LM,RB",31-143,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
J18,Merlin Röhl,Freiburg,Bundesliga,34.0,de GER,CM,21-199,83,0,0,0,0,0,0,0,0,37,0,1,0,0.0,0.0,0.1,5,0,22,25,88.0,2,17,2,7,6,Merlin Röhl,34.0,de GER,CM,21-199,83,22,25,88.0,336,88,13,13,100.0,8,9,88.9,1,1,100.0,0,0.1,0.4,2,1,1,0,2,Merlin Röhl,34.0,de GER,CM,21-199,83,25,24,1,1,0,0,0,0,0,0,0,0,22,0,1,Merlin Röhl,34.0,de GER,CM,21-199,83,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Merlin Röhl,34.0,de GER,CM,21-199,83,37,0,6,20,13,1,37,7,6,85.7,0,0.0,17,132,72,2,2,1,4,4,20,3,Merlin Röhl,34.0,de GER,CM,21-199,83,0,0,0,3,0,0,0,1,0,0,0,0,7,0,2,0.0
J18,Nicolas Höfler,Freiburg,Bundesliga,27.0,de GER,CM,33-317,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,1,1,0,0,Nicolas Höfler,27.0,de GER,CM,33-317,7,1,2,50.0,18,7,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,1,0,1,Nicolas Höfler,27.0,de GER,CM,33-317,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Nicolas Höfler,27.0,de GER,CM,33-317,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Nicolas Höfler,27.0,de GER,CM,33-317,7,2,0,1,1,1,0,2,0,0,,0,,1,16,15,1,1,0,0,0,0,0,Nicolas Höfler,27.0,de GER,CM,33-317,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
J18,Roland Sallai,Freiburg,Bundesliga,22.0,hu HUN,RM,26-243,87,1,1,0,0,4,3,0,0,39,3,0,1,0.8,0.8,0.3,7,2,17,24,70.8,4,22,1,4,1,Roland Sallai,22.0,hu HUN,RM,26-243,87,17,24,70.8,285,77,9,12,75.0,7,9,77.8,1,3,33.3,1,0.3,0.4,2,1,2,0,4,Roland Sallai,22.0,hu HUN,RM,26-243,87,24,23,1,0,2,1,3,0,1,0,1,0,17,0,0,Roland Sallai,22.0,hu HUN,RM,26-243,87,3,1,0,3,0,1,2,50.0,1,1,0,1,0,3,0,0,Roland Sallai,22.0,hu HUN,RM,26-243,87,39,1,7,12,20,5,39,4,1,25.0,2,50.0,22,114,44,1,2,0,4,0,27,9,Roland Sallai,22.0,hu HUN,RM,26-243,87,0,0,0,3,2,1,3,0,1,0,0,0,3,1,2,33.3
J18,Yannik Keitel,Freiburg,Bundesliga,14.0,de GER,RM,23-339,3,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,Yannik Keitel,14.0,de GER,RM,23-339,3,0,3,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Yannik Keitel,14.0,de GER,RM,23-339,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Yannik Keitel,14.0,de GER,RM,23-339,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Yannik Keitel,14.0,de GER,RM,23-339,3,5,0,1,2,2,0,5,0,0,,0,,0,0,0,0,0,0,0,0,2,0,Yannik Keitel,14.0,de GER,RM,23-339,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
J18,Maximilian Eggestein,Freiburg,Bundesliga,8.0,de GER,DM,27-043,90,0,1,0,0,0,0,0,0,48,1,0,2,0.0,0.0,0.1,2,0,33,39,84.6,6,21,0,1,0,Maximilian Eggestein,8.0,de GER,DM,27-043,90,33,39,84.6,589,162,13,16,81.3,15,18,83.3,4,4,100.0,1,0.1,0.1,1,4,1,1,6,Maximilian Eggestein,8.0,de GER,DM,27-043,90,39,38,1,1,0,0,2,0,0,0,0,0,33,0,0,Maximilian Eggestein,8.0,de GER,DM,27-043,90,1,1,0,1,0,0,1,0.0,1,2,1,1,0,1,2,0,Maximilian Eggestein,8.0,de GER,DM,27-043,90,48,4,18,26,5,1,48,1,0,0.0,0,0.0,21,134,64,0,0,0,2,0,25,2,Maximilian Eggestein,8.0,de GER,DM,27-043,90,0,0,0,2,2,0,2,0,1,0,0,0,7,1,0,100.0
