Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J10,Giorgi Mamardashvili,Valencia,La Liga,ge GEO,23-024,90,4,0,4,100.0,1.4,4,9,44.4,21,8,33.3,31.4,4,50.0,45.3,18,2,11.1,0,10.0
J10,Jeremías Ledesma,Cádiz,La Liga,ar ARG,30-252,90,4,2,2,50.0,1.9,16,30,53.3,35,4,62.9,44.0,9,88.9,60.8,12,2,16.7,2,12.5
