Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J2,Predrag Rajković,Mallorca,La Liga,rs SRB,27-291,90,3,1,2,66.7,1.3,10,13,76.9,22,2,45.5,38.1,8,37.5,35.4,14,1,7.1,2,16.2
J2,Filip Jørgensen,Villarreal,La Liga,dk DEN,21-124,90,1,0,1,100.0,0.0,5,12,41.7,27,3,33.3,34.7,4,75.0,46.8,23,0,0.0,1,17.5
