Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J14,Neal Maupay,Brentford,Premier League,7.0,fr FRA,FW,27-110,89,1,0,0,0,4,2,0,0,45,2,0,0,1.0,1.0,0.0,2,0,25,34,73.5,1,26,2,2,2,Neal Maupay,7.0,fr FRA,FW,27-110,89,25,34,73.5,273,42,18,18,100.0,3,5,60.0,1,2,50.0,0,0.0,0.1,2,0,1,1,1,Neal Maupay,7.0,fr FRA,FW,27-110,89,34,32,2,0,0,0,2,1,1,0,0,0,25,0,4,Neal Maupay,7.0,fr FRA,FW,27-110,89,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,Neal Maupay,7.0,fr FRA,FW,27-110,89,45,1,2,13,32,6,45,2,2,100.0,0,0.0,26,107,47,2,2,0,1,3,34,8,Neal Maupay,7.0,fr FRA,FW,27-110,89,0,0,0,2,3,0,2,0,1,0,0,0,7,0,3,0.0
J14,Myles Peart-Harris,Brentford,Premier League,25.0,eng ENG,LW,21-075,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Myles Peart-Harris,25.0,eng ENG,LW,21-075,1,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Myles Peart-Harris,25.0,eng ENG,LW,21-075,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Myles Peart-Harris,25.0,eng ENG,LW,21-075,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Myles Peart-Harris,25.0,eng ENG,LW,21-075,1,2,0,0,1,1,0,2,0,0,,0,,2,23,9,0,0,0,0,1,2,0,Myles Peart-Harris,25.0,eng ENG,LW,21-075,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0
J14,Yoane Wissa,Brentford,Premier League,11.0,cd COD,"LW,FW",27-090,90,0,0,0,0,3,1,0,0,41,1,0,0,0.1,0.1,0.1,2,0,25,32,78.1,3,23,3,2,0,Yoane Wissa,11.0,cd COD,"LW,FW",27-090,90,25,32,78.1,354,88,14,16,87.5,6,10,60.0,2,3,66.7,0,0.1,0.1,1,4,2,1,3,Yoane Wissa,11.0,cd COD,"LW,FW",27-090,90,32,32,0,0,0,1,3,0,0,0,0,0,25,0,0,Yoane Wissa,11.0,cd COD,"LW,FW",27-090,90,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Yoane Wissa,11.0,cd COD,"LW,FW",27-090,90,41,0,2,18,24,2,41,2,0,0.0,2,100.0,23,174,111,3,2,1,1,1,32,13,Yoane Wissa,11.0,cd COD,"LW,FW",27-090,90,0,0,0,1,0,0,3,0,0,0,0,0,7,1,0,100.0
J14,Bryan Mbeumo,Brentford,Premier League,19.0,cm CMR,RW,24-117,77,0,1,0,0,4,0,0,0,62,0,1,1,0.3,0.3,0.1,4,1,35,48,72.9,4,38,3,5,0,Bryan Mbeumo,19.0,cm CMR,RW,24-117,77,35,48,72.9,443,115,22,25,88.0,9,14,64.3,1,6,16.7,1,0.1,0.1,1,2,2,0,4,Bryan Mbeumo,19.0,cm CMR,RW,24-117,77,48,37,11,4,1,0,7,0,6,1,2,0,35,0,0,Bryan Mbeumo,19.0,cm CMR,RW,24-117,77,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Bryan Mbeumo,19.0,cm CMR,RW,24-117,77,62,0,0,20,42,5,62,5,0,0.0,3,60.0,38,177,72,3,1,2,3,0,42,8,Bryan Mbeumo,19.0,cm CMR,RW,24-117,77,0,0,0,1,3,0,7,1,0,0,0,0,5,0,2,0.0
J14,Keane Lewis-Potter,Brentford,Premier League,23.0,eng ENG,RW,22-283,13,0,0,0,0,5,1,0,0,13,0,0,1,0.5,0.5,0.0,4,1,4,4,100.0,0,3,2,1,1,Keane Lewis-Potter,23.0,eng ENG,RW,22-283,13,4,4,100.0,60,6,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Keane Lewis-Potter,23.0,eng ENG,RW,22-283,13,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0,Keane Lewis-Potter,23.0,eng ENG,RW,22-283,13,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Keane Lewis-Potter,23.0,eng ENG,RW,22-283,13,13,2,4,2,8,6,13,1,1,100.0,0,0.0,3,83,69,2,1,1,1,0,4,2,Keane Lewis-Potter,23.0,eng ENG,RW,22-283,13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
J14,Yehor Yarmoliuk,Brentford,Premier League,33.0,ua UKR,LM,19-276,69,0,0,0,0,1,0,0,0,42,3,0,1,0.0,0.0,0.0,4,0,27,30,90.0,5,21,1,2,1,Yehor Yarmoliuk,33.0,ua UKR,LM,19-276,69,27,30,90.0,346,51,15,16,93.8,10,10,100.0,0,1,0.0,0,0.0,0.0,2,1,2,0,5,Yehor Yarmoliuk,33.0,ua UKR,LM,19-276,69,30,30,0,0,0,0,1,0,0,0,0,0,27,0,1,Yehor Yarmoliuk,33.0,ua UKR,LM,19-276,69,3,3,0,2,1,1,1,100.0,0,1,0,1,0,3,0,0,Yehor Yarmoliuk,33.0,ua UKR,LM,19-276,69,42,1,2,18,22,2,42,2,1,50.0,1,50.0,21,92,25,1,0,0,3,0,26,8,Yehor Yarmoliuk,33.0,ua UKR,LM,19-276,69,0,0,0,1,0,0,1,0,3,0,0,0,3,0,0,
J14,Shandon Baptiste,Brentford,Premier League,26.0,gd GRN,LM,25-238,21,1,0,0,0,1,1,0,0,18,2,1,1,0.7,0.7,0.1,2,0,6,8,75.0,0,5,0,1,1,Shandon Baptiste,26.0,gd GRN,LM,25-238,21,6,8,75.0,61,22,4,4,100.0,1,1,100.0,0,2,0.0,0,0.1,0.2,1,0,0,0,0,Shandon Baptiste,26.0,gd GRN,LM,25-238,21,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Shandon Baptiste,26.0,gd GRN,LM,25-238,21,2,2,1,1,0,1,2,50.0,1,1,0,1,1,3,2,0,Shandon Baptiste,26.0,gd GRN,LM,25-238,21,18,2,10,1,7,2,18,1,1,100.0,0,0.0,5,18,3,0,0,0,3,0,7,0,Shandon Baptiste,26.0,gd GRN,LM,25-238,21,0,0,0,1,0,0,0,1,2,0,0,0,2,0,1,0.0
J14,Christian Nørgaard,Brentford,Premier League,6.0,dk DEN,CM,29-267,90,0,0,0,0,1,0,1,0,112,4,0,2,0.0,0.0,0.0,4,0,75,94,79.8,4,57,2,1,1,Christian Nørgaard,6.0,dk DEN,CM,29-267,90,75,94,79.8,1126,415,40,46,87.0,26,33,78.8,5,10,50.0,0,0.0,0.3,1,8,1,1,4,Christian Nørgaard,6.0,dk DEN,CM,29-267,90,94,88,6,0,1,0,2,6,0,0,0,0,75,0,1,Christian Nørgaard,6.0,dk DEN,CM,29-267,90,4,1,1,1,2,0,3,0.0,3,2,0,2,0,4,7,0,Christian Nørgaard,6.0,dk DEN,CM,29-267,90,112,6,14,62,36,0,112,1,1,100.0,0,0.0,57,192,93,2,3,0,0,0,76,2,Christian Nørgaard,6.0,dk DEN,CM,29-267,90,1,0,0,1,0,0,2,0,1,0,0,0,3,0,4,0.0
J14,Frank Onyeka,Brentford,Premier League,15.0,ng NGA,RM,25-335,90,0,0,0,0,2,0,0,0,55,3,2,1,0.5,0.5,0.0,3,0,34,44,77.3,2,29,2,0,0,Frank Onyeka,15.0,ng NGA,RM,25-335,90,34,44,77.3,476,68,21,23,91.3,11,17,64.7,1,2,50.0,0,0.0,0.0,0,4,0,0,2,Frank Onyeka,15.0,ng NGA,RM,25-335,90,44,44,0,0,0,0,5,0,0,0,0,0,34,0,2,Frank Onyeka,15.0,ng NGA,RM,25-335,90,3,1,0,1,2,2,2,100.0,0,1,1,0,2,5,0,0,Frank Onyeka,15.0,ng NGA,RM,25-335,90,55,1,2,26,28,2,55,0,0,,0,,29,164,53,2,4,0,4,0,34,1,Frank Onyeka,15.0,ng NGA,RM,25-335,90,0,0,0,0,1,0,5,2,1,0,0,0,2,0,2,0.0
J14,Vitaly Janelt,Brentford,Premier League,27.0,de GER,LB,25-206,90,0,0,0,0,0,0,0,0,106,1,1,1,0.0,0.0,0.9,8,0,79,97,81.4,11,65,2,0,0,Vitaly Janelt,27.0,de GER,LB,25-206,90,79,97,81.4,1191,334,40,44,90.9,36,41,87.8,2,7,28.6,0,0.9,0.4,4,1,3,2,11,Vitaly Janelt,27.0,de GER,LB,25-206,90,97,91,6,0,0,0,5,6,0,0,0,0,79,0,2,Vitaly Janelt,27.0,de GER,LB,25-206,90,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,5,0,Vitaly Janelt,27.0,de GER,LB,25-206,90,106,3,24,50,32,5,106,0,0,,0,,65,266,98,2,3,0,0,3,73,5,Vitaly Janelt,27.0,de GER,LB,25-206,90,0,0,0,0,0,0,5,1,0,0,0,0,9,2,2,50.0
