Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J31,Martin Terrier,Rennes,Ligue 1,7.0,fr FRA,"FW,LW",27-055,85,1,0,0,0,4,3,1,0,32,1,1,2,0.9,0.9,0.0,3,0,14,17,82.4,1,14,0,0,0,Martin Terrier,7.0,fr FRA,"FW,LW",27-055,85,14,17,82.4,212,34,5,6,83.3,8,9,88.9,0,0,,0,0.0,0.0,0,1,0,0,1,Martin Terrier,7.0,fr FRA,"FW,LW",27-055,85,17,16,1,0,0,0,0,0,0,0,0,0,14,0,0,Martin Terrier,7.0,fr FRA,"FW,LW",27-055,85,1,0,0,1,0,0,0,,0,2,0,2,1,2,2,0,Martin Terrier,7.0,fr FRA,"FW,LW",27-055,85,32,0,3,15,14,9,32,0,0,,0,,14,94,8,0,0,1,3,2,17,6,Martin Terrier,7.0,fr FRA,"FW,LW",27-055,85,1,0,0,2,2,0,0,1,0,0,0,0,1,1,1,50.0
J31,Fabian Rieder,Rennes,Ligue 1,32.0,ch SUI,LW,22-072,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,3,1,0,0,Fabian Rieder,32.0,ch SUI,LW,22-072,5,1,3,33.3,21,8,0,1,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Fabian Rieder,32.0,ch SUI,LW,22-072,5,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,Fabian Rieder,32.0,ch SUI,LW,22-072,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Fabian Rieder,32.0,ch SUI,LW,22-072,5,5,1,3,2,0,0,5,0,0,,0,,3,25,23,1,0,0,0,0,2,0,Fabian Rieder,32.0,ch SUI,LW,22-072,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0
J31,Arnaud Kalimuendo,Rennes,Ligue 1,9.0,fr FRA,FW,22-099,90,2,0,0,0,4,2,1,0,34,0,0,0,1.1,1.1,0.1,4,1,21,25,84.0,3,25,1,4,2,Arnaud Kalimuendo,9.0,fr FRA,FW,22-099,90,21,25,84.0,284,64,8,8,100.0,10,12,83.3,0,0,,0,0.1,0.1,2,3,1,0,3,Arnaud Kalimuendo,9.0,fr FRA,FW,22-099,90,25,22,3,0,0,0,1,0,0,0,0,0,21,0,1,Arnaud Kalimuendo,9.0,fr FRA,FW,22-099,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Arnaud Kalimuendo,9.0,fr FRA,FW,22-099,90,34,0,0,14,20,6,34,4,2,50.0,2,50.0,25,136,38,1,0,0,1,1,26,9,Arnaud Kalimuendo,9.0,fr FRA,FW,22-099,90,1,0,0,0,4,1,1,0,0,0,0,0,2,1,3,25.0
J31,Désiré Doué,Rennes,Ligue 1,33.0,fr FRA,"LM,DM",18-330,90,0,0,0,0,1,1,0,0,42,2,0,2,0.0,0.0,0.0,5,0,28,33,84.8,7,33,4,6,4,Désiré Doué,33.0,fr FRA,"LM,DM",18-330,90,28,33,84.8,554,217,13,14,92.9,8,10,80.0,6,7,85.7,0,0.0,0.1,1,4,1,0,7,Désiré Doué,33.0,fr FRA,"LM,DM",18-330,90,33,32,0,0,0,0,2,0,0,0,0,0,28,1,0,Désiré Doué,33.0,fr FRA,"LM,DM",18-330,90,2,1,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,Désiré Doué,33.0,fr FRA,"LM,DM",18-330,90,42,0,8,20,18,1,42,6,4,66.7,2,33.3,33,324,135,4,5,1,0,5,36,5,Désiré Doué,33.0,fr FRA,"LM,DM",18-330,90,0,0,0,1,3,0,2,0,1,0,0,0,6,0,1,0.0
J31,Baptiste Santamaria,Rennes,Ligue 1,8.0,fr FRA,CM,29-050,58,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,3,1,23,26,88.5,3,26,0,2,1,Baptiste Santamaria,8.0,fr FRA,CM,29-050,58,23,26,88.5,399,113,9,10,90.0,11,12,91.7,2,2,100.0,0,0.0,0.0,0,6,0,0,3,Baptiste Santamaria,8.0,fr FRA,CM,29-050,58,26,24,2,2,0,0,0,0,0,0,0,0,23,0,0,Baptiste Santamaria,8.0,fr FRA,CM,29-050,58,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Baptiste Santamaria,8.0,fr FRA,CM,29-050,58,30,0,5,21,4,0,30,2,1,50.0,1,50.0,26,185,31,0,0,0,0,1,24,1,Baptiste Santamaria,8.0,fr FRA,CM,29-050,58,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
J31,Amine Gouiri,Rennes,Ligue 1,10.0,dz ALG,AM,24-072,32,0,0,0,0,4,0,0,0,24,1,0,0,0.2,0.2,0.1,8,0,13,13,100.0,2,16,2,6,4,Amine Gouiri,10.0,dz ALG,AM,24-072,32,13,13,100.0,200,34,8,8,100.0,3,3,100.0,1,1,100.0,0,0.1,0.0,2,0,1,0,2,Amine Gouiri,10.0,dz ALG,AM,24-072,32,13,11,2,0,0,0,0,1,0,0,0,0,13,0,0,Amine Gouiri,10.0,dz ALG,AM,24-072,32,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Amine Gouiri,10.0,dz ALG,AM,24-072,32,24,0,1,5,18,5,24,6,4,66.7,2,33.3,16,110,48,2,0,2,1,1,17,6,Amine Gouiri,10.0,dz ALG,AM,24-072,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
J31,Azor Matusiwa,Rennes,Ligue 1,6.0,nl NED,"CM,DM",26-000,73,0,1,0,0,0,0,1,0,50,1,0,0,0.0,0.0,0.1,3,1,37,41,90.2,7,35,0,0,0,Azor Matusiwa,6.0,nl NED,"CM,DM",26-000,73,37,41,90.2,757,225,10,12,83.3,18,20,90.0,7,7,100.0,1,0.1,0.1,4,9,1,0,7,Azor Matusiwa,6.0,nl NED,"CM,DM",26-000,73,41,40,1,1,0,1,0,0,0,0,0,0,37,0,0,Azor Matusiwa,6.0,nl NED,"CM,DM",26-000,73,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,Azor Matusiwa,6.0,nl NED,"CM,DM",26-000,73,50,5,11,23,16,0,50,0,0,,0,,35,209,64,0,1,0,0,1,32,0,Azor Matusiwa,6.0,nl NED,"CM,DM",26-000,73,1,0,0,1,0,0,0,0,0,0,0,0,4,1,3,25.0
J31,Enzo Le Fée,Rennes,Ligue 1,28.0,fr FRA,DM,24-085,17,0,0,0,0,0,0,1,0,19,1,1,0,0.0,0.0,0.0,0,0,14,16,87.5,3,14,1,1,1,Enzo Le Fée,28.0,fr FRA,DM,24-085,17,14,16,87.5,231,103,6,8,75.0,8,8,100.0,0,0,,0,0.0,0.0,0,3,0,0,3,Enzo Le Fée,28.0,fr FRA,DM,24-085,17,16,15,1,0,0,0,0,0,0,0,0,0,14,0,0,Enzo Le Fée,28.0,fr FRA,DM,24-085,17,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Enzo Le Fée,28.0,fr FRA,DM,24-085,17,19,0,4,9,6,0,19,1,1,100.0,0,0.0,14,65,29,1,1,0,1,0,12,1,Enzo Le Fée,28.0,fr FRA,DM,24-085,17,1,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0
J31,Benjamin Bourigeaud,Rennes,Ligue 1,14.0,fr FRA,"RM,RW",30-105,90,0,2,0,0,3,0,0,0,74,4,1,1,0.3,0.3,0.6,6,3,40,63,63.5,7,43,3,1,1,Benjamin Bourigeaud,14.0,fr FRA,"RM,RW",30-105,90,40,63,63.5,852,297,12,14,85.7,21,30,70.0,7,17,41.2,2,0.6,0.1,3,4,3,0,7,Benjamin Bourigeaud,14.0,fr FRA,"RM,RW",30-105,90,63,47,16,7,0,1,14,2,7,4,1,0,40,0,2,Benjamin Bourigeaud,14.0,fr FRA,"RM,RW",30-105,90,4,2,2,2,0,2,3,66.7,1,1,0,1,1,5,2,0,Benjamin Bourigeaud,14.0,fr FRA,"RM,RW",30-105,90,74,3,16,21,39,1,74,1,1,100.0,0,0.0,43,228,96,3,2,0,1,0,42,6,Benjamin Bourigeaud,14.0,fr FRA,"RM,RW",30-105,90,0,0,0,0,0,0,14,1,2,0,0,0,5,1,1,50.0
J31,Jeanuël Belocian,Rennes,Ligue 1,16.0,fr FRA,LB,19-071,58,0,0,0,0,0,0,0,0,36,2,1,3,0.0,0.0,0.0,1,0,19,26,73.1,2,21,0,1,1,Jeanuël Belocian,16.0,fr FRA,LB,19-071,58,19,26,73.1,324,167,9,10,90.0,7,11,63.6,1,1,100.0,0,0.0,0.0,1,2,0,0,2,Jeanuël Belocian,16.0,fr FRA,LB,19-071,58,26,19,7,0,0,0,1,7,0,0,0,0,19,0,1,Jeanuël Belocian,16.0,fr FRA,LB,19-071,58,2,2,2,0,0,2,2,100.0,0,3,0,3,1,3,2,0,Jeanuël Belocian,16.0,fr FRA,LB,19-071,58,36,4,14,13,9,1,36,1,1,100.0,0,0.0,21,129,55,0,2,0,1,1,18,2,Jeanuël Belocian,16.0,fr FRA,LB,19-071,58,0,0,0,1,2,0,1,1,2,0,0,0,4,0,0,
