Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J19,Filip Stankovic,Venezia,Italian Serie A,rs SRB,22-314,90,5,1,4,80.0,1.8,8,20,40.0,41,6,43.9,35.1,2,100.0,63.0,22,3,13.6,3,10.5
J19,Devis Vásquez,Empoli,Italian Serie A,co COL,26-237,90,3,1,2,66.7,0.6,9,22,40.9,27,1,77.8,45.0,1,100.0,65.0,6,0,0.0,3,18.4
