Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J3,Benedikt Pichler,Holstein Kiel,German Bundesliga,9.0,at AUT,FW,27-056,90,0,0,0,0,2,0,0,0,42,2,0,0,0.1,0.1,0.0,0,0,19,27,70.4,1,21,1,2,0,Benedikt Pichler,9.0,at AUT,FW,27-056,90,19,27,70.4,214,6,12,13,92.3,3,6,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Benedikt Pichler,9.0,at AUT,FW,27-056,90,27,22,5,0,0,0,2,0,0,0,0,0,19,0,3,Benedikt Pichler,9.0,at AUT,FW,27-056,90,2,1,1,0,1,1,2,50.0,1,0,0,0,0,2,3,0,Benedikt Pichler,9.0,at AUT,FW,27-056,90,42,3,8,24,10,2,42,2,0,0.0,2,100.0,21,89,26,1,0,0,4,2,30,6,Benedikt Pichler,9.0,at AUT,FW,27-056,90,0,0,0,0,5,0,2,0,1,0,0,0,4,4,4,50.0
J3,Shuto Machino,Holstein Kiel,German Bundesliga,18.0,jp JPN,"FW,LW",24-350,63,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,1,0,13,15,86.7,2,8,0,0,0,Shuto Machino,18.0,jp JPN,"FW,LW",24-350,63,13,15,86.7,218,64,6,6,100.0,4,5,80.0,2,2,100.0,0,0.0,0.0,0,1,0,0,2,Shuto Machino,18.0,jp JPN,"FW,LW",24-350,63,15,11,4,0,0,0,0,3,0,0,0,0,13,0,0,Shuto Machino,18.0,jp JPN,"FW,LW",24-350,63,2,2,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,Shuto Machino,18.0,jp JPN,"FW,LW",24-350,63,17,0,4,7,6,0,17,0,0,,0,,8,26,2,0,0,0,0,1,8,1,Shuto Machino,18.0,jp JPN,"FW,LW",24-350,63,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0.0
J3,Jann-Fiete Arp,Holstein Kiel,German Bundesliga,20.0,de GER,FW,24-252,27,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,3,0,0,0,Jann-Fiete Arp,20.0,de GER,FW,24-252,27,3,4,75.0,90,23,1,2,50.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Jann-Fiete Arp,20.0,de GER,FW,24-252,27,4,3,1,0,0,1,0,0,0,0,0,0,3,0,0,Jann-Fiete Arp,20.0,de GER,FW,24-252,27,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Jann-Fiete Arp,20.0,de GER,FW,24-252,27,6,0,1,4,1,1,6,0,0,,0,,3,6,2,0,0,0,1,0,2,0,Jann-Fiete Arp,20.0,de GER,FW,24-252,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
J3,Finn Porath,Holstein Kiel,German Bundesliga,8.0,de GER,"RB,RW",27-204,75,0,0,0,0,0,0,0,0,36,1,1,2,0.0,0.0,0.0,0,0,10,21,47.6,1,11,0,1,0,Finn Porath,8.0,de GER,"RB,RW",27-204,75,10,21,47.6,179,63,1,2,50.0,8,12,66.7,0,4,0.0,0,0.0,0.0,0,1,0,0,1,Finn Porath,8.0,de GER,"RB,RW",27-204,75,21,14,7,1,0,0,5,4,2,1,0,0,10,0,2,Finn Porath,8.0,de GER,"RB,RW",27-204,75,1,0,1,0,0,1,4,25.0,3,2,1,1,1,2,5,0,Finn Porath,8.0,de GER,"RB,RW",27-204,75,36,5,12,14,10,0,36,1,0,0.0,1,100.0,11,35,4,0,1,0,1,0,12,0,Finn Porath,8.0,de GER,"RB,RW",27-204,75,0,0,0,2,1,0,5,1,0,0,0,0,3,0,0,
J3,Lasse Rosenboom,Holstein Kiel,German Bundesliga,23.0,de GER,RB,22-239,15,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.1,1,0,4,6,66.7,0,3,0,1,0,Lasse Rosenboom,23.0,de GER,RB,22-239,15,4,6,66.7,43,14,2,2,100.0,1,2,50.0,0,1,0.0,0,0.1,0.1,1,0,0,0,0,Lasse Rosenboom,23.0,de GER,RB,22-239,15,6,5,1,0,0,0,0,1,0,0,0,0,4,0,0,Lasse Rosenboom,23.0,de GER,RB,22-239,15,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Lasse Rosenboom,23.0,de GER,RB,22-239,15,9,1,6,2,1,1,9,1,0,0.0,1,100.0,3,5,1,0,0,0,0,0,5,0,Lasse Rosenboom,23.0,de GER,RB,22-239,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
J3,Lewis Holtby,Holstein Kiel,German Bundesliga,10.0,de GER,"CM,LM",33-362,75,0,0,0,0,0,0,0,0,38,4,3,0,0.0,0.0,0.0,0,0,24,32,75.0,1,18,0,0,0,Lewis Holtby,10.0,de GER,"CM,LM",33-362,75,24,32,75.0,335,111,14,17,82.4,10,14,71.4,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Lewis Holtby,10.0,de GER,"CM,LM",33-362,75,32,29,3,3,0,0,1,0,0,0,0,0,24,0,0,Lewis Holtby,10.0,de GER,"CM,LM",33-362,75,4,1,2,2,0,2,4,50.0,2,0,0,0,3,7,0,1,Lewis Holtby,10.0,de GER,"CM,LM",33-362,75,38,5,17,17,4,0,38,0,0,,0,,18,81,14,0,0,0,0,0,19,0,Lewis Holtby,10.0,de GER,"CM,LM",33-362,75,0,0,0,1,1,0,1,3,1,0,0,0,5,0,0,
J3,Armin Gigovic,Holstein Kiel,German Bundesliga,37.0,ba BIH,CM,22-161,15,1,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,6,1,0,0,Armin Gigovic,37.0,ba BIH,CM,22-161,15,9,11,81.8,102,35,8,9,88.9,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,Armin Gigovic,37.0,ba BIH,CM,22-161,15,11,11,0,0,0,0,1,0,0,0,0,0,9,0,0,Armin Gigovic,37.0,ba BIH,CM,22-161,15,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Armin Gigovic,37.0,ba BIH,CM,22-161,15,12,2,4,6,2,1,12,0,0,,0,,6,46,23,1,1,0,0,0,12,0,Armin Gigovic,37.0,ba BIH,CM,22-161,15,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
J3,Magnus Knudsen,Holstein Kiel,German Bundesliga,24.0,no NOR,CM,23-091,90,0,0,0,0,0,0,0,0,42,4,3,0,0.0,0.0,0.0,2,1,28,31,90.3,4,15,1,3,3,Magnus Knudsen,24.0,no NOR,CM,23-091,90,28,31,90.3,420,98,18,21,85.7,8,8,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,4,Magnus Knudsen,24.0,no NOR,CM,23-091,90,31,30,1,1,0,0,0,0,0,0,0,0,28,0,0,Magnus Knudsen,24.0,no NOR,CM,23-091,90,4,2,2,0,2,3,3,100.0,0,0,0,0,3,7,2,0,Magnus Knudsen,24.0,no NOR,CM,23-091,90,42,4,17,21,4,1,42,3,3,100.0,0,0.0,15,67,35,1,0,1,1,0,24,0,Magnus Knudsen,24.0,no NOR,CM,23-091,90,0,0,0,2,1,0,0,3,2,0,0,0,3,0,1,0.0
J3,Nicolai Remberg,Holstein Kiel,German Bundesliga,22.0,de GER,"CM,RM",24-087,90,0,0,0,0,0,0,0,0,34,3,0,1,0.0,0.0,0.0,0,0,12,25,48.0,2,12,0,0,0,Nicolai Remberg,22.0,de GER,"CM,RM",24-087,90,12,25,48.0,239,100,3,6,50.0,8,12,66.7,1,4,25.0,0,0.0,0.0,0,1,0,0,2,Nicolai Remberg,22.0,de GER,"CM,RM",24-087,90,25,25,0,0,0,1,0,0,0,0,0,0,12,0,2,Nicolai Remberg,22.0,de GER,"CM,RM",24-087,90,3,1,1,2,0,2,3,66.7,1,1,0,1,0,3,0,0,Nicolai Remberg,22.0,de GER,"CM,RM",24-087,90,34,2,10,22,3,0,34,0,0,,0,,12,51,22,0,0,0,1,0,24,1,Nicolai Remberg,22.0,de GER,"CM,RM",24-087,90,0,0,0,5,0,0,0,0,1,0,0,1,1,4,3,57.1
J3,Dominik Javorček,Holstein Kiel,German Bundesliga,33.0,sk SVK,LB,21-317,45,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,10,14,71.4,0,7,0,0,0,Dominik Javorček,33.0,sk SVK,LB,21-317,45,10,14,71.4,243,150,2,3,66.7,5,7,71.4,3,4,75.0,0,0.0,0.0,0,0,0,0,0,Dominik Javorček,33.0,sk SVK,LB,21-317,45,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,Dominik Javorček,33.0,sk SVK,LB,21-317,45,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,4,1,Dominik Javorček,33.0,sk SVK,LB,21-317,45,21,6,14,4,3,0,21,0,0,,0,,7,17,1,0,0,0,0,0,12,1,Dominik Javorček,33.0,sk SVK,LB,21-317,45,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,
