Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J6,Diego Conde,Villarreal,Spanish La Liga,es ESP,25-330,90,9,5,4,44.4,3.2,5.0,11.0,45.5,22,5.0,45.5,38.9,1,100.0,80.0,14,1.0,7.1,0.0,2.5
J6,Marc-André ter Stegen,Barcelona,Spanish La Liga,de GER,32-145,44,3,1,2,66.7,0.9,,,,8,,,24.1,7,,22.0,9,,,,
J6,Iñaki Peña,Barcelona,Spanish La Liga,es ESP,25-204,46,1,0,1,100.0,0.2,1.0,3.0,33.3,24,3.0,8.3,26.5,3,33.3,35.0,4,0.0,0.0,0.0,17.0
