Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J12,Filip Stankovic,Venezia,Italian Serie A,rs SRB,22-258,90,3,2,1,33.3,1.1,2,6,33.3,32,4,18.8,26.6,4,0.0,18.3,6,0,0.0,1,18.5
J12,Zion Suzuki,Parma,Italian Serie A,jp JPN,22-080,90,6,1,5,83.3,1.4,9,34,26.5,39,2,76.9,55.6,5,80.0,62.4,25,2,8.0,2,17.7
