Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J26,Anthony Lopes,Nantes,French Ligue 1,pt POR,34-165,90,3,0,3,100.0,1.0,2,17,11.8,42,8,33.3,35.0,3,100.0,61.0,12,0,0.0,2,18.3
J26,Lucas Chevalier,Lille,French Ligue 1,fr FRA,23-129,90,2,1,1,50.0,1.0,1,1,100.0,25,6,4.0,18.6,4,0.0,12.0,12,0,0.0,0,9.3
