Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J28,Ange-Yoan Bonny,Parma,Italian Serie A,13.0,fr FRA,FW,21-134,54,0,0,0,0,2,1,0,0,19,0,0,1,0.7,0.7,0.1,2,0,8,10,80.0,1,11,0,3,2,Ange-Yoan Bonny,13.0,fr FRA,FW,21-134,54,8,10,80.0,127,7,3,4,75.0,3,3,100.0,1,1,100.0,0,0.1,0.0,1,1,0,0,1,Ange-Yoan Bonny,13.0,fr FRA,FW,21-134,54,10,8,2,0,0,0,0,0,0,0,0,0,8,0,0,Ange-Yoan Bonny,13.0,fr FRA,FW,21-134,54,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Ange-Yoan Bonny,13.0,fr FRA,FW,21-134,54,19,0,0,8,11,3,19,3,2,66.7,1,33.3,11,21,2,0,1,0,4,2,14,5,Ange-Yoan Bonny,13.0,fr FRA,FW,21-134,54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,50.0
J28,Mateo Pellegrino,Parma,Italian Serie A,32.0,ar ARG,FW,24-007,36,2,0,0,0,4,2,1,0,11,0,0,0,0.6,0.6,0.0,0,0,4,6,66.7,1,10,0,0,0,Mateo Pellegrino,32.0,ar ARG,FW,24-007,36,4,6,66.7,75,17,1,2,50.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,1,Mateo Pellegrino,32.0,ar ARG,FW,24-007,36,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,Mateo Pellegrino,32.0,ar ARG,FW,24-007,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Mateo Pellegrino,32.0,ar ARG,FW,24-007,36,11,0,1,1,9,3,11,0,0,,0,,10,29,6,0,0,0,0,0,11,2,Mateo Pellegrino,32.0,ar ARG,FW,24-007,36,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,50.0
J28,Matteo Cancellieri,Parma,Italian Serie A,22.0,it ITA,LW,23-024,90,0,0,0,0,1,0,0,0,30,1,0,0,0.3,0.3,0.1,2,0,18,19,94.7,2,22,3,3,0,Matteo Cancellieri,22.0,it ITA,LW,23-024,90,18,19,94.7,347,89,11,11,100.0,5,5,100.0,2,3,66.7,0,0.1,0.1,2,1,1,1,2,Matteo Cancellieri,22.0,it ITA,LW,23-024,90,19,19,0,0,0,2,1,0,0,0,0,0,18,0,0,Matteo Cancellieri,22.0,it ITA,LW,23-024,90,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,3,0,Matteo Cancellieri,22.0,it ITA,LW,23-024,90,30,1,5,9,16,3,30,3,0,0.0,1,33.3,22,197,89,3,2,0,2,0,22,4,Matteo Cancellieri,22.0,it ITA,LW,23-024,90,0,0,0,3,5,0,1,0,1,0,0,0,2,2,1,66.7
J28,Pontus Almqvist,Parma,Italian Serie A,11.0,se SWE,RW,25-241,75,0,0,0,0,1,0,0,0,20,1,2,3,0.1,0.1,0.0,0,0,5,12,41.7,0,12,5,2,1,Pontus Almqvist,11.0,se SWE,RW,25-241,75,5,12,41.7,86,7,4,7,57.1,0,2,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Pontus Almqvist,11.0,se SWE,RW,25-241,75,12,12,0,0,0,0,4,0,0,0,0,0,5,0,1,Pontus Almqvist,11.0,se SWE,RW,25-241,75,1,0,0,1,0,1,2,50.0,1,3,0,3,2,3,0,0,Pontus Almqvist,11.0,se SWE,RW,25-241,75,20,0,1,5,14,4,20,2,1,50.0,1,50.0,12,146,79,5,0,4,0,1,12,6,Pontus Almqvist,11.0,se SWE,RW,25-241,75,0,0,0,0,1,0,4,2,0,0,0,0,1,1,1,50.0
J28,Dennis Man,Parma,Italian Serie A,98.0,ro ROU,RW,26-194,15,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,6,10,60.0,0,9,2,1,0,Dennis Man,98.0,ro ROU,RW,26-194,15,6,10,60.0,157,4,2,4,50.0,1,3,33.3,3,3,100.0,0,0.1,0.1,1,0,0,0,0,Dennis Man,98.0,ro ROU,RW,26-194,15,10,10,0,0,0,0,1,0,0,0,0,0,6,0,0,Dennis Man,98.0,ro ROU,RW,26-194,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Dennis Man,98.0,ro ROU,RW,26-194,15,13,0,1,3,9,1,13,1,0,0.0,1,100.0,9,46,32,2,0,1,0,0,9,2,Dennis Man,98.0,ro ROU,RW,26-194,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0
J28,Simon Sohm,Parma,Italian Serie A,19.0,ch SUI,LM,23-331,67,0,0,0,0,0,0,1,0,35,0,2,0,0.0,0.0,0.0,2,1,22,29,75.9,6,22,2,1,0,Simon Sohm,19.0,ch SUI,LM,23-331,67,22,29,75.9,436,104,8,11,72.7,12,16,75.0,2,2,100.0,0,0.0,0.0,0,5,0,0,6,Simon Sohm,19.0,ch SUI,LM,23-331,67,29,27,2,0,0,0,0,2,0,0,0,0,22,0,0,Simon Sohm,19.0,ch SUI,LM,23-331,67,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Simon Sohm,19.0,ch SUI,LM,23-331,67,35,0,2,25,8,0,35,1,0,0.0,0,0.0,22,117,61,2,2,0,1,0,22,3,Simon Sohm,19.0,ch SUI,LM,23-331,67,1,0,0,1,1,0,0,2,0,0,0,0,2,0,0,
J28,Hernani,Parma,Italian Serie A,27.0,br BRA,LM,30-346,23,0,1,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.2,3,1,11,14,78.6,1,9,1,2,2,Hernani,27.0,br BRA,LM,30-346,23,11,14,78.6,328,178,5,5,100.0,1,1,100.0,5,8,62.5,1,0.2,0.1,2,1,0,0,1,Hernani,27.0,br BRA,LM,30-346,23,14,10,4,1,0,1,4,0,3,3,0,0,11,0,0,Hernani,27.0,br BRA,LM,30-346,23,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,1,0,Hernani,27.0,br BRA,LM,30-346,23,17,1,3,5,9,0,17,2,2,100.0,0,0.0,9,87,28,1,2,0,0,0,8,0,Hernani,27.0,br BRA,LM,30-346,23,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0.0
J28,Nahuel Estévez,Parma,Italian Serie A,8.0,ar ARG,CM,29-114,54,0,0,0,0,0,0,0,0,28,3,0,0,0.0,0.0,0.0,2,0,18,23,78.3,8,13,1,0,0,Nahuel Estévez,8.0,ar ARG,CM,29-114,54,18,23,78.3,367,168,7,8,87.5,6,7,85.7,4,7,57.1,0,0.0,0.1,1,4,1,0,8,Nahuel Estévez,8.0,ar ARG,CM,29-114,54,23,20,3,2,0,0,1,0,1,1,0,0,18,0,0,Nahuel Estévez,8.0,ar ARG,CM,29-114,54,3,1,1,2,0,1,1,100.0,0,0,0,0,0,3,1,0,Nahuel Estévez,8.0,ar ARG,CM,29-114,54,28,2,4,16,8,0,28,0,0,,0,,13,53,27,1,0,0,1,0,14,0,Nahuel Estévez,8.0,ar ARG,CM,29-114,54,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,
J28,Mohamed Haj,Parma,Italian Serie A,61.0,tn TUN,CM,19-347,36,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,9,10,90.0,1,10,0,2,0,Mohamed Haj,61.0,tn TUN,CM,19-347,36,9,10,90.0,123,51,6,6,100.0,3,3,100.0,0,1,0.0,0,0.1,0.0,1,0,1,0,1,Mohamed Haj,61.0,tn TUN,CM,19-347,36,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,Mohamed Haj,61.0,tn TUN,CM,19-347,36,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Mohamed Haj,61.0,tn TUN,CM,19-347,36,14,1,2,6,6,0,14,2,0,0.0,2,100.0,10,30,8,0,0,0,0,0,9,1,Mohamed Haj,61.0,tn TUN,CM,19-347,36,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3
J28,Mandela Keita,Parma,Italian Serie A,16.0,be BEL,RM,22-302,90,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,0,0,28,32,87.5,2,24,1,1,1,Mandela Keita,16.0,be BEL,RM,22-302,90,28,32,87.5,519,81,9,10,90.0,16,17,94.1,3,3,100.0,0,0.0,0.0,0,2,0,0,2,Mandela Keita,16.0,be BEL,RM,22-302,90,32,31,1,1,0,0,0,0,0,0,0,0,28,0,0,Mandela Keita,16.0,be BEL,RM,22-302,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Mandela Keita,16.0,be BEL,RM,22-302,90,35,2,6,26,3,0,35,1,1,100.0,0,0.0,24,116,49,1,0,0,1,0,27,1,Mandela Keita,16.0,be BEL,RM,22-302,90,0,0,0,2,1,0,0,0,1,0,0,0,0,1,2,33.3
J28,Emanuele Valeri,Parma,Italian Serie A,14.0,it ITA,LB,26-091,90,0,1,0,0,2,0,0,0,56,0,0,0,0.0,0.0,0.4,4,1,30,48,62.5,3,26,3,1,1,Emanuele Valeri,14.0,it ITA,LB,26-091,90,30,48,62.5,728,383,6,7,85.7,18,23,78.3,5,14,35.7,1,0.4,0.2,2,4,2,2,3,Emanuele Valeri,14.0,it ITA,LB,26-091,90,48,29,19,2,0,1,8,14,3,3,0,0,30,0,2,Emanuele Valeri,14.0,it ITA,LB,26-091,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Emanuele Valeri,14.0,it ITA,LB,26-091,90,56,2,17,19,20,1,56,1,1,100.0,0,0.0,26,99,72,3,0,0,1,0,27,4,Emanuele Valeri,14.0,it ITA,LB,26-091,90,0,0,0,1,0,0,8,0,0,0,0,0,1,1,0,100.0
J28,Lautaro Valenti,Parma,Italian Serie A,5.0,ar ARG,CB,26-053,54,0,0,0,0,0,0,1,0,43,1,0,0,0.0,0.0,0.0,0,0,31,37,83.8,0,29,0,0,0,Lautaro Valenti,5.0,ar ARG,CB,26-053,54,31,37,83.8,568,131,12,12,100.0,17,18,94.4,2,6,33.3,0,0.0,0.0,0,0,0,0,0,Lautaro Valenti,5.0,ar ARG,CB,26-053,54,37,34,2,2,0,0,0,0,0,0,0,0,31,1,0,Lautaro Valenti,5.0,ar ARG,CB,26-053,54,1,1,0,1,0,0,0,,0,0,0,0,0,1,3,0,Lautaro Valenti,5.0,ar ARG,CB,26-053,54,43,2,20,23,1,1,43,0,0,,0,,29,101,30,0,0,0,0,0,29,0,Lautaro Valenti,5.0,ar ARG,CB,26-053,54,1,0,0,2,0,0,0,0,1,0,0,0,3,1,2,33.3
J28,Giovanni Leoni,Parma,Italian Serie A,46.0,it ITA,CB,18-077,36,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,16,19,84.2,0,13,0,0,0,Giovanni Leoni,46.0,it ITA,CB,18-077,36,16,19,84.2,318,71,2,4,50.0,13,14,92.9,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Giovanni Leoni,46.0,it ITA,CB,18-077,36,19,17,2,1,0,0,0,1,0,0,0,0,16,0,0,Giovanni Leoni,46.0,it ITA,CB,18-077,36,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,Giovanni Leoni,46.0,it ITA,CB,18-077,36,23,1,12,10,1,0,23,0,0,,0,,13,35,13,0,0,0,0,0,14,0,Giovanni Leoni,46.0,it ITA,CB,18-077,36,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100.0
