Game Week,Player,Team,League,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
J7,Gautier Larsonneur,Saint-Étienne,French Ligue 1,fr FRA,27-225,90,1,1,0,0.0,0.9,8,25,32.0,32,1,59.4,40.5,7,85.7,51.7,24,3,12.5,2,15.7
J7,Donovan Léon,Auxerre,French Ligue 1,gf GUF,31-337,90,5,3,2,40.0,1.3,2,14,14.3,30,7,43.3,37.1,4,25.0,36.5,10,1,10.0,1,15.3
