Game Week,Player,Team,League,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
J1,Ludovic Ajorque,Brest,UEFA Champions League,19.0,fr FRA,FW,30-207,90,0,1,0,0,1,0,1,0,27,1,0,0,0.1,0.1,1.0,7,1,18,24,75.0,1,13,0,1,1,Ludovic Ajorque,19.0,fr FRA,FW,30-207,90,18,24,75.0,291,49,12,15,80.0,3,4,75.0,2,2,100.0,1,1.0,0.8,4,1,1,0,1,Ludovic Ajorque,19.0,fr FRA,FW,30-207,90,24,24,0,0,1,1,3,0,0,0,0,0,18,0,0,Ludovic Ajorque,19.0,fr FRA,FW,30-207,90,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Ludovic Ajorque,19.0,fr FRA,FW,30-207,90,27,0,1,8,18,4,27,1,1,100.0,0,0.0,13,60,11,0,0,0,0,0,22,5,Ludovic Ajorque,19.0,fr FRA,FW,30-207,90,1,0,0,2,3,0,3,0,0,0,0,0,1,8,8,50.0
J1,Abdallah Sima,Brest,UEFA Champions League,17.0,sn SEN,LW,23-094,84,1,0,0,0,2,1,1,0,39,1,0,0,0.3,0.3,0.0,2,1,16,30,53.3,2,28,2,2,0,Abdallah Sima,17.0,sn SEN,LW,23-094,84,16,30,53.3,174,11,12,16,75.0,3,7,42.9,0,2,0.0,0,0.0,0.0,0,0,1,0,2,Abdallah Sima,17.0,sn SEN,LW,23-094,84,30,29,1,0,0,0,2,1,0,0,0,0,16,0,2,Abdallah Sima,17.0,sn SEN,LW,23-094,84,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Abdallah Sima,17.0,sn SEN,LW,23-094,84,39,0,1,18,20,3,39,2,0,0.0,1,50.0,28,148,58,2,4,0,3,1,33,6,Abdallah Sima,17.0,sn SEN,LW,23-094,84,1,0,0,3,2,0,2,0,0,0,0,0,4,7,2,77.8
J1,Mathias Pereira Lage,Brest,UEFA Champions League,26.0,pt POR,LW,27-294,6,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.5,1,0,3,6,50.0,0,5,0,0,0,Mathias Pereira Lage,26.0,pt POR,LW,27-294,6,3,6,50.0,44,7,2,2,100.0,1,3,33.3,0,1,0.0,0,0.5,0.1,1,0,0,0,0,Mathias Pereira Lage,26.0,pt POR,LW,27-294,6,6,5,1,1,0,0,1,0,0,0,0,0,3,0,0,Mathias Pereira Lage,26.0,pt POR,LW,27-294,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Mathias Pereira Lage,26.0,pt POR,LW,27-294,6,8,1,1,0,7,1,8,0,0,,0,,5,15,7,0,0,0,0,0,6,1,Mathias Pereira Lage,26.0,pt POR,LW,27-294,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0
J1,Romain Faivre,Brest,UEFA Champions League,21.0,fr FRA,RW,26-067,61,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,1,0,15,21,71.4,2,20,3,6,2,Romain Faivre,21.0,fr FRA,RW,26-067,61,15,21,71.4,217,55,10,12,83.3,3,4,75.0,1,4,25.0,0,0.0,0.0,1,1,0,0,2,Romain Faivre,21.0,fr FRA,RW,26-067,61,21,17,4,0,0,0,5,0,4,1,3,0,15,0,0,Romain Faivre,21.0,fr FRA,RW,26-067,61,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Romain Faivre,21.0,fr FRA,RW,26-067,61,28,0,0,12,17,1,28,6,2,33.3,3,50.0,20,199,92,3,2,0,2,0,18,2,Romain Faivre,21.0,fr FRA,RW,26-067,61,0,0,0,0,2,0,5,1,0,0,0,0,5,0,0,
J1,Romain Del Castillo,Brest,UEFA Champions League,10.0,fr FRA,RW,28-174,29,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.1,2,0,10,14,71.4,3,13,1,0,0,Romain Del Castillo,10.0,fr FRA,RW,28-174,29,10,14,71.4,122,64,7,8,87.5,3,5,60.0,0,0,,0,0.1,0.1,2,0,3,0,3,Romain Del Castillo,10.0,fr FRA,RW,28-174,29,14,13,1,1,0,0,2,0,0,0,0,0,10,0,0,Romain Del Castillo,10.0,fr FRA,RW,28-174,29,2,0,0,0,2,2,2,100.0,0,0,0,0,0,2,0,0,Romain Del Castillo,10.0,fr FRA,RW,28-174,29,21,0,2,2,17,1,21,0,0,,0,,13,44,22,1,1,0,2,0,13,2,Romain Del Castillo,10.0,fr FRA,RW,28-174,29,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,
J1,Hugo Magnetti,Brest,UEFA Champions League,8.0,fr FRA,"LM,CM",26-112,90,1,0,0,0,3,1,0,0,41,2,2,0,0.1,0.1,0.0,2,0,26,32,81.3,4,24,0,1,0,Hugo Magnetti,8.0,fr FRA,"LM,CM",26-112,90,26,32,81.3,422,122,11,16,68.8,8,8,100.0,3,4,75.0,0,0.0,0.0,0,2,1,0,4,Hugo Magnetti,8.0,fr FRA,"LM,CM",26-112,90,32,29,3,1,0,0,1,1,1,1,0,0,26,0,0,Hugo Magnetti,8.0,fr FRA,"LM,CM",26-112,90,2,2,0,1,1,1,4,25.0,3,0,0,0,2,4,1,0,Hugo Magnetti,8.0,fr FRA,"LM,CM",26-112,90,41,1,2,26,15,0,41,1,0,0.0,0,0.0,24,138,67,0,0,0,1,0,23,1,Hugo Magnetti,8.0,fr FRA,"LM,CM",26-112,90,0,0,0,1,4,0,1,2,2,0,0,0,3,0,2,0.0
J1,Edimilson Fernandes,Brest,UEFA Champions League,6.0,ch SUI,CM,28-157,71,0,0,0,0,1,0,0,0,27,0,0,1,0.0,0.0,0.0,0,0,20,22,90.9,2,17,0,0,0,Edimilson Fernandes,6.0,ch SUI,CM,28-157,71,20,22,90.9,444,110,7,7,100.0,8,8,100.0,4,5,80.0,0,0.0,0.0,0,2,0,0,2,Edimilson Fernandes,6.0,ch SUI,CM,28-157,71,22,22,0,0,0,2,0,0,0,0,0,0,20,0,0,Edimilson Fernandes,6.0,ch SUI,CM,28-157,71,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Edimilson Fernandes,6.0,ch SUI,CM,28-157,71,27,1,8,16,3,0,27,0,0,,0,,17,58,3,0,0,0,0,1,19,0,Edimilson Fernandes,6.0,ch SUI,CM,28-157,71,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
J1,Kamory Doumbia,Brest,UEFA Champions League,9.0,ml MLI,RM,21-214,19,0,0,0,0,2,1,0,0,10,0,0,0,0.9,0.9,0.0,0,0,6,8,75.0,0,6,0,0,0,Kamory Doumbia,9.0,ml MLI,RM,21-214,19,6,8,75.0,73,7,4,4,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Kamory Doumbia,9.0,ml MLI,RM,21-214,19,8,7,1,0,0,0,1,0,1,0,1,0,6,0,0,Kamory Doumbia,9.0,ml MLI,RM,21-214,19,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Kamory Doumbia,9.0,ml MLI,RM,21-214,19,10,0,1,0,9,2,10,0,0,,0,,6,36,5,0,0,0,0,0,8,1,Kamory Doumbia,9.0,ml MLI,RM,21-214,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0
J1,Mahdi Camara,Brest,UEFA Champions League,45.0,fr FRA,RM,26-081,70,0,0,0,0,0,0,1,0,32,1,0,1,0.0,0.0,0.1,2,0,23,27,85.2,4,21,1,1,1,Mahdi Camara,45.0,fr FRA,RM,26-081,70,23,27,85.2,301,53,16,19,84.2,6,6,100.0,0,0,,0,0.1,0.0,1,3,0,0,4,Mahdi Camara,45.0,fr FRA,RM,26-081,70,27,25,2,0,0,0,1,0,0,0,0,0,23,0,0,Mahdi Camara,45.0,fr FRA,RM,26-081,70,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Mahdi Camara,45.0,fr FRA,RM,26-081,70,32,0,2,20,11,1,32,1,1,100.0,0,0.0,21,87,41,1,1,0,1,1,22,1,Mahdi Camara,45.0,fr FRA,RM,26-081,70,1,0,0,5,2,0,1,0,0,0,0,0,2,1,1,50.0
J1,Jonas Martin,Brest,UEFA Champions League,28.0,fr FRA,LM,34-163,20,0,0,0,0,2,2,0,0,16,0,0,0,0.8,0.8,0.0,4,0,12,13,92.3,4,14,0,1,0,Jonas Martin,28.0,fr FRA,LM,34-163,20,12,13,92.3,195,65,7,7,100.0,4,4,100.0,1,1,100.0,0,0.0,0.1,0,2,1,0,4,Jonas Martin,28.0,fr FRA,LM,34-163,20,13,13,0,0,0,0,0,0,0,0,0,0,12,0,1,Jonas Martin,28.0,fr FRA,LM,34-163,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Jonas Martin,28.0,fr FRA,LM,34-163,20,16,0,2,6,8,2,16,1,0,0.0,0,0.0,14,58,27,0,0,0,0,0,13,2,Jonas Martin,28.0,fr FRA,LM,34-163,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0.0
