Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Sam Johnstone,J4,GK,Goalkeeper,Wolves,English Premier League,90,7.01,32,ENG
Đorđe Petrović,J4,GK,Goalkeeper,Bournemouth,English Premier League,90,6.66,25,SRB
Bart Verbruggen,J4,GK,Goalkeeper,Brighton,English Premier League,90,6.23,23,NED
Mads Hermansen,J4,GK,Goalkeeper,West Ham,English Premier League,90,5.89,25,DEN
Guglielmo Vicario,J4,GK,Goalkeeper,Tottenham,English Premier League,90,6.95,28,ITA
Caoimhín Kelleher,J4,GK,Goalkeeper,Brentford,English Premier League,90,6.62,26,IRL
Robert Sánchez,J4,GK,Goalkeeper,Chelsea,English Premier League,90,6.49,27,ESP
Martin Dúbravka,J4,GK,Goalkeeper,Burnley,English Premier League,90,6.7,36,SVK
Alisson,J4,GK,Goalkeeper,Liverpool,English Premier League,90,6.54,32,BRA
Gianluigi Donnarumma,J4,GK,Goalkeeper,Manchester City,English Premier League,90,6.86,26,ITA
Altay Bayındır,J4,GK,Goalkeeper,Manchester Utd,English Premier League,90,5.99,27,TUR
Alisson,J5,GK,Goalkeeper,Liverpool,English Premier League,90,6.14,32,BRA
Jordan Pickford,J5,GK,Goalkeeper,Everton,English Premier League,90,6.07,31,ENG
Alphonse Areola,J5,GK,Goalkeeper,West Ham,English Premier League,90,5.95,32,FRA
Dean Henderson,J5,GK,Goalkeeper,Crystal Palace,English Premier League,90,6.81,28,ENG
Bart Verbruggen,J5,GK,Goalkeeper,Brighton,English Premier League,90,6.11,23,NED
Guglielmo Vicario,J5,GK,Goalkeeper,Tottenham,English Premier League,90,6.29,28,ITA
José Sá,J5,GK,Goalkeeper,Wolves,English Premier League,90,5.76,32,POR
Karl Darlow,J5,GK,Goalkeeper,Leeds United,English Premier League,90,6.9,34,WAL
Martin Dúbravka,J5,GK,Goalkeeper,Burnley,English Premier League,90,6.83,36,SVK
Matz Sels,J5,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,6.61,33,BEL
Altay Bayındır,J5,GK,Goalkeeper,Manchester Utd,English Premier League,90,6.11,27,TUR
Robert Sánchez,J5,GK,Goalkeeper,Chelsea,English Premier League,4,6.51,27,ESP
Filip Jørgensen,J5,GK,Goalkeeper,Chelsea,English Premier League,83,5.84,23,DEN
Bernd Leno,J5,GK,Goalkeeper,Fulham,English Premier League,90,6.41,33,GER
Caoimhín Kelleher,J5,GK,Goalkeeper,Brentford,English Premier League,90,5.42,26,IRL
Robin Roefs,J5,GK,Goalkeeper,Sunderland,English Premier League,90,6.17,22,NED
Emiliano Martínez,J5,GK,Goalkeeper,Aston Villa,English Premier League,90,6.33,33,ARG
Đorđe Petrović,J5,GK,Goalkeeper,Bournemouth,English Premier League,90,6.69,25,SRB
Nick Pope,J5,GK,Goalkeeper,Newcastle Utd,English Premier League,90,7.11,33,ENG
David Raya,J5,GK,Goalkeeper,Arsenal,English Premier League,90,6.63,30,ESP
Gianluigi Donnarumma,J5,GK,Goalkeeper,Manchester City,English Premier League,90,6.57,26,ITA
Caoimhín Kelleher,J6,GK,Goalkeeper,Brentford,English Premier League,90,7.07,26,IRL
Altay Bayındır,J6,GK,Goalkeeper,Manchester Utd,English Premier League,90,6.17,27,TUR
Karl Darlow,J6,GK,Goalkeeper,Leeds United,English Premier League,90,6.23,34,WAL
