Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Brugui,Levante,Spanish La Liga,LM,Midfielder,ESP,29,43.3,836,14,3.09
Bruno Bogojević,Rijeka,UEFA Europa Conference League,CM,Midfielder,CRO,27,6.8,52,2,3.4
Bruno Duarte,Red Star,UEFA Europa League,AM,Forward,BRA,29,23.8,225,5,4.76
Bruno Felipe Souza da Silva,Pafos FC,UEFA Champions League,RB,Defender,BRA,31,18.6,294,4,4.65
Bruno Fernandes,Manchester Utd,English Premier League,CM,Midfielder,POR,31,82.3,1250,14,5.88
Bruno Goda,Dinamo Zagreb,UEFA Europa League,LB,Defender,CRO,27,23.7,315,4,5.92
Bruno Guimarães,Newcastle Utd,"English Premier League, UEFA Champions League",CM,Midfielder,BRA,28,104.7,1613,19,5.51
Bruno Langa,Pafos FC,UEFA Champions League,LB,Defender,MOZ,28,20.8,96,5,4.16
Bruno Onyemaechi,Olympiacos,UEFA Champions League,LB,Defender,NGA,26,6.0,38,1,6.0
Bryan Cristante,Roma,"Italian Serie A, UEFA Europa League",CM,Midfielder,ITA,30,90.5,1386,18,5.03
Bryan Fiabema,Lech Poznań,UEFA Europa Conference League,RW,Forward,NOR,22,9.4,66,2,4.7
Bryan Gil,Girona,Spanish La Liga,LM,Midfielder,ESP,24,45.0,593,12,3.75
Bryan Heynen,Genk,UEFA Europa League,DM,Midfielder,BEL,28,28.4,449,5,5.68
Bryan Mbeumo,Manchester Utd,English Premier League,AM,Forward,CMR,26,88.8,1223,14,6.34
Bryan Okoh,Lausanne-Sport,UEFA Europa Conference League,CB,Defender,SUI,22,13.4,270,3,4.47
