Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Emmanuel Agbadou,J2,CB,Defender,Wolves,English Premier League,90.0,7.18,28,CIV
Matt Doherty,J2,CB,Defender,Wolves,English Premier League,90.0,6.57,33,IRL
Aaron Hickey,J2,RB,Defender,Brentford,English Premier League,12.0,5.96,23,SCO
Rico Henry,J2,LB,Defender,Brentford,English Premier League,7.0,5.63,28,ENG
Keane Lewis-Potter,J2,LB,Defender,Brentford,English Premier League,90.0,6.06,24,ENG
Sepp van den Berg,J2,CB,Defender,Brentford,English Premier League,90.0,6.08,23,NED
Nathan Collins,J2,CB,Defender,Brentford,English Premier League,90.0,6.33,24,IRL
Michael Kayode,J2,RB,Defender,Brentford,English Premier League,84.0,6.76,21,ITA
Kristoffer Ajer,J2,CB,Defender,Brentford,English Premier League,6.0,6.02,27,NOR
Lucas Digne,J2,LB,Defender,Aston Villa,English Premier League,63.0,6.47,32,FRA
Ian Maatsen,J2,LB,Defender,Aston Villa,English Premier League,27.0,7.23,23,NED
Pau Torres,J2,CB,Defender,Aston Villa,English Premier League,90.0,7.24,28,ESP
Tyrone Mings,J2,CB,Defender,Aston Villa,English Premier League,90.0,6.92,32,ENG
Matty Cash,J2,RB,Defender,Aston Villa,English Premier League,90.0,7.37,28,POL
Quilindschy Hartman,J2,LB,Defender,Burnley,English Premier League,90.0,7.01,23,NED
Maxime Estève,J2,CB,Defender,Burnley,English Premier League,82.0,7.04,23,FRA
Joe Worrall,J2,CB,Defender,Burnley,English Premier League,8.0,6.04,28,ENG
Hjalmar Ekdal,J2,CB,Defender,Burnley,English Premier League,90.0,6.84,26,SWE
Kyle Walker,J2,RB,Defender,Burnley,English Premier League,90.0,7.18,35,ENG
Reinildo Mandava,J2,LB,Defender,Sunderland,English Premier League,90.0,7.45,31,MOZ
Omar Alderete,J2,CB,Defender,Sunderland,English Premier League,90.0,7.13,28,PAR
Daniel Ballard,J2,CB,Defender,Sunderland,English Premier League,8.0,6.34,25,NIR
Jenson Seelt,J2,CB,Defender,Sunderland,English Premier League,82.0,7.18,22,NED
Trai Hume,J2,RB,Defender,Sunderland,English Premier League,90.0,6.85,23,NIR
Riccardo Calafiori,J2,LB,Defender,Arsenal,English Premier League,63.0,6.47,23,ITA
Myles Lewis-Skelly,J2,LB,Defender,Arsenal,English Premier League,27.0,6.87,18,ENG
Gabriel Magalhães,J2,CB,Defender,Arsenal,English Premier League,90.0,7.08,27,BRA
William Saliba,J2,CB,Defender,Arsenal,English Premier League,90.0,6.88,24,FRA
Jurriën Timber,J2,RB,Defender,Arsenal,English Premier League,63.0,7.3,24,NED
Cristhian Mosquera,J2,RB,Defender,Arsenal,English Premier League,27.0,6.25,21,ESP
Gabriel Gudmundsson,J2,LB,Defender,Leeds United,English Premier League,90.0,6.19,26,SWE
Pascal Struijk,J2,CB,Defender,Leeds United,English Premier League,90.0,6.42,26,NED
Joe Rodon,J2,CB,Defender,Leeds United,English Premier League,90.0,6.65,27,WAL
Jayden Bogle,J2,RB,Defender,Leeds United,English Premier League,82.0,6.23,25,ENG
Sam Byram,J2,RB,Defender,Leeds United,English Premier League,8.0,5.24,31,ENG
Marc Guéhi,J2,CB,Defender,Crystal Palace,English Premier League,90.0,6.67,25,ENG
Maxence Lacroix,J2,CB,Defender,Crystal Palace,English Premier League,90.0,6.98,25,FRA
Chris Richards,J2,CB,Defender,Crystal Palace,English Premier League,90.0,6.65,25,USA
Neco Williams,J2,LB,Defender,Nott'ham Forest,English Premier League,90.0,6.87,24,WAL
Murillo,J2,CB,Defender,Nott'ham Forest,English Premier League,90.0,7.22,23,BRA
Nikola Milenković,J2,CB,Defender,Nott'ham Forest,English Premier League,90.0,6.49,27,SRB
Ola Aina,J2,RB,Defender,Nott'ham Forest,English Premier League,90.0,7.02,28,NGA
James Garner,J2,LB,Defender,Everton,English Premier League,90.0,7.27,24,ENG
Michael Keane,J2,CB,Defender,Everton,English Premier League,90.0,6.12,32,ENG
James Tarkowski,J2,CB,Defender,Everton,English Premier League,90.0,6.11,32,ENG
Jake O'Brien,J2,RB,Defender,Everton,English Premier League,90.0,6.24,24,IRL
Maxim De Cuyper,J2,LB,Defender,Brighton,English Premier League,66.0,6.18,24,BEL
Ferdi Kadioglu,J2,LB,Defender,Brighton,English Premier League,24.0,6.36,25,TUR
Lewis Dunk,J2,CB,Defender,Brighton,English Premier League,90.0,7.21,33,ENG
Jan Paul van Hecke,J2,CB,Defender,Brighton,English Premier League,90.0,6.8,25,NED
Mats Wieffer,J2,RB,Defender,Brighton,English Premier League,84.0,7.18,25,NED
Brajan Gruda,J2,RB,Defender,Brighton,English Premier League,6.0,5.58,21,GER
Ryan Sessegnon,J2,LB,Defender,Fulham,English Premier League,61.0,6.57,25,ENG
Antonee Robinson,J2,LB,Defender,Fulham,English Premier League,29.0,6.27,28,USA
Calvin Bassey,J2,CB,Defender,Fulham,English Premier League,90.0,6.01,25,NGA
Joachim Andersen,J2,CB,Defender,Fulham,English Premier League,90.0,7.1,29,DEN
Kenny Tete,J2,RB,Defender,Fulham,English Premier League,90.0,7.28,29,NED
Luke Shaw,J2,CB,Defender,Manchester Utd,English Premier League,86.0,6.51,30,ENG
Harry Maguire,J2,CB,Defender,Manchester Utd,English Premier League,4.0,6.0,32,ENG
Matthijs de Ligt,J2,CB,Defender,Manchester Utd,English Premier League,90.0,6.73,26,NED
Leny Yoro,J2,CB,Defender,Manchester Utd,English Premier League,86.0,6.53,19,FRA
Ayden Heaven,J2,CB,Defender,Manchester Utd,English Premier League,4.0,5.53,18,ENG
Valentino Livramento,J2,LB,Defender,Newcastle Utd,English Premier League,90.0,6.38,22,ENG
Dan Burn,J2,CB,Defender,Newcastle Utd,English Premier League,90.0,6.35,33,ENG
Fabian Schär,J2,CB,Defender,Newcastle Utd,English Premier League,80.0,6.23,33,SUI
Malick Thiaw,J2,CB,Defender,Newcastle Utd,English Premier League,10.0,6.43,24,GER
Kieran Trippier,J2,RB,Defender,Newcastle Utd,English Premier League,75.0,6.35,34,ENG
Lewis Hall,J2,LB,Defender,Newcastle Utd,English Premier League,15.0,7.2,20,ENG
Conor Bradley,J2,RB,Defender,Liverpool,English Premier League,11.0,6.68,22,NIR
Milos Kerkez,J2,LB,Defender,Liverpool,English Premier League,90.0,7.08,21,HUN
Virgil van Dijk,J2,CB,Defender,Liverpool,English Premier League,90.0,6.78,34,NED
Ibrahima Konaté,J2,CB,Defender,Liverpool,English Premier League,90.0,6.4,26,FRA
Dominik Szoboszlai,J2,RB,Defender,Liverpool,English Premier League,90.0,6.7,24,HUN
Reece James,J3,RB,Defender,Chelsea,English Premier League,10.0,5.97,25,ENG
Marc Cucurella,J3,LB,Defender,Chelsea,English Premier League,90.0,7.22,27,ESP
Tosin Adarabioyo,J3,CB,Defender,Chelsea,English Premier League,90.0,7.23,27,ENG
Trevoh Chalobah,J3,CB,Defender,Chelsea,English Premier League,90.0,6.71,26,ENG
Malo Gusto,J3,RB,Defender,Chelsea,English Premier League,90.0,6.94,22,FRA
Ryan Sessegnon,J3,LB,Defender,Fulham,English Premier League,66.0,6.74,25,ENG
Antonee Robinson,J3,LB,Defender,Fulham,English Premier League,24.0,6.81,28,USA
Calvin Bassey,J3,CB,Defender,Fulham,English Premier League,90.0,6.59,25,NGA
Joachim Andersen,J3,CB,Defender,Fulham,English Premier League,90.0,6.68,29,DEN
Kenny Tete,J3,RB,Defender,Fulham,English Premier League,90.0,7.05,29,NED
Reinildo Mandava,J3,LB,Defender,Sunderland,English Premier League,90.0,6.98,31,MOZ
Omar Alderete,J3,CB,Defender,Sunderland,English Premier League,90.0,6.92,28,PAR
Nordi Mukiele,J3,CB,Defender,Sunderland,English Premier League,90.0,6.58,27,FRA
Trai Hume,J3,RB,Defender,Sunderland,English Premier League,90.0,6.73,23,NIR
Keane Lewis-Potter,J3,LB,Defender,Brentford,English Premier League,71.0,6.32,24,ENG
Rico Henry,J3,LB,Defender,Brentford,English Premier League,19.0,6.71,28,ENG
Sepp van den Berg,J3,CB,Defender,Brentford,English Premier League,90.0,6.59,23,NED
Nathan Collins,J3,CB,Defender,Brentford,English Premier League,90.0,6.95,24,IRL
Michael Kayode,J3,RB,Defender,Brentford,English Premier League,90.0,6.66,21,ITA
Toti Gomes,J3,CB,Defender,Wolves,English Premier League,90.0,7.16,26,POR
Emmanuel Agbadou,J3,CB,Defender,Wolves,English Premier League,90.0,6.78,28,CIV
Santiago Bueno,J3,CB,Defender,Wolves,English Premier League,90.0,6.56,26,URU
Vitaliy Mykolenko,J3,LB,Defender,Everton,English Premier League,90.0,6.88,26,UKR
Michael Keane,J3,CB,Defender,Everton,English Premier League,90.0,6.39,32,ENG
James Tarkowski,J3,CB,Defender,Everton,English Premier League,90.0,6.52,32,ENG
Jake O'Brien,J3,RB,Defender,Everton,English Premier League,90.0,6.96,24,IRL
Djed Spence,J3,LB,Defender,Tottenham,English Premier League,90.0,6.7,25,ENG
Micky van de Ven,J3,CB,Defender,Tottenham,English Premier League,90.0,7.27,24,NED
Cristian Romero,J3,CB,Defender,Tottenham,English Premier League,90.0,6.93,27,ARG
Pedro Porro,J3,RB,Defender,Tottenham,English Premier League,70.0,6.72,25,ESP
Destiny Udogie,J3,LB,Defender,Tottenham,English Premier League,20.0,6.84,22,ITA
Adrien Truffert,J3,LB,Defender,Bournemouth,English Premier League,90.0,6.01,23,FRA
Marcos Senesi,J3,CB,Defender,Bournemouth,English Premier League,90.0,6.84,28,ARG
Bafodé Diakité,J3,CB,Defender,Bournemouth,English Premier League,90.0,5.9,24,FRA
Adam Smith,J3,RB,Defender,Bournemouth,English Premier League,25.0,5.22,34,ENG
James Hill,J3,RB,Defender,Bournemouth,English Premier League,65.0,6.66,23,ENG
Luke Shaw,J3,CB,Defender,Manchester Utd,English Premier League,90.0,6.67,30,ENG
Matthijs de Ligt,J3,CB,Defender,Manchester Utd,English Premier League,90.0,6.37,26,NED
Leny Yoro,J3,CB,Defender,Manchester Utd,English Premier League,84.0,6.01,19,FRA
Noussair Mazraoui,J3,CB,Defender,Manchester Utd,English Premier League,6.0,6.83,27,MAR
