Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Jari De Busser,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,BEL,26,19.16,270,3,6.39
Jaylan Hankins,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,GIB,24,5.67,90,1,5.67
Jean Butez,Como,Italian Serie A,GK,Goalkeeper,FRA,30,53.27,810,9,5.92
Jeffrey De Lange,Marseille,French Ligue 1,GK,Goalkeeper,NED,27,6.64,180,2,3.32
Jindřich Staněk,Slavia Prague,UEFA Champions League,GK,Goalkeeper,CZE,29,14.96,180,2,7.48
Jiří Pavlenka,PAOK,UEFA Europa League,GK,Goalkeeper,CZE,33,13.18,180,2,6.59
Joan García,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,48.67,630,7,6.95
Johannes Kreidl,KuPS,UEFA Europa Conference League,GK,Goalkeeper,AUT,29,12.38,180,2,6.19
Jonas Urbig,Bayern Munich,German Bundesliga,GK,Goalkeeper,GER,22,5.38,90,1,5.38
Jonathan Fischer,Metz,French Ligue 1,GK,Goalkeeper,DEN,23,43.47,824,10,4.35
Jordan Pickford,Everton,English Premier League,GK,Goalkeeper,ENG,31,55.01,810,9,6.11
Josep Martinez,Inter,Italian Serie A,GK,Goalkeeper,ESP,27,11.22,180,2,5.61
José Sá,Wolves,English Premier League,GK,Goalkeeper,POR,32,11.14,360,4,2.78
João Virgínia,Sporting CP,UEFA Champions League,GK,Goalkeeper,POR,25,5.6,90,1,5.6
Julen Agirrezabala,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,24,56.47,900,10,5.65
Kacper Tobiasz,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,POL,22,5.23,180,2,2.62
Kacper Trelowski,Raków,UEFA Europa Conference League,GK,Goalkeeper,POL,22,7.61,180,2,3.8
Kamil Grabara,Wolfsburg,German Bundesliga,GK,Goalkeeper,POL,26,41.58,720,8,5.2
Karl Darlow,Leeds United,English Premier League,GK,Goalkeeper,WAL,35,21.91,450,5,4.38
Karl Jakob Hein,Werder Bremen,German Bundesliga,GK,Goalkeeper,EST,23,14.05,180,2,7.02
Karl-Johan Johnsson,Strasbourg,French Ligue 1,GK,Goalkeeper,SWE,35,7.11,90,1,7.11
Karlo Letica,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,CRO,28,12.88,180,2,6.44
Kasper Schmeichel,Celtic,UEFA Europa League,GK,Goalkeeper,DEN,38,10.41,270,3,3.47
Kauã Santos,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,BRA,22,10.33,450,5,2.07
Kevin Trapp,Paris FC,French Ligue 1,GK,Goalkeeper,GER,35,1.86,90,1,1.86
Kiril Fesiun,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,1.86,90,1,1.86
Kjell Scherpen,Union SG,UEFA Champions League,GK,Goalkeeper,NED,25,12.6,270,3,4.2
Kostas Tzolakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,22,7.38,180,2,3.69
Krapyvtsov Vladyslav,Girona,Spanish La Liga,GK,Goalkeeper,UKR,20,5.38,136,2,2.69
Lasse Rieß,Mainz 05,German Bundesliga,GK,Goalkeeper,GER,24,12.25,202,3,4.08
Leo Román,Mallorca,Spanish La Liga,GK,Goalkeeper,ESP,25,58.45,900,10,5.85
Lorenzo Montipò,Hellas Verona,Italian Serie A,GK,Goalkeeper,ITA,29,40.1,810,9,4.46
Lucas Chevalier,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,FRA,23,58.6,1170,13,4.51
Lucas Perri,Leeds United,English Premier League,GK,Goalkeeper,BRA,27,20.66,360,4,5.16
Luiz Lúcio Reis Júnior,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BRA,24,56.07,810,9,6.23
Lukáš Horníček,Braga,UEFA Europa League,GK,Goalkeeper,CZE,23,21.27,270,3,7.09
Lukáš Hrádecký,Monaco,French Ligue 1,GK,Goalkeeper,FIN,35,10.24,258,3,3.41
Mads Hermansen,West Ham,English Premier League,GK,Goalkeeper,DEN,25,17.93,360,4,4.48
Maduka Okoye,Udinese,Italian Serie A,GK,Goalkeeper,NGA,26,14.4,270,3,4.8
Manuel Neuer,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,39,59.46,900,10,5.95
Marco Bizot,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,NED,34,36.46,360,4,9.12
Marco Carnesecchi,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,25,72.61,1080,12,6.05
Marco Silvestri,Cremonese,Italian Serie A,GK,Goalkeeper,ITA,34,20.59,360,4,5.15
Mark Flekken,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,NED,32,49.04,990,11,4.46
Marko Dmitrović,Espanyol,Spanish La Liga,GK,Goalkeeper,SRB,33,65.51,900,10,6.55
Martin Dúbravka,Burnley,English Premier League,GK,Goalkeeper,SVK,36,54.32,810,9,6.04
Martin Jedlička,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,CZE,27,19.9,270,3,6.63
Martin Zlomislić,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,BIH,27,3.42,90,1,3.42
Marvin Keller,Young Boys,UEFA Europa League,GK,Goalkeeper,SUI,23,8.92,270,3,2.97
Marvin Schwäbe,Köln,German Bundesliga,GK,Goalkeeper,GER,30,48.93,720,8,6.12
Marwin Hitz,Basel,UEFA Europa League,GK,Goalkeeper,SUI,38,17.21,180,2,8.6
Matej Kovar,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,CZE,25,21.07,270,3,7.02
Mateusz Kochalski,Qarabağ,UEFA Champions League,GK,Goalkeeper,POL,25,18.59,270,3,6.2
Matheus,Red Star,UEFA Europa League,GK,Goalkeeper,BRA,33,16.4,270,3,5.47
Mathew Ryan,Levante,Spanish La Liga,GK,Goalkeeper,AUS,33,42.99,720,8,5.37
Mathias Dyngeland,Brann,UEFA Europa League,GK,Goalkeeper,NOR,30,19.17,270,3,6.39
Matteo Bignetti,Sturm Graz,UEFA Europa League,GK,Goalkeeper,AUT,21,5.63,90,1,5.63
Mattia Perin,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,32,7.53,180,2,3.76
Matz Sels,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,BEL,33,52.94,1080,12,4.41
Matías Dituro,Elche,Spanish La Liga,GK,Goalkeeper,ARG,38,31.03,450,5,6.21
Melker Ellborg,Malmö,UEFA Europa League,GK,Goalkeeper,SWE,22,6.83,90,1,6.83
Michael Zetterer,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,30,33.9,540,6,5.65
Michele Di Gregorio,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,28,49.1,900,10,4.91
