Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Progressive Runs,Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aapo Halme,FIN,HJK,UEFA Europa Conference League,CM,Midfielder,26,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,27.46,36.61,1.53,0.0,0.0,0.0,0.0,35.08,1.53,1.53,9.15,12.2,18.31,24.41,0.0,0.0,453.05,117.46,0.0,13.73,0.0,57.97,15.25,0.0,0.0,0.0,0.0,0.0,4.58,4.58,3.05,1.53,0.0,3.05,3.05,0.0,1.53,0.0,0.0,1.53,0.0,0.0,1.53,3.05,4.58,32.03,0.0,45.76,4.58,18.31,25.93,3.05,0.0,45.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.53,1.53,0.0,0.0,7.63,0.0,1,0.0,0.0,0.0,75.0,75.01,0.0,100.0,0.0
Aaron Ciammaglichella,ITA,Torino,Italian Serie A,CM,Midfielder,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,ENG,West Ham,English Premier League,CB,Defender,35,823,0.0,0.0,0.55,0.0,0.02,0.02,0.0,0.0,1.64,0.0,0.98,5.69,0.55,0.22,3.94,0.21,0.14,55.01,66.38,3.94,0.11,0.55,1.09,0.11,55.66,10.61,3.61,25.04,27.12,23.07,26.14,6.34,11.7,1013.73,393.68,0.66,31.82,0.66,120.51,57.52,0.87,0.0,0.22,0.11,0.11,1.2,0.77,0.55,0.55,0.11,0.98,1.2,0.22,0.87,0.98,0.44,3.83,0.0,3.94,0.44,0.0,0.44,47.68,0.44,74.58,4.7,28.98,35.87,10.28,0.22,74.58,0.22,0.0,0.0,0.44,0.22,0.0,0.0,0.0,0.0,0.77,0.77,1.53,5.69,1.64,0.98,1.97,-0.02,1,0.0,50.33,0.0,92.33,88.26,54.19,90.37,50.0
Aaron Donnelly,NIR,Larne FC,UEFA Europa Conference League,CB,Defender,24,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.32,0.0,0.0,25.48,31.61,0.97,0.0,0.0,0.0,0.0,25.48,6.13,3.23,9.35,10.32,12.26,14.84,3.55,5.81,506.13,215.81,0.0,20.65,0.0,69.03,30.0,0.0,0.0,0.0,0.0,0.0,2.9,1.61,1.94,0.97,0.0,2.26,4.19,1.94,0.97,0.0,0.0,4.84,0.0,1.29,0.65,0.0,0.65,22.26,0.0,40.97,4.84,23.23,17.1,1.61,0.0,40.97,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.65,0.65,1.29,0.97,0.0,0.0,5.81,0.0,1,0.0,50.39,0.0,90.6,82.61,61.1,112.6,0.0
Aaron Greene,IRL,Shamrock Rov,UEFA Europa Conference League,AM,Forward,35,109,0.0,0.0,1.65,1.65,0.25,0.25,0.0,0.0,3.3,0.0,1.65,0.0,0.83,0.0,0.83,0.0,0.0,18.99,23.94,1.65,0.0,0.0,0.0,0.83,22.29,0.83,0.0,11.56,14.04,0.83,0.83,0.0,0.0,142.84,37.16,0.83,20.64,0.83,51.19,15.69,0.83,0.83,0.83,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.0,2.48,5.78,3.3,9.08,29.72,8.26,37.16,0.0,4.13,12.39,20.64,7.43,37.16,0.83,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56,3.3,9.08,0.0,-0.25,1,0.0,0.0,0.0,82.34,100.0,0.0,0.0,0.0
Aaron Malouda,FRA,Lille,French Ligue 1,AM,Forward,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron McEneff,IRL,Shamrock Rov,UEFA Europa Conference League,CM,Midfielder,29,352,0.0,0.0,2.05,0.51,0.18,0.18,0.0,0.0,1.79,0.0,0.77,2.81,0.77,0.51,0.77,0.05,0.08,33.75,40.14,3.32,0.0,0.0,1.02,0.0,40.14,0.0,0.0,19.69,22.5,12.02,12.78,2.05,3.58,532.33,111.73,1.28,32.98,1.28,149.57,52.41,1.53,0.26,1.28,0.26,1.02,1.53,1.28,0.0,0.77,0.77,0.77,1.53,0.77,1.02,0.51,0.0,0.51,0.0,3.84,1.02,0.77,1.79,38.1,5.62,49.86,1.02,8.95,22.24,19.43,2.3,49.86,0.26,0.0,0.0,0.26,0.77,0.26,0.0,0.0,0.0,0.0,1.28,1.28,11.51,1.79,3.84,2.81,-0.18,1,0.0,0.0,0.0,87.51,94.05,57.26,122.17,20.31
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,27,3064,0.06,0.15,0.47,0.15,0.03,0.03,0.0,0.0,2.61,0.26,0.97,2.7,0.94,0.32,2.11,0.07,0.1,42.06,51.7,4.17,0.15,0.03,1.73,0.12,44.68,6.9,0.29,27.2,30.17,12.92,15.71,1.35,3.0,592.37,214.01,3.08,31.22,3.08,192.19,104.8,1.85,0.41,3.41,1.79,1.17,2.06,1.44,0.97,0.94,0.15,0.68,0.94,0.26,1.88,1.09,0.32,3.44,0.0,4.99,1.03,0.62,1.64,37.63,4.64,64.21,4.11,19.56,27.55,18.04,1.32,64.21,0.03,0.0,0.0,0.73,0.79,0.15,0.0,0.0,0.03,0.62,0.97,1.59,14.98,2.88,3.0,2.38,0.03,1,0.06,38.99,0.0,90.16,82.24,45.0,86.86,52.49
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,3085,0.0,0.23,0.47,0.12,0.02,0.02,0.0,0.0,2.77,0.38,1.9,2.25,0.88,0.61,7.47,0.17,0.16,35.62,49.16,2.63,0.0,0.09,0.88,0.15,35.77,13.24,2.71,14.15,15.87,16.25,20.65,4.67,10.74,672.88,254.92,1.46,25.61,1.46,140.88,66.89,0.9,0.12,0.79,0.35,0.35,2.07,1.37,1.2,0.76,0.12,0.96,1.49,0.53,0.55,0.96,0.32,2.13,0.03,4.26,0.64,0.5,1.14,30.31,3.15,56.92,2.54,16.51,23.4,17.74,0.58,56.92,0.15,0.0,0.0,1.11,0.82,0.12,0.03,0.0,0.0,0.58,0.96,1.55,8.69,3.15,2.19,2.86,-0.02,1,0.0,37.42,0.0,89.16,78.69,43.48,94.39,44.3
Abakar Sylla,CIV,Strasbourg,French Ligue 1,CB,Defender,22,950,0.09,0.0,0.47,0.09,0.05,0.05,0.0,0.0,0.38,0.09,0.09,1.99,0.09,0.0,0.09,0.0,0.01,55.23,62.34,1.99,0.0,0.09,0.66,0.0,55.8,6.54,2.37,21.22,23.12,31.45,33.92,2.08,4.26,945.47,341.34,0.0,40.26,0.0,141.16,58.55,0.09,0.0,0.57,0.28,0.28,2.56,1.42,1.33,1.04,0.19,1.42,1.61,0.19,1.04,1.71,0.95,5.97,0.0,3.69,0.47,0.38,0.85,47.08,0.28,74.94,14.31,48.32,24.44,2.46,0.85,74.94,0.19,0.09,0.0,1.61,0.66,0.0,0.0,0.0,0.09,1.89,1.42,3.32,2.27,0.47,0.95,3.03,0.05,1,0.09,56.93,0.0,91.78,92.72,48.83,76.13,49.12
