Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aaron Ramsdale,ENG,Southampton,English Premier League,GK,Goalkeeper,27,2700,89,17,85,83,40,30,86,89,79,58,86,61,80,67,56,32,34,1,35,37,45,48
Adrian Rodriguez,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,24,122,47,50,48,18,14,95,98,99,7,1,69,98,99,97,5,5,5,1,47,65,5,7
Adrián,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,38,2340,25,56,27,41,52,42,21,23,35,59,27,46,31,31,50,45,46,1,38,38,61,69
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,90,64,98,94,23,98,96,99,98,77,44,97,95,96,55,72,55,31,1,99,97,69,79
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,1080,34,40,35,43,29,37,30,45,30,68,40,31,52,82,86,23,21,1,42,19,78,62
Albert Posiadala,POL,Molde,UEFA Europa Conference League,GK,Goalkeeper,21,540,12,29,6,52,16,37,34,23,34,27,20,20,16,14,27,85,79,1,4,76,40,22
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,32,90,93,6,85,85,5,13,94,45,31,78,26,56,55,31,5,99,99,1,17,99,5,10
Aleksandr Zarutskiy,KAZ,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,31,90,85,24,85,90,90,13,9,8,6,78,3,37,41,88,72,5,5,1,48,44,47,94
Aleksei Ploshchadnyi,RUS,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,20,270,85,14,68,89,58,72,24,29,15,68,18,50,32,50,40,74,61,1,14,30,37,52
Alen Sherri,ALB,Cagliari,Italian Serie A,GK,Goalkeeper,27,621,49,39,45,60,52,33,50,47,23,18,23,86,71,34,32,35,28,1,39,50,35,69
Alex McCarthy,ENG,Southampton,English Premier League,GK,Goalkeeper,35,450,95,10,93,93,40,13,61,33,34,92,21,28,19,63,93,5,5,1,40,91,91,55
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,3005,6,92,9,6,56,87,17,10,62,27,35,45,34,24,37,76,78,1,63,81,48,38
Alex Padilla,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,21,321,58,33,68,38,16,62,93,93,43,53,76,59,86,75,30,42,40,1,65,51,22,26
Alex Palmer,ENG,Ipswich Town,English Premier League,GK,Goalkeeper,28,1170,73,14,67,78,14,13,74,62,29,54,34,77,81,92,92,55,42,1,26,69,78,47
Alexander Meyer,GER,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,270,30,60,35,40,58,72,38,60,92,11,88,15,43,22,72,55,45,1,50,15,86,68
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,28,3690,27,37,21,30,17,45,56,43,81,41,67,11,15,27,37,77,83,1,22,70,45,19
Alexander Schlager,AUT,RB Salzburg,UEFA Champions League,GK,Goalkeeper,28,335,97,3,94,95,7,13,42,52,29,35,54,54,40,68,78,97,96,1,19,21,67,23
Alexander Schwolow,GER,Union Berlin,German Bundesliga,GK,Goalkeeper,32,540,54,18,27,63,10,13,59,47,44,59,33,68,64,57,5,32,41,1,13,71,5,14
Aleš Mandous,CZE,Slavia Prague,UEFA Europa League,GK,Goalkeeper,32,180,93,24,91,90,90,13,34,24,83,89,49,13,28,13,27,55,50,1,37,74,41,54
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,3048,21,90,43,17,70,77,26,22,70,65,42,7,10,12,22,84,82,1,89,54,34,61
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,2260,52,36,57,45,25,45,73,68,63,70,59,83,78,72,34,68,68,1,51,55,25,34
Altay Bayındır,TUR,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,27,540,50,29,42,80,74,72,11,45,56,18,48,41,52,29,40,80,71,1,32,3,51,96
Amir Saipi,KVX,Lugano,UEFA Europa Conference League,GK,Goalkeeper,24,720,56,46,64,60,66,80,87,67,96,34,95,50,49,46,36,11,12,1,57,86,34,69
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,23,1080,64,40,70,20,12,72,5,17,15,90,12,45,34,59,40,32,30,1,56,6,33,6
Andrea Mazza,ITA,Monza,Italian Serie A,GK,Goalkeeper,21,8,1,98,1,1,52,98,97,94,98,99,93,99,98,24,5,5,5,1,0,95,5,0
Andriy Lunin,UKR,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,26,810,18,70,20,28,58,86,16,4,9,62,4,43,26,9,40,85,85,1,42,96,74,72
André Ferreira,POR,Valladolid,Spanish La Liga,GK,Goalkeeper,28,540,90,4,60,93,5,13,65,58,17,59,21,91,86,68,40,23,19,1,7,58,31,16
André Onana,CMR,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,29,4230,24,61,28,32,47,50,40,48,71,37,58,23,40,28,38,38,46,1,44,24,46,55
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,34,1563,35,46,33,49,47,37,68,66,30,20,45,47,60,87,64,20,22,1,39,51,40,71
Anthony Moris,LUX,Union SG,UEFA Europa League,GK,Goalkeeper,34,900,20,78,38,28,73,45,93,80,62,10,85,11,18,25,52,23,32,1,78,84,68,87
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,28,2810,19,68,22,26,47,58,96,95,20,7,73,78,89,60,65,47,54,1,51,79,63,73
Antonín Kinský,CZE,"Slavia Prague, Tottenham","English Premier League, UEFA Europa League",GK,Goalkeeper,22,1080,30,46,35,38,32,37,44,32,78,71,63,22,14,43,72,80,81,1,50,74,75,63
Arijanet Muric,KVX,Ipswich Town,English Premier League,GK,Goalkeeper,26,1620,75,29,78,70,40,27,51,50,54,84,41,42,65,52,98,65,59,1,51,42,99,41
Arnau Rafús,ESP,Valladolid,Spanish La Liga,GK,Goalkeeper,21,90,3,24,1,4,1,13,91,67,89,78,92,37,37,55,72,55,34,1,0,92,69,0
Arnau Tenas,ESP,Paris S-G,French Ligue 1,GK,Goalkeeper,23,90,30,85,52,54,93,13,24,2,56,44,18,2,2,2,72,55,47,1,85,99,99,96
Arthur Desmas,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,30,1620,69,20,52,84,60,37,26,21,14,44,11,65,36,69,40,18,21,1,19,62,30,80
Augusto Batalla,ARG,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,29,2880,37,70,46,28,60,56,75,75,61,47,82,52,67,57,79,68,69,1,62,42,74,42
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,22,3240,28,37,23,45,27,42,31,37,78,24,59,3,12,26,48,73,72,1,27,33,61,50
Bartłomiej Drągowski,POL,Panathinaikos,UEFA Europa Conference League,GK,Goalkeeper,27,630,76,32,81,72,66,64,5,15,43,57,19,21,15,18,58,83,75,1,61,5,80,61
Ben Alexander Voll,GER,St. Pauli,German Bundesliga,GK,Goalkeeper,24,91,62,27,49,89,90,96,90,97,86,74,98,97,94,64,5,5,5,1,24,11,5,97
Benjamin Lecomte,FRA,Montpellier,French Ligue 1,GK,Goalkeeper,34,2610,81,15,76,80,21,26,82,69,46,41,61,62,59,56,43,45,52,1,28,75,37,43
Benjamin Siegrist,SUI,Genoa,Italian Serie A,GK,Goalkeeper,33,152,94,74,98,46,52,13,36,82,67,85,77,96,94,69,33,28,15,1,96,4,25,7
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,3420,38,52,39,30,33,32,40,29,69,60,45,27,35,47,35,44,43,1,50,72,32,31
Brandon Austin,ENG,Tottenham,"English Premier League, UEFA Europa League",GK,Goalkeeper,26,270,10,60,8,65,88,72,18,10,19,78,7,24,27,87,99,74,63,1,16,82,98,99
Brice Samba,FRA,"Lens, Rennes",French Ligue 1,GK,Goalkeeper,31,2879,47,64,56,51,76,80,55,36,63,39,47,48,36,30,77,66,64,1,61,80,83,71
Bruno Varela,CPV,Vitória,UEFA Europa Conference League,GK,Goalkeeper,30,720,30,46,27,43,38,13,17,14,29,6,19,21,25,6,20,18,16,1,31,57,34,52
Caoimhín Kelleher,IRL,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,26,1260,25,79,32,26,75,89,22,35,82,60,60,5,7,22,31,66,71,1,56,17,40,57
Christian Walton,ENG,Ipswich Town,English Premier League,GK,Goalkeeper,29,630,76,8,43,91,19,33,81,73,52,78,57,77,76,74,94,15,14,1,12,59,91,58
Christos Mandas,GRE,Lazio,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,23,1620,15,92,30,15,80,72,70,56,73,40,81,10,19,26,92,87,89,1,87,70,97,82
Colin Coosemans,BEL,Anderlecht,UEFA Europa League,GK,Goalkeeper,32,810,35,51,35,20,21,30,70,78,96,54,97,15,20,70,50,70,76,1,40,27,38,12
Connor Roberts,WAL,The New Saints,UEFA Europa Conference League,GK,Goalkeeper,32,540,92,34,96,89,97,37,72,69,73,5,72,75,72,80,56,12,11,1,87,49,39,93
Craig Gordon,SCO,Hearts,UEFA Europa Conference League,GK,Goalkeeper,41,540,24,46,20,46,40,37,38,62,10,64,21,80,79,18,18,23,27,1,26,13,19,64
Damjan Šiškovski,MKD,Borac Banja Luka,UEFA Europa Conference League,GK,Goalkeeper,29,90,3,85,4,11,52,13,65,51,17,95,10,74,84,22,72,55,33,1,10,72,86,87
Dani Cárdenas,ESP,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,28,540,15,85,20,9,45,72,54,81,13,27,52,82,87,45,18,12,13,1,62,10,16,27
Daniel Bentley,ENG,Wolves,English Premier League,GK,Goalkeeper,31,180,85,24,85,79,45,89,34,34,31,14,15,65,70,36,5,80,84,1,48,44,5,50
Daniel Peretz,ISR,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,24,360,8,46,5,34,27,13,12,18,59,3,37,8,5,2,5,90,91,1,6,20,5,46
Daniel Schmidt,JPN,Gent,UEFA Europa Conference League,GK,Goalkeeper,32,90,10,24,4,72,27,13,46,24,2,78,6,8,11,4,72,55,46,1,2,87,97,27
Daniele Padelli,ITA,Udinese,Italian Serie A,GK,Goalkeeper,39,90,10,98,52,7,97,96,24,12,4,5,5,2,3,22,72,5,5,1,99,83,86,94
Daniele Sommariva,ITA,Genoa,Italian Serie A,GK,Goalkeeper,27,28,99,5,98,96,17,13,28,98,51,1,84,99,98,99,5,5,5,1,49,1,5,27
Daniil Khudiakov,RUS,Sturm Graz,UEFA Champions League,GK,Goalkeeper,20,180,64,46,74,38,32,89,57,87,59,64,75,47,79,77,96,23,18,1,63,8,95,15
Danijel Zagorac,CRO,Dinamo Zagreb,UEFA Champions League,GK,Goalkeeper,37,270,30,60,35,51,71,72,81,78,19,5,29,95,94,90,40,55,38,1,50,51,22,84
Danny Ward,WAL,Leicester City,English Premier League,GK,Goalkeeper,31,135,91,1,35,75,0,13,88,64,60,95,54,29,51,5,5,74,82,1,3,89,5,3
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,4590,12,91,17,9,70,79,52,51,68,62,57,21,35,19,85,84,86,1,71,41,93,55
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,3420,14,81,18,17,63,53,94,91,5,4,44,85,93,38,38,60,58,1,55,65,41,63
David de Gea,ESP,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,34,3600,30,75,41,20,57,62,82,56,27,32,39,72,69,50,19,49,57,1,65,87,16,31
David von Ballmoos,SUI,Young Boys,UEFA Champions League,GK,Goalkeeper,29,360,94,2,64,89,2,13,78,75,66,8,79,52,57,63,15,55,76,1,5,48,13,5
Davy Roef,BEL,Gent,UEFA Europa Conference League,GK,Goalkeeper,31,630,71,63,85,22,38,85,19,13,26,78,20,51,20,32,5,15,19,1,87,68,5,7
Dean Henderson,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,28,3420,27,58,33,37,49,64,48,71,25,16,49,76,76,62,51,62,59,1,52,14,44,68
Deniz Dilmen,NAN,Başakşehir,UEFA Europa Conference League,GK,Goalkeeper,19,180,90,3,52,98,19,13,9,6,45,9,13,47,24,8,5,98,98,1,6,60,5,65
Devis Vásquez,COL,Empoli,Italian Serie A,GK,Goalkeeper,27,2880,26,53,25,28,32,42,67,79,55,21,79,30,52,68,81,20,26,1,33,21,70,30
Diant Ramaj,GER,FC Copenhagen,UEFA Europa Conference League,GK,Goalkeeper,23,360,64,46,74,75,89,13,41,77,95,85,96,13,25,16,84,55,74,1,63,6,95,93
Diego Conde,ESP,Villarreal,Spanish La Liga,GK,Goalkeeper,26,1962,43,43,43,24,18,29,20,15,24,82,10,33,31,64,56,35,38,1,44,68,49,12
Dimitry Bertaud,COD,Montpellier,French Ligue 1,GK,Goalkeeper,26,360,70,8,27,85,10,13,65,44,11,71,16,70,68,51,96,36,37,1,7,83,98,26
Dinko Horkaš,CRO,Las Palmas,Spanish La Liga,GK,Goalkeeper,26,1085,49,40,45,61,58,28,77,62,91,61,89,18,29,33,48,74,79,1,39,75,57,72
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,25,900,22,46,18,25,23,67,65,50,88,38,79,39,39,61,63,72,77,1,25,75,57,22
Dmytro Riznyk,UKR,Shakhtar,UEFA Champions League,GK,Goalkeeper,25,720,90,24,91,84,72,56,78,73,90,55,90,70,61,86,96,23,17,1,60,54,92,67
Dominik Greif,SVK,Mallorca,Spanish La Liga,GK,Goalkeeper,28,2790,21,78,36,15,49,50,83,68,42,48,56,60,69,81,23,33,36,1,71,78,19,37
Dominik Kotarski,CRO,PAOK,UEFA Europa League,GK,Goalkeeper,25,900,50,54,62,65,83,67,43,53,80,24,80,23,38,48,17,40,51,1,68,22,15,95
Dominik Livaković,CRO,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,29,540,78,46,85,64,74,13,79,83,88,85,88,24,45,32,27,55,66,1,66,39,27,36
Dominik Takáč,SVK,Slovan Bratislava,UEFA Champions League,GK,Goalkeeper,26,720,96,4,91,97,12,13,51,49,7,74,12,93,83,94,88,5,5,1,16,47,65,34
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,32,2880,68,46,78,70,79,62,87,89,53,87,85,58,78,78,60,70,67,1,72,39,45,85
Dávid Gróf,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,35,180,50,46,52,23,19,89,65,72,20,5,45,13,39,81,72,23,29,1,48,32,56,9
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,34,572,60,41,67,70,69,68,51,26,34,36,24,27,29,36,11,64,87,1,55,91,11,81
Ed McGinty,IRL,Shamrock Rov,UEFA Europa Conference League,GK,Goalkeeper,25,180,6,95,12,4,32,89,24,18,21,99,11,37,32,10,72,98,98,1,94,65,92,3
