Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Dominik Livaković,CRO,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,29,450,29.0,8.0,20.0,8.9,0.9,0,32.0,97.0,199.0,29.0,6819.2,24.0,1192.9,69.0,2.0,4.0,99.9,1
Dominik Takáč,SVK,Slovan Bratislava,UEFA Champions League,GK,Goalkeeper,26,720,64.0,27.0,36.0,23.6,-3.4,0,34.0,101.0,157.0,39.0,5593.3,80.0,3009.2,163.0,11.0,0.0,0.0,1
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,32,2520,140.0,43.0,100.0,47.7,4.7,7,184.0,568.0,828.0,146.0,34688.5,165.0,9337.0,462.0,25.0,37.0,682.7,1
Dávid Gróf,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,35,180,9.0,3.0,6.0,2.4,-0.6,1,10.0,32.0,47.0,4.0,1867.6,7.0,396.2,33.0,2.0,1.0,20.0,1
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,34,572,31.0,10.0,21.0,11.1,0.7,2,27.0,59.0,167.0,24.0,5050.3,29.0,1074.7,79.0,1.0,7.0,221.9,1
Ed McGinty,IRL,Shamrock Rov,UEFA Europa Conference League,GK,Goalkeeper,25,180,5.0,1.0,4.0,0.7,-0.3,1,6.0,16.0,48.0,16.0,1379.7,10.0,359.9,18.0,2.0,8.0,158.4,1
Ederson,BRA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,31,2770,119.0,44.0,75.0,45.6,1.6,10,82.0,190.0,970.0,133.0,26838.3,99.0,3213.9,252.0,16.0,63.0,1316.3,1
Elia Caprile,ITA,"Cagliari, Napoli",Italian Serie A,GK,Goalkeeper,23,1530,52.0,19.0,33.0,21.0,2.0,5,98.0,265.0,496.0,81.0,17799.8,127.0,5234.0,219.0,18.0,17.0,325.5,1
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,24,520,30.0,7.0,23.0,7.4,0.4,2,25.0,96.0,156.0,32.0,5890.8,49.0,2326.5,62.0,5.0,12.0,287.7,1
Emil Audero,IDN,Como,Italian Serie A,GK,Goalkeeper,27,630,31.0,16.0,15.0,11.1,-4.9,0,14.0,47.0,196.0,27.0,5614.0,21.0,578.4,91.0,4.0,7.0,108.3,1
