Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Anthony Moris,LUX,Goalkeeper,Union SG,,1990,30,30,2700,25,99,74,13,2,1,0,1,33.7,194,444,874,99,100,411,19,25,1,8.700000000000003
Anthony Patterson,ENG,Goalkeeper,Sunderland,,2000,42,42,3780,42,128,90,14,5,4,1,0,39.1,155,520,1222,189,273,551,23,27,1,-2.8999999999999986
Arnaud Bodart,BEL,Goalkeeper,Standard Liège,,1998,2,2,180,1,6,5,1,0,0,0,0,2.6,18,56,47,4,16,40,8,9,0,1.6
Arturo Delgado,MEX,Goalkeeper,FC Juárez,,2002,2,2,180,1,11,10,1,0,0,0,0,2.0,11,32,60,8,19,16,2,0,0,1.0
Axel Werner,ARG,Goalkeeper,Rosario Central,29.0,1996,2,2,180,0,3,3,2,0,0,0,0,1.5,6,19,28,7,15,30,1,0,0,1.5
Aynsley Pears,ENG,Goalkeeper,Blackburn,,1998,40,40,3600,43,153,109,13,4,3,1,0,45.5,174,594,1071,127,193,600,20,15,1,2.5
Balázs Tóth,HUN,Goalkeeper,Blackburn,,1997,6,6,540,5,21,16,2,0,0,0,0,7.4,18,108,147,19,47,95,6,5,0,2.4000000000000004
Ben Killip,ENG,Goalkeeper,Portsmouth,,1995,2,2,180,2,9,7,0,0,0,0,0,2.5,20,52,76,8,14,30,0,1,0,0.5
Ben Wilson,ENG,Goalkeeper,Coventry City,,1992,4,4,360,5,22,17,2,0,0,0,0,4.8,16,72,118,17,18,47,3,10,0,-0.20000000000000018
Benjamin Lundt,GER,Goalkeeper,St. Louis,29.0,1995,9,9,810,14,46,31,2,2,1,1,0,14.1,50,114,210,43,81,126,6,6,1,0.09999999999999964
Benny Díaz,MEX,Goalkeeper,FC Juárez,,1998,11,11,990,26,63,37,2,5,5,0,0,21.9,47,141,299,55,103,174,8,19,0,-4.100000000000001
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22.0,2002,4,3,294,4,15,11,2,0,0,0,0,6.1,8,39,83,18,17,44,2,4,0,2.0999999999999996
Boris Radunović,SRB,Goalkeeper,Bari,,1996,37,37,3311,37,165,128,12,6,5,0,1,42.2,136,347,768,195,238,556,34,23,1,5.200000000000003
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40.0,1984,23,23,2070,44,124,80,2,5,5,0,0,39.5,99,237,579,106,164,255,7,28,0,-4.5
Brad Stuver,USA,Goalkeeper,Austin,34.0,1991,23,23,2070,26,105,80,8,3,2,1,0,28.2,131,363,696,101,168,343,23,20,1,2.1999999999999993
Bradley Collins,ENG,Goalkeeper,Coventry City,,1997,15,14,1313,23,53,30,3,0,0,0,0,17.0,78,220,415,45,90,177,5,22,0,-6.0
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30.0,1995,5,5,450,15,32,17,0,0,0,0,0,9.3,15,58,72,13,32,56,5,2,0,-5.699999999999999
Brenno,BRA,Goalkeeper,Fortaleza,26.0,1999,1,1,90,1,3,2,0,0,0,0,0,2.0,3,9,21,5,10,8,0,0,0,1.0
Brian Araújo,FRA,Goalkeeper,Gil Vicente FC,,2000,1,1,90,1,3,2,0,0,0,0,0,1.0,5,9,28,3,3,14,0,2,0,0.0
Bruno Brigido,BRA,Goalkeeper,Estrela,,1991,18,18,1575,30,83,54,1,2,2,0,0,27.3,66,243,425,90,132,257,9,15,0,-2.6999999999999993
Bruno Ferreira,BRA,Goalkeeper,Ceará,31.0,1994,9,9,783,9,26,17,2,0,0,0,0,9.8,46,142,178,23,76,144,10,7,0,0.8000000000000007
Bruno Varela,CPV,Goalkeeper,Vitória,,1994,34,34,3060,37,100,63,13,7,5,0,2,32.9,115,311,875,120,235,389,21,35,2,-4.100000000000001
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24.0,2000,21,21,1890,29,90,61,7,5,4,1,0,28.0,27,65,590,91,85,188,12,32,1,-1.0
Caio Secco,BRA,Goalkeeper,Moreirense,,1990,5,5,447,8,23,15,0,2,2,0,0,7.4,12,66,113,21,40,92,5,11,0,-0.5999999999999996
Camilo Vargas,COL,Goalkeeper,Atlas,,1989,31,31,2790,52,151,99,7,4,3,1,0,42.3,126,404,866,137,249,429,11,32,1,-9.700000000000003
Carl Rushworth,ENG,Goalkeeper,Hull City,,2001,2,2,180,2,4,2,1,0,0,0,0,1.6,7,21,59,9,4,31,1,2,0,-0.3999999999999999
Carlos Acevedo,MEX,Goalkeeper,Santos,,1996,33,33,2970,65,187,125,3,3,2,1,0,55.3,164,429,823,151,309,522,16,28,1,-9.700000000000003
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28.0,1996,24,24,2160,35,116,83,7,2,2,0,0,38.9,69,292,617,115,131,288,18,49,0,3.8999999999999986
Carlos Felipe Rodríguez,MEX,Goalkeeper,UANL,,1989,3,3,270,1,10,9,2,0,0,0,0,1.6,6,23,56,12,19,41,1,1,0,0.6000000000000001
