Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30.0,1994,3,3,270,2,10,8,2,0,0,0,0,1.8,11,40,69,19,20,29,1,0,0,-0.19999999999999996
Gustavo,BRA,Goalkeeper,Juventude,32.0,1993,10,10,855,22,56,33,1,3,2,1,0,18.0,27,81,224,47,67,148,8,1,1,-4.0
Harlen Castillo,COL,Goalkeeper,co Nacional,31.0,1993,1,1,90,0,2,2,1,0,0,0,0,0.1,4,13,32,2,0,8,0,0,0,0.1
Hendrik Van Crombrugge,BEL,Goalkeeper,Genk,,1993,19,19,1710,24,71,47,8,1,0,0,1,23.2,103,237,673,63,80,253,6,9,1,-0.8000000000000007
Hernán Galíndez,ECU,Goalkeeper,Huracán,38.0,1987,16,16,1440,12,44,32,8,3,2,1,0,14.9,71,217,345,43,109,226,13,6,1,2.9000000000000004
Hidde Jurjus,NED,Goalkeeper,Groningen,,1994,2,2,180,3,7,4,0,0,0,0,0,2.2,14,39,73,4,13,18,0,7,0,-0.7999999999999998
Horaţiu Moldovan,ROU,Goalkeeper,Sassuolo,,1998,27,27,2430,27,106,80,11,1,1,0,0,27.8,97,306,584,102,157,394,29,8,0,0.8000000000000007
Hugo González Durán,MEX,Goalkeeper,Mazatlán,,1990,34,34,3015,45,148,104,9,8,6,0,2,42.6,187,466,826,155,287,478,27,30,2,-2.3999999999999986
Hugo Lloris,FRA,Goalkeeper,LAFC,38.0,1986,20,20,1800,22,65,44,8,3,3,0,0,20.9,92,221,454,68,104,232,8,21,0,-1.1000000000000014
Hugo Souza,BRA,Goalkeeper,Corinthians,26.0,1999,12,12,1080,14,42,28,5,2,2,0,0,15.3,40,88,234,40,78,137,4,2,0,1.3000000000000007
Héctor Holguín,MEX,Goalkeeper,Santos,,2001,1,1,90,1,5,4,0,1,1,0,0,1.6,2,7,36,5,10,22,0,0,0,0.6000000000000001
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33.0,1992,19,19,1710,10,65,57,14,3,3,0,0,17.0,211,527,480,14,161,419,39,31,0,7.0
Ignacio De Arruabarrena,URU,Goalkeeper,ec Barcelona,28.0,1997,2,1,144,3,9,6,0,0,0,0,0,2.1,5,14,23,5,20,19,1,3,0,-0.8999999999999999
Illan Meslier,FRA,Goalkeeper,Leeds United,,2000,39,39,3510,27,88,63,21,4,3,1,0,23.6,72,304,1201,174,119,348,32,35,1,-3.3999999999999986
Ivan Zlobin,RUS,Goalkeeper,Famalicão,,1997,15,15,1350,18,63,45,5,1,1,0,0,23.0,48,158,353,61,92,212,16,7,0,5.0
Ivor Pandur,CRO,Goalkeeper,Hull City,,2000,44,44,3960,52,168,117,6,6,4,1,1,51.8,124,449,1746,185,278,686,37,63,2,-0.20000000000000284
Jacob Widell Zetterström,SWE,Goalkeeper,Derby County,,1998,40,40,3600,50,150,99,9,3,1,2,0,50.1,220,774,987,172,253,550,44,30,2,0.10000000000000142
Jacopo Sassi,ITA,Goalkeeper,Modena,,2003,1,1,90,3,5,3,0,0,0,0,0,1.1,6,14,28,4,8,16,0,2,0,-1.9
Jak Alnwick,ENG,Goalkeeper,Cardiff City,,1993,29,29,2610,45,126,81,5,4,3,1,0,43.6,132,440,718,91,182,384,15,42,1,-1.3999999999999986
James Beadle,ENG,Goalkeeper,Sheffield Weds,,2004,38,38,3420,59,140,80,9,5,4,1,0,54.4,177,561,1153,122,205,491,23,35,1,-4.600000000000001
James Pantemis,CAN,Goalkeeper,Portland Timbers,28.0,1997,12,12,1080,16,64,46,3,5,2,3,0,17.4,60,139,380,49,89,187,7,15,3,1.3999999999999986
James Shea,ENG,Goalkeeper,Luton Town,,1991,2,1,147,1,5,4,1,0,0,0,0,2.0,12,43,61,6,15,21,4,4,0,1.0
James Trafford,ENG,Goalkeeper,Burnley,,2002,45,45,4050,16,103,85,29,2,0,2,0,27.8,148,574,1492,194,246,527,30,50,2,11.8
Jamie Cumming,ENG,Goalkeeper,Oxford United,,1999,45,45,4050,62,201,139,13,4,2,2,0,71.6,279,871,1500,190,326,791,38,51,2,9.599999999999994
Jari De Busser,BEL,Goalkeeper,Go Ahead Eag,,1999,16,16,1440,23,88,66,5,1,1,0,0,21.0,68,234,662,83,85,311,15,19,0,-2.0
Jasper Schendelaar,NED,Goalkeeper,Zwolle,,2000,30,30,2700,45,144,100,6,5,3,0,2,49.5,152,526,991,160,186,470,38,23,2,4.5
Javier Burrai,ECU,Goalkeeper,ar Talleres,34.0,1990,5,4,405,3,14,10,3,1,0,1,0,3.3,22,46,112,26,35,73,5,4,1,0.30000000000000004
Javier Otero,VEN,Goalkeeper,Orlando City,22.0,2002,2,2,180,2,7,5,0,1,1,0,0,2.6,5,9,32,10,11,39,4,1,0,0.6000000000000001
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20.0,2004,1,1,90,1,5,4,0,0,0,0,0,0.8,0,7,43,4,5,11,1,2,0,-0.19999999999999996
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32.0,1993,7,6,591,9,19,11,1,1,1,0,0,6.2,19,52,149,27,41,73,7,3,0,-2.8
Jeroen Houwen,NED,Goalkeeper,RKC Waalwijk,,1996,24,24,2160,48,133,87,4,2,2,0,0,45.4,178,433,735,95,191,380,17,21,0,-2.6000000000000014
Jeroen Zoet,NED,Goalkeeper,AZ Alkmaar,,1991,6,6,540,3,12,10,3,0,0,0,0,1.5,37,117,180,12,45,65,4,4,0,-1.5
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,27.0,1997,6,6,540,11,37,26,0,0,0,0,0,11.1,22,65,136,30,55,108,4,15,0,0.09999999999999964
Jesús Rodríguez,MEX,Goalkeeper,Puebla,,1993,4,4,360,8,20,12,1,0,0,0,0,8.0,21,41,123,18,38,48,4,4,0,0.0
Jhonatan,BRA,Goalkeeper,Rio Ave,,1991,8,8,720,13,43,30,2,0,0,0,0,12.3,30,102,231,40,78,126,3,5,0,-0.6999999999999993
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36.0,1988,2,1,120,1,5,4,0,0,0,0,0,0.8,6,20,36,4,6,16,1,1,0,-0.19999999999999996
Jo Coppens,BEL,Goalkeeper,Sint-Truiden,,1990,3,3,270,11,18,7,0,1,1,0,0,9.0,12,47,96,9,10,50,1,0,0,-2.0
Joe Walsh,ENG,Goalkeeper,QPR,,2002,1,1,90,0,4,4,1,0,0,0,0,1.7,7,24,37,2,5,30,1,0,0,1.7
Joe Wildsmith,ENG,Goalkeeper,West Brom,,1995,10,10,900,9,28,19,2,0,0,0,0,9.0,54,175,303,45,65,118,7,7,0,0.0
Joe Willis,USA,Goalkeeper,Nashville SC,36.0,1988,25,25,2250,26,91,64,9,4,2,2,0,28.4,80,220,704,133,132,307,26,14,2,2.3999999999999986
Joel Drommel,NED,Goalkeeper,PSV Eindhoven,,1996,1,0,45,0,0,0,0,0,0,0,0,0.0,5,11,21,1,5,6,0,0,0,0.0
Joel Robles,ESP,Goalkeeper,Estoril,,1990,29,29,2610,46,132,85,5,6,5,1,0,50.0,159,513,659,111,222,405,17,43,1,4.0
Joey Kesting,NED,Goalkeeper,RKC Waalwijk,,2001,3,3,270,5,13,8,0,3,3,0,0,5.1,25,53,86,7,17,51,0,2,0,0.09999999999999964
John,BRA,Goalkeeper,br Botafogo (RJ),29.0,1996,21,21,1890,13,72,58,11,1,1,0,0,17.7,86,215,599,72,110,300,16,16,0,4.7
John McCarthy,USA,Goalkeeper,LA Galaxy,33.0,1992,11,11,990,26,56,31,0,4,3,1,0,20.0,27,123,245,46,54,135,8,9,1,-6.0
John Pulskamp,USA,Goalkeeper,Sporting KC,24.0,2001,24,24,2160,45,127,84,3,7,6,0,1,42.0,109,402,517,82,204,319,16,19,1,-3.0
Jonas Wendlinger,AUT,Goalkeeper,Almere City,,2000,1,0,10,0,0,0,0,0,0,0,0,0.0,1,5,4,0,1,1,1,0,0,0.0
Jonathan Bond,ENG,Goalkeeper,Watford,32.0,1993,25,24,2238,41,109,67,6,2,1,1,0,38.5,87,236,628,102,129,313,11,38,1,-2.5
Jonathan Klinsmann,USA,Goalkeeper,Cesena,,1997,27,27,2430,30,94,64,7,3,1,2,0,30.2,43,263,553,138,178,345,21,19,2,0.1999999999999993
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24.0,2001,22,22,1980,37,109,72,4,0,0,0,0,33.5,80,217,773,91,90,208,15,26,0,-3.5
Jordan Archer,SCO,Goalkeeper,Portsmouth,,1993,2,1,150,2,11,9,0,0,0,0,0,2.9,7,26,50,5,7,32,0,3,0,0.8999999999999999
Jorge Broun,ARG,Goalkeeper,Rosario Central,39.0,1986,17,17,1530,9,54,46,9,0,0,0,0,12.3,92,192,310,73,161,287,10,1,0,3.3000000000000007
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44.0,1981,15,15,1350,22,65,43,4,3,3,0,0,16.9,75,184,301,63,95,238,12,11,0,-5.100000000000001
Jorge Hernández,MEX,Goalkeeper,Querétaro,,1998,9,9,810,13,41,28,2,2,1,0,1,12.8,31,125,137,21,85,190,4,0,1,-0.1999999999999993
Josh Vickers,ENG,Goalkeeper,Derby County,,1995,6,6,540,6,17,11,3,0,0,0,0,6.7,38,127,122,16,55,92,9,3,0,0.7000000000000002
Joshua Griffiths,ENG,Goalkeeper,West Brom,,2001,6,6,540,11,26,15,1,0,0,0,0,8.8,23,74,171,29,26,103,2,6,0,-2.1999999999999993
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22.0,2003,2,2,180,4,14,10,0,1,1,0,0,4.6,7,11,55,20,6,33,3,1,0,0.5999999999999996
José Antonio Rodríguez,MEX,Goalkeeper,Tijuana,,1992,21,21,1880,36,113,79,3,3,3,0,0,33.9,118,298,870,87,122,275,16,23,0,-2.1000000000000014
José Contreras Verna,VEN,Goalkeeper,ec Barcelona,30.0,1994,5,5,396,4,21,16,2,1,0,1,0,5.9,16,63,77,15,44,62,7,0,1,1.9000000000000004
José Corona,MEX,Goalkeeper,Tijuana,,1981,11,10,910,18,53,34,1,3,2,1,0,20.0,27,70,338,42,44,109,2,8,1,2.0
José Eulogio,MEX,Goalkeeper,Pachuca,,2004,2,2,180,4,8,4,0,0,0,0,0,2.5,8,16,27,7,16,15,0,0,0,-1.5
José Rangel Aguilar,MEX,Goalkeeper,Guadalajara,,2000,32,32,2879,32,121,87,11,3,1,2,0,32.4,147,391,919,150,215,383,32,36,2,0.3999999999999986
José Santiago Hernández,MEX,Goalkeeper,Atlas,,1997,3,3,270,3,6,3,1,1,1,0,0,2.5,10,27,66,9,14,24,1,2,0,-0.5
João Gonçalves,POR,Goalkeeper,Boavista,,2000,4,4,360,2,8,6,2,0,0,0,0,3.3,31,88,74,3,36,59,1,1,0,1.2999999999999998
João Paulo Santos Costa,POR,Goalkeeper,Estrela,,1996,14,14,1260,17,54,36,4,4,3,1,0,19.0,94,244,312,37,120,181,2,14,1,2.0
João Ricardo Riedi,BRA,Goalkeeper,br Fortaleza,36.0,1988,18,18,1620,23,92,69,8,2,1,1,0,27.9,81,210,356,82,123,223,17,19,1,4.899999999999999
João Valido,POR,Goalkeeper,Arouca,,2000,5,5,450,6,20,14,1,1,1,0,0,5.5,17,32,105,22,50,70,9,8,0,-0.5
Juan Cozzani,ARG,Goalkeeper,Platense,26.0,1998,19,19,1710,14,70,58,8,2,2,0,0,19.9,101,381,377,27,121,284,12,19,0,5.899999999999999
Juan Espínola,PAR,Goalkeeper,Belgrano,30.0,1994,12,12,1080,18,47,29,4,1,1,0,0,12.4,76,225,305,43,80,195,15,9,0,-5.6
Juan González,URU,Goalkeeper,Atlé Tucumán,32.0,1993,6,6,540,5,22,18,2,1,1,0,0,5.0,39,92,137,17,42,87,9,6,0,0.0
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24.0,2001,2,2,180,3,8,5,0,0,0,0,0,3.9,6,14,28,6,12,29,0,0,0,0.8999999999999999
Julien Devriendt,BEL,Goalkeeper,Dender,,1998,4,3,315,9,26,17,0,1,1,0,0,7.2,13,42,77,23,16,49,2,7,0,-1.7999999999999998
Julio José González,MEX,Goalkeeper,UNAM,,1991,19,19,1710,19,74,56,7,3,3,0,0,16.9,87,249,430,87,182,226,9,35,0,-2.0999999999999996
Justin Bijlow,NED,Goalkeeper,Feyenoord,,1998,4,4,360,8,16,8,0,0,0,0,0,6.0,12,30,205,16,21,26,2,6,0,-2.0
Kaique,BRA,Goalkeeper,Farense,,2003,6,6,540,6,21,14,1,1,0,1,0,7.1,31,104,170,33,53,115,5,1,1,1.0999999999999996
Karl Darlow,WAL,Goalkeeper,Leeds United,,1990,7,7,630,3,11,9,4,0,0,0,0,2.5,25,75,197,27,33,66,7,6,0,-0.5
Kevin Chamorro,CRC,Goalkeeper,Estoril,,2000,4,4,360,3,12,9,2,1,1,0,0,3.7,12,57,81,11,22,46,4,13,0,0.7000000000000002
Kevin Mier,COL,Goalkeeper,Cruz Azul,,2000,33,33,2970,27,88,61,14,4,3,1,0,25.2,115,285,1254,98,217,373,14,43,1,-1.8000000000000007
Kewin,BRA,Goalkeeper,Moreirense,,1995,29,29,2610,42,114,72,6,3,3,0,0,39.3,154,440,789,126,229,472,36,19,0,-2.700000000000003
Keylor Navas,CRC,Goalkeeper,Newell's OB,38.0,1986,14,14,1260,11,64,54,6,1,0,0,1,16.7,106,222,247,48,132,272,10,3,1,5.699999999999999
Kim Joonhong,KOR,Goalkeeper,D.C. United,22.0,2003,7,7,630,17,39,22,1,2,2,0,0,15.6,51,118,174,26,50,75,5,13,0,-1.4000000000000004
Koen Van Langendonck,BEL,Goalkeeper,Westerlo,,1989,10,10,900,16,41,24,2,3,2,1,0,16.4,53,117,278,38,80,144,7,17,1,0.3999999999999986
Kostas Lamprou,GRE,Goalkeeper,NAC Breda,,1991,1,1,90,3,5,2,0,0,0,0,0,2.3,8,20,53,4,3,16,0,1,0,-0.7000000000000002
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33.0,1992,23,23,2070,37,118,81,6,6,6,0,0,37.3,62,170,605,125,126,326,15,15,0,0.29999999999999716
Lars Unnerstall,GER,Goalkeeper,Twente,,1990,31,31,2790,39,101,62,11,2,2,0,0,35.8,109,332,892,147,173,403,23,36,0,-3.200000000000003
Laurent Henkinet,BEL,Goalkeeper,Standard Liège,,1992,4,4,315,1,13,12,2,0,0,0,0,2.5,19,72,76,12,27,93,9,2,0,1.5
Lautaro Morales,ARG,Goalkeeper,Lanús,25.0,1999,1,1,90,1,2,1,0,0,0,0,0,1.0,3,6,16,2,6,7,0,0,0,0.0
Lawrence Vigouroux,CHI,Goalkeeper,Swansea City,,1993,46,46,4140,56,166,113,14,4,4,0,0,54.5,310,965,1772,188,229,600,40,38,0,-1.5
Lazar Carević,MNE,Goalkeeper,Famalicão,,1999,18,18,1620,21,73,52,7,4,3,1,0,23.7,71,183,430,71,97,247,6,18,1,2.6999999999999993
Leandro Brey,ARG,Goalkeeper,Boca Juniors,22.0,2002,2,2,180,1,4,3,1,0,0,0,0,1.0,6,20,44,10,16,40,0,2,0,0.0
Leandro Chichizola,ARG,Goalkeeper,Spezia,,1990,11,11,990,10,36,27,3,0,0,0,0,8.5,78,207,331,44,50,120,14,26,0,-1.5
Leo Kokubo,JPN,Goalkeeper,Sint-Truiden,,2001,27,27,2430,45,121,77,4,10,9,1,0,45.0,113,318,749,103,172,485,21,36,1,0.0
Leonardo Loria,ITA,Goalkeeper,Pisa,,1999,1,1,90,3,5,2,0,1,1,0,0,1.8,3,9,18,3,2,14,0,5,0,-1.2
Liam Roberts,ENG,Goalkeeper,Millwall,,1994,2,1,91,0,3,3,2,0,0,0,0,0.3,4,32,22,2,13,36,3,2,0,0.3
Lorenzo Andrenacci,ITA,Goalkeeper,Brescia,,1995,1,1,90,0,2,2,1,0,0,0,0,0.1,5,10,20,4,6,8,3,0,0,0.1
Luca Lezzerini,ITA,Goalkeeper,Brescia,,1995,37,37,3330,48,167,119,10,9,5,1,3,47.3,192,459,885,144,216,602,40,24,4,-0.7000000000000028
Luca Maniero,ITA,Goalkeeper,Cittadella,,1995,10,9,855,14,52,39,4,3,3,0,0,14.7,48,135,192,44,73,135,8,9,0,0.6999999999999993
Luca Plogmann,GER,Goalkeeper,Go Ahead Eag,,2000,18,18,1620,32,81,49,4,3,3,0,0,25.5,55,199,640,71,89,312,12,13,0,-6.5
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30.0,1995,19,19,1710,23,93,72,5,2,1,0,1,29.1,107,301,417,41,144,327,14,18,1,6.100000000000001
Lucas Arcanjo,BRA,Goalkeeper,Vitória,26.0,1998,16,16,1440,16,84,68,4,0,0,0,0,21.3,62,193,354,71,145,309,14,6,0,5.300000000000001
Lucas Bruera,ARG,Goalkeeper,ve Carabobo,27.0,1997,6,6,540,13,39,26,0,3,3,0,0,11.2,11,54,67,18,60,95,3,4,0,-1.8000000000000007
Lucas França,BRA,Goalkeeper,Nacional,,1996,33,33,2925,46,149,103,8,9,7,0,2,48.9,167,482,663,108,308,509,33,24,2,2.8999999999999986
Lucas Pirard,BEL,Goalkeeper,Kortrijk,,1995,7,5,543,10,28,18,1,1,1,0,0,14.7,36,88,138,31,37,88,4,12,0,4.699999999999999
Lucas Verza,PAR,Goalkeeper,py Olimpia,24.0,2001,1,1,90,0,3,2,1,1,0,1,0,1.3,4,13,21,7,9,11,1,0,1,1.3
Lucão,BRA,Goalkeeper,RB Bragantino,24.0,2001,3,3,270,4,18,14,1,0,0,0,0,5.8,3,19,76,14,27,53,2,2,0,1.7999999999999998
Luigi Sepe,ITA,Goalkeeper,Salernitana,,1991,18,18,1575,22,68,46,4,3,3,0,0,23.0,59,204,454,68,118,196,12,9,0,1.0
Luis Barraza,USA,Goalkeeper,D.C. United,28.0,1996,18,18,1620,32,91,60,3,2,2,0,0,28.5,89,295,496,87,130,220,16,18,0,-3.5
Luis Cárdenas,MEX,Goalkeeper,Monterrey,,1993,10,10,900,13,41,28,1,1,1,0,0,12.0,38,75,263,64,73,123,5,15,0,-1.0
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25.0,2000,3,3,270,7,14,7,0,2,2,0,0,7.1,11,31,55,12,21,54,1,0,0,0.09999999999999964
Luis Manuel García,MEX,Goalkeeper,Toluca,,1992,5,5,450,6,15,9,1,0,0,0,0,4.6,17,53,134,17,27,64,3,2,0,-1.4000000000000004
Luis Mejía,PAN,Goalkeeper,uy Nacional,34.0,1991,6,6,540,10,31,21,1,1,1,0,0,10.7,14,54,85,12,35,85,6,3,0,0.6999999999999993
Luis Ángel Malagón,MEX,Goalkeeper,América,,1997,29,29,2565,27,97,70,10,2,2,0,0,23.7,114,289,707,80,224,309,12,23,0,-3.3000000000000007
Luiz Lúcio Reis Júnior,BRA,Goalkeeper,Famalicão,,2001,1,1,90,0,2,2,1,0,0,0,0,0.3,11,24,32,7,6,17,3,2,0,0.3
Lukas Jensen,DEN,Goalkeeper,Millwall,,1999,41,41,3689,41,132,94,13,3,1,1,1,42.1,189,790,882,96,264,549,25,38,2,1.1000000000000014
Lukáš Horníček,CZE,Goalkeeper,Braga,,2002,17,17,1530,11,58,47,8,1,1,0,0,13.4,62,209,538,91,92,202,16,34,0,2.4000000000000004
Luuk Koopmans,NED,Goalkeeper,Fortuna Sittard,,1993,6,6,540,15,35,19,0,2,1,1,0,13.2,48,141,130,12,54,103,4,0,1,-1.8000000000000007
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23.0,2002,1,1,90,0,1,1,1,0,0,0,0,0.2,1,2,11,3,5,9,0,0,0,0.2
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30.0,1995,15,15,1345,19,55,39,2,0,0,0,0,16.8,29,112,342,56,103,246,15,12,0,-2.1999999999999993
Maarten Paes,IDN,Goalkeeper,FC Dallas,27.0,1998,22,22,1980,43,105,62,3,7,7,0,0,40.6,121,280,546,89,144,372,18,31,0,-2.3999999999999986
Mads Kikkenborg,DEN,Goalkeeper,Anderlecht,,1999,2,2,180,2,10,8,0,0,0,0,0,4.2,9,30,71,10,6,37,1,3,0,2.2
Magrão,BRA,Goalkeeper,Fortaleza,25.0,2000,3,3,270,4,12,8,0,2,2,0,0,4.2,9,28,44,12,24,30,1,1,0,0.20000000000000018
Manuel Roffo,ARG,Goalkeeper,Instituto,25.0,2000,19,19,1710,24,77,53,7,2,2,0,0,21.8,104,260,373,62,136,266,20,12,0,-2.1999999999999993
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35.0,1990,5,5,450,5,18,12,2,1,0,1,0,8.8,24,93,113,18,41,107,3,14,1,3.8000000000000007
Marcelo Lomba,BRA,Goalkeeper,br Palmeiras,38.0,1986,1,1,90,0,1,1,1,0,0,0,0,0.0,1,1,24,8,5,8,2,0,0,0.0
Marco Bleve,ITA,Goalkeeper,Carrarese,,1995,24,24,2092,25,107,81,12,6,5,1,0,33.1,139,333,785,79,135,332,27,22,1,8.100000000000001
Marco Festa,ITA,Goalkeeper,Mantova,,1992,38,38,3420,56,173,118,8,2,2,0,0,56.4,113,312,1443,110,185,580,21,36,0,0.3999999999999986
Marco Pissardo,ITA,Goalkeeper,Bari,,1998,2,1,109,3,10,7,1,0,0,0,0,2.7,13,33,24,5,16,23,2,0,0,-0.2999999999999998
Marco Silvestri,ITA,Goalkeeper,Sampdoria,,1991,7,7,630,12,33,21,1,1,1,0,0,8.7,21,71,177,25,40,89,6,0,0,-3.3000000000000007
Marcos Felipe,BRA,Goalkeeper,br Bahia,29.0,1996,15,14,1332,15,56,41,5,2,2,0,0,15.6,57,143,454,75,116,239,8,29,0,0.5999999999999996
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,28.0,1996,19,19,1710,22,78,58,6,0,0,0,0,19.9,117,320,324,67,130,351,31,8,0,-2.1000000000000014
Marcão,BRA,Goalkeeper,Juventude,33.0,1992,6,5,495,10,41,32,1,1,1,0,0,11.5,12,56,130,29,24,78,4,4,0,1.5
Marino Arzamendia,PAR,Goalkeeper,py Olimpia,27.0,1998,2,2,180,7,12,5,0,2,2,0,0,5.0,13,26,42,7,14,19,1,4,0,-2.0
Marius Adamonis,LTU,Goalkeeper,Südtirol,,1997,15,15,1350,18,63,45,4,0,0,0,0,19.7,118,293,245,45,121,256,9,8,0,1.6999999999999993
Mark Spenkelink,NED,Goalkeeper,RKC Waalwijk,,1997,4,4,360,12,24,12,0,2,2,0,0,10.0,22,66,155,10,14,59,1,1,0,-2.0
Mark Travers,IRL,Goalkeeper,Middlesbrough,,1999,17,17,1530,20,83,64,4,0,0,0,0,23.1,37,215,419,71,116,223,15,24,0,3.1000000000000014
Marko Gudžulić,SRB,Goalkeeper,Estrela,,2002,2,2,180,3,9,6,1,1,0,1,0,2.5,15,48,54,7,19,37,4,1,1,-0.5
Marko Ilić,SRB,Goalkeeper,Kortrijk,,1998,5,5,425,9,27,19,0,0,0,0,0,10.1,28,64,85,24,26,62,4,4,0,1.0999999999999996
Martin Delavallée,BEL,Goalkeeper,Charleroi,,2004,8,8,720,13,47,34,1,0,0,0,0,14.4,50,116,231,58,46,96,5,11,0,1.4000000000000004
Martín Campaña,URU,Goalkeeper,uy Peñarol,36.0,1989,3,3,270,2,13,11,2,0,0,0,0,2.0,17,50,40,4,23,55,4,0,0,0.0
Martín Silva,URU,Goalkeeper,py Libertad,42.0,1983,1,1,90,2,4,2,0,0,0,0,0,2.1,3,7,18,2,12,10,0,2,0,0.10000000000000009
Matheus,BRA,Goalkeeper,Ajax,,1992,26,26,2340,28,88,61,11,2,2,0,0,25.0,80,277,823,126,157,288,26,35,0,-2.9999999999999982
Matheus Donelli,BRA,Goalkeeper,Corinthians,23.0,2002,5,5,450,6,19,13,1,1,1,0,0,5.7,13,33,97,19,35,53,3,2,0,-0.2999999999999998
Matheus Teixeira,BRA,Goalkeeper,Rio Ave,,1999,1,0,15,0,0,0,0,0,0,0,0,0.0,0,3,8,0,2,1,0,0,0,0.0
Matt Freese,USA,Goalkeeper,NYCFC,26.0,1998,21,21,1890,27,92,68,6,1,1,0,0,27.5,35,138,538,128,95,258,16,28,0,0.5
Matt Ingram,ENG,Goalkeeper,Oxford United,,1993,1,1,90,3,5,2,0,0,0,0,0,2.7,3,15,31,7,9,19,0,0,0,-0.2999999999999998
Matteo Pisseri,ITA,Goalkeeper,Cesena,,1991,11,11,990,17,44,28,4,1,0,1,0,14.9,30,103,233,63,81,162,8,14,1,-2.0999999999999996
Matthieu Epolo,BEL,Goalkeeper,Standard Liège,,2004,19,18,1665,21,93,72,8,1,0,1,0,26.2,114,341,399,58,143,279,18,17,1,5.199999999999999
Mattijs Branderhorst,NED,Goalkeeper,Fortuna Sittard,,1993,28,28,2520,39,131,92,10,2,2,0,0,40.2,149,499,606,129,215,439,55,24,0,1.2000000000000028
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,26.0,1998,19,19,1710,22,71,49,4,1,1,0,0,22.2,139,371,421,33,155,273,22,15,0,0.1999999999999993
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,29.0,1996,24,24,2160,26,80,53,9,4,3,1,0,24.9,109,294,428,97,191,357,19,23,1,-1.0999999999999992
Matías Tagliamonte,ARG,Goalkeeper,Unión,27.0,1998,5,5,450,2,13,10,3,1,0,1,0,3.1,24,71,76,19,35,74,5,2,1,1.1
Max O'Leary,IRL,Goalkeeper,Bristol City,,1996,46,46,4140,55,172,117,10,2,2,0,0,54.6,236,770,1217,218,219,555,37,79,0,-0.3999999999999986
Maxence Prevot,FRA,Goalkeeper,OH Leuven,,1997,1,1,90,1,5,4,0,0,0,0,0,2.4,14,26,36,5,8,29,2,1,0,1.4
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31.0,1994,12,12,1080,16,60,44,3,0,0,0,0,15.8,56,151,352,58,73,132,6,10,0,-0.1999999999999993
Maxime Delanghe,BEL,Goalkeeper,Cercle Brugge,,2001,21,21,1881,27,87,59,7,3,2,1,0,29.0,105,413,427,39,129,263,6,34,1,2.0
Michael Brouwer,NED,Goalkeeper,Utrecht,,1993,3,3,270,1,10,9,2,1,1,0,0,3.3,17,58,82,11,24,64,0,4,0,2.3
Michael Collodi,USA,Goalkeeper,FC Dallas,24.0,2001,2,2,180,2,6,4,1,0,0,0,0,2.5,5,18,59,11,8,27,1,6,0,0.5
Michael Cooper,ENG,Goalkeeper,Sheffield Utd,,1999,43,43,3870,33,142,109,21,5,4,1,0,38.5,248,662,1425,182,223,617,59,37,1,5.5
Michael Verrips,NED,Goalkeeper,Dender,,1996,27,27,2336,41,129,90,7,7,7,0,0,45.0,147,412,546,64,175,435,19,4,0,4.0
Michele Cerofolini,ITA,Goalkeeper,Frosinone,,1999,36,36,3240,43,145,100,8,6,4,2,0,45.8,155,546,1026,132,235,578,27,20,2,2.799999999999997
Mickey van der Hart,NED,Goalkeeper,Heerenveen,,1994,19,18,1695,33,104,72,3,3,3,0,0,37.0,82,255,794,78,58,214,11,30,0,4.0
Miguel Jiménez Ponce,MEX,Goalkeeper,Puebla,,1990,24,24,2160,40,117,75,4,6,3,3,0,36.5,125,439,414,61,255,478,17,9,3,-3.5
Miguel Ortega,MEX,Goalkeeper,Tijuana,,1995,3,3,270,6,13,7,0,1,1,0,0,5.8,14,31,107,10,12,32,2,4,0,-0.20000000000000018
