Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Pierce Charles,NIR,Goalkeeper,Sheffield Weds,0.0,2005,8,8,720,1.25,3.75,2.38,0.0,0.12,0.0,0.12,0.0,1.59,6.25,13.75,37.25,4.62,4.88,13.38,1.38,0.62,0.12,0.34,63.47,45.45,10.31
Plamen Andreev,BUL,Goalkeeper,Feyenoord,0.0,2004,1,1,90,2.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.4,5.0,11.0,36.0,3.0,2.0,6.0,1.0,6.0,0.0,-0.6,50.0,45.45,16.67
Przemysław Tytoń,POL,Goalkeeper,Twente,0.0,1987,3,3,270,3.33,6.33,3.0,0.0,0.0,0.0,0.0,0.0,2.6,5.33,11.33,33.33,5.0,6.0,11.33,0.33,2.0,0.0,-0.73,47.39,47.04,2.91
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35.0,1990,24,24,2160,1.25,4.12,2.79,0.25,0.21,0.12,0.08,0.0,1.39,3.75,10.04,37.29,3.42,7.33,10.92,0.17,1.62,0.08,0.14,67.72,37.35,1.56
Rafael Pires,BRA,Goalkeeper,br São Paulo,36.0,1989,23,23,2070,1.0,3.52,2.57,0.35,0.17,0.13,0.0,0.04,1.11,2.52,9.57,16.65,2.17,6.87,15.13,0.35,0.74,0.04,0.11,73.01,26.33,2.31
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21.0,2003,1,1,90,4.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,3.1,4.0,16.0,23.0,5.0,7.0,10.0,1.0,0.0,0.0,-0.9,50.0,25.0,10.0
Remko Pasveer,NED,Goalkeeper,Ajax,0.0,1983,24,24,2160,0.96,3.71,2.79,0.46,0.0,0.0,0.0,0.0,1.14,6.17,13.62,39.29,4.54,4.46,11.54,1.04,1.12,0.0,0.18,75.2,45.3,9.01
Ricardo Batista,POR,Goalkeeper,Casa Pia,0.0,1986,1,1,90,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,1.0,2.0,31.0,3.0,3.0,10.0,0.0,2.0,0.0,-0.2,50.0,50.0,0.0
Ricardo Gutiérrez,MEX,Goalkeeper,Mazatlán,0.0,1997,1,0,45,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.4,4.0,10.0,24.0,2.0,6.0,8.0,0.0,0.0,0.0,1.4,100.0,40.0,0.0
Ricardo Velho,POR,Goalkeeper,Farense,0.0,1998,28,28,2520,1.43,4.5,3.14,0.21,0.25,0.21,0.0,0.04,1.43,5.54,16.54,22.71,3.89,9.07,16.18,1.11,0.86,0.04,0.0,69.78,33.49,6.86
Riccardo Gagno,ITA,Goalkeeper,Modena,0.0,1997,37,37,3330,1.27,3.62,2.35,0.19,0.11,0.08,0.03,0.0,1.14,5.46,16.22,24.49,3.32,7.59,17.68,1.7,0.32,0.03,-0.13,64.92,33.66,9.62
Robin Roefs,NED,Goalkeeper,NEC Nijmegen,0.0,2003,32,32,2880,1.31,4.72,3.53,0.31,0.03,0.03,0.0,0.0,1.49,5.28,17.56,33.5,4.28,6.31,14.53,1.62,1.41,0.0,0.18,74.79,30.07,11.15
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23.0,2002,6,3,430,1.05,2.72,1.67,0.42,0.0,0.0,0.0,0.0,1.05,4.19,7.12,36.0,4.19,4.4,12.14,0.42,0.63,0.0,0.0,61.4,58.85,3.46
Rodolfo Cota,MEX,Goalkeeper,América,0.0,1987,6,5,495,0.73,3.09,2.36,0.55,0.0,0.0,0.0,0.0,0.64,2.55,6.73,31.09,3.27,5.45,6.73,0.36,1.09,0.0,-0.09,76.38,37.89,5.35
Rodrigo Morínigo,PAR,Goalkeeper,py Libertad,26.0,1998,5,5,450,0.6,3.6,3.0,0.6,0.0,0.0,0.0,0.0,0.78,8.2,19.4,20.8,2.0,9.0,17.4,0.2,0.6,0.0,0.18,83.33,42.27,1.15
Rodrigo Rey,ARG,Goalkeeper,Independiente,34.0,1991,19,19,1710,0.89,3.05,2.32,0.37,0.16,0.16,0.0,0.0,0.99,4.84,11.37,22.89,4.05,6.11,12.05,0.58,0.32,0.0,0.1,76.07,42.57,4.81
Rodrigo Saracho,ARG,Goalkeeper,bo San Antonio Bulo Bulo,31.0,1994,6,6,540,2.5,7.67,5.17,0.0,0.17,0.17,0.0,0.0,2.4,7.17,22.5,21.0,2.33,13.17,19.5,0.83,0.83,0.0,-0.1,67.41,31.87,4.26
Roman Bürki,SUI,Goalkeeper,St. Louis,34.0,1990,15,15,1350,1.73,5.67,4.0,0.2,0.2,0.2,0.0,0.0,1.8,5.33,13.67,32.13,5.0,6.6,11.73,0.6,1.13,0.0,0.07,70.55,38.99,5.12
Roman Celentano,USA,Goalkeeper,FC Cincinnati,24.0,2000,25,25,2250,1.24,4.08,2.88,0.36,0.2,0.12,0.04,0.04,1.31,3.48,10.12,23.92,4.72,7.04,14.96,0.8,0.44,0.08,0.07,70.59,34.39,5.35
Rome-Jayden Owusu-Oduro,NED,Goalkeeper,AZ Alkmaar,0.0,2004,28,28,2520,1.21,3.04,1.82,0.32,0.11,0.04,0.04,0.04,1.03,4.29,12.79,25.57,3.11,4.21,11.32,0.93,0.5,0.07,-0.18,59.87,33.54,8.22
