Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Thomas Vettorel,ITA,Goalkeeper,Cosenza,0.0,2000,2,1,124,2.18,4.35,2.18,0.0,0.73,0.73,0.0,0.0,1.81,4.35,12.34,23.95,2.9,7.98,7.26,0.0,2.18,0.0,-0.36,50.11,35.25,0.0
Théo Defourny,BEL,Goalkeeper,Charleroi,0.0,1992,1,1,90,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,10.0,24.0,3.0,5.0,9.0,0.0,1.0,0.0,-0.5,50.0,10.0,0.0
Tiago Volpi,BRA,Goalkeeper,Grêmio,34.0,1990,35,35,3150,1.17,4.57,3.4,0.26,0.14,0.14,0.0,0.0,1.47,6.34,14.46,29.23,3.06,6.74,15.11,0.89,0.91,0.0,0.3,74.4,43.85,5.89
Timon Wellenreuther,GER,Goalkeeper,Feyenoord,0.0,1995,29,29,2610,0.97,3.41,2.41,0.34,0.07,0.03,0.03,0.0,1.1,4.45,11.07,38.9,4.45,3.31,9.86,0.59,2.66,0.03,0.14,70.67,40.2,5.98
Tobe Leysen,BEL,Goalkeeper,OH Leuven,0.0,2002,29,29,2610,1.1,4.34,3.28,0.31,0.17,0.14,0.03,0.0,1.41,5.9,17.62,35.28,5.45,7.24,15.93,1.0,0.97,0.03,0.31,75.58,33.48,6.28
Tom Glover,AUS,Goalkeeper,Middlesbrough,0.0,1997,7,6,571,0.95,2.05,1.1,0.47,0.0,0.0,0.0,0.0,0.61,3.94,15.13,31.37,5.52,5.67,11.82,1.26,1.1,0.0,-0.33,53.66,26.04,10.66
Tom Vandenberghe,BEL,Goalkeeper,Gent,0.0,1992,12,12,1080,1.92,5.08,3.25,0.17,0.08,0.08,0.0,0.0,1.81,5.42,13.42,24.25,5.58,4.92,13.75,1.17,0.58,0.0,-0.11,63.98,40.39,8.51
Tomas Romero,SLV,Goalkeeper,NYCFC,24.0,2000,3,3,270,0.67,3.67,3.33,0.33,0.0,0.0,0.0,0.0,1.1,1.67,4.67,25.33,4.0,6.33,14.0,0.67,0.33,0.0,0.43,90.74,35.76,4.79
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26.0,1999,11,11,990,1.55,4.18,2.64,0.18,0.27,0.09,0.09,0.09,1.56,5.73,16.09,22.27,4.18,7.91,11.64,0.73,1.45,0.18,0.02,63.16,35.61,6.27
Tomás Marchiori,ARG,Goalkeeper,ar Vélez Sarsfield,30.0,1995,24,24,2160,0.96,3.38,2.54,0.42,0.08,0.04,0.0,0.04,0.9,2.92,9.12,16.92,3.54,7.96,12.33,0.62,0.29,0.04,-0.06,75.15,32.02,5.03
Tomáš Vaclík,CZE,Goalkeeper,Boavista,0.0,1989,12,12,1080,1.83,6.33,4.58,0.25,0.25,0.25,0.0,0.0,1.91,6.25,16.25,20.58,5.42,10.0,16.83,0.92,1.0,0.0,0.07,72.35,38.46,5.47
Tomé,POR,Goalkeeper,Boavista,0.0,2006,2,2,180,2.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,1.15,6.5,22.0,10.5,0.0,13.0,16.5,0.0,1.0,0.0,-1.35,50.0,29.55,0.0
Vasilios Barkas,GRE,Goalkeeper,Utrecht,0.0,1994,31,31,2790,1.42,4.52,3.13,0.23,0.1,0.1,0.0,0.0,1.36,5.03,13.45,28.48,3.77,6.19,13.23,0.97,0.9,0.0,-0.05,69.25,37.4,7.33
Vicente Reyes,CHI,Goalkeeper,Norwich City,0.0,2003,4,3,271,2.32,3.99,1.66,0.0,0.0,0.0,0.0,0.0,1.86,1.33,5.98,20.92,4.98,3.32,12.62,0.33,2.66,0.0,-0.46,41.6,22.24,2.61
Viktor Johansson,SWE,Goalkeeper,Stoke City,0.0,1998,46,46,4140,1.35,4.54,3.28,0.3,0.11,0.07,0.02,0.02,1.55,4.26,15.22,31.54,4.54,5.26,16.37,1.09,2.22,0.04,0.2,72.25,27.99,6.66
Vincenzo Fiorillo,ITA,Goalkeeper,Salernitana,0.0,1990,17,16,1366,1.65,4.22,2.57,0.07,0.13,0.13,0.0,0.0,1.44,4.61,13.51,22.27,3.03,9.03,15.94,0.92,0.53,0.0,-0.2,60.9,34.12,5.77
Vladan Kovačević,BIH,Goalkeeper,Sporting CP,0.0,1998,6,6,540,0.83,2.67,1.83,0.33,0.0,0.0,0.0,0.0,0.62,1.0,2.67,16.33,3.33,2.33,8.67,0.5,0.67,0.0,-0.22,68.54,37.45,5.77
Václav Hladký,CZE,Goalkeeper,Burnley,0.0,1990,1,1,90,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,8.0,35.0,4.0,3.0,13.0,2.0,0.0,0.0,0.1,100.0,25.0,15.38
Walter,BRA,Goalkeeper,Mirassol,37.0,1987,9,9,810,0.56,4.89,4.22,0.44,0.11,0.0,0.11,0.0,1.33,3.56,11.0,27.33,5.67,5.0,20.22,0.89,0.33,0.11,0.78,86.3,32.36,4.4
Walter Benítez,ARG,Goalkeeper,PSV Eindhoven,0.0,1993,34,34,3015,1.16,3.04,1.88,0.27,0.06,0.06,0.0,0.0,1.09,4.06,8.57,34.57,3.76,4.18,9.04,0.6,1.46,0.0,-0.08,61.84,47.37,6.64
Warleson,BRA,Goalkeeper,Cercle Brugge,0.0,1996,10,9,817,1.87,5.18,3.3,0.0,0.0,0.0,0.0,0.0,2.36,7.82,21.92,21.81,1.76,5.51,9.69,0.55,3.08,0.0,0.48,63.71,35.68,5.68
Wessel Speel,NED,Goalkeeper,Minnesota Utd,23.0,2001,3,3,199,2.71,4.52,1.81,0.0,0.45,0.45,0.0,0.0,2.44,4.97,18.54,25.33,0.45,9.05,14.02,0.45,0.0,0.0,-0.27,40.04,26.81,3.21
Will Norris,ENG,Goalkeeper,Portsmouth,0.0,1993,8,8,720,2.38,5.88,3.62,0.25,0.38,0.38,0.0,0.0,2.01,7.0,23.12,32.88,3.75,6.12,14.38,0.38,1.0,0.0,-0.36,61.56,30.28,2.64
Williams Barlasina,ARG,Goalkeeper,Aldosivi,27.0,1998,6,6,540,1.83,4.83,3.0,0.0,0.0,0.0,0.0,0.0,1.55,4.17,11.17,15.67,4.5,7.67,16.33,1.0,0.17,0.0,-0.28,62.11,37.33,6.12
Wéverton,BRA,Goalkeeper,br Palmeiras,37.0,1987,20,20,1800,0.8,3.15,2.3,0.45,0.15,0.1,0.05,0.0,0.87,3.5,13.95,22.05,3.35,6.3,12.95,0.85,0.95,0.05,0.07,73.02,25.09,6.56
Yanick van Osch,NED,Goalkeeper,RKC Waalwijk,0.0,1997,3,3,270,3.0,8.67,5.67,0.0,0.33,0.33,0.0,0.0,3.3,8.67,21.67,34.33,3.67,11.67,27.67,1.0,0.67,0.0,0.3,65.4,40.01,3.61
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29.0,1996,24,24,2160,1.08,3.42,2.29,0.46,0.17,0.12,0.04,0.0,1.06,3.17,9.25,27.67,3.79,5.71,12.17,0.62,1.54,0.04,-0.03,66.96,34.27,5.09
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30.0,1995,14,14,1260,1.57,5.79,4.21,0.29,0.0,0.0,0.0,0.0,1.9,5.07,16.5,25.5,4.86,7.14,16.71,0.86,1.29,0.0,0.33,72.71,30.73,5.15
Éverson,BRA,Goalkeeper,Atlético Mineiro,35.0,1990,14,14,1260,1.0,3.93,3.0,0.5,0.0,0.0,0.0,0.0,1.16,5.29,13.36,32.5,4.14,3.14,11.93,0.5,2.07,0.0,0.16,76.34,39.6,4.19
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39.0,1986,17,17,1362,1.59,4.96,3.44,0.13,0.0,0.0,0.0,0.0,1.39,4.23,8.39,35.35,5.68,5.29,11.43,0.4,2.18,0.0,-0.2,69.35,50.42,3.5
