Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aaron Ramsdale,ENG,Southampton,English Premier League,GK,Goalkeeper,27,2700,6.27,2.2,4.0,2.12,-0.08,0.1,6.53,20.17,34.2,4.3,1233.07,6.33,354.25,15.23,0.83,0.67,11.38,1,63.8,32.37,5.45,21.57
Adrian Rodriguez,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,24,122,4.43,1.48,2.95,1.11,-0.37,0.74,13.28,35.41,19.18,0.0,1080.0,17.7,1194.05,24.34,0.0,0.0,0.0,1,66.59,37.5,0.0,16.69
Adrián,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,38,2340,3.88,1.38,2.5,1.38,0.0,0.19,2.81,8.62,26.46,4.35,814.64,5.46,176.01,11.88,0.77,0.88,15.2,1,64.43,32.6,6.48,22.92
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,90,5.0,0.0,5.0,1.2,1.2,1.0,19.0,35.0,34.0,4.0,1509.6,11.0,658.9,14.0,1.0,1.0,10.6,1,100.0,54.29,7.14,24.0
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,1080,4.08,1.58,2.67,1.4,-0.18,0.17,3.33,11.92,25.75,4.67,897.88,4.75,242.82,16.67,1.33,0.5,7.28,1,65.44,27.94,7.98,22.46
Albert Posiadala,POL,Molde,UEFA Europa Conference League,GK,Goalkeeper,21,540,3.17,1.83,1.33,1.48,-0.35,0.17,3.5,8.83,26.33,3.5,776.58,4.0,134.57,9.67,0.5,1.67,27.57,1,41.96,39.64,5.17,19.59
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,32,90,7.0,3.0,4.0,2.2,-0.8,0.0,8.0,12.0,26.0,5.0,806.0,6.0,252.0,12.0,0.0,5.0,136.5,1,57.14,66.67,0.0,17.96
Aleksandr Zarutskiy,KAZ,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,31,90,6.0,2.0,4.0,2.4,0.4,0.0,2.0,6.0,19.0,5.0,507.3,5.0,204.0,18.0,1.0,0.0,0.0,1,66.67,33.33,5.56,26.67
Aleksei Ploshchadnyi,RUS,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,20,270,6.0,2.33,3.33,2.37,0.03,0.33,3.0,9.67,22.67,4.67,761.77,5.67,181.57,13.67,0.67,1.33,20.93,1,55.5,31.02,4.9,21.92
Alen Sherri,ALB,Cagliari,Italian Serie A,GK,Goalkeeper,27,621,4.49,1.59,2.9,1.59,0.0,0.14,4.2,12.17,24.35,3.19,784.29,8.26,305.8,12.32,0.58,0.72,9.75,1,64.59,34.51,4.71,22.87
