Player,Game Week,Team,League,Nationality,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Pierluigi Gollini,J1,Genoa,Italian Serie A,ITA,GK,Goalkeeper,29,90,7.0,2.0,5.0,2.9,0.9,0,6.0,19.0,26.0,3.0,1040.0,7.0,422.8,17.0,1.0,0.0,0.0
Yann Sommer,J1,Inter,Italian Serie A,SUI,GK,Goalkeeper,35,90,7.0,2.0,4.0,2.1,0.1,0,0.0,1.0,26.0,4.0,522.6,4.0,120.0,11.0,0.0,1.0,21.5
Michele Di Gregorio,J1,Juventus,Italian Serie A,ITA,GK,Goalkeeper,27,90,0.0,0.0,0.0,0.0,0.0,1,4.0,6.0,21.0,4.0,518.7,7.0,261.1,10.0,1.0,0.0,0.0
Pepe Reina,J1,Como,Italian Serie A,ESP,GK,Goalkeeper,41,90,6.0,3.0,3.0,2.3,-0.7,0,2.0,9.0,26.0,3.0,813.8,2.0,35.0,9.0,0.0,2.0,32.0
Federico Ravaglia,J11,Bologna,Italian Serie A,ITA,GK,Goalkeeper,24,90,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,19.0,4.0,402.8,3.0,51.9,4.0,1.0,0.0,0.0
Wladimiro Falcone,J11,Lecce,Italian Serie A,ITA,GK,Goalkeeper,29,90,4.0,1.0,3.0,1.1,0.1,0,16.0,37.0,21.0,1.0,1050.0,21.0,1308.3,28.0,0.0,2.0,34.6
Mark Flekken,J1,Brentford,English Premier League,NED,GK,Goalkeeper,31,90,6.0,1.0,6.0,1.0,0.0,0,9.0,18.0,47.0,5.0,1612.1,8.0,352.0,11.0,1.0,2.0,29.8
Dean Henderson,J1,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,27,90,5.0,2.0,3.0,2.4,0.4,0,2.0,11.0,15.0,3.0,555.0,10.0,255.0,14.0,0.0,2.0,52.0
Robert Sánchez,J1,Chelsea,English Premier League,ESP,GK,Goalkeeper,26,90,5.0,2.0,3.0,0.8,-1.2,0,1.0,5.0,23.0,4.0,673.9,6.0,85.8,6.0,1.0,0.0,0.0
Ederson,J1,Manchester City,English Premier League,BRA,GK,Goalkeeper,31,90,3.0,0.0,3.0,0.7,0.7,1,4.0,9.0,37.0,5.0,1091.5,2.0,94.0,12.0,1.0,0.0,0.0
