Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J7,Ferencváros,Panathinaikos,,,Groupama Arena,,2026-01-22,https://fbref.com/en/stathead/matchup/teams/f3a5726c/6611f992/Panathinaikos-vs-Ferencvaros-History
J7,RB Salzburg,Basel,,,Red Bull Arena,,2026-01-22,https://fbref.com/en/stathead/matchup/teams/d3d9424a/50f2a074/Basel-vs-Red-Bull-Salzburg-History
J8,Nott'ham Forest,Ferencváros,,,The City Ground,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/e4a775cb/6611f992/Nottingham-Forest-vs-Ferencvaros-History
J8,Celtic,Utrecht,,,Celtic Park,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/b81aa4fa/2a428619/Celtic-vs-Utrecht-History
J8,Aston Villa,RB Salzburg,,,Villa Park,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/8602292d/50f2a074/Aston-Villa-vs-Red-Bull-Salzburg-History
J8,Porto,Rangers,,,Estádio do Dragão,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/86b7acd2/5e876ee6/Rangers-vs-Porto-History
J8,Stuttgart,Young Boys,,,MHPArena,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/598bc722/4b682260/Stuttgart-vs-Young-Boys-History
J8,Red Star,Celta Vigo,,,Stadion Rajko Mitić,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/f25da7fb/099c6eb5/Celta-Vigo-vs-Red-Star-History
J8,Go Ahead Eag,Braga,,,De Adelaarshorst,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/e33d6108/69d84c29/Go-Ahead-Eagles-vs-Braga-History
J8,Lyon,PAOK,,,Groupama Stadium,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/d53c0b06/5a5e7874/Lyon-vs-PAOK-History
J8,Genk,Malmö,,,Cegeka Arena,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/f3d8c8b9/1e972a99/Malmo-vs-Genk-History
J8,Maccabi Tel Aviv,Bologna,,,TSC Arena,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/1d8099f8/04c011d8/Bologna-vs-Maccabi-Tel-Aviv-FC-History
J8,Lille,Freiburg,,,Decathlon Arena - Stade Pierre-Mauroy,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/cb188c0c/a486e511/Lille-vs-Freiburg-History
J8,Basel,Viktoria Plzeň,,,St. Jakob-Park,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/d3d9424a/02cd81bf/Basel-vs-Viktoria-Plzen-History
J8,Sturm Graz,Brann,,,Merkur Arena,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/aeae4fe1/3f4fe568/Brann-vs-Sturm-Graz-History
J8,Midtjylland,Dinamo Zagreb,,,MCH Arena,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/edd0d381/3c4fb635/Dinamo-Zagreb-vs-Midtjylland-History
J8,Betis,Feyenoord,,,Estadio La Cartuja de Sevilla,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/fc536746/fb4ca611/Real-Betis-vs-Feyenoord-History
J8,FCSB,Fenerbahçe,,,Arena Naţională,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/aed59852/ae1e2d7d/FCSB-vs-Fenerbahce-History
J8,Panathinaikos,Roma,,,Olympiako Stadio Spyros Louis,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/f3a5726c/cf74a709/Panathinaikos-vs-Roma-History
J8,Ludogorets,Nice,,,Huvepharma Arena,,2026-01-29,https://fbref.com/en/stathead/matchup/teams/488c6ba1/132ebc33/Ludogorets-Razgrad-vs-Nice-History
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
,Home,Away,,,,,,
