Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Aaron Ramsdale,ENG,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,25,630,1,36,33
Aarón Escandell,ESP,Las Palmas,Spanish La Liga,GK,Goalkeeper,28,153,1,18,68
Aitor Fernández,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,33,551,1,20,67
Alaa Bellaarouch,MAR,Strasbourg,French Ligue 1,GK,Goalkeeper,22,1350,1,29,36
Alban Lafont,FRA,Nantes,French Ligue 1,GK,Goalkeeper,25,2496,1,64,50
Alberto Brignoli,ITA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,32,450,1,81,34
Alessandro Sorrentino,ITA,Monza,Italian Serie A,GK,Goalkeeper,22,548,1,46,32
Alessio Cragno,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,29,270,1,39,56
Alex Meret,ITA,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,27,3493,1,46,32
Alexander Brunst,GER,Darmstadt 98,German Bundesliga,GK,Goalkeeper,28,270,1,13,86
Alexander Meyer,GER,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,785,1,51,51
Alexander Nübel,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,27,2700,1,44,68
Alexander Schlager,AUT,RB Salzburg,UEFA Champions League,GK,Goalkeeper,27,540,1,73,62
Alexander Schwolow,GER,Union Berlin,German Bundesliga,GK,Goalkeeper,31,90,1,14,53
Alexandre Oukidja,ALG,Metz,French Ligue 1,GK,Goalkeeper,35,2987,1,43,44
Alexandros Paschalakis,GRE,Olympiacos,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,34,810,1,29,19
Aleš Mandous,CZE,Slavia Prague,UEFA Europa League,GK,Goalkeeper,31,540,1,65,73
Alisson,BRA,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,31,2700,1,48,47
Alphonse Areola,FRA,West Ham,"English Premier League, UEFA Europa League",GK,Goalkeeper,31,2789,1,48,55
Amir Saipi,KVX,Lugano,UEFA Europa Conference League,GK,Goalkeeper,23,540,1,35,49
Anatolii Trubin,UKR,Benfica,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,22,1080,1,83,43
Andrea Consigli,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,37,3150,1,26,46
Andreas Hansen,DEN,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,28,450,1,55,39
Andreas Luthe,GER,Bochum,German Bundesliga,GK,Goalkeeper,36,90,1,9,80
Andrey Lunyov,RUS,Qarabağ,UEFA Europa League,GK,Goalkeeper,32,894,1,46,50
Andriy Lunin,UKR,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,25,2610,1,77,38
André Ferreira,POR,Granada,Spanish La Liga,GK,Goalkeeper,27,1340,1,59,63
