Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Abraham Romero,MEX,Goalkeeper,Columbus Crew,0.0,1998,1,1,90,81,28
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,0.0,2006,1,1,90,9,33
Adrian Šemper,CRO,Goalkeeper,Como,0.0,1998,38,38,3398,45,44
Adriel,BRA,Goalkeeper,Bahia,0.0,2001,4,3,334,20,38
Agustín Marchesín,ARG,Goalkeeper,br Grêmio,0.0,1988,36,36,3225,67,42
Agustín Rossi,ARG,Goalkeeper,br Flamengo,0.0,1995,45,45,4050,63,56
Alan Aguerre,ARG,Goalkeeper,Lanús,0.0,1990,10,10,900,36,53
Alan Sosa,ARG,Goalkeeper,Tigre,0.0,1996,3,2,236,84,43
Alec Kann,USA,Goalkeeper,FC Cincinnati,0.0,1990,3,3,270,16,31
Alec Smir,USA,Goalkeeper,Minnesota Utd,0.0,1999,3,3,270,19,19
Alejandro Araque,VEN,Goalkeeper,ve Dep Táchira,0.0,1995,2,2,180,43,24
Alejandro Santander,CHI,Goalkeeper,cl Cobresal,0.0,2002,1,1,90,9,24
Alessandro Micai,ITA,Goalkeeper,Cosenza,0.0,1993,37,37,3296,63,67
Alex Bono,USA,Goalkeeper,D.C. United,0.0,1994,29,29,2610,26,79
Alex McCarthy,ENG,Goalkeeper,Southampton,0.0,1989,5,5,450,29,39
Alex Palmer,ENG,Goalkeeper,West Brom,0.0,1996,46,46,4140,51,39
Alexander Domínguez,ECU,Goalkeeper,ec LDU de Quito,0.0,1987,6,6,540,55,46
Alfonso Blanco Antúnez,MEX,Goalkeeper,León,0.0,1987,2,2,180,86,47
Alfredo Talavera,MEX,Goalkeeper,FC Juárez,0.0,1982,17,17,1469,25,52
Alisson,BRA,Goalkeeper,Criciúma,0.0,1995,6,4,421,55,46
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,0.0,1993,25,25,2250,34,38
Anatolii Trubin,UKR,Goalkeeper,Benfica,0.0,2001,28,28,2520,74,27
Anderson,BRA,Goalkeeper,Cruzeiro,0.0,1998,17,17,1530,57,25
Andre Blake,JAM,Goalkeeper,Philadelphia Union,0.0,1990,14,14,1112,67,38
Andrea Fulignati,ITA,Goalkeeper,Catanzaro,0.0,1994,37,37,3330,65,61
Andrea Sala,ITA,Goalkeeper,Catanzaro,0.0,1993,1,1,90,67,22
Andrea Seculin,ITA,Goalkeeper,Modena,0.0,1990,17,16,1487,37,49
Andreas Jungdal,DEN,Goalkeeper,Cremonese,0.0,2002,18,18,1620,76,53
Andrew,BRA,Goalkeeper,Gil Vicente FC,0.0,2001,32,32,2880,47,44
Andrew Rick,USA,Goalkeeper,Philadelphia Union,0.0,2006,6,6,540,32,52
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,0.0,1993,4,3,288,60,55
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,0.0,1998,7,5,593,55,27
Andries Noppert,NED,Goalkeeper,Heerenveen,0.0,1994,22,22,1980,31,64
Andrés Gudiño,MEX,Goalkeeper,Cruz Azul,0.0,1997,14,13,1219,36,39
Andrés Sánchez,MEX,Goalkeeper,Atlético,0.0,1997,24,24,2160,24,34
Angus Gunn,SCO,Goalkeeper,Norwich City,0.0,1996,40,40,3540,59,49
Anthoni,BRA,Goalkeeper,Internacional,0.0,2002,2,2,180,62,52
Anthony Moris,LUX,Goalkeeper,Union SG,0.0,1990,29,29,2588,46,72
Anthony Patterson,ENG,Goalkeeper,Sunderland,0.0,2000,45,45,4050,55,50
Antonio Adán,ESP,Goalkeeper,Sporting CP,0.0,1987,22,22,1980,31,38
Antony Iannarilli,ITA,Goalkeeper,Ternana,0.0,1990,32,32,2880,61,46
António Filipe de Carvalho,POR,Goalkeeper,Estrela,0.0,1985,3,3,270,76,39
Arnaud Bodart,BEL,Goalkeeper,Standard Liège,0.0,1998,29,29,2610,60,42
Asmir Begović,BIH,Goalkeeper,QPR,0.0,1987,45,45,4049,37,54
Axel Werner,ARG,Goalkeeper,Rosario Central,0.0,1996,3,3,270,83,66
Aynsley Pears,ENG,Goalkeeper,Blackburn,0.0,1998,26,26,2311,45,46
Barry Lauwers,NED,Goalkeeper,Volendam,0.0,1999,1,1,90,16,76
Bartosz Białkowski,POL,Goalkeeper,Millwall,0.0,1987,14,14,1260,50,52
Bartłomiej Drągowski,POL,Goalkeeper,Spezia,0.0,1997,13,13,1170,39,40
Ben Hamer,ENG,Goalkeeper,Watford,0.0,1987,19,19,1710,56,38
Ben Wilson,ENG,Goalkeeper,Coventry City,0.0,1992,18,18,1620,25,40
Benjamin Lundt,GER,Goalkeeper,St. Louis,0.0,1995,3,2,239,15,65
Benny Díaz,MEX,Goalkeeper,FC Juárez,0.0,1998,4,4,360,12,48
Bento,BRA,Goalkeeper,Ath Paranaense,0.0,1999,7,7,630,82,57
Boy Waterman,NED,Goalkeeper,PSV Eindhoven,0.0,1984,1,0,6,81,99
Brad Guzan,USA,Goalkeeper,Atlanta Utd,0.0,1984,32,32,2849,65,81
Brad Stuver,USA,Goalkeeper,Austin,0.0,1991,34,34,3060,73,74
Bradley Collins,ENG,Goalkeeper,Coventry City,0.0,1997,28,28,2520,54,55
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,0.0,1995,10,10,900,58,53
Brenno,BRA,Goalkeeper,Bari,0.0,1999,33,33,2939,34,23
Bruno,BRA,Goalkeeper,Venezia,0.0,1998,9,9,810,31,60
Bruno Brigido,BRA,Goalkeeper,Estrela,0.0,1991,26,26,2340,38,47
Bruno Varela,CPV,Goalkeeper,Vitória,0.0,1994,27,27,2385,65,61
C.J. dos Santos,USA,Goalkeeper,Inter Miami,0.0,2000,1,1,90,6,33
Caio Secco,BRA,Goalkeeper,Moreirense,0.0,1990,4,4,360,76,45
Cambila,ANG,Goalkeeper,Estrela,0.0,2002,1,0,17,69,13
Cameron Dawson,ENG,Goalkeeper,Sheffield Weds,0.0,1995,18,18,1620,26,73
Camilo Vargas,COL,Goalkeeper,Atlas,0.0,1989,34,34,3060,26,53
Carl Rushworth,ENG,Goalkeeper,Swansea City,0.0,2001,46,46,4140,59,63
Carlos Acevedo,MEX,Goalkeeper,Santos,0.0,1996,23,23,2005,52,41
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,0.0,1996,27,27,2430,31,42
Carlos Felipe Rodríguez,MEX,Goalkeeper,UANL,0.0,1989,10,10,900,43,39
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,0.0,1987,8,8,720,79,41
Carlos Miguel,BRA,Goalkeeper,Corinthians,0.0,1998,6,6,540,64,66
Carlos Moreno,MEX,Goalkeeper,Pachuca,0.0,1998,29,29,2610,45,64
Caíque,BRA,Goalkeeper,Grêmio,0.0,1997,6,5,488,30,30
Cezary Miszta,POL,Goalkeeper,Rio Ave,0.0,2001,1,1,90,66,64
Charles,BRA,Goalkeeper,Vitória,0.0,1994,8,7,675,78,36
Chris Brady,USA,Goalkeeper,Chicago Fire,0.0,2004,33,33,2970,35,35
Chris Maxwell,WAL,Goalkeeper,Huddersfield,0.0,1990,9,8,696,65,62
Christian Walton,ENG,Goalkeeper,Ipswich Town,0.0,1995,1,0,1,86,21
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,0.0,1997,31,31,2699,78,49
Clint Irwin,USA,Goalkeeper,Minnesota Utd,0.0,1989,5,5,450,40,48
Cláudio Ramos,POR,Goalkeeper,Porto,0.0,1991,2,1,114,16,88
Conor Hazard,NIR,Goalkeeper,Plymouth Argyle,0.0,1998,27,27,2430,40,50
Cristopher Fiermarin,URU,Goalkeeper,Defensa y Just,0.0,1998,10,10,900,34,60
Cássio,BRA,Goalkeeper,Cruzeiro,0.0,1987,24,24,2160,79,39
César Rigamonti,ARG,Goalkeeper,cl Palestino,0.0,1987,6,6,540,61,52
Daniel,BRA,Goalkeeper,SJ Earthquakes,0.0,1994,12,12,1080,32,43
Daniel Bachmann,AUT,Goalkeeper,Watford,0.0,1994,27,27,2429,59,44
Daniel Figueira,POR,Goalkeeper,Estoril,0.0,1998,12,12,1080,15,27
Daniel Iversen,DEN,Goalkeeper,Stoke City,0.0,1997,18,18,1620,35,37
Daniel Schmidt,JPN,Goalkeeper,Sint-Truiden,0.0,1992,12,12,1080,29,73
Danilo Fernandes,BRA,Goalkeeper,Bahia,0.0,1988,1,1,90,76,22
Dante Campisi,ARG,Goalkeeper,Unión,0.0,1996,1,1,90,57,45
David Cornell,WAL,Goalkeeper,Preston,0.0,1991,2,2,180,48,56
Davide Barosi,ITA,Goalkeeper,Ascoli,0.0,2000,3,2,205,49,50
Davy Roef,BEL,Goalkeeper,Gent,0.0,1994,12,12,1080,80,69
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,0.0,1997,26,26,2340,54,38
Devis Vásquez,COL,Goalkeeper,Sheffield Weds,0.0,1998,19,18,1637,51,67
Diant Ramaj,GER,Goalkeeper,Ajax,0.0,2001,22,20,1824,55,81
Dida,BRA,Goalkeeper,Estrela,0.0,1998,5,5,427,54,56
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,0.0,1989,27,27,2430,44,48
Diego Urtiaga,MEX,Goalkeeper,Atlético,0.0,1998,10,10,900,53,34
Dillon Phillips,ENG,Goalkeeper,Rotherham Utd,0.0,1995,2,2,179,22,76
Diogo Costa,POR,Goalkeeper,Porto,0.0,1999,33,33,2944,55,52
Diogo Pinto,POR,Goalkeeper,Sporting CP,0.0,2004,2,2,171,65,39
Drake Callender,USA,Goalkeeper,Inter Miami,0.0,1997,32,32,2880,60,38
Earl Edwards Jr.,USA,Goalkeeper,NE Revolution,0.0,1992,1,1,90,41,63
Edoardo Corvi,ITA,Goalkeeper,Parma,0.0,2001,2,2,168,86,43
Elhan Kastrati,ALB,Goalkeeper,Cittadella,0.0,1997,35,35,3150,42,59
Elliot Panicco,USA,Goalkeeper,Nashville SC,0.0,1996,6,5,432,58,59
Eloy Room,CUW,Goalkeeper,Vitesse,0.0,1989,34,34,3060,38,72
Emiliano Viviano,ITA,Goalkeeper,Ascoli,0.0,1985,27,27,2384,49,64
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,0.0,1982,17,17,1530,65,68
Esteban Andrada,ARG,Goalkeeper,Monterrey,0.0,1991,32,32,2880,74,86
Ethan Horvath,USA,Goalkeeper,Cardiff City,0.0,1995,16,16,1440,27,53
Etienne Vaessen,SUR,Goalkeeper,RKC Waalwijk,0.0,1995,30,30,2644,63,79
Eugenio Lamanna,ITA,Goalkeeper,Calcio Lecco 1912,0.0,1989,3,3,270,78,70
Evan Bush,USA,Goalkeeper,Columbus Crew,0.0,1986,2,2,124,75,38
Evan Louro,USA,Goalkeeper,FC Cincinnati,0.0,1996,1,1,90,18,15
Ezequiel Centurión,ARG,Goalkeeper,River Plate,0.0,1997,23,23,2070,43,30
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,0.0,1995,25,24,2205,40,45
Fabijan Buntić,CRO,Goalkeeper,Vizela,0.0,1997,28,27,2496,22,48
Fabricio Iacovich,ARG,Goalkeeper,Estudiantes–LP,0.0,2002,1,1,90,31,35
Fabrício,BRA,Goalkeeper,Internacional,0.0,1986,8,8,720,61,18
Fabrício,BRA,Goalkeeper,RB Bragantino,0.0,2000,1,1,90,67,46
Facundo Altamirano,ARG,Goalkeeper,ar San Lorenzo,0.0,1996,15,15,1291,52,16
Facundo Cambeses,ARG,Goalkeeper,Racing Club,0.0,1997,7,6,585,28,16
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,0.0,2001,26,25,2312,35,36
Felipe Zenobio,ARG,Goalkeeper,Tigre,0.0,2000,25,25,2194,59,39
Fernando Tapia,MEX,Goalkeeper,Querétaro,0.0,2001,15,14,1276,68,43
Filip Stankovic,SRB,Goalkeeper,Sampdoria,0.0,2002,37,37,3330,44,40
Filippo Vandelli,ITA,Goalkeeper,Modena,0.0,2000,1,0,6,89,16
Francesco Bardi,ITA,Goalkeeper,Reggiana,0.0,1992,30,30,2624,54,38
Francesco Ruberto,SUI,Goalkeeper,Vizela,0.0,1993,7,7,564,80,62
Francisco Silva,POR,Goalkeeper,Sporting CP,0.0,2005,1,0,9,37,1
Franco Armani,ARG,Goalkeeper,ar River Plate,0.0,1986,34,34,3060,68,40
Franco Israel,URU,Goalkeeper,Sporting CP,0.0,2000,10,10,900,40,27
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,0.0,1998,26,26,2340,72,80
Franco Saravia,PER,Goalkeeper,pe Alianza Lima,0.0,1999,2,1,95,8,15
Frankarlos Benítez,VEN,Goalkeeper,ve Caracas,0.0,2004,2,1,168,19,28
Freddie Woodman,ENG,Goalkeeper,Preston,0.0,1997,44,44,3960,48,55
Fábio,BRA,Goalkeeper,br Fluminense,0.0,1980,47,47,4260,80,17
Gabriel,BRA,Goalkeeper,Juventude,0.0,1992,34,34,3014,63,47
Gabriel Arias,CHI,Goalkeeper,Racing Club,0.0,1987,21,21,1845,46,50
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,0.0,2002,1,1,90,55,27
Gaga Slonina,USA,Goalkeeper,Eupen,0.0,2004,28,28,2520,35,45
Gastón Guruceaga,URU,Goalkeeper,uy Liverpool,0.0,1995,3,3,270,41,27
Gastón Gómez,ARG,Goalkeeper,ar San Lorenzo,0.0,1996,19,18,1679,50,41
Gatito Fernández,PAR,Goalkeeper,br Botafogo (RJ),0.0,1988,7,7,630,52,48
Gavin Bazunu,IRL,Goalkeeper,Southampton,0.0,2002,41,41,3690,27,70
Gavin Beavers,USA,Goalkeeper,Real Salt Lake,0.0,2005,11,11,990,39,40
Gaëtan Coucke,BEL,Goalkeeper,Mechelen,0.0,1998,30,30,2700,75,67
George Long,ENG,Goalkeeper,Norwich City,0.0,1993,7,6,600,25,21
Gerónimo Rulli,ARG,Goalkeeper,Ajax,0.0,1992,7,7,571,37,94
Giacomo Drago,ITA,Goalkeeper,Südtirol,0.0,2001,1,1,90,51,48
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,0.0,1988,37,37,3330,39,72
Giacomo Satalino,ITA,Goalkeeper,Reggiana,0.0,1999,9,8,796,52,57
Gianluca Saro,ITA,Goalkeeper,Cremonese,0.0,2000,8,8,720,65,50
Gibran Lajud,MEX,Goalkeeper,Santos,0.0,1993,9,9,810,21,24
Gonzalo Marinelli,ARG,Goalkeeper,Ind. Rivadavia,0.0,1989,5,5,450,73,37
Gonçalo Pinto,POR,Goalkeeper,Chaves,0.0,2000,1,1,90,21,55
Guido Herrera,ARG,Goalkeeper,ar Talleres,0.0,1992,34,34,3060,42,63
Guido Villar,ARG,Goalkeeper,ec Independiente,0.0,1998,1,1,90,9,14
Guillaume Hubert,BEL,Goalkeeper,RWDM,0.0,1994,1,0,17,9,79
Guillermo Allison,MEX,Goalkeeper,Querétaro,0.0,1990,20,20,1784,75,59
Guillermo Vizcarra,BOL,Goalkeeper,bo The Strongest,0.0,1993,8,8,720,70,45
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,0.0,1994,5,4,405,50,27
Gustavo,BRA,Goalkeeper,Criciúma,0.0,1993,34,34,2997,56,48
Heinz Lindner,AUT,Goalkeeper,Union SG,0.0,1990,1,1,90,34,35
Henrich Ravas,SVK,Goalkeeper,NE Revolution,0.0,1997,8,8,720,39,25
Hernán Galíndez,ECU,Goalkeeper,Huracán,0.0,1987,24,24,2160,73,41
Hervé Koffi,BFA,Goalkeeper,Charleroi,0.0,1996,26,26,2339,68,71
Hobie Verhulst,NED,Goalkeeper,AZ Alkmaar,0.0,1993,1,1,90,15,80
Hugo González Durán,MEX,Goalkeeper,Mazatlán,0.0,1990,29,29,2548,52,77
Hugo Lloris,FRA,Goalkeeper,LAFC,0.0,1986,33,33,2970,52,57
Hugo Souza,BRA,Goalkeeper,Corinthians,0.0,1999,48,48,4320,54,56
Héctor Holguín,MEX,Goalkeeper,Santos,0.0,2001,4,2,245,46,52
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,0.0,1992,25,25,2250,84,61
Ignacio Chicco,ARG,Goalkeeper,Belgrano,0.0,1996,8,7,656,41,51
Ignacio De Arruabarrena,URU,Goalkeeper,Arouca,0.0,1997,31,31,2790,62,51
Illan Meslier,FRA,Goalkeeper,Leeds United,0.0,2000,44,44,3922,41,35
Isaac Boehmer,USA,Goalkeeper,Vancouver W'caps,0.0,2001,1,1,90,35,40
Ivan Zlobin,RUS,Goalkeeper,Famalicão,0.0,1997,1,1,90,15,38
Ivor Pandur,CRO,Goalkeeper,Fortuna Sittard,0.0,2000,16,16,1440,39,60
Jack Bonham,IRL,Goalkeeper,Stoke City,0.0,1993,14,14,1260,62,68
Jacob Chapman,AUS,Goalkeeper,Huddersfield,0.0,2000,2,1,139,24,31
Jacob Jackson,USA,Goalkeeper,SJ Earthquakes,0.0,2000,3,3,270,13,37
Jak Alnwick,ENG,Goalkeeper,Cardiff City,0.0,1993,24,24,2160,38,64
Jakub Stolarczyk,POL,Goalkeeper,Leicester City,0.0,2000,2,2,180,78,34
James Beadle,ENG,Goalkeeper,Sheffield Weds,0.0,2004,19,19,1710,49,53
James Pantemis,CAN,Goalkeeper,Portland Timbers,0.0,1997,15,14,1301,64,56
Jandrei,BRA,Goalkeeper,São Paulo,0.0,1993,13,13,1170,39,72
Jasper Cillessen,NED,Goalkeeper,NEC Nijmegen,0.0,1989,30,30,2640,51,64
Jasper Schendelaar,NED,Goalkeeper,Zwolle,0.0,2000,32,32,2880,41,86
Javier Burrai,ECU,Goalkeeper,ec Barcelona,0.0,1990,6,6,540,12,49
Javier Otero,VEN,Goalkeeper,Orlando City,0.0,2002,1,0,62,13,62
Jay Gorter,NED,Goalkeeper,Ajax,0.0,2000,8,7,665,22,65
Jean,BRA,Goalkeeper,py Cerro Porteño,0.0,1995,6,6,540,73,54
Jean Butez,FRA,Goalkeeper,Antwerp,0.0,1995,30,30,2700,65,76
Jeffrey De Lange,NED,Goalkeeper,Go Ahead Eag,0.0,1998,34,34,3060,59,66
Jeremías Ledesma,ARG,Goalkeeper,River Plate,0.0,1993,4,4,360,74,53
Jeroen Houwen,NED,Goalkeeper,RKC Waalwijk,0.0,1996,4,3,322,62,74
Jeroen Zoet,NED,Goalkeeper,Spezia,0.0,1991,25,25,2250,54,48
Jerónimo Pourtau,ARG,Goalkeeper,Sarmiento,0.0,2000,3,3,270,19,12
Jesse Joronen,FIN,Goalkeeper,Venezia,0.0,1993,29,29,2610,37,48
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,0.0,1997,4,4,360,78,74
Jesús Rodríguez,MEX,Goalkeeper,Puebla,0.0,1993,34,34,3060,32,71
Jhonatan,BRA,Goalkeeper,Rio Ave,0.0,1991,26,26,2340,76,51
Jimmy Maurer,USA,Goalkeeper,FC Dallas,0.0,1988,4,4,360,82,75
Jo Coppens,BEL,Goalkeeper,Sint-Truiden,0.0,1990,4,4,360,14,38
Joachim Imbrechts,SWE,Goalkeeper,Union SG,0.0,2001,1,0,21,80,27
Joe Walsh,ENG,Goalkeeper,QPR,0.0,2002,1,1,90,85,53
