Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Aaron Anselmino,ar ARG,Defender,Boca Juniors,18,2005,12,10,874,38,64,40,71
Aaron Boupendza,ga GAB,Forward,FC Cincinnati,27,1996,14,5,553,57,34,47,45
Aaron Connolly,ie IRL,Forward,Hull City,23,2000,28,13,1215,69,26,30,32
Aaron Drewe,eng ENG,Defender,QPR,22,2001,2,0,88,29,18,45,41
Aaron Herrera,gt GUA,Defender,D.C. United,26,1997,30,29,2594,72,91,89,58
Aaron Long,us USA,Defender,LAFC,31,1992,29,28,2374,55,27,34,56
Aaron Meijers,nl NED,Defender,RKC Waalwijk,35,1987,28,27,2306,43,85,71,49
Aaron Mejía Montoya,mx MEX,Defender,Tijuana,22,2001,11,7,708,32,54,61,56
Aaron Nicolás Molinas,ar ARG,Forward,Defensa y Just,23,2000,24,18,1569,74,83,58,56
Aaron Quirós,ar ARG,Defender,Banfield,22,2001,15,7,741,31,25,36,44
Aaron Ramsey,wls WAL,Forward,Cardiff City,32,1990,13,7,716,71,72,51,52
Abass Issah,gh GHA,Forward,Chaves,24,1998,7,3,308,37,78,64,19
Abdelkahar Kadri,dz ALG,Forward,Kortrijk,23,2000,27,26,2283,48,76,70,60
Abdenego Nankishi,de GER,Forward,Heracles Almelo,21,2002,10,2,347,74,52,50,61
Abdiel Ayarza,pa PAN,Midfielder,bo The Strongest,31,1992,2,2,154,40,30,45,69
Abdoul Guiebre,bf BFA,Defender,Bari,26,1997,14,6,481,54,74,86,48
Abdoul Kader Yaméogo,ci CIV,Defender,Club Brugge,18,2004,1,0,6,29,14,9,3
Abdoul Rachid Ayinde,bf BFA,Midfielder,Gent,18,2005,1,0,7,34,49,67,9
Abdoulaye Sissako,fr FRA,Midfielder,Kortrijk,25,1998,25,22,1893,29,44,61,67
Abdoullah Ba,fr FRA,Forward,Sunderland,20,2003,39,21,1927,50,54,74,56
Abdul Awudu,gh GHA,Forward,Vizela,22,2001,6,2,185,22,32,61,58
Abdul Fatawu Issahaku,gh GHA,Forward,Leicester City,19,2004,40,33,2814,66,88,87,78
Abdul-Aziz Yakubu,gh GHA,Forward,Rio Ave,24,1998,16,13,1119,62,38,20,34
Abdülkadir Ömür,tr TUR,Forward,Hull City,24,1999,16,11,991,28,72,41,71
Abel Ruiz,es ESP,Forward,Braga,23,2000,30,19,1895,55,40,36,37
Abiel Osorio,ar ARG,Forward,Defensa y Just,21,2002,20,9,961,70,40,53,47
Abner,br BRA,Midfielder,RWDM,27,1996,25,20,1850,25,29,59,49
Abner,br BRA,Defender,Juventude,19,2004,3,1,108,37,29,10,45
Aboubakary Koita,mr MTN,Forward,Sint-Truiden,24,1998,28,25,2274,87,70,81,65
Abraham Bass,mx MEX,Forward,Atlas,21,2001,11,4,396,17,41,25,85
Abraham Flores,mx MEX,Defender,Tijuana,21,2002,1,0,23,29,12,32,8
Abraham Romero,mx MEX,Goalkeeper,Columbus Crew,25,1998,2,2,134,42,42,44,30
Abraham Villegas,0,Defender,Toluca,20,2002,6,4,329,85,48,60,48
Achraf Dari,ma MAR,Defender,Charleroi,24,1999,5,4,317,75,23,25,75
Achraf Douiri,nl NED,Forward,Volendam,23,1999,11,2,344,23,72,77,66
Adalberto Carrasquilla,pa PAN,Forward,Houston Dynamo,25,1998,28,26,2294,59,80,54,45
Adam Armstrong,eng ENG,Forward,Southampton,26,1997,46,44,3745,71,71,55,47
Adam Bareiro,py PAR,Forward,San Lorenzo,27,1996,24,12,1218,31,34,33,48
Adam Beaudry,us USA,Goalkeeper,Colorado Rapids,17,2006,1,1,90,42,40,44,55
Adam Forshaw,eng ENG,Forward,Norwich City,31,1991,19,10,834,21,52,23,61
Adam Idah,ie IRL,Forward,Norwich City,22,2001,28,12,1279,61,37,34,38
Adam Mayor,eng ENG,Forward,Millwall,18,2005,4,0,52,38,78,72,47
Adam Randell,eng ENG,Midfielder,Plymouth Argyle,22,2000,45,30,2760,73,53,48,58
Adam Reach,eng ENG,Midfielder,West Brom,30,1993,17,5,639,35,60,60,64
Adam Wharton,eng ENG,Midfielder,Blackburn,19,2004,26,22,1957,71,85,58,55
Adama Traoré,ml MLI,Forward,Hull City,28,1995,24,14,1071,45,58,53,54
Adem Zorgane,dz ALG,Midfielder,Charleroi,23,2000,23,20,1841,79,94,84,55
Ademir Santos,br BRA,Forward,Bahia,28,1995,31,10,1131,65,72,84,59
Aderlan Santos,br BRA,Defender,Rio Ave,34,1989,32,32,2847,71,27,21,74
Adi Nalic,ba BIH,Forward,Almere City,25,1997,7,2,213,82,43,64,31
Adil Aouchiche,fr FRA,Forward,Sunderland,21,2002,28,10,1102,60,85,68,59
Adilson Malanda,fr FRA,Defender,Charlotte,22,2001,32,32,2880,46,33,35,44
Adonis Frías,ar ARG,Midfielder,León,25,1998,31,30,2721,31,40,47,68
Adonis Preciado,ec ECU,Forward,ec Barcelona,26,1997,5,3,272,28,43,56,81
Adrian Benedyczak,pl POL,Forward,Parma,22,2000,31,23,1828,55,53,40,66
Adrian Bernabe,es ESP,Midfielder,Parma,22,2001,35,28,2588,92,88,77,42
Adrian Blake,eng ENG,Forward,Utrecht,18,2005,5,0,30,96,96,88,8
Adrian Jusino,bo BOL,Defender,bo The Strongest,31,1992,8,8,720,27,30,42,34
Adrian Mazilu,ro ROU,Forward,Vitesse,17,2005,3,0,24,57,25,45,8
Adrian Šemper,hr CRO,Goalkeeper,Como,25,1998,38,38,3398,52,56,44,48
Adriano Bertaccini,be BEL,Forward,Sint-Truiden,22,2000,3,0,39,50,16,95,32
Adriano Martins,br BRA,Defender,Atl Goianiense,26,1997,34,34,2990,37,35,45,57
Adriel,br BRA,Goalkeeper,Bahia,23,2001,4,3,334,42,52,71,48
Adrien Silva,pt POR,Midfielder,Rio Ave,34,1989,10,3,338,31,62,44,50
Adrien Trebel,fr FRA,Midfielder,Charleroi,32,1991,5,0,105,39,67,42,73
Adrián Aldrete,mx MEX,Defender,UNAM,35,1988,29,19,1741,46,82,47,61
Adrián Arregui,ar ARG,Midfielder,pe Alianza Lima,31,1992,4,2,202,80,23,15,51
Adrián Balboa,uy URU,Forward,Unión,30,1994,26,25,2104,49,37,34,63
Adrián Butzke,es ESP,Forward,Vitória,24,1999,17,3,369,17,24,27,64
Adrián Fernández,ar ARG,Forward,uy Peñarol,22,2001,1,0,15,28,74,83,75
Adrián Guillermo Sánchez,ar ARG,Midfielder,Atlé Tucumán,24,1999,26,26,2238,30,53,49,77
Adrián Martínez,ar ARG,Forward,Racing Club,31,1992,20,17,1430,61,32,16,42
Adrián Marín,es ESP,Defender,Braga,26,1997,8,3,322,35,71,84,60
Adrián Mora,mx MEX,Defender,Toluca,25,1997,6,2,214,31,20,14,25
Adrián Sporle,ar ARG,Defender,Independiente,28,1995,15,12,1093,55,75,86,59
Adryelson,br BRA,Defender,Botafogo (RJ),25,1998,10,8,821,71,27,15,54
Adson,br BRA,Forward,Vasco da Gama,23,2000,20,14,1224,63,79,71,66
Afonso Bastardo,pt POR,Midfielder,Sporting CP,18,2005,5,0,67,67,71,84,58
Afonso Freitas,pt POR,Midfielder,Vitória,23,2000,13,11,726,26,39,44,62
Afonso Rodrigues,pt POR,Forward,Famalicão,20,2002,8,1,236,64,15,44,55
Agustin Ojeda,ar ARG,Forward,NYCFC,19,2004,22,11,925,60,55,81,65
Agustin Quiroga,ar ARG,Defender,Platense,21,2002,4,3,252,55,74,72,44
Agustín Almendra,ar ARG,Midfielder,Racing Club,23,2000,19,16,1219,81,73,52,64
Agustín Baldi,ar ARG,Defender,Belgrano,21,2002,9,7,522,28,49,48,40
Agustín Bolívar,ar ARG,Midfielder,Gimnasia–LP,28,1996,7,2,211,31,26,16,64
Agustín Bouzat,ar ARG,Midfielder,Vélez Sarsfield,29,1994,25,25,2139,28,37,42,63
