Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Marco Bizot,NED,Aston Villa,English Premier League,GK,Goalkeeper,34,90,3.0,0.0,3.0,0.6,0.6,1.0,4.0,24.0,34.0,4.0,1210.4,11.0,634.7,22.0,3.0,3.0,45.3,1,100.0,16.67,13.64,20.0
Marco Carnesecchi,ITA,Atalanta,Italian Serie A,GK,Goalkeeper,25,90,2.0,1.0,2.0,0.7,-0.3,0.0,3.0,8.0,27.0,5.0,799.2,6.0,276.0,13.0,1.0,4.0,82.8,1,100.0,37.5,7.69,35.0
Mark Flekken,NED,Leverkusen,German Bundesliga,GK,Goalkeeper,32,90,5.0,2.0,3.0,0.9,-1.1,0.0,3.0,9.0,31.0,4.0,846.3,4.0,176.0,6.0,1.0,1.0,10.8,1,60.0,33.33,16.67,10.8
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,180,5.5,1.5,4.0,1.65,0.15,0.0,5.5,20.0,30.0,4.0,1216.6,7.0,328.3,15.5,0.5,0.0,0.0,1,72.73,27.5,3.23,21.82
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,180,3.5,1.5,2.0,1.65,0.15,0.5,4.0,20.5,25.5,5.0,876.3,11.5,698.2,20.0,2.0,0.0,0.0,1,57.14,19.51,10.0,26.94
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,90,2.0,0.0,2.0,0.2,0.2,1.0,9.0,28.0,31.0,3.0,1311.3,13.0,806.0,26.0,0.0,0.0,0.0,1,100.0,32.14,0.0,10.0
Matz Sels,BEL,Nott'ham Forest,English Premier League,GK,Goalkeeper,33,180,3.5,1.0,2.5,1.15,0.15,0.0,3.5,12.5,23.0,5.0,923.1,6.0,207.6,10.5,0.5,1.5,32.6,1,71.43,28.0,4.76,23.47
Matías Dituro,ARG,Elche,Spanish La Liga,GK,Goalkeeper,38,180,5.0,1.0,4.0,1.35,0.35,0.0,8.5,21.5,60.0,5.5,1812.4,5.0,286.0,17.5,2.5,4.0,66.2,1,80.0,39.53,14.29,21.6
Michael Zetterer,GER,Eint Frankfurt,German Bundesliga,GK,Goalkeeper,30,90,5.0,1.0,4.0,1.1,0.1,0.0,3.0,8.0,33.0,7.0,993.3,2.0,48.0,4.0,0.0,2.0,33.6,1,80.0,37.5,0.0,17.6
Michele Di Gregorio,ITA,Juventus,Italian Serie A,GK,Goalkeeper,28,90,1.0,0.0,1.0,0.1,0.1,1.0,2.0,9.0,22.0,4.0,785.4,1.0,70.0,14.0,3.0,0.0,0.0,1,100.0,22.22,21.43,10.0
Mike Maignan,FRA,Milan,Italian Serie A,GK,Goalkeeper,30,90,3.0,2.0,1.0,1.2,-0.8,0.0,2.0,3.0,19.0,6.0,566.2,1.0,44.0,11.0,1.0,0.0,0.0,1,33.33,66.67,9.09,13.33
Mike Penders,BEL,Strasbourg,French Ligue 1,GK,Goalkeeper,20,90,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,25.0,2.0,612.5,0.0,0.0,9.0,2.0,2.0,24.6,1,,66.67,22.22,
Mile Svilar,SRB,Roma,Italian Serie A,GK,Goalkeeper,25,90,2.0,0.0,2.0,0.6,0.6,1.0,5.0,16.0,31.0,5.0,1085.0,7.0,382.2,13.0,1.0,0.0,0.0,1,100.0,31.25,7.69,30.0
Mio Backhaus,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,21,90,5.0,4.0,1.0,2.4,-1.6,0.0,2.0,3.0,23.0,3.0,565.8,7.0,154.7,23.0,2.0,0.0,0.0,1,20.0,66.67,8.7,9.6
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,27,90,1.0,0.0,1.0,0.3,0.3,1.0,2.0,7.0,24.0,3.0,698.4,3.0,93.0,9.0,1.0,3.0,41.1,1,100.0,28.57,11.11,30.0
Mory Diaw,SEN,Le Havre,French Ligue 1,GK,Goalkeeper,32,180,3.0,2.5,1.0,1.6,-0.9,0.0,5.0,13.0,25.0,4.5,785.9,8.0,395.05,13.0,1.0,1.5,22.0,1,33.33,38.46,7.69,17.78
Nick Pope,ENG,Newcastle Utd,English Premier League,GK,Goalkeeper,33,180,3.5,1.5,2.0,1.25,-0.25,0.5,1.0,9.0,21.5,7.5,662.5,4.0,206.55,6.5,1.5,3.0,59.1,1,57.14,11.11,23.08,20.41
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,32,90,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,33.0,4.0,1148.4,4.0,272.0,19.0,1.0,2.0,28.0,1,,5.26,5.26,
Nikola Vasilj,BIH,St. Pauli,German Bundesliga,GK,Goalkeeper,29,90,7.0,3.0,3.0,2.7,-0.3,0.0,1.0,7.0,31.0,1.0,833.9,1.0,29.0,8.0,0.0,0.0,0.0,1,42.86,14.29,0.0,16.53
Noah Atubolu,GER,Freiburg,German Bundesliga,GK,Goalkeeper,23,90,5.0,3.0,2.0,2.1,-0.9,0.0,9.0,18.0,41.0,6.0,1521.1,1.0,42.0,15.0,0.0,4.0,88.8,1,40.0,50.0,0.0,16.8
Obed Nkambadio,FRA,Paris FC,French Ligue 1,GK,Goalkeeper,22,180,4.5,3.0,1.5,1.45,-1.55,0.0,0.0,3.0,27.5,4.5,710.6,5.5,103.4,8.0,0.0,1.5,26.1,1,33.33,0.0,0.0,10.74
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,35,90,2.0,1.0,1.0,1.5,0.5,0.0,10.0,19.0,31.0,2.0,1196.6,2.0,127.0,20.0,1.0,4.0,69.6,1,50.0,52.63,5.0,37.5
Pablo Cuñat,ESP,Levante,Spanish La Liga,GK,Goalkeeper,23,180,7.0,2.5,5.0,2.35,-0.15,0.0,5.5,18.5,22.5,7.0,939.45,13.0,625.4,23.0,1.0,0.5,4.95,1,71.43,29.73,4.35,23.98
Pau López,ESP,Betis,Spanish La Liga,GK,Goalkeeper,30,180,3.5,0.5,3.0,0.5,0.0,0.5,3.0,10.0,23.0,2.5,751.1,5.5,255.1,14.0,0.5,0.5,19.0,1,85.71,30.0,3.57,12.24
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,33,42,4.29,4.29,0.0,3.64,-0.64,0.0,4.29,6.43,32.14,2.14,790.71,4.29,55.71,4.29,0.0,0.0,0.0,1,0.0,66.72,0.0,0.0
Péter Gulácsi,HUN,RB Leipzig,German Bundesliga,GK,Goalkeeper,35,90,9.0,6.0,3.0,3.2,-2.8,0.0,1.0,9.0,42.0,2.0,1108.8,2.0,113.0,9.0,0.0,1.0,11.3,1,33.33,11.11,0.0,11.85
Radosław Majecki,POL,Brest,French Ligue 1,GK,Goalkeeper,25,180,4.5,2.5,2.0,1.55,-0.95,0.0,3.5,12.5,27.0,6.0,986.2,3.0,167.1,8.0,0.5,0.0,0.0,1,44.44,28.0,6.25,15.31
Razvan Sava,ROU,Udinese,Italian Serie A,GK,Goalkeeper,23,90,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,25.0,6.0,557.5,4.0,71.2,7.0,0.0,2.0,43.0,1,66.67,100.0,0.0,22.22
Robert Sánchez,ESP,Chelsea,English Premier League,GK,Goalkeeper,27,180,4.0,0.5,3.5,0.3,-0.2,0.5,4.0,14.5,33.5,3.5,1168.35,4.5,178.35,12.5,0.5,0.5,7.9,1,87.5,27.59,4.0,6.56
Robin Risser,FRA,Lens,French Ligue 1,GK,Goalkeeper,20,180,4.5,1.0,3.5,1.25,0.25,0.0,3.5,9.0,27.5,2.0,843.2,4.0,202.0,17.0,0.5,1.0,20.6,1,77.78,38.89,2.94,21.6
Robin Roefs,NED,Sunderland,English Premier League,GK,Goalkeeper,22,180,2.5,1.0,1.5,1.0,0.0,0.5,3.0,12.5,24.0,3.5,878.8,3.0,159.9,14.5,1.5,1.5,28.05,1,60.0,24.0,10.34,24.0
Robin Zentner,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,30,90,2.0,1.0,1.0,1.0,0.0,0.0,9.0,15.0,27.0,3.0,963.9,9.0,376.2,9.0,1.0,2.0,33.0,1,50.0,60.0,11.11,25.0
Rémy Descamps,FRA,Lyon,French Ligue 1,GK,Goalkeeper,29,180,3.0,0.0,3.0,1.3,1.3,1.0,1.5,7.0,32.0,3.5,887.35,3.5,103.0,18.5,0.0,0.5,7.0,1,100.0,21.43,0.0,43.33
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,32,180,3.0,0.5,2.5,0.65,0.15,0.5,3.0,9.5,16.0,3.5,520.15,7.5,374.9,12.0,1.0,1.0,14.5,1,83.33,31.58,8.33,18.06
Stefano Turati,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,23,90,4.0,2.0,2.0,1.2,-0.8,0.0,0.0,16.0,23.0,4.0,936.1,3.0,201.9,9.0,1.0,1.0,10.0,1,50.0,0.0,11.11,15.0
Thibaut Courtois,BEL,Real Madrid,Spanish La Liga,GK,Goalkeeper,33,180,1.5,0.0,1.5,0.15,0.15,1.0,3.0,5.5,24.0,5.5,703.25,2.5,104.5,6.0,0.0,4.5,96.6,1,100.0,54.55,0.0,10.0
Théo De Percin,MTQ,Auxerre,French Ligue 1,GK,Goalkeeper,24,46,9.78,1.96,7.83,2.15,0.2,0.0,5.87,31.3,33.26,0.0,1546.63,7.83,516.52,19.57,5.87,1.96,18.78,1,80.06,18.75,29.99,17.6
Unai Simón,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,28,180,3.5,1.0,2.5,0.95,-0.05,0.5,2.5,17.5,31.0,4.0,1115.9,4.0,241.0,11.5,1.5,0.5,7.15,1,71.43,14.29,13.04,19.39
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,30,90,2.0,0.0,2.0,0.7,0.7,1.0,6.0,18.0,22.0,1.0,981.2,4.0,233.2,9.0,1.0,0.0,0.0,1,100.0,33.33,11.11,35.0
Yann Sommer,SUI,Inter,Italian Serie A,GK,Goalkeeper,36,90,4.0,0.0,4.0,1.2,1.2,1.0,2.0,2.0,30.0,5.0,726.0,5.0,67.0,15.0,1.0,0.0,0.0,1,100.0,100.0,6.67,30.0
Yehvann Diouf,SEN,Nice,French Ligue 1,GK,Goalkeeper,25,180,5.0,1.0,4.0,1.2,0.2,0.0,1.5,4.0,22.5,3.0,490.05,2.5,83.0,11.0,1.5,0.0,0.0,1,80.0,37.5,13.64,19.2
Zion Suzuki,JPN,Parma,Italian Serie A,GK,Goalkeeper,23,90,8.0,2.0,6.0,2.2,0.2,0.0,7.0,23.0,25.0,4.0,1050.0,15.0,799.5,15.0,1.0,0.0,0.0,1,75.0,30.43,6.67,20.62
Álex Remiro,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,30,180,2.5,1.5,1.0,1.1,-0.4,0.0,7.0,10.0,20.5,2.5,657.8,6.5,237.0,13.0,0.0,1.5,30.75,1,40.0,70.0,0.0,17.6
Ørjan Nyland,NOR,Sevilla,Spanish La Liga,GK,Goalkeeper,34,180,4.5,2.5,2.0,1.75,-0.75,0.0,2.0,10.0,33.5,4.0,1083.35,2.5,162.1,10.0,0.0,2.5,47.45,1,44.44,20.0,0.0,17.28
Đorđe Petrović,SRB,Bournemouth,English Premier League,GK,Goalkeeper,25,180,5.5,2.0,3.5,1.6,-0.4,0.5,5.0,16.0,24.5,4.0,927.45,7.5,401.65,14.0,1.5,3.0,44.4,1,63.64,31.25,10.71,18.51
Łukasz Skorupski,POL,Bologna,Italian Serie A,GK,Goalkeeper,34,90,4.0,1.0,3.0,1.2,0.2,0.0,13.0,24.0,69.0,8.0,2394.3,5.0,166.0,7.0,0.0,0.0,0.0,1,75.0,54.17,0.0,22.5
