Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,23,540,57,33,44,73,51,46,97,95,90,29,95,57,72,67,57,55,55,1,25,72,55,66
Nordin Jackers,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,28,162,29,33,15,29,8,19,35,75,93,88,95,3,4,70,9,28,38,1,17,7,8,21
Obed Nkambadio,FRA,Paris FC,French Ligue 1,GK,Goalkeeper,22,450,68,12,48,80,22,19,12,25,77,51,53,84,51,30,9,47,50,1,20,7,8,49
Odysseas Vlachodimos,GRE,Sevilla,Spanish La Liga,GK,Goalkeeper,31,270,82,70,91,61,88,69,67,44,41,89,38,69,64,65,47,32,26,1,86,85,42,72
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,35,450,74,12,53,81,23,19,68,57,45,14,54,20,27,74,43,94,94,1,21,72,35,50
Oliver Christensen,DEN,Sturm Graz,UEFA Europa League,GK,Goalkeeper,26,90,74,20,86,16,2,19,12,21,32,77,41,2,1,38,9,80,72,1,85,12,8,9
Pablo Cuñat,ESP,Levante,Spanish La Liga,GK,Goalkeeper,23,180,95,8,95,93,38,19,70,81,14,97,40,99,98,97,68,25,18,1,64,32,40,82
Pau López,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,30,450,38,82,62,19,62,74,43,38,30,38,25,55,64,52,55,47,57,1,82,52,56,30
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,33,492,81,26,74,89,84,50,16,56,59,85,62,41,48,81,27,40,45,1,44,5,24,90
Philipp Köhn,SUI,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,27,462,88,11,78,87,31,50,17,7,4,81,4,53,21,22,28,29,25,1,37,91,34,73
Pietro Terracciano,ITA,Milan,Italian Serie A,GK,Goalkeeper,35,125,15,95,56,3,70,98,65,10,10,38,8,35,42,55,52,7,7,1,96,99,51,4
Péter Gulácsi,HUN,RB Leipzig,German Bundesliga,GK,Goalkeeper,35,450,38,47,39,53,48,87,41,40,73,43,55,48,59,57,68,63,65,1,37,38,67,69
Radosław Majecki,POL,Brest,French Ligue 1,GK,Goalkeeper,25,324,42,48,44,47,13,63,95,89,49,77,78,81,92,84,90,17,17,1,41,78,81,52
Razvan Sava,ROU,Udinese,Italian Serie A,GK,Goalkeeper,23,450,38,35,32,44,22,55,17,23,23,27,13,55,49,52,20,58,64,1,26,19,20,34
Robert Sánchez,ESP,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,27,634,34,55,40,37,36,77,34,49,72,57,70,27,40,32,87,20,20,1,53,17,95,66
Robin Olsen,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,35,90,95,20,95,91,79,19,12,1,2,77,2,48,12,5,9,7,7,1,64,100,8,78
Robin Risser,FRA,Lens,French Ligue 1,GK,Goalkeeper,20,540,37,80,54,23,65,69,52,39,35,15,37,69,61,54,47,25,29,1,76,65,46,40
Robin Roefs,NED,Sunderland,English Premier League,GK,Goalkeeper,22,540,40,87,62,30,86,82,67,72,61,23,69,58,79,90,91,61,62,1,79,45,82,65
Robin Zentner,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,30,426,30,56,31,24,25,19,72,88,51,19,82,87,85,47,85,75,74,1,32,26,89,25
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,32,90,47,95,86,16,96,95,12,6,97,77,61,2,2,97,9,7,7,1,96,74,8,44
Rui Silva,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,31,90,19,20,5,34,5,19,12,12,45,23,24,5,14,26,68,47,47,1,3,27,77,8
Rémy Descamps,FRA,Lyon,French Ligue 1,GK,Goalkeeper,29,360,19,84,44,45,89,91,6,11,38,41,21,21,19,66,36,35,35,1,88,6,31,98
Sam Johnstone,ENG,Wolves,English Premier League,GK,Goalkeeper,32,180,32,70,44,69,94,19,93,100,87,91,96,78,81,100,36,67,57,1,64,29,21,97
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,32,630,69,70,82,54,83,65,85,63,13,58,20,92,88,77,58,80,79,1,83,86,52,69
Sergio Padt,NED,Ludogorets,UEFA Europa League,GK,Goalkeeper,35,90,74,70,86,12,28,19,12,67,84,23,92,5,6,49,100,47,28,1,85,2,100,7
Sherhan Kalmurza,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,18,180,99,0,95,99,10,19,55,60,8,77,11,95,95,38,68,47,42,1,14,44,72,42
Simon Mignolet,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,37,18,74,95,1,98,56,19,100,99,0,77,0,0,0,19,9,7,7,1,1,96,8,2
Stefan Târnovanu,ROU,FCSB,UEFA Europa League,GK,Goalkeeper,25,90,95,95,99,64,100,95,88,87,5,91,18,97,98,93,68,7,7,1,96,58,47,60
Stefano Turati,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,23,90,47,20,25,41,7,19,1,67,16,51,39,15,46,12,68,47,32,1,14,0,86,16
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,33,810,26,70,34,10,25,78,37,28,33,70,33,43,54,35,40,87,88,1,56,49,43,12
Théo De Percin,MTQ,Auxerre,French Ligue 1,GK,Goalkeeper,24,226,58,37,52,36,15,19,82,90,47,13,81,43,67,81,80,70,70,1,40,37,68,22
Timon Wellenreuther,GER,Feyenoord,UEFA Europa League,GK,Goalkeeper,29,90,5,70,5,8,20,19,76,51,89,91,88,15,20,87,68,47,69,1,14,90,53,16
Unai Simón,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,28,810,55,39,51,53,32,39,40,61,38,62,47,38,62,15,54,80,84,1,46,14,71,56
Uğurcan Çakır,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,29,180,47,8,44,37,1,82,70,87,78,35,93,25,39,42,36,80,77,1,34,24,37,30
Vanja Milinković-Savić,SRB,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,270,74,51,77,72,79,19,76,76,67,85,80,73,87,70,99,32,35,1,69,56,97,81
Vasilios Barkas,GRE,Utrecht,UEFA Europa League,GK,Goalkeeper,31,90,47,70,62,34,65,19,99,97,58,1,86,88,76,26,68,7,7,1,73,92,77,51
