Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,27,630,27,61,31,28,42,86,18,27,56,58,48,29,22,56,25,47,51,1,42,14,22,43
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,212,93,6,81,95,56,19,95,91,41,82,75,81,90,89,82,20,18,1,27,68,66,82
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,720,35,84,56,21,70,82,55,31,91,69,72,51,30,19,36,73,71,1,84,83,47,40
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,540,29,26,13,57,19,69,58,41,12,17,19,42,48,43,79,32,31,1,8,76,79,39
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,90,2,95,5,1,56,95,47,9,21,4,9,15,13,91,68,7,7,1,96,98,51,2
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,28,540,79,70,86,82,97,46,47,36,20,87,25,57,41,85,95,25,19,1,78,62,90,91
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,720,67,49,70,50,48,19,21,20,18,94,11,84,58,41,53,40,41,1,55,36,57,36
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,90,5,70,5,4,7,19,62,87,26,23,44,78,84,93,9,96,94,1,14,15,8,4
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,450,68,82,86,56,94,74,41,40,34,60,38,44,45,31,80,19,22,1,88,38,84,83
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,180,19,89,44,6,56,82,83,87,100,35,100,5,12,62,68,80,73,1,88,47,65,10
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,90,47,70,25,41,74,19,76,63,62,98,59,65,60,26,95,80,67,1,14,74,99,16
James Trafford,ENG,Manchester City,English Premier League,GK,Goalkeeper,22,270,74,51,77,86,95,69,35,44,75,40,52,48,52,9,47,98,98,1,69,25,71,92
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,810,15,44,12,24,15,39,47,30,22,41,21,69,62,42,32,21,23,1,11,66,33,24
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,25,90,90,70,95,34,65,19,3,1,26,51,2,15,3,2,9,47,50,1,88,92,8,19
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,450,5,82,9,12,44,55,86,45,88,31,71,23,28,22,80,80,80,1,28,95,86,57
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,90,2,95,5,1,56,95,1,0,1,1,1,2,1,2,9,47,55,1,96,0,8,2
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,180,95,8,86,97,82,19,83,61,64,51,58,71,68,26,9,25,22,1,23,87,8,77
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,90,19,95,62,41,98,95,12,6,16,1,17,78,43,5,9,47,44,1,96,74,8,99
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,630,31,86,50,37,87,77,9,4,44,98,18,8,7,17,58,96,97,1,82,93,75,88
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,23,540,82,14,71,91,70,46,23,14,83,62,42,25,17,67,36,67,64,1,33,71,30,89
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,540,19,70,18,31,63,69,97,98,82,29,94,73,82,38,47,89,90,1,30,69,54,65
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,10,89,25,12,74,82,27,29,55,35,24,39,50,21,9,80,81,1,85,27,8,71
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,360,47,5,10,79,4,19,76,63,32,35,50,60,71,32,68,47,44,1,2,74,74,11
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,47,70,62,16,33,19,3,9,12,97,10,48,44,7,68,47,46,1,73,5,95,16
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,24,630,74,30,71,48,17,65,50,58,42,65,36,85,78,72,83,86,87,1,45,34,73,23
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,26,450,63,47,69,55,51,19,27,36,62,92,52,26,38,94,68,47,41,1,58,23,45,56
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,34,270,65,51,77,34,31,19,93,98,90,94,97,65,78,97,68,18,20,1,81,46,40,34
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,90,100,2,100,100,86,19,62,67,98,97,98,48,55,70,95,91,82,1,50,39,94,84
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,5,95,25,5,79,95,27,25,62,7,42,5,10,49,68,91,91,1,96,34,69,16
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,38,90,47,70,62,79,96,19,12,12,38,51,5,97,90,93,68,98,98,1,73,27,47,97
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,270,98,1,86,98,20,19,22,46,82,77,73,22,18,26,47,61,85,1,10,10,57,75
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,90,5,20,1,64,13,19,3,18,38,51,34,78,31,49,68,91,93,1,1,2,69,2
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,180,60,8,25,89,28,19,47,39,2,15,14,71,68,79,86,47,33,1,7,56,80,63
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,22,90,47,20,25,64,13,19,27,94,26,77,83,78,88,49,95,7,7,1,14,3,96,35
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,88,2,20,90,1,19,44,54,20,84,12,82,84,63,9,7,7,1,4,33,8,8
Lasse Rieß,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,24,22,52,95,90,45,99,100,50,70,24,1,67,89,83,0,9,7,7,1,96,15,0,94
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,630,66,38,62,77,72,42,79,79,36,10,63,74,73,41,31,34,27,1,39,55,32,78
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,450,54,35,48,65,46,55,73,79,15,51,34,78,89,54,29,36,47,1,31,44,26,71
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,23,720,5,88,10,10,62,88,7,4,24,39,6,15,15,6,22,25,31,1,34,55,33,58
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,27,270,11,33,5,30,9,90,76,96,54,40,84,83,91,35,47,7,7,1,5,17,56,18
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,630,12,86,25,17,67,77,5,8,4,51,3,29,15,16,31,68,68,1,72,8,41,74
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,90,2,95,5,1,56,95,3,44,67,51,78,31,8,70,68,80,78,1,96,1,64,2
Lukáš Hrádecký,FIN,Monaco,French Ligue 1,GK,Goalkeeper,35,258,13,47,12,36,30,19,38,42,64,14,47,40,33,65,50,63,75,1,18,31,44,45
