Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
Aaron Anselmino,ARG,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,20,81,1,39,73,62,58
Aaron Hickey,SCO,Brentford,English Premier League,LB,Defender,23,188,1,45,39,29,53
Aaron McEneff,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,30,89,1,37,24,20,26
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,27,303,1,55,64,72,54
Aaron Zehnter,GER,Wolfsburg,German Bundesliga,LB,Defender,20,269,1,88,43,68,50
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,444,1,59,75,74,44
Abdallah Sima,SEN,Lens,French Ligue 1,AM,Forward,24,73,1,83,49,39,73
Abde Ezzalzouli,MAR,Betis,"Spanish La Liga, UEFA Europa League",LW,Forward,23,420,1,75,71,84,69
Abde Rebbach,ALG,Alavés,Spanish La Liga,LM,Midfielder,27,329,1,55,66,80,43
Abdel Abqar,MAR,Getafe,Spanish La Liga,CB,Defender,26,387,1,42,52,31,77
Abdelhamid Ait Boudlal,MAR,Rennes,French Ligue 1,CB,Defender,19,75,1,50,46,55,53
Abdellah Zoubir,FRA,Qarabağ,UEFA Champions League,LW,Forward,33,269,1,61,71,66,39
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,CM,Midfielder,27,47,1,59,58,88,36
Abdou Harroui,NED,Hellas Verona,Italian Serie A,CM,Midfielder,27,70,1,47,19,52,51
Abdoul Coulibaly,GER,Werder Bremen,German Bundesliga,CB,Defender,18,553,1,75,34,49,41
Abdoul Ouattara,FRA,Strasbourg,"French Ligue 1, UEFA Europa Conference League",RB,Defender,20,510,1,92,62,63,40
Abdoulaye Faye,SEN,Lorient,French Ligue 1,CB,Defender,21,573,1,42,32,41,73
Abdoulaye Niakhate Ndiaye,SEN,Parma,Italian Serie A,CB,Defender,23,401,1,30,29,26,71
Abdoulaye Sylla,GUI,Sigma Olomouc,UEFA Europa Conference League,CB,Defender,25,180,1,34,26,22,67
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,CM,Midfielder,31,324,1,65,60,45,65
Abdoulie Ceesay,GAM,St. Pauli,German Bundesliga,AM,Forward,21,62,1,45,20,55,43
Abdukodir Khusanov,UZB,Manchester City,"English Premier League, UEFA Champions League",RB,Defender,21,318,1,40,42,61,49
Abdulai Juma Bah,SLE,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,19,565,1,39,27,44,44
Abdón Prats,ESP,Mallorca,Spanish La Liga,AM,Forward,32,59,1,35,52,51,37
Abdülkerim Bardakcı,TUR,Galatasaray,UEFA Champions League,CB,Defender,31,180,1,35,30,21,44
Abel,ESP,Osasuna,Spanish La Liga,WB,Midfielder,24,89,1,35,20,78,44
Abel Bretones,ESP,Osasuna,Spanish La Liga,LB,Midfielder,25,540,1,73,51,56,64
Abner,BRA,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,25,480,1,52,80,78,40
Aboubaka Soumahoro,FRA,Hamburger SV,German Bundesliga,CB,Defender,20,45,1,36,28,19,10
Aboubakary Koita,MTN,AEK Athens,UEFA Europa Conference League,LW,Forward,27,98,1,93,79,72,55
Abu Kamara,ENG,Getafe,Spanish La Liga,RM,Forward,22,117,1,31,23,41,63
Achraf Hakimi,MAR,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,26,746,1,57,86,88,38
Adam Boayar,MAR,Elche,Spanish La Liga,CM,Midfielder,19,6,1,40,54,77,11
Adam Buksa,POL,Udinese,Italian Serie A,AM,Forward,29,132,1,41,44,23,72
Adam Daghim,DEN,Wolfsburg,German Bundesliga,RW,Forward,20,272,1,66,52,60,82
Adam Dźwigała,POL,St. Pauli,German Bundesliga,CB,Defender,30,408,1,72,37,52,69
Adam Gabriel,CZE,Midtjylland,UEFA Europa League,RB,Defender,24,21,1,36,33,24,10
Adam Gnezda Čerin,SVN,Panathinaikos,UEFA Europa League,LM,Midfielder,26,168,1,56,61,67,73
Adam Karabec,CZE,Lyon,"French Ligue 1, UEFA Europa League",RW,Forward,22,631,1,53,80,70,55
Adam Kölle,GER,Heidenheim,German Bundesliga,CB,Midfielder,19,30,1,92,81,38,75
Adam Lundqvist,SWE,Häcken,UEFA Europa Conference League,LB,Defender,31,180,1,53,83,72,64
Adam Marušić,MNE,Lazio,Italian Serie A,RB,Defender,33,412,1,48,59,45,39
Adam Masina,MAR,Torino,Italian Serie A,CB,Defender,31,111,1,54,75,23,36
Adam Matthews,WAL,Shamrock Rovers,UEFA Europa Conference League,WB,Midfielder,33,57,1,43,37,56,32
Adam Obert,SVK,Cagliari,Italian Serie A,LB,Defender,23,592,1,49,63,51,69
Adam Sevinsky,CZE,Sparta Prague,UEFA Europa Conference League,CB,Defender,21,90,1,68,40,57,65
Adam Smith,ENG,Bournemouth,English Premier League,RB,Defender,34,204,1,51,49,43,21
Adam Wharton,ENG,Crystal Palace,"English Premier League, UEFA Europa Conference League",CM,Midfielder,21,652,1,52,78,61,44
Adama Boiro,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",LB,Defender,23,112,1,47,46,46,71
Adama Camara,FRA,Paris FC,French Ligue 1,LM,Midfielder,29,472,1,41,41,52,65
Adama Traoré,ESP,Fulham,English Premier League,RW,Forward,29,156,1,43,71,68,25
Adamu Alhassan,NGA,Shkëndija 79,UEFA Europa Conference League,DM,Midfielder,25,114,1,43,39,31,68
Adem Zorgane,ALG,Union SG,UEFA Champions League,CM,Midfielder,25,263,1,47,51,43,45
Ademola Lookman,NGA,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,28,278,1,41,75,79,37
Adil Aouchiche,FRA,Aberdeen,UEFA Europa Conference League,AM,Forward,23,45,1,44,35,56,18
Adilet Sadybekov,KAZ,Qaırat Almaty,UEFA Champions League,DM,Midfielder,23,16,1,34,34,17,50
Adnan Januzaj,BEL,Sevilla,Spanish La Liga,RW,Forward,30,149,1,41,70,72,53
Adrian Beck,GER,Heidenheim,German Bundesliga,AM,Forward,28,218,1,48,74,67,49
Adrian Benedyczak,POL,Parma,Italian Serie A,AM,Forward,24,67,1,42,24,20,80
Adrian Bernabe,ESP,Parma,Italian Serie A,CM,Midfielder,24,547,1,53,62,65,40
Adrian Blake,ENG,Utrecht,UEFA Europa League,LW,Forward,20,147,1,41,63,41,51
Adrian Leon Barišić,BIH,Basel,UEFA Europa League,CB,Defender,24,181,1,39,46,25,84
Adrian Rus,ROU,CS U Craiova,UEFA Europa Conference League,CB,Defender,29,180,1,36,27,19,40
Adrian Skogmar,SWE,Malmö,UEFA Europa League,CM,Midfielder,19,173,1,36,30,55,54
Adrian Svanbäck,FIN,Häcken,UEFA Europa Conference League,RM,Forward,21,180,1,31,60,56,83
Adrian Zeljković,SVN,Viktoria Plzeň,UEFA Europa League,CB,Midfielder,23,42,1,38,70,27,29
Adrian Șut,ROU,FCSB,UEFA Europa League,DM,Midfielder,26,45,1,43,42,77,32
Adriano,BRA,Raków,UEFA Europa Conference League,LM,Midfielder,23,159,1,43,68,88,32
Adrien Rabiot,FRA,"Marseille, Milan","French Ligue 1, Italian Serie A",CM,Midfielder,30,450,1,43,69,75,45
Adrien Tameze,CMR,Torino,Italian Serie A,CM,Midfielder,31,277,1,39,35,28,48
Adrien Thomasson,FRA,Lens,French Ligue 1,CM,Midfielder,31,720,1,68,77,39,55
Adrien Truffert,FRA,Bournemouth,English Premier League,LB,Defender,23,720,1,54,76,85,35
Adrià Altimira,ESP,Villarreal,Spanish La Liga,RB,Defender,24,9,1,36,41,59,50
Adrià Pedrosa,ESP,"Elche, Sevilla",Spanish La Liga,LB,Defender,27,217,1,92,67,66,26
Adrián Liso,ESP,Getafe,Spanish La Liga,AM,Forward,20,514,1,66,22,35,61
Adrián de la Fuente,ESP,Levante,Spanish La Liga,CB,Defender,26,655,1,43,51,47,49
Afimico Pululu,NAN,Jagiellonia,UEFA Europa Conference League,AM,Forward,26,166,1,34,32,51,28
Afonso Bastardo,POR,Lyon,French Ligue 1,LW,Forward,20,25,1,29,44,55,70
Afonso Moreira,POR,Lyon,"French Ligue 1, UEFA Europa League",LW,Forward,20,81,1,93,60,80,50
Agon Sadiku,FIN,KuPS,UEFA Europa Conference League,AM,Forward,22,27,1,20,20,57,18
Ahmed Kutucu,TUR,Galatasaray,UEFA Champions League,RW,Forward,25,24,1,28,36,39,22
Ahmed Touba,ALG,Panathinaikos,UEFA Europa League,CB,Defender,27,270,1,45,42,52,69
Aihen Muñoz,ESP,Real Sociedad,Spanish La Liga,LB,Defender,28,342,1,37,59,62,60
Aiman Dardari,LUX,Augsburg,German Bundesliga,CM,Midfielder,20,7,1,40,49,42,11
Aimar Oroz,ESP,Osasuna,Spanish La Liga,AM,Forward,23,313,1,37,63,66,73
