Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aaron Ramsdale,Southampton,English Premier League,GK,Goalkeeper,ENG,27,196.09,2700,30,6.54
Adrian Rodriguez,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,24,13.18,122,2,6.59
Adrián,Betis,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,ESP,38,166.68,2340,26,6.41
Aitor Fernández,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,33,7.48,90,1,7.48
Alban Lafont,Nantes,French Ligue 1,GK,Goalkeeper,FRA,25,75.03,1080,12,6.25
Albert Posiadala,Molde,UEFA Europa Conference League,GK,Goalkeeper,POL,21,35.92,540,6,5.99
Alberto Paleari,Torino,Italian Serie A,GK,Goalkeeper,ITA,32,6.17,90,1,6.17
Aleksandr Zarutskiy,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,KAZ,31,6.4,90,1,6.4
Aleksei Ploshchadnyi,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,RUS,20,18.69,270,3,6.23
Alen Sherri,Cagliari,Italian Serie A,GK,Goalkeeper,ALB,27,44.82,621,7,6.4
Alex McCarthy,Southampton,English Premier League,GK,Goalkeeper,ENG,35,32.1,450,5,6.42
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,218.8,3005,34,6.44
Alex Padilla,Athletic Club,Spanish La Liga,GK,Goalkeeper,ESP,21,32.18,321,5,6.44
Alex Palmer,Ipswich Town,English Premier League,GK,Goalkeeper,ENG,28,82.5,1170,13,6.35
Alexander Meyer,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,33,19.89,270,3,6.63
Alexander Nübel,Stuttgart,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,GER,28,258.87,3690,41,6.31
Alexander Schlager,RB Salzburg,UEFA Champions League,GK,Goalkeeper,AUT,28,25.83,335,4,6.46
Alexander Schwolow,Union Berlin,German Bundesliga,GK,Goalkeeper,GER,32,36.32,540,6,6.05
Aleš Mandous,Slavia Prague,UEFA Europa League,GK,Goalkeeper,CZE,32,13.11,180,2,6.56
Alisson,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,32,226.8,3048,34,6.67
Alphonse Areola,West Ham,English Premier League,GK,Goalkeeper,FRA,32,170.39,2260,26,6.55
Altay Bayındır,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,TUR,27,38.97,540,6,6.5
Amir Saipi,Lugano,UEFA Europa Conference League,GK,Goalkeeper,KVX,24,50.96,720,8,6.37
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,23,79.57,1080,12,6.63
Andrea Mazza,Monza,Italian Serie A,GK,Goalkeeper,ITA,21,6.62,8,1,6.62
Andriy Lunin,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,UKR,26,59.74,810,9,6.64
André Ferreira,Valladolid,Spanish La Liga,GK,Goalkeeper,POR,28,36.7,540,6,6.12
André Onana,Manchester Utd,"English Premier League, UEFA Europa League",GK,Goalkeeper,CMR,29,304.56,4230,47,6.48
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,34,115.82,1563,18,6.43
Anthony Moris,Union SG,UEFA Europa League,GK,Goalkeeper,LUX,34,65.9,900,10,6.59
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,28,213.63,2810,32,6.68
Antonín Kinský,"Slavia Prague, Tottenham","English Premier League, UEFA Europa League",GK,Goalkeeper,CZE,22,76.95,1080,12,6.41
Arijanet Muric,Ipswich Town,English Premier League,GK,Goalkeeper,KVX,26,117.57,1620,18,6.53
Arnau Rafús,Valladolid,Spanish La Liga,GK,Goalkeeper,ESP,21,5.92,90,1,5.92
Arnau Tenas,Paris S-G,French Ligue 1,GK,Goalkeeper,ESP,23,6.66,90,1,6.66
Arthur Desmas,Le Havre,French Ligue 1,GK,Goalkeeper,FRA,30,113.17,1620,18,6.29
Augusto Batalla,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,ARG,29,214.09,2880,32,6.69
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,22,229.81,3240,36,6.38
Bartłomiej Drągowski,Panathinaikos,UEFA Europa Conference League,GK,Goalkeeper,POL,27,44.27,630,7,6.32
Ben Alexander Voll,St. Pauli,German Bundesliga,GK,Goalkeeper,GER,24,12.92,91,2,6.46
Benjamin Lecomte,Montpellier,French Ligue 1,GK,Goalkeeper,FRA,34,182.97,2610,29,6.31
Benjamin Siegrist,Genoa,Italian Serie A,GK,Goalkeeper,SUI,33,12.92,152,2,6.46
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,245.73,3420,38,6.47
Brandon Austin,Tottenham,"English Premier League, UEFA Europa League",GK,Goalkeeper,ENG,26,19.7,270,3,6.57
Brice Samba,"Lens, Rennes",French Ligue 1,GK,Goalkeeper,FRA,31,211.73,2879,32,6.62
Bruno Varela,Vitória,UEFA Europa Conference League,GK,Goalkeeper,CPV,30,48.94,720,8,6.12
Caoimhín Kelleher,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,IRL,26,93.85,1260,14,6.7
Christian Walton,Ipswich Town,English Premier League,GK,Goalkeeper,ENG,29,45.19,630,7,6.46
Christos Mandas,Lazio,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,GRE,23,119.84,1620,18,6.66
Colin Coosemans,Anderlecht,UEFA Europa League,GK,Goalkeeper,BEL,32,56.96,810,9,6.33
Connor Roberts,The New Saints,UEFA Europa Conference League,GK,Goalkeeper,WAL,32,39.46,540,6,6.58
Craig Gordon,Hearts,UEFA Europa Conference League,GK,Goalkeeper,SCO,41,36.87,540,6,6.14
Damjan Šiškovski,Borac Banja Luka,UEFA Europa Conference League,GK,Goalkeeper,MKD,29,6.32,90,1,6.32
Dani Cárdenas,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,ESP,28,39.17,540,6,6.53
Daniel Bentley,Wolves,English Premier League,GK,Goalkeeper,ENG,31,13.19,180,2,6.6
Daniel Peretz,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,ISR,24,24.84,360,4,6.21
Daniel Schmidt,Gent,UEFA Europa Conference League,GK,Goalkeeper,JPN,32,6.04,90,1,6.04
Daniele Padelli,Udinese,Italian Serie A,GK,Goalkeeper,ITA,39,7.03,90,1,7.03
Daniele Sommariva,Genoa,Italian Serie A,GK,Goalkeeper,ITA,27,6.06,28,1,6.06
