Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Arthur Okonkwo,ENG,Goalkeeper,Wrexham,24,2001,9,8,721,55,25,25,52,18,21,39,46,21,84,71,11,18,84,72,82,20,37,55,50,45,50,82,50
Axel Werner,ARG,Goalkeeper,Rosario Central,29,1996,4,3,271,98,1,5,98,18,21,39,46,3,51,48,9,65,85,51,43,18,37,98,76,98,50,43,50
Balázs Tóth,HUN,Goalkeeper,Blackburn,28,1997,11,11,990,36,55,51,41,68,75,39,46,43,51,75,71,64,16,35,32,85,37,36,32,41,50,32,50
Ben Killip,ENG,Goalkeeper,Portsmouth,29,1995,2,1,155,61,78,89,92,18,21,39,46,57,96,95,97,92,46,93,35,81,37,61,88,83,50,35,50
Benjamin Lundt,GER,Goalkeeper,St. Louis,30,1995,9,9,810,35,75,73,47,75,61,92,46,69,76,49,42,75,86,52,47,38,91,35,43,44,50,47,50
Bernardo Fontes,BRA,Goalkeeper,Tondela,23,2002,9,9,810,18,92,94,29,75,81,39,46,92,52,46,60,62,34,63,20,76,37,18,43,67,50,20,50
Bernt Klaverboer,NED,Goalkeeper,Heerenveen,20,2005,6,6,540,21,58,39,12,18,21,39,46,69,65,87,90,60,14,63,84,48,37,21,60,15,50,84,50
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,23,2002,4,3,294,57,61,72,93,18,21,39,46,86,13,41,54,90,26,45,39,65,37,57,72,72,50,39,50
Brad Guzan,USA,Goalkeeper,Atlanta Utd,41,1984,26,26,2340,19,76,69,26,77,83,39,46,75,47,27,54,74,59,19,18,68,37,19,11,26,50,18,50
Brad Stuver,USA,Goalkeeper,Austin,34,1991,34,34,3060,52,74,81,56,68,69,81,46,55,67,68,77,74,63,66,63,47,77,52,3,74,50,63,50
Brayan Cortés,CHI,Goalkeeper,Colo-Colo,30,1995,7,7,630,6,84,58,33,58,67,39,46,75,18,62,3,6,59,49,83,23,37,6,72,9,50,83,50
Brenno,BRA,Goalkeeper,Fortaleza,26,1999,6,6,540,60,36,31,37,65,21,98,46,49,44,36,8,48,83,38,12,18,96,60,60,32,50,12,50
Brent Gabriël,BEL,Goalkeeper,Zulte Waregem,26,1999,12,12,1080,55,38,44,52,43,53,39,46,59,89,77,65,51,44,95,86,74,37,55,27,58,50,86,50
Bruno Ferreira,BRA,Goalkeeper,Ceará,31,1994,22,22,1953,78,26,34,59,40,46,39,46,31,58,57,19,30,80,82,87,48,37,78,16,68,50,87,50
C.J. dos Santos,USA,Goalkeeper,San Diego FC,25,2000,30,30,2700,53,47,50,68,71,73,81,46,50,4,3,74,72,14,6,38,76,77,53,3,54,50,38,50
Caio Secco,BRA,Goalkeeper,Moreirense,34,1990,7,7,630,62,37,42,60,91,92,39,46,32,15,36,43,64,73,64,91,33,37,62,55,58,50,91,50
Calvin Raatsie,NED,Goalkeeper,Excelsior,23,2002,2,2,180,3,97,95,12,18,21,39,46,97,85,87,99,55,31,26,75,100,37,3,84,23,50,75,50
Camilo Vargas,COL,Goalkeeper,Atlas,36,1989,13,13,1170,10,80,58,26,93,83,97,97,80,40,51,64,26,83,84,18,31,98,10,27,12,50,18,50
Carl Rushworth,ENG,Goalkeeper,Coventry City,24,2001,12,12,1080,86,18,31,88,65,73,39,46,23,85,92,81,23,62,36,47,82,37,86,27,80,50,47,50
Carlos Acevedo,MEX,Goalkeeper,Santos,29,1996,15,15,1350,33,86,85,57,55,21,96,46,67,68,69,50,47,96,89,47,52,95,33,20,53,50,47,50
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28,1996,31,31,2790,48,60,67,64,47,47,81,46,67,23,44,61,78,33,22,59,84,77,48,3,60,50,59,50
Carlos Lampe,BOL,Goalkeeper,Bolívar,38,1987,1,1,90,98,12,58,98,18,21,39,46,5,2,1,99,99,23,1,5,96,37,98,94,98,50,5,50
Carlos Miguel,BRA,Goalkeeper,Palmeiras,27,1998,3,3,270,15,64,58,68,96,97,39,46,24,36,26,11,11,10,1,75,18,37,15,90,29,50,75,50
Carlos Moreno,MEX,Goalkeeper,Pachuca,27,1998,15,15,1350,53,28,26,57,71,78,39,46,17,82,63,84,95,49,32,83,92,37,53,20,38,50,83,50
Caíque França,BRA,Goalkeeper,Sport Recife,30,1995,12,12,1080,30,70,71,37,87,85,39,97,63,36,18,17,66,78,48,65,51,85,30,27,45,50,65,50
Cesar Ramos,MEX,Goalkeeper,Atlas,25,2000,1,1,90,15,41,12,12,18,21,39,46,83,82,87,18,2,96,26,75,6,37,15,94,7,50,75,50
Cezary Miszta,POL,Goalkeeper,Rio Ave,23,2001,9,9,810,35,88,90,47,18,21,39,46,82,76,77,65,81,94,97,25,38,37,35,43,70,50,25,50
Charles,BRA,Goalkeeper,Vitória,31,1994,4,4,360,15,79,75,12,18,21,39,46,73,21,42,75,23,43,5,29,43,37,15,69,38,50,29,50
Chris Brady,USA,Goalkeeper,Chicago Fire,21,2004,28,28,2465,20,75,68,41,87,81,86,94,84,9,6,60,72,25,34,61,58,91,20,11,27,50,61,50
Christian Walton,ENG,Goalkeeper,Ipswich Town,29,1995,2,1,157,26,76,73,92,18,21,39,46,82,3,17,78,92,17,29,99,81,37,26,88,38,50,99,50
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,28,1997,26,26,2340,40,62,67,48,39,45,39,46,41,20,13,45,92,50,85,70,41,37,40,11,51,50,70,50
Colin Coosemans,BEL,Goalkeeper,Anderlecht,33,1992,12,12,1080,73,21,23,82,43,53,39,46,46,56,43,73,51,3,57,65,56,37,73,27,56,50,65,50
Cássio,BRA,Goalkeeper,Cruzeiro,38,1987,28,28,2456,87,36,62,84,39,21,84,46,17,17,15,2,28,70,69,20,41,80,87,11,86,50,20,50
Daniel,BRA,Goalkeeper,SJ Earthquakes,31,1994,29,29,2495,22,79,76,29,39,45,39,46,84,33,37,53,67,37,33,42,77,37,22,11,43,50,42,50
Daniel Azevedo,POR,Goalkeeper,Casa Pia,27,1998,3,2,218,5,88,49,12,91,92,39,46,97,79,71,92,71,29,53,5,96,37,5,80,7,50,5,50
Daniel Bielica,POL,Goalkeeper,NAC Breda,26,1999,9,9,810,23,90,90,12,75,81,39,46,83,93,85,74,39,44,24,14,89,37,23,43,59,50,14,50
Daniel Figueira,POR,Goalkeeper,Gil Vicente FC,27,1998,1,0,31,98,100,100,99,18,21,39,46,90,96,100,70,0,99,99,5,6,37,98,99,98,50,5,50
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28,1997,2,1,92,1,89,9,12,18,21,39,46,93,61,66,95,0,95,95,5,6,37,1,91,1,50,5,50
Daniel Iversen,DEN,Goalkeeper,Preston,28,1997,12,12,1080,73,12,14,68,18,21,39,46,18,83,93,86,63,86,56,80,91,37,73,27,53,50,80,50
Danny Ward,WAL,Goalkeeper,Wrexham,32,1993,4,4,359,25,84,82,12,18,21,39,46,87,92,92,20,14,97,94,98,28,37,25,69,48,50,98,50
David Bingham,USA,Goalkeeper,Charlotte,36,1989,2,2,180,73,83,93,88,18,21,39,46,38,5,20,46,55,59,91,97,28,37,73,84,91,50,97,50
David Ochoa,USA,Goalkeeper,LAFC,24,2001,1,1,90,73,0,0,12,18,21,39,46,16,0,1,15,98,23,40,5,6,37,73,94,0,50,5,50
David Ospina,COL,Goalkeeper,Nacional,37,1988,7,7,660,79,31,42,57,91,92,39,46,26,62,34,84,84,4,15,63,40,37,79,55,74,50,63,50
Davy Roef,BEL,Goalkeeper,Gent,31,1994,12,12,1080,43,83,90,52,43,53,39,46,63,50,49,79,96,34,77,65,51,37,43,27,82,50,65,50
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28,1997,30,30,2700,73,63,81,68,55,49,81,93,39,72,81,62,28,47,89,38,33,83,73,3,86,50,38,50
Demba Thiam,SEN,Goalkeeper,Monza,27,1998,9,9,810,85,15,19,68,50,21,92,46,19,73,60,82,55,7,24,91,92,91,85,43,63,50,91,50
Diego Enriquez,PER,Goalkeeper,Sporting Cristal,23,2002,6,6,540,6,95,93,12,87,90,39,46,92,25,24,33,23,76,55,47,56,37,6,60,24,50,47,50
Diego Mascardi,ITA,Goalkeeper,Spezia,19,2006,5,5,450,33,35,18,43,90,92,39,46,69,87,85,83,17,59,15,75,46,37,33,65,14,50,75,50
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36,1989,28,28,2475,91,7,17,90,50,49,84,46,10,76,48,65,4,29,20,31,21,80,91,11,84,50,31,50
Diogenes,BRA,Goalkeeper,Santos,24,2001,1,0,23,98,99,99,12,18,21,39,46,11,99,99,20,51,100,100,100,6,37,98,99,98,50,100,50
Diogo Costa,POR,Goalkeeper,Porto,26,1999,8,8,720,96,1,5,97,18,21,39,46,2,74,41,93,16,25,21,15,91,37,96,50,98,50,15,50
Drake Callender,USA,Goalkeeper,Inter Miami,28,1997,3,2,185,7,92,84,12,18,21,39,46,94,61,16,65,77,15,2,5,73,37,7,81,22,50,5,50
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33,1992,7,5,565,11,46,14,64,62,70,39,46,64,41,42,39,90,30,8,12,77,37,11,58,7,50,12,50
