Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Simon Mignolet,BEL,Goalkeeper,Club Brugge,37,1988,1,1,90,68,51
Simone Colombi,ITA,Goalkeeper,Virtus Entella,34,1991,8,8,720,49,29
Simone Ghidotti,ITA,Goalkeeper,Sampdoria,25,2000,7,7,630,29,51
Simão Bertelli,BRA,Goalkeeper,AVS Futebol,32,1993,8,8,720,14,56
Solomon Brynn,ENG,Goalkeeper,Middlesbrough,24,2000,12,12,1080,69,35
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39,1986,26,26,2340,58,42
Steven Benda,GER,Goalkeeper,Millwall,27,1998,9,9,810,40,48
Stijn van Gassel,NED,Goalkeeper,Excelsior,29,1996,8,8,659,65,77
Taishi Nozawa,JPN,Goalkeeper,Antwerp,22,2002,3,3,270,63,66
Thiago,BRA,Goalkeeper,Vitória,26,1999,1,0,65,52,25
Thiago Cardozo,URU,Goalkeeper,Belgrano,29,1996,27,27,2426,69,47
Thomas Gillier,CHI,Goalkeeper,CF Montréal,21,2004,8,8,720,44,39
Thomas Hasal,CAN,Goalkeeper,LAFC,26,1999,2,1,135,20,41
Thomas Kaminski,BEL,Goalkeeper,Charlton Ath,33,1992,12,12,1080,69,60
Tiago Volpi,BRA,Goalkeeper,Grêmio,34,1990,25,25,2250,56,50
Tijmen Holla,0,Goalkeeper,Excelsior,0,0,1,0,61,20,84
Timo Jansink,NED,Goalkeeper,Heracles Almelo,22,2003,2,2,180,12,67
Timon Wellenreuther,GER,Goalkeeper,Feyenoord,29,1995,10,10,900,62,67
Tobe Leysen,BEL,Goalkeeper,OH Leuven,23,2002,12,12,1080,34,65
Tobias Lawal,AUT,Goalkeeper,Genk,25,2000,7,7,630,46,53
Tom de Graaff,NED,Goalkeeper,Zwolle,20,2004,8,8,720,38,66
Tomas Romero,SLV,Goalkeeper,NYCFC,24,2000,4,3,294,83,31
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26,1999,11,11,990,39,61
Tomás Marchiori,ARG,Goalkeeper,Vélez Sarsfield,30,1995,37,37,3268,72,36
Vasilios Barkas,GRE,Goalkeeper,Utrecht,31,1994,9,9,765,47,60
Vic Chambaere,BEL,Goalkeeper,Union SG,22,2003,3,3,270,56,27
Viktor Johansson,SWE,Goalkeeper,Stoke City,27,1998,12,12,1080,82,75
Vinicius Silvestre,BRA,Goalkeeper,Fortaleza,31,1994,2,2,180,18,66
Vitezslav Jaros,CZE,Goalkeeper,Ajax,24,2001,9,9,810,47,69
Vladan Kovačević,BIH,Goalkeeper,Norwich City,27,1998,12,12,1080,41,55
Walter,BRA,Goalkeeper,Mirassol,37,1987,23,23,2070,78,32
Warleson,BRA,Goalkeeper,Cercle Brugge,29,1996,2,1,108,48,38
Wessel Speel,NED,Goalkeeper,Minnesota Utd,24,2001,3,3,199,8,46
Williams Barlasina,ARG,Goalkeeper,Newell's OB,27,1998,8,8,720,35,52
Wéverton,BRA,Goalkeeper,Palmeiras,37,1987,35,35,3150,75,38
Yannick Thoelen,BEL,Goalkeeper,Antwerp,35,1990,5,5,450,53,74
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29,1996,34,34,3060,58,43
Young,BRA,Goalkeeper,São Paulo,23,2002,2,2,180,37,20
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30,1995,23,23,2070,41,56
Álvaro David Montero,COL,Goalkeeper,Vélez Sarsfield,30,1995,2,1,152,83,49
Éverson,BRA,Goalkeeper,Atlético Mineiro,35,1990,27,27,2430,62,61
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39,1986,25,25,2082,32,61
