Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
David Bingham,USA,Goalkeeper,Charlotte,36,1989,2,2,180,77,32
David Ochoa,USA,Goalkeeper,LAFC,24,2001,1,1,90,42,33
David Ospina,COL,Goalkeeper,Nacional,37,1988,7,7,660,70,68
Davy Roef,BEL,Goalkeeper,Gent,31,1994,12,12,1080,56,65
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28,1997,30,30,2700,72,57
Demba Thiam,SEN,Goalkeeper,Monza,27,1998,9,9,810,76,67
Diego Enriquez,PER,Goalkeeper,Sporting Cristal,23,2002,6,6,540,23,31
Diego Mascardi,ITA,Goalkeeper,Spezia,19,2006,5,5,450,32,65
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36,1989,28,28,2475,76,54
Diogenes,BRA,Goalkeeper,Santos,24,2001,1,0,23,89,64
Diogo Costa,POR,Goalkeeper,Porto,26,1999,8,8,720,81,61
Drake Callender,USA,Goalkeeper,Inter Miami,28,1997,3,2,185,20,63
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33,1992,7,5,565,16,52
Edoardo Motta,ITA,Goalkeeper,Reggiana,20,2005,9,9,810,44,37
Egil Selvik,NOR,Goalkeeper,Watford,28,1997,11,11,945,44,42
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43,1982,29,29,2610,57,56
Ethan Horvath,USA,Goalkeeper,Sheffield Weds,30,1995,8,8,719,28,53
Etienne Vaessen,SUR,Goalkeeper,Groningen,30,1995,7,7,630,77,85
Evan Bush,USA,Goalkeeper,Columbus Crew,39,1986,6,6,540,65,38
Evan Louro,USA,Goalkeeper,FC Cincinnati,29,1996,4,4,360,71,42
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28,1997,29,29,2610,68,55
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,30,1995,15,15,1350,22,41
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,25,2000,8,8,720,26,69
Fabricio Iacovich,ARG,Goalkeeper,Estudiantes–LP,23,2002,1,1,90,82,22
Facundo Altamirano,ARG,Goalkeeper,San Lorenzo,29,1996,1,1,90,45,46
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28,1997,17,14,1324,79,46
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24,2001,29,29,2610,52,48
Federico Del Frate,ITA,Goalkeeper,Virtus Entella,29,1995,1,1,90,27,31
Federico Lanzillota,ARG,Goalkeeper,Bolívar,32,1992,3,3,270,19,49
Federico Losas,ARG,Goalkeeper,Platense,23,2002,4,4,360,25,49
Felipe Longo,BRA,Goalkeeper,Corinthians,20,2005,2,2,180,30,22
Felipe Zenobio,ARG,Goalkeeper,Tigre,25,2000,29,29,2610,75,38
Fernando Miguel,BRA,Goalkeeper,Ceará,40,1985,8,7,657,78,52
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39,1986,16,16,1470,78,62
Fernando de Paul,CHI,Goalkeeper,Colo-Colo,34,1991,1,1,90,84,44
Filip Stankovic,SRB,Goalkeeper,Venezia,23,2002,9,9,810,71,74
Francesco Bardi,ITA,Goalkeeper,Palermo,33,1992,1,1,90,50,26
Franco Armani,ARG,Goalkeeper,River Plate,39,1986,37,37,3360,71,38
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27,1998,29,29,2610,60,74
Fábio,BRA,Goalkeeper,Fluminense,45,1980,29,29,2610,51,25
Gabriel,BRA,Goalkeeper,Vitória,33,1992,18,18,1620,47,46
Gabriel Arias,CHI,Goalkeeper,Racing Club,38,1987,26,26,2273,68,44
Gabriel Batista,BRA,Goalkeeper,Santa Clara,27,1998,9,9,810,55,55
Gabriel Brazão,BRA,Goalkeeper,Santos,25,2000,29,29,2587,42,27
Gabriel Castellón,CHI,Goalkeeper,U de Chile,32,1993,6,6,540,65,33
Gabriel Chapecó,BRA,Goalkeeper,Grêmio,25,2000,5,5,450,57,46
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23,2002,2,2,180,70,41
Gastón Olveira,URU,Goalkeeper,Olimpia,32,1993,3,3,270,46,43
Gatito Fernández,PAR,Goalkeeper,Cerro Porteño,37,1988,3,3,270,35,43
Gavin Bazunu,IRL,Goalkeeper,Southampton,23,2002,6,6,540,28,46
Gaëtan Coucke,BEL,Goalkeeper,Sampdoria,26,1998,2,2,180,24,31
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,37,1988,2,2,180,72,46
Gonzalo Crettaz,ARG,Goalkeeper,NEC Nijmegen,25,2000,10,10,900,26,81
Gonzalo Siri Payer,ARG,Goalkeeper,Arg Juniors,22,2003,1,0,45,13,29
Gonzalo Valle,ECU,Goalkeeper,LDU de Quito,29,1996,10,10,886,86,54
Guido Herrera,ARG,Goalkeeper,Talleres,33,1992,31,31,2745,62,54
Guido Villar,ARG,Goalkeeper,Independiente,27,1998,6,6,540,28,28
Guillaume Dietsch,FRA,Goalkeeper,Dender,24,2001,3,3,270,38,71
Guillermo Allison,MEX,Goalkeeper,Querétaro,35,1990,10,10,900,41,32
Guillermo Vizcarra,BOL,Goalkeeper,Alianza Lima,32,1993,6,6,540,28,65
Guillermo de Amores,URU,Goalkeeper,Peñarol,31,1994,3,3,270,75,52
Gustavo,BRA,Goalkeeper,Juventude,32,1993,10,10,855,23,42
Harlen Castillo,COL,Goalkeeper,Nacional,32,1993,1,1,90,78,45
Helton Leite,BRA,Goalkeeper,Fortaleza,34,1990,6,6,540,26,36
Hendrik Van Crombrugge,BEL,Goalkeeper,Genk,32,1993,5,5,450,54,59
Hernán Galíndez,ECU,Goalkeeper,Huracán,38,1987,25,25,2250,78,43
Hidde Jurjus,NED,Goalkeeper,Groningen,31,1994,3,3,270,16,64
Hugo González Durán,MEX,Goalkeeper,Toluca,35,1990,9,9,807,56,34
Hugo Lloris,FRA,Goalkeeper,LAFC,38,1986,32,32,2835,56,46
Hugo Souza,BRA,Goalkeeper,Corinthians,26,1999,23,23,2070,50,36
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33,1992,29,29,2610,89,61
Ignacio De Arruabarrena,URU,Goalkeeper,Barcelona,28,1997,2,1,144,33,26
Ivan,BRA,Goalkeeper,Internacional,28,1997,3,3,270,83,25
