Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
Balázs Tóth,HUN,Goalkeeper,Blackburn,28,1997,11,11,990,17,48,32,2,2,2,0,0,13.8,47,177,320,47,49,139,6,21,0,-17.0,1
Ben Killip,ENG,Goalkeeper,Portsmouth,29,1995,2,1,155,2,9,7,1,0,0,0,0,2.4,15,43,76,10,11,33,1,3,0,-2.0,1
Benjamin Lundt,GER,Goalkeeper,St. Louis,30,1995,9,9,810,14,46,31,2,2,1,1,0,14.1,50,114,210,43,81,126,6,6,1,-14.0,1
Bernardo Fontes,BRA,Goalkeeper,Tondela,23,2002,9,9,810,17,57,41,1,2,2,0,0,19.3,39,112,241,38,51,133,3,14,0,-17.0,1
Bernt Klaverboer,NED,Goalkeeper,Heerenveen,20,2005,6,6,540,11,27,16,0,0,0,0,0,9.4,30,114,215,25,26,89,7,5,0,-11.0,1
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,23,2002,4,3,294,4,15,11,2,0,0,0,0,6.1,8,39,83,18,17,44,2,4,0,-4.0,1
Brad Guzan,USA,Goalkeeper,Atlanta Utd,41,1984,26,26,2340,49,134,85,2,6,6,0,0,43.6,107,254,664,123,182,292,8,33,0,-49.0,1
Brad Stuver,USA,Goalkeeper,Austin,34,1991,34,34,3060,45,171,127,9,6,5,1,0,46.9,172,516,1050,161,249,514,28,28,1,-45.0,1
Brayan Cortés,CHI,Goalkeeper,Colo-Colo,30,1995,7,7,630,18,39,21,1,1,1,0,0,11.8,20,100,99,14,49,96,8,3,0,-18.0,2
Brenno,BRA,Goalkeeper,Fortaleza,26,1999,6,6,540,7,23,15,1,1,0,1,0,7.8,24,66,98,23,52,77,1,2,1,-7.0,1
Brent Gabriël,BEL,Goalkeeper,Zulte Waregem,26,1999,12,12,1080,15,47,33,3,1,1,0,0,17.0,83,196,332,47,76,244,15,18,0,-15.0,1
Bruno Ferreira,BRA,Goalkeeper,Ceará,31,1994,22,22,1953,21,77,56,6,1,1,0,0,24.3,103,297,420,70,180,373,28,18,0,-21.0,1
