Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
Roman Bürki,SUI,Goalkeeper,St. Louis,34,1990,25,25,2250,44,131,89,4,7,7,0,0,43.7,120,308,770,119,175,333,15,29,0,-44.0,1
Roman Celentano,USA,Goalkeeper,FC Cincinnati,25,2000,30,30,2700,36,121,86,10,7,4,1,2,37.2,101,294,719,141,208,442,21,12,3,-36.0,1
Rome-Jayden Owusu-Oduro,NED,Goalkeeper,AZ Alkmaar,21,2004,9,9,810,12,39,27,2,2,1,0,1,10.9,33,118,258,37,38,120,10,15,1,-12.0,1
Ronald Koeman Jr.,NED,Goalkeeper,Telstar,30,1995,10,10,900,19,58,39,1,2,2,0,0,21.2,86,207,405,35,43,153,7,15,0,-19.0,1
Ronaldo,BRA,Goalkeeper,Bahia,29,1996,22,22,1908,26,91,65,8,3,1,2,0,28.900000000000002,58,203,562,75,135,304,16,38,2,-26.0,2
Ruan Carneiro,BRA,Goalkeeper,Juventude,35,1990,3,3,270,4,12,8,1,1,1,0,0,3.2,11,38,73,11,22,35,2,0,0,-4.0,1
Rubén Cordano,BOL,Goalkeeper,Bolívar,27,1998,2,2,180,4,12,8,0,0,0,0,0,2.6,6,21,82,13,12,19,1,0,0,-4.0,1
Rui Silva,POR,Goalkeeper,Sporting CP,31,1994,7,7,630,4,20,16,4,1,1,0,0,4.4,8,24,171,34,22,57,4,13,0,-4.0,1
Ryan Allsop,ENG,Goalkeeper,Birmingham City,33,1992,8,8,720,10,19,10,2,1,1,0,0,7.2,30,123,307,11,43,81,0,15,0,-10.0,1
Samuel Soares,POR,Goalkeeper,Benfica,23,2002,2,2,180,1,11,10,1,0,0,0,0,3.1,5,15,40,11,8,31,2,1,0,-1.0,1
Santiago Mele,URU,Goalkeeper,Monterrey,28,1997,13,13,1170,20,52,32,4,1,1,0,0,15.3,29,83,346,34,52,166,8,17,0,-20.0,1
Sean Johnson,USA,Goalkeeper,Toronto FC,36,1989,31,31,2790,41,152,110,7,5,4,1,0,51.9,113,341,700,117,231,394,15,21,1,-41.0,1
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27,1998,3,3,270,9,20,11,0,0,0,0,0,8.1,9,27,81,13,10,31,6,2,0,-9.0,1
Sebastiano Desplanches,ITA,Goalkeeper,Pescara,22,2003,9,9,810,17,51,34,1,4,4,0,0,20.1,28,98,278,54,31,145,7,16,0,-17.0,1
Sebastián Britos,URU,Goalkeeper,Universitario,37,1988,8,8,720,8,36,28,3,1,1,0,0,10.0,47,126,115,23,76,134,4,11,0,-8.0,1
Sebastián Jurado,MEX,Goalkeeper,FC Juárez,28,1997,15,15,1350,25,59,36,2,1,1,0,0,17.4,43,109,351,39,58,184,6,7,0,-25.0,1
Sebastián Meza,ARG,Goalkeeper,Huracán,25,2000,4,4,360,7,19,12,1,1,1,0,0,5.6,15,44,80,17,19,48,4,2,0,-7.0,1
Senne Lammens,BEL,Goalkeeper,Antwerp,23,2002,4,4,360,4,15,10,0,1,0,1,0,5.2,30,105,176,22,23,67,11,4,1,-4.0,1
Sergio Rochet,URU,Goalkeeper,Internacional,32,1993,13,13,1125,18,61,43,2,0,0,0,0,17.3,51,148,270,63,74,174,8,4,0,-18.0,2
Sergio Romero,ARG,Goalkeeper,Arg Juniors,38,1987,1,1,90,1,3,2,0,0,0,0,0,1.1,4,11,20,5,3,5,0,0,0,-1.0,1
Simon Mignolet,BEL,Goalkeeper,Club Brugge,37,1988,1,1,90,1,9,8,0,0,0,0,0,1.3,4,9,41,3,5,12,0,0,0,-1.0,1
Simone Colombi,ITA,Goalkeeper,Virtus Entella,34,1991,8,8,720,10,30,20,1,3,3,0,0,9.2,28,73,168,16,53,142,7,7,0,-10.0,1
Simone Ghidotti,ITA,Goalkeeper,Sampdoria,25,2000,7,7,630,11,28,17,1,1,1,0,0,10.3,38,109,166,20,45,84,2,4,0,-11.0,1
Simão Bertelli,BRA,Goalkeeper,AVS Futebol,32,1993,8,8,720,20,39,19,0,2,2,0,0,16.0,42,110,204,28,67,113,4,12,0,-20.0,1
Solomon Brynn,ENG,Goalkeeper,Middlesbrough,24,2000,12,12,1080,8,26,17,5,1,0,1,0,8.4,27,137,255,58,68,167,19,8,1,-8.0,1
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39,1986,26,26,2340,31,104,76,8,3,3,0,0,29.6,92,257,593,104,170,308,16,16,0,-31.0,1
Steven Benda,GER,Goalkeeper,Millwall,27,1998,9,9,810,12,28,16,3,0,0,0,0,10.4,48,142,185,27,71,126,5,14,0,-12.0,1
Stijn van Gassel,NED,Goalkeeper,Excelsior,29,1996,8,8,659,9,45,36,2,1,1,0,0,10.9,81,227,284,27,72,123,5,14,0,-9.0,1
Taishi Nozawa,JPN,Goalkeeper,Antwerp,22,2002,3,3,270,3,10,7,0,0,0,0,0,2.6,17,45,86,12,12,31,4,3,0,-3.0,1
Thiago,BRA,Goalkeeper,Vitória,26,1999,1,0,65,1,5,4,0,0,0,0,0,1.5,0,5,13,3,1,12,0,0,0,-1.0,1
Thiago Cardozo,URU,Goalkeeper,Belgrano,29,1996,27,27,2426,26,97,71,9,4,2,1,1,30.3,123,352,539,105,188,396,20,8,2,-26.0,2
Thomas Gillier,CHI,Goalkeeper,CF Montréal,21,2004,8,8,720,12,38,26,0,0,0,0,0,12.8,10,52,257,32,18,93,6,10,0,-12.0,1
Thomas Hasal,CAN,Goalkeeper,LAFC,26,1999,2,1,135,5,10,5,1,0,0,0,0,3.1,1,16,38,13,10,16,3,0,0,-5.0,1
Thomas Kaminski,BEL,Goalkeeper,Charlton Ath,33,1992,12,12,1080,10,35,25,5,0,0,0,0,10.0,77,228,294,41,113,195,8,20,0,-10.0,1
Tiago Volpi,BRA,Goalkeeper,Grêmio,34,1990,25,25,2250,31,109,78,4,8,6,0,2,40.6,144,344,543,56,166,396,14,11,2,-31.0,1
Tijmen Holla,0,Goalkeeper,Excelsior,0,0,1,0,61,4,7,3,0,1,1,0,0,3.8,12,26,39,3,4,7,1,2,0,-4.0,1
Timo Jansink,NED,Goalkeeper,Heracles Almelo,22,2003,2,2,180,10,19,9,0,0,0,0,0,7.5,20,45,65,4,7,34,1,0,0,-10.0,1
Timon Wellenreuther,GER,Goalkeeper,Feyenoord,29,1995,10,10,900,9,25,16,6,1,1,0,0,6.9,55,158,364,38,37,99,7,14,0,-9.0,1
Tobe Leysen,BEL,Goalkeeper,OH Leuven,23,2002,12,12,1080,21,58,37,2,3,3,0,0,18.2,60,193,414,49,50,171,11,15,0,-21.0,1
Tobias Lawal,AUT,Goalkeeper,Genk,25,2000,7,7,630,10,31,21,0,2,2,0,0,9.0,28,61,244,25,29,78,6,16,0,-10.0,1
Tom de Graaff,NED,Goalkeeper,Zwolle,20,2004,8,8,720,15,51,36,2,0,0,0,0,14.9,40,125,218,44,75,144,7,2,0,-15.0,1
Tomas Romero,SLV,Goalkeeper,NYCFC,24,2000,4,3,294,2,11,10,1,0,0,0,0,3.3,6,20,80,12,23,49,3,1,0,-2.0,1
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26,1999,11,11,990,17,46,29,2,3,1,1,1,17.2,63,177,245,46,87,128,8,16,2,-17.0,1
Tomás Marchiori,ARG,Goalkeeper,Vélez Sarsfield,30,1995,37,37,3268,32,123,94,15,4,3,0,1,31.799999999999997,131,393,625,143,284,438,23,12,1,-32.0,2
Vasilios Barkas,GRE,Goalkeeper,Utrecht,31,1994,9,9,765,12,38,25,2,1,0,1,0,13.6,37,106,277,36,53,86,7,9,1,-12.0,1
Vic Chambaere,BEL,Goalkeeper,Union SG,22,2003,3,3,270,3,10,7,1,0,0,0,0,3.5,9,33,65,7,10,38,0,0,0,-3.0,1
Viktor Johansson,SWE,Goalkeeper,Stoke City,27,1998,12,12,1080,8,44,36,5,0,0,0,0,12.4,68,208,424,59,49,185,9,20,0,-8.0,1
Vinicius Silvestre,BRA,Goalkeeper,Fortaleza,31,1994,2,2,180,6,17,11,0,0,0,0,0,5.1,14,32,49,8,12,42,0,0,0,-6.0,1
Vitezslav Jaros,CZE,Goalkeeper,Ajax,24,2001,9,9,810,12,38,26,2,3,3,0,0,12.5,42,102,336,49,34,117,4,6,0,-12.0,1
Vladan Kovačević,BIH,Goalkeeper,Norwich City,27,1998,12,12,1080,18,51,32,1,1,0,1,0,19.2,44,138,378,58,66,207,13,19,1,-18.0,1
Walter,BRA,Goalkeeper,Mirassol,37,1987,23,23,2070,21,106,83,8,3,1,2,0,30.4,56,157,574,80,98,430,19,7,2,-21.0,1
Warleson,BRA,Goalkeeper,Cercle Brugge,29,1996,2,1,108,2,12,10,0,0,0,0,0,3.9,2,15,34,5,6,17,0,5,0,-2.0,1
Wessel Speel,NED,Goalkeeper,Minnesota Utd,24,2001,3,3,199,6,10,4,0,1,1,0,0,5.4,11,41,56,1,20,31,1,0,0,-6.0,1
Williams Barlasina,ARG,Goalkeeper,Newell's OB,27,1998,8,8,720,13,36,23,0,0,0,0,0,12.0,46,116,125,30,71,143,8,1,0,-13.0,2
Wéverton,BRA,Goalkeeper,Palmeiras,37,1987,35,35,3150,27,113,86,14,4,3,1,0,28.299999999999997,120,471,802,126,217,420,25,23,1,-27.0,2
Yannick Thoelen,BEL,Goalkeeper,Antwerp,35,1990,5,5,450,7,28,21,1,0,0,0,0,6.8,29,87,142,28,35,73,2,5,0,-7.0,1
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29,1996,34,34,3060,38,122,83,13,5,4,1,0,37.0,108,318,1040,120,183,410,24,61,1,-38.0,1
Young,BRA,Goalkeeper,São Paulo,23,2002,2,2,180,3,9,6,0,0,0,0,0,2.7,3,14,29,7,15,32,1,0,0,-3.0,1
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30,1995,23,23,2070,39,130,92,4,0,0,0,0,42.0,103,315,544,114,172,362,15,28,0,-39.0,1
Álvaro David Montero,COL,Goalkeeper,Vélez Sarsfield,30,1995,2,1,152,1,6,5,1,0,0,0,0,1.1,11,33,24,5,20,50,2,0,0,-1.0,1
Éverson,BRA,Goalkeeper,Atlético Mineiro,35,1990,27,27,2430,30,108,79,9,3,3,0,0,33.7,138,370,862,98,123,339,16,44,0,-30.0,1
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39,1986,25,25,2082,41,116,76,3,1,1,0,0,35.8,90,171,776,126,111,253,9,53,0,-41.0,1
